time,Philadelphia,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. N. Noel (M. Smart gains possession),,,,Jump ball: B. Bass vs. N. Noel (M. Smart gains possession)
11:46.0,,,0-2,2,A. Bradley makes 2-pt shot from 20 ft (assist by E. Turner)
11:20.0,N. Noel misses 2-pt shot from 6 ft,,0-2,,
11:19.0,,,0-2,,Defensive rebound by M. Smart
11:11.0,,,0-2,,M. Smart misses 2-pt shot from 12 ft
11:10.0,Defensive rebound by I. Canaan,,0-2,,
11:03.0,I. Canaan misses 3-pt shot from 25 ft,,0-2,,
11:01.0,Offensive rebound by J. Richardson,,0-2,,
11:01.0,J. Richardson misses 2-pt shot from 2 ft,,0-2,,
11:00.0,Offensive rebound by J. Richardson,,0-2,,
10:59.0,J. Richardson misses 2-pt shot at rim,,0-2,,
10:58.0,,,0-2,,Defensive rebound by T. Zeller
10:36.0,,,0-4,2,B. Bass makes 2-pt shot from 7 ft
10:19.0,L. Mbah a Moute misses 2-pt shot from 19 ft,,0-4,,
10:18.0,,,0-4,,Defensive rebound by A. Bradley
10:06.0,,,0-4,,B. Bass misses 2-pt shot from 7 ft
10:05.0,Defensive rebound by I. Canaan,,0-4,,
10:01.0,Turnover by I. Canaan (lost ball; steal by A. Bradley),,0-4,,
9:50.0,,,0-7,3,A. Bradley makes 3-pt shot from 25 ft
9:25.0,H. Thompson makes 2-pt shot from 10 ft,2,2-7,,
9:13.0,,,2-7,,E. Turner misses 2-pt shot from 15 ft
9:12.0,Defensive rebound by I. Canaan,,2-7,,
9:07.0,H. Thompson misses 3-pt shot from 25 ft,,2-7,,
9:06.0,,,2-7,,Defensive rebound by A. Bradley
8:57.0,,,2-9,2,T. Zeller makes 2-pt shot from 6 ft (assist by A. Bradley)
8:42.0,J. Richardson misses 2-pt shot from 21 ft,,2-9,,
8:41.0,,,2-9,,Defensive rebound by A. Bradley
8:32.0,,,2-9,,A. Bradley misses 2-pt shot from 18 ft
8:31.0,Defensive rebound by J. Richardson,,2-9,,
8:10.0,N. Noel makes 2-pt shot from 5 ft (assist by H. Thompson),2,4-9,,
7:55.0,,,4-11,2,T. Zeller makes 2-pt shot from 18 ft (assist by M. Smart)
7:44.0,,,4-11,,Personal foul by T. Zeller (drawn by N. Noel)
7:35.0,I. Canaan makes 3-pt shot from 23 ft (assist by L. Mbah a Moute),3,7-11,,
7:20.0,,,7-13,2,T. Zeller makes 2-pt shot at rim
7:04.0,N. Noel misses 2-pt shot from 11 ft,,7-13,,
7:03.0,,,7-13,,Defensive rebound by E. Turner
6:58.0,,,7-15,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
6:58.0,Philadelphia full timeout,,7-15,,
6:58.0,I. Smith enters the game for I. Canaan,,7-15,,
6:38.0,L. Mbah a Moute misses 2-pt shot at rim,,7-15,,
6:37.0,,,7-15,,Defensive rebound by M. Smart
6:29.0,,,7-15,,Shooting foul by N. Noel (drawn by T. Zeller)
6:29.0,,,7-16,1,T. Zeller makes free throw 1 of 2
6:29.0,,,7-17,1,T. Zeller makes free throw 2 of 2
6:14.0,J. Richardson misses 3-pt shot from 25 ft,,7-17,,
6:13.0,,,7-17,,Defensive rebound by T. Zeller
5:52.0,,,7-19,2,A. Bradley makes 2-pt shot from 20 ft
5:31.0,N. Noel misses 2-pt shot from 6 ft,,7-19,,
5:30.0,Offensive rebound by J. Richardson,,7-19,,
5:28.0,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Richardson),2,9-19,,
5:18.0,,,9-21,2,E. Turner makes 2-pt shot at rim
5:14.0,H. Thompson makes 2-pt shot at rim (assist by I. Smith),2,11-21,,
5:14.0,Shooting foul by T. Zeller (drawn by H. Thompson),,11-21,,
5:14.0,,,11-21,,K. Olynyk enters the game for T. Zeller
5:14.0,H. Thompson misses free throw 1 of 1,,11-21,,
5:14.0,,,11-21,,Defensive rebound by E. Turner
4:58.0,,,11-24,3,M. Smart makes 3-pt shot from 24 ft (assist by B. Bass)
4:40.0,H. Thompson misses 3-pt shot from 23 ft,,11-24,,
4:39.0,,,11-24,,Defensive rebound by E. Turner
4:30.0,,,11-27,3,A. Bradley makes 3-pt shot from 22 ft (assist by E. Turner)
4:27.0,Philadelphia full timeout,,11-27,,
4:27.0,R. Covington enters the game for H. Thompson,,11-27,,
4:27.0,J. Grant enters the game for L. Mbah a Moute,,11-27,,
4:27.0,T. Robinson enters the game for J. Richardson,,11-27,,
4:01.0,T. Robinson misses 2-pt shot from 18 ft,,11-27,,
4:00.0,Offensive rebound by Team,,11-27,,
4:00.0,,,11-27,,Loose ball foul by K. Olynyk (drawn by N. Noel)
3:44.0,Offensive foul by T. Robinson,,11-27,,
3:44.0,Turnover by T. Robinson (offensive foul),,11-27,,
3:34.0,,,11-27,,B. Bass misses 2-pt shot from 16 ft
3:33.0,Defensive rebound by T. Robinson,,11-27,,
3:25.0,J. Grant makes 3-pt shot from 23 ft (assist by R. Covington),3,14-27,,
3:08.0,,,14-27,,E. Turner misses 2-pt shot from 14 ft
3:07.0,Defensive rebound by N. Noel,,14-27,,
2:56.0,R. Covington misses 3-pt shot from 25 ft,,14-27,,
2:55.0,,,14-27,,Defensive rebound by B. Bass
2:44.0,,,14-29,2,B. Bass makes 2-pt shot at rim (assist by E. Turner)
2:18.0,I. Smith misses 2-pt shot at rim,,14-29,,
2:17.0,,,14-29,,Defensive rebound by K. Olynyk
2:12.0,,,14-31,2,B. Bass makes 2-pt shot at rim (assist by A. Bradley)
1:56.0,Turnover by J. Grant (bad pass; steal by A. Bradley),,14-31,,
1:50.0,,,14-33,2,E. Turner makes 2-pt shot at rim
1:37.0,,,14-33,,Shooting block foul by K. Olynyk (drawn by N. Noel)
1:37.0,,,14-33,,Boston full timeout
1:37.0,,,14-33,,L. Datome enters the game for A. Bradley
1:37.0,,,14-33,,J. Crowder enters the game for M. Smart
1:37.0,N. Noel makes free throw 1 of 2,1,15-33,,
1:37.0,N. Noel makes free throw 2 of 2,1,16-33,,
1:24.0,,,16-36,3,L. Datome makes 3-pt shot from 25 ft (assist by K. Olynyk)
1:02.0,T. Robinson misses 2-pt shot at rim (block by L. Datome),,16-36,,
1:01.0,Offensive rebound by R. Covington,,16-36,,
0:58.0,Turnover by I. Smith (bad pass),,16-36,,
0:46.0,,,16-38,2,J. Crowder makes 2-pt shot from 19 ft (assist by B. Bass)
0:35.0,N. Noel makes 2-pt shot at rim (assist by J. Grant),2,18-38,,
0:25.0,,,18-38,,K. Olynyk misses 2-pt shot from 3 ft
0:24.0,Defensive rebound by N. Noel,,18-38,,
0:02.0,Turnover by I. Smith (lost ball; steal by K. Olynyk),,18-38,,
0:00.0,,,18-38,,K. Olynyk misses 3-pt shot from 54 ft
0:00.0,,,18-38,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,R. Covington misses 2-pt shot at rim,,18-38,,
11:40.0,,,18-38,,Defensive rebound by K. Olynyk
11:25.0,,,18-41,3,L. Datome makes 3-pt shot from 24 ft (assist by J. Jerebko)
11:09.0,H. Sims misses 2-pt shot from 12 ft,,18-41,,
11:06.0,,,18-41,,Defensive rebound by Team
10:48.0,,,18-41,,J. Crowder misses 3-pt shot from 26 ft
10:47.0,,,18-41,,Offensive rebound by K. Olynyk
10:37.0,,,18-41,,L. Datome misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by T. Robinson,,18-41,,
10:24.0,Turnover by I. Canaan (traveling),,18-41,,
10:16.0,,,18-41,,P. Pressey misses 2-pt shot from 1 ft (block by I. Canaan)
10:15.0,,,18-41,,Offensive rebound by Team
10:08.0,,,18-41,,L. Datome misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by T. Robinson,,18-41,,
9:59.0,Shooting foul by J. Jerebko (drawn by T. Robinson),,18-41,,
9:59.0,T. Robinson makes free throw 1 of 2,1,19-41,,
9:59.0,T. Robinson makes free throw 2 of 2,1,20-41,,
9:42.0,,,20-41,,P. Pressey misses 2-pt shot from 19 ft
9:41.0,Defensive rebound by T. Robinson,,20-41,,
9:34.0,Shooting foul by J. Jerebko (drawn by T. Robinson),,20-41,,
9:34.0,T. Robinson misses free throw 1 of 2,,20-41,,
9:34.0,Offensive rebound by Team,,20-41,,
9:34.0,,,20-41,,T. Zeller enters the game for K. Olynyk
9:34.0,T. Robinson makes free throw 2 of 2,1,21-41,,
9:27.0,,,21-41,,P. Pressey misses 2-pt shot at rim (block by T. Robinson)
9:26.0,,,21-41,,Offensive rebound by Team
9:21.0,Shooting block foul by I. Canaan (drawn by P. Pressey),,21-41,,
9:21.0,,,21-42,1,P. Pressey makes free throw 1 of 2
9:21.0,,,21-42,,P. Pressey misses free throw 2 of 2
9:20.0,Defensive rebound by Team,,21-42,,
9:10.0,T. Robinson makes 2-pt shot from 6 ft (assist by I. Canaan),2,23-42,,
8:50.0,,,23-42,,T. Zeller misses 2-pt shot from 18 ft
8:49.0,Defensive rebound by J. Grant,,23-42,,
8:44.0,Official timeout,,23-42,,
8:44.0,Jump ball: P. Pressey vs. T. Robinson (J. Grant gains possession),,,,Jump ball: P. Pressey vs. T. Robinson (J. Grant gains possession)
8:37.0,I. Canaan misses 2-pt shot from 20 ft,,23-42,,
8:36.0,,,23-42,,Defensive rebound by T. Zeller
8:26.0,Personal foul by J. Grant (drawn by L. Datome),,23-42,,
8:15.0,,,23-44,2,J. Crowder makes 2-pt shot from 13 ft
8:07.0,Shooting foul by P. Pressey (drawn by I. Canaan),,23-44,,
8:07.0,I. Canaan misses free throw 1 of 2,,23-44,,
8:07.0,Offensive rebound by Team,,23-44,,
8:07.0,I. Canaan makes free throw 2 of 2,1,24-44,,
7:52.0,,,24-44,,J. Crowder misses 3-pt shot from 25 ft
7:51.0,Defensive rebound by I. Canaan,,24-44,,
7:45.0,L. Mbah a Moute enters the game for T. Robinson,,24-44,,
7:45.0,,,24-44,,A. Bradley enters the game for L. Datome
7:37.0,I. Canaan misses 2-pt shot from 18 ft,,24-44,,
7:36.0,,,24-44,,Defensive rebound by J. Crowder
7:24.0,,,24-44,,Shooting foul by R. Covington (drawn by P. Pressey)
7:24.0,,,24-45,1,P. Pressey makes free throw 1 of 2
7:24.0,,,24-46,1,P. Pressey makes free throw 2 of 2
7:14.0,H. Sims misses 2-pt shot from 18 ft,,24-46,,
7:12.0,Offensive rebound by J. Grant,,24-46,,
7:01.0,Offensive foul by L. Mbah a Moute,,24-46,,
7:01.0,Turnover by L. Mbah a Moute (offensive foul),,24-46,,
6:47.0,,,24-46,,Shooting foul by L. Mbah a Moute (drawn by J. Jerebko)
6:47.0,,,24-47,1,J. Jerebko makes free throw 1 of 2
6:47.0,J. Richardson enters the game for R. Covington,,24-47,,
6:47.0,,,24-48,1,J. Jerebko makes free throw 2 of 2
6:28.0,L. Mbah a Moute misses 2-pt shot from 11 ft,,24-48,,
6:27.0,,,24-48,,Defensive rebound by A. Bradley
6:11.0,,,24-48,,T. Zeller misses 2-pt shot from 4 ft
6:10.0,,,24-48,,Offensive rebound by J. Jerebko
6:07.0,,,24-51,3,A. Bradley makes 3-pt shot from 26 ft (assist by J. Crowder)
6:06.0,Philadelphia full timeout,,24-51,,
6:06.0,N. Noel enters the game for J. Grant,,24-51,,
6:06.0,H. Thompson enters the game for H. Sims,,24-51,,
5:46.0,I. Canaan misses 3-pt shot from 25 ft,,24-51,,
5:45.0,,,24-51,,Defensive rebound by J. Crowder
5:32.0,,,24-51,,Offensive foul by T. Zeller
5:32.0,,,24-51,,Turnover by T. Zeller (offensive foul)
5:32.0,,,24-51,,B. Bass enters the game for T. Zeller
5:18.0,Turnover by H. Thompson (lost ball; steal by J. Crowder),,24-51,,
5:12.0,,,24-51,,P. Pressey misses 2-pt shot at rim
5:10.0,Defensive rebound by H. Thompson,,24-51,,
5:05.0,H. Thompson misses 2-pt shot from 18 ft,,24-51,,
5:04.0,,,24-51,,Defensive rebound by A. Bradley
4:49.0,,,24-51,,A. Bradley misses 2-pt shot from 19 ft
4:48.0,,,24-51,,Offensive rebound by J. Crowder
4:44.0,,,24-51,,P. Pressey misses 3-pt shot from 25 ft
4:43.0,Defensive rebound by J. Richardson,,24-51,,
4:29.0,L. Mbah a Moute makes 2-pt shot at rim (assist by I. Canaan),2,26-51,,
4:14.0,,,26-51,,Turnover by B. Bass (lost ball; steal by H. Thompson)
