time,Dallas,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. R. Lopez (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. R. Lopez (D. Nowitzki gains possession)
11:42.0,Turnover by M. Ellis (bad pass; steal by R. Lopez),,0-0,,
11:30.0,,,0-0,,Turnover by W. Matthews (bad pass)
11:16.0,D. Nowitzki misses 3-pt shot from 26 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by N. Batum
11:09.0,,,0-0,,W. Matthews misses 3-pt shot from 24 ft
11:08.0,,,0-0,,Offensive rebound by Team
11:05.0,,,0-2,2,L. Aldridge makes 2-pt shot from 17 ft (assist by N. Batum)
10:48.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by R. Rondo),2,2-2,,
10:30.0,,,2-2,,N. Batum misses 2-pt shot from 11 ft
10:27.0,Defensive rebound by T. Chandler,,2-2,,
10:24.0,R. Jefferson makes 2-pt shot at rim (assist by M. Ellis),2,4-2,,
10:01.0,,,4-2,,R. Lopez misses 2-pt shot from 10 ft
10:00.0,Defensive rebound by T. Chandler,,4-2,,
9:53.0,R. Rondo makes 2-pt shot from 2 ft,2,6-2,,
9:39.0,Violation by D. Nowitzki (kicked ball),,6-2,,
9:30.0,,,6-2,,N. Batum misses 3-pt shot from 25 ft
9:30.0,Defensive rebound by T. Chandler,,6-2,,
9:21.0,M. Ellis makes 2-pt shot from 18 ft,2,8-2,,
9:05.0,,,8-4,2,L. Aldridge makes 2-pt shot from 17 ft (assist by N. Batum)
8:54.0,Shooting foul by R. Lopez (drawn by T. Chandler),,8-4,,
8:54.0,T. Chandler makes free throw 1 of 2,1,9-4,,
8:54.0,T. Chandler makes free throw 2 of 2,1,10-4,,
8:39.0,,,10-6,2,R. Lopez makes 2-pt shot from 1 ft (assist by W. Matthews)
8:27.0,Turnover by R. Rondo (bad pass; steal by W. Matthews),,10-6,,
8:18.0,,,10-9,3,L. Aldridge makes 3-pt shot from 25 ft (assist by W. Matthews)
8:00.0,M. Ellis misses 2-pt shot from 16 ft,,10-9,,
7:59.0,,,10-9,,Defensive rebound by N. Batum
7:49.0,,,10-9,,N. Batum misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by R. Jefferson,,10-9,,
7:41.0,Turnover by M. Ellis (bad pass; steal by W. Matthews),,10-9,,
7:24.0,,,10-9,,W. Matthews misses 3-pt shot from 26 ft
7:22.0,,,10-9,,Offensive rebound by R. Lopez
7:22.0,,,10-11,2,R. Lopez makes 2-pt shot at rim
7:05.0,R. Rondo misses 2-pt shot from 5 ft,,10-11,,
7:03.0,,,10-11,,Defensive rebound by L. Aldridge
6:56.0,,,10-11,,L. Aldridge misses 3-pt shot from 26 ft
6:55.0,Defensive rebound by D. Nowitzki,,10-11,,
6:48.0,,,10-11,,Loose ball foul by N. Batum (drawn by M. Ellis)
6:42.0,M. Ellis misses 2-pt shot from 18 ft,,10-11,,
6:41.0,,,10-11,,Defensive rebound by N. Batum
6:38.0,,,10-11,,Turnover by N. Batum (bad pass; steal by M. Ellis)
6:31.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,12-11,,
6:15.0,,,12-13,2,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard)
5:54.0,M. Ellis misses 2-pt shot from 6 ft,,12-13,,
5:53.0,,,12-13,,Defensive rebound by R. Lopez
5:44.0,,,12-13,,Turnover by D. Lillard (bad pass; steal by M. Ellis)
5:38.0,,,12-13,,Portland full timeout
5:38.0,,,12-13,,A. Afflalo enters the game for W. Matthews
5:38.0,A. Aminu enters the game for D. Nowitzki,,12-13,,
5:23.0,R. Rondo misses 2-pt shot from 1 ft (block by R. Lopez),,12-13,,
5:21.0,,,12-13,,Defensive rebound by D. Lillard
5:15.0,,,12-13,,N. Batum misses 2-pt shot from 15 ft
5:13.0,Defensive rebound by T. Chandler,,12-13,,
5:06.0,M. Ellis makes 2-pt shot from 1 ft (assist by R. Rondo),2,14-13,,
4:41.0,,,14-13,,Turnover by D. Lillard (bad pass; steal by M. Ellis)
4:41.0,,,14-13,,Personal take foul by A. Afflalo (drawn by M. Ellis)
4:24.0,A. Aminu makes 3-pt shot from 26 ft (assist by M. Ellis),3,17-13,,
4:02.0,,,17-13,,R. Lopez misses 2-pt shot from 6 ft
4:00.0,Defensive rebound by Team,,17-13,,
3:47.0,A. Aminu misses 2-pt shot from 1 ft (block by R. Lopez),,17-13,,
3:46.0,,,17-13,,Defensive rebound by L. Aldridge
3:41.0,,,17-15,2,N. Batum makes 2-pt shot from 1 ft (assist by D. Lillard)
3:29.0,M. Ellis misses 2-pt shot from 19 ft,,17-15,,
3:28.0,,,17-15,,Defensive rebound by L. Aldridge
3:20.0,,,17-15,,Turnover by D. Lillard (lost ball; steal by T. Chandler)
3:20.0,,,17-15,,Personal foul by D. Lillard (drawn by T. Chandler)
3:20.0,,,17-15,,C. Kaman enters the game for R. Lopez
3:20.0,D. Harris enters the game for R. Rondo,,17-15,,
3:07.0,M. Ellis misses 2-pt shot from 1 ft,,17-15,,
3:06.0,,,17-15,,Defensive rebound by L. Aldridge
2:54.0,,,17-17,2,L. Aldridge makes 2-pt shot from 17 ft (assist by N. Batum)
2:53.0,Dallas full timeout,,17-17,,
2:53.0,,,17-17,,S. Blake enters the game for D. Lillard
2:41.0,Turnover by R. Jefferson (lost ball),,17-17,,
2:27.0,,,17-17,,L. Aldridge misses 2-pt shot from 15 ft
2:26.0,Defensive rebound by T. Chandler,,17-17,,
2:12.0,M. Ellis misses 2-pt shot from 14 ft,,17-17,,
2:10.0,,,17-17,,Defensive rebound by C. Kaman
2:05.0,,,17-17,,A. Afflalo misses 2-pt shot from 1 ft
2:03.0,Defensive rebound by D. Harris,,17-17,,
1:55.0,A. Aminu makes 2-pt shot from 8 ft (assist by T. Chandler),2,19-17,,
1:35.0,,,19-17,,A. Afflalo misses 3-pt shot from 23 ft
1:34.0,Defensive rebound by T. Chandler,,19-17,,
1:24.0,D. Harris makes 2-pt shot at rim,2,21-17,,
1:01.0,,,21-17,,C. Kaman misses 2-pt shot from 13 ft
1:00.0,Defensive rebound by T. Chandler,,21-17,,
0:42.0,D. Harris makes 2-pt shot from 5 ft,2,23-17,,
0:31.0,,,23-17,,N. Batum misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by A. Aminu,,23-17,,
0:08.0,A. Aminu misses 3-pt shot from 25 ft,,23-17,,
0:07.0,,,23-17,,Defensive rebound by C. Kaman
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,23-17,,Turnover by C. Kaman (lost ball; steal by D. Nowitzki)
11:29.0,D. Harris misses 3-pt shot from 25 ft,,23-17,,
11:29.0,,,23-17,,Defensive rebound by Team
11:29.0,Loose ball foul by A. Aminu (drawn by C. Kaman),,23-17,,
11:07.0,,,23-19,2,A. Afflalo makes 2-pt shot from 5 ft
10:44.0,Turnover by J. Barea (bad pass),,23-19,,
10:32.0,,,23-21,2,C. Kaman makes 2-pt shot from 20 ft (assist by D. Wright)
10:15.0,Turnover by A. Aminu (traveling),,23-21,,
9:59.0,,,23-21,,Shooting foul by D. Harris (drawn by A. Afflalo)
9:59.0,,,23-22,1,A. Afflalo makes free throw 1 of 2
9:59.0,,,23-23,1,A. Afflalo makes free throw 2 of 2
9:40.0,A. Stoudemire misses 2-pt shot from 9 ft,,23-23,,
9:38.0,,,23-23,,Defensive rebound by C. Kaman
9:28.0,,,23-23,,Shooting foul by A. Aminu (drawn by W. Matthews)
9:28.0,,,23-24,1,W. Matthews makes free throw 1 of 2
9:28.0,,,23-25,1,W. Matthews makes free throw 2 of 2
9:15.0,,,23-25,,Personal foul by S. Blake (drawn by D. Nowitzki)
9:07.0,J. Barea makes 2-pt shot from 2 ft,2,25-25,,
8:45.0,,,25-25,,A. Afflalo misses 2-pt shot from 11 ft
8:43.0,Defensive rebound by D. Nowitzki,,25-25,,
8:35.0,J. Barea misses 2-pt shot from 11 ft,,25-25,,
8:34.0,,,25-25,,Defensive rebound by S. Blake
8:20.0,,,25-25,,W. Matthews misses 2-pt shot from 7 ft
8:17.0,Defensive rebound by A. Aminu,,25-25,,
8:10.0,,,25-25,,Personal foul by D. Wright (drawn by D. Nowitzki)
8:10.0,Official timeout,,25-25,,
8:00.0,D. Nowitzki makes 2-pt shot from 12 ft,2,27-25,,
7:40.0,,,27-25,,Turnover by C. Kaman (lost ball; steal by D. Harris)
7:24.0,,,27-25,,Personal foul by D. Wright (drawn by D. Nowitzki)
7:24.0,,,27-25,,D. Lillard enters the game for S. Blake
7:14.0,D. Nowitzki makes 2-pt shot from 13 ft,2,29-25,,
7:02.0,,,29-25,,D. Lillard misses 2-pt shot from 19 ft
7:01.0,Defensive rebound by D. Nowitzki,,29-25,,
6:51.0,D. Nowitzki misses 2-pt shot from 15 ft,,29-25,,
6:49.0,,,29-25,,Defensive rebound by W. Matthews
6:37.0,,,29-28,3,D. Wright makes 3-pt shot from 26 ft (assist by W. Matthews)
6:30.0,Dallas full timeout,,29-28,,
