time,Golden State,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. R. Lopez (L. Aldridge gains possession),,,,Jump ball: A. Bogut vs. R. Lopez (L. Aldridge gains possession)
11:43.0,,,0-0,,L. Aldridge misses 2-pt shot from 21 ft
11:41.0,,,0-0,,Offensive rebound by N. Batum
11:29.0,,,0-0,,W. Matthews misses 2-pt shot from 17 ft
11:27.0,Defensive rebound by A. Bogut,,0-0,,
11:22.0,Turnover by S. Curry (bad pass; steal by W. Matthews),,0-0,,
11:19.0,,,0-2,2,W. Matthews makes 2-pt shot from 1 ft
10:56.0,S. Curry misses 2-pt shot from 18 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by L. Aldridge
10:47.0,,,0-2,,N. Batum misses 2-pt shot from 14 ft
10:46.0,Defensive rebound by A. Bogut,,0-2,,
10:38.0,K. Thompson misses 2-pt shot from 20 ft,,0-2,,
10:36.0,,,0-2,,Defensive rebound by L. Aldridge
10:27.0,,,0-2,,R. Lopez misses 2-pt shot from 1 ft (block by A. Bogut)
10:25.0,,,0-2,,Offensive rebound by R. Lopez
10:25.0,,,0-2,,R. Lopez misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by D. Green,,0-2,,
10:17.0,D. Green misses 2-pt shot from 2 ft,,0-2,,
10:16.0,,,0-2,,Defensive rebound by N. Batum
10:08.0,,,0-2,,W. Matthews misses 3-pt shot from 23 ft (block by K. Thompson)
10:07.0,Defensive rebound by H. Barnes,,0-2,,
10:04.0,K. Thompson misses 2-pt shot from 1 ft,,0-2,,
10:03.0,,,0-2,,Defensive rebound by N. Batum
9:57.0,,,0-2,,D. Lillard misses 2-pt shot from 2 ft (block by D. Green)
9:55.0,Defensive rebound by H. Barnes,,0-2,,
9:51.0,Shooting foul by N. Batum (drawn by K. Thompson),,0-2,,
9:51.0,K. Thompson makes free throw 1 of 2,1,1-2,,
9:51.0,K. Thompson makes free throw 2 of 2,1,2-2,,
9:35.0,,,2-2,,Shooting foul by A. Bogut (drawn by L. Aldridge)
9:35.0,,,2-3,1,L. Aldridge makes free throw 1 of 2
9:35.0,,,2-3,,L. Aldridge misses free throw 2 of 2
9:34.0,Defensive rebound by A. Bogut,,2-3,,
9:23.0,S. Curry makes 3-pt shot from 24 ft,3,5-3,,
9:02.0,,,5-5,2,W. Matthews makes 2-pt shot from 7 ft
8:53.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,7-5,,
8:35.0,,,7-5,,L. Aldridge misses 2-pt shot from 20 ft
8:34.0,,,7-5,,Offensive rebound by R. Lopez
8:31.0,,,7-5,,D. Lillard misses 3-pt shot from 24 ft
8:28.0,,,7-5,,Offensive rebound by R. Lopez
