time,Washington,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,N. Hilario misses 2-pt shot at rim,,0-0,,
12:00.0,Jump ball: T. Chandler vs. M. Gortat (N. Hilario gains possession),,,,Jump ball: T. Chandler vs. M. Gortat (N. Hilario gains possession)
11:37.0,,,0-0,,Defensive rebound by T. Chandler
11:19.0,,,0-0,,D. Nowitzki misses 2-pt shot from 18 ft
11:18.0,Defensive rebound by J. Wall,,0-0,,
11:03.0,Turnover by P. Pierce (lost ball; steal by C. Parsons),,0-0,,
10:58.0,,,0-2,2,M. Ellis makes 2-pt shot from 1 ft (assist by R. Rondo)
10:42.0,N. Hilario makes 2-pt shot from 17 ft (assist by B. Beal),2,2-2,,
10:16.0,,,2-2,,Turnover by R. Rondo (bad pass; steal by B. Beal)
10:07.0,B. Beal misses 2-pt shot from 21 ft,,2-2,,
10:07.0,,,2-2,,Defensive rebound by Team
9:52.0,,,2-2,,M. Ellis misses 2-pt shot from 3 ft
9:51.0,Defensive rebound by M. Gortat,,2-2,,
9:44.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall),3,5-2,,
9:28.0,,,5-2,,D. Nowitzki misses 2-pt shot from 13 ft
9:28.0,Defensive rebound by N. Hilario,,5-2,,
9:23.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,7-2,,
9:10.0,Personal block foul by P. Pierce (drawn by C. Parsons),,7-2,,
9:07.0,,,7-2,,Shooting foul by M. Gortat (drawn by C. Parsons)
9:07.0,,,7-4,2,C. Parsons makes 2-pt shot from 15 ft
9:07.0,,,7-4,,C. Parsons misses free throw 1 of 1
9:06.0,Defensive rebound by M. Gortat,,7-4,,
8:48.0,M. Gortat misses 2-pt shot from 13 ft,,7-4,,
8:47.0,,,7-4,,Defensive rebound by T. Chandler
8:33.0,,,7-4,,D. Nowitzki misses 2-pt shot from 16 ft
8:32.0,Defensive rebound by P. Pierce,,7-4,,
8:25.0,B. Beal misses 3-pt shot from 22 ft,,7-4,,
8:24.0,,,7-4,,Defensive rebound by D. Nowitzki
8:10.0,,,7-6,2,D. Nowitzki makes 2-pt shot from 10 ft
7:49.0,,,7-6,,Personal foul by C. Parsons (drawn by N. Hilario)
7:47.0,B. Beal misses 2-pt shot from 1 ft (block by T. Chandler),,7-6,,
7:45.0,Offensive rebound by B. Beal,,7-6,,
7:38.0,J. Wall makes 2-pt shot from 16 ft,2,9-6,,
7:29.0,,,9-9,3,C. Parsons makes 3-pt shot from 24 ft
7:16.0,P. Pierce misses 3-pt shot from 24 ft,,9-9,,
7:15.0,,,9-9,,Defensive rebound by T. Chandler
7:11.0,,,9-11,2,R. Rondo makes 2-pt shot from 3 ft (assist by T. Chandler)
7:01.0,M. Gortat makes 2-pt shot at rim (assist by N. Hilario),2,11-11,,
6:47.0,Personal foul by N. Hilario (drawn by D. Nowitzki),,11-11,,
6:47.0,,,11-11,,C. Villanueva enters the game for D. Nowitzki
6:47.0,,,11-11,,D. Harris enters the game for R. Rondo
6:47.0,K. Humphries enters the game for N. Hilario,,11-11,,
6:42.0,,,11-11,,Turnover by M. Ellis (bad pass; steal by M. Gortat)
6:37.0,K. Humphries makes 2-pt shot at rim (assist by J. Wall),2,13-11,,
6:17.0,,,13-13,2,C. Villanueva makes 2-pt shot from 4 ft (assist by D. Harris)
5:59.0,,,13-13,,Dallas full timeout
5:50.0,B. Beal makes 2-pt shot from 8 ft (assist by J. Wall),2,15-13,,
5:31.0,,,15-13,,Turnover by T. Chandler (lost ball)
5:20.0,K. Humphries misses 2-pt shot from 8 ft,,15-13,,
5:19.0,,,15-13,,Defensive rebound by T. Chandler
5:12.0,,,15-15,2,D. Harris makes 2-pt shot from 19 ft
4:44.0,P. Pierce misses 2-pt shot from 18 ft,,15-15,,
4:42.0,Offensive rebound by Team,,15-15,,
4:41.0,,,15-15,,G. Smith enters the game for T. Chandler
4:34.0,Turnover by P. Pierce (traveling),,15-15,,
4:22.0,,,15-18,3,C. Villanueva makes 3-pt shot from 24 ft (assist by D. Harris)
4:04.0,Shooting foul by G. Smith (drawn by P. Pierce),,15-18,,
4:04.0,P. Pierce misses free throw 1 of 2,,15-18,,
4:04.0,Offensive rebound by Team,,15-18,,
4:04.0,P. Pierce makes free throw 2 of 2,1,16-18,,
3:51.0,,,16-20,2,C. Villanueva makes 2-pt shot from 11 ft
3:28.0,Turnover by J. Wall (bad pass; steal by M. Ellis),,16-20,,
3:25.0,Violation by J. Wall (def goaltending),,16-20,,
3:25.0,,,16-22,2,M. Ellis makes 2-pt shot at rim
3:13.0,Offensive foul by M. Gortat,,16-22,,
3:13.0,Turnover by M. Gortat (offensive foul),,16-22,,
3:13.0,R. Butler enters the game for P. Pierce,,16-22,,
3:09.0,,,16-22,,Shooting foul by J. Wall (drawn by D. Harris)
3:09.0,,,16-23,1,D. Harris makes free throw 1 of 2
3:09.0,,,16-23,,D. Harris misses free throw 2 of 2
3:08.0,Defensive rebound by K. Humphries,,16-23,,
3:03.0,J. Wall makes 2-pt shot at rim (assist by K. Humphries),2,18-23,,
2:41.0,,,18-23,,M. Ellis misses 2-pt shot from 15 ft
2:40.0,Defensive rebound by R. Butler,,18-23,,
2:34.0,B. Beal misses 2-pt shot at rim,,18-23,,
2:33.0,Offensive rebound by K. Humphries,,18-23,,
2:33.0,K. Humphries makes 2-pt shot at rim,2,20-23,,
2:28.0,,,20-23,,Dallas full timeout
2:28.0,Washington full timeout,,20-23,,
2:28.0,,,20-23,,R. Jefferson enters the game for C. Parsons
2:28.0,,,20-23,,R. Rondo enters the game for M. Ellis
2:28.0,,,20-23,,D. Nowitzki enters the game for C. Villanueva
2:16.0,Personal foul by K. Humphries (drawn by D. Nowitzki),,20-23,,
2:16.0,,,20-24,1,D. Nowitzki makes free throw 1 of 2
2:16.0,,,20-25,1,D. Nowitzki makes free throw 2 of 2
1:56.0,M. Gortat makes 2-pt shot from 6 ft,2,22-25,,
1:48.0,,,22-25,,R. Rondo misses 2-pt shot from 8 ft
1:46.0,,,22-25,,Offensive rebound by Team
1:46.0,M. Webster enters the game for B. Beal,,22-25,,
1:46.0,K. Seraphin enters the game for M. Gortat,,22-25,,
1:37.0,,,22-25,,R. Jefferson misses 2-pt shot from 1 ft (block by K. Seraphin)
1:36.0,,,22-25,,Offensive rebound by R. Jefferson
1:16.0,,,22-25,,D. Harris misses 2-pt shot from 22 ft
1:15.0,Defensive rebound by K. Seraphin,,22-25,,
