time,Washington,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gortat (J. Wall gains possession),,,,Jump ball: A. Davis vs. M. Gortat (J. Wall gains possession)
11:35.0,J. Wall misses 2-pt shot from 1 ft,,0-0,,
11:32.0,Offensive rebound by M. Gortat,,0-0,,
11:32.0,M. Gortat misses 2-pt shot from 1 ft,,0-0,,
11:29.0,,,0-0,,Defensive rebound by L. Babbitt
11:18.0,,,0-0,,E. Gordon misses 3-pt shot from 25 ft
11:17.0,Defensive rebound by M. Gortat,,0-0,,
11:11.0,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall),3,3-0,,
10:49.0,,,3-2,2,E. Gordon makes 2-pt shot from 4 ft
10:29.0,P. Pierce makes 2-pt shot from 2 ft (assist by J. Wall),2,5-2,,
10:13.0,,,5-4,2,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon)
9:49.0,M. Gortat makes 2-pt shot from 12 ft (assist by B. Beal),2,7-4,,
9:34.0,,,7-6,2,J. Holiday makes 2-pt shot from 9 ft
9:23.0,B. Beal misses 2-pt shot from 18 ft,,7-6,,
9:22.0,,,7-6,,Defensive rebound by A. Davis
9:09.0,,,7-6,,Turnover by A. Davis (lost ball)
8:44.0,B. Beal misses 3-pt shot from 23 ft,,7-6,,
8:43.0,,,7-6,,Defensive rebound by A. Davis
8:33.0,,,7-8,2,J. Holiday makes 2-pt shot from 1 ft
8:13.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,9-8,,
7:55.0,,,9-8,,Turnover by O. Asik (offensive goaltending)
7:45.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,11-8,,
7:37.0,,,11-8,,New Orleans full timeout
7:31.0,,,11-8,,A. Davis misses 2-pt shot from 20 ft
7:30.0,Defensive rebound by P. Pierce,,11-8,,
7:08.0,M. Gortat misses 2-pt shot from 15 ft,,11-8,,
7:07.0,,,11-8,,Defensive rebound by E. Gordon
6:49.0,,,11-8,,E. Gordon misses 3-pt shot from 26 ft
6:48.0,,,11-8,,Offensive rebound by Team
6:48.0,,,11-8,,D. Cunningham enters the game for L. Babbitt
6:48.0,,,11-8,,T. Evans enters the game for E. Gordon
6:32.0,,,11-10,2,D. Cunningham makes 2-pt shot from 2 ft (assist by J. Holiday)
6:12.0,M. Gortat misses 2-pt shot from 7 ft,,11-10,,
