time,Utah,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Hill (R. Hood gains possession),,,,Jump ball: R. Gobert vs. J. Hill (R. Hood gains possession)
11:41.0,D. Exum misses 2-pt shot from 6 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by T. Black
11:19.0,,,0-0,,W. Johnson misses 2-pt shot from 19 ft (block by G. Hayward)
11:18.0,Defensive rebound by D. Favors,,0-0,,
11:08.0,G. Hayward misses 3-pt shot from 24 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by T. Black
11:00.0,,,0-2,2,W. Ellington makes 2-pt shot from 3 ft
10:45.0,Turnover by D. Exum (bad pass; steal by T. Black),,0-2,,
10:40.0,,,0-4,2,J. Clarkson makes 2-pt shot from 1 ft (assist by T. Black)
10:23.0,R. Hood misses 3-pt shot from 25 ft,,0-4,,
10:22.0,,,0-4,,Defensive rebound by J. Clarkson
10:10.0,,,0-4,,J. Hill misses 2-pt shot from 17 ft
10:08.0,Defensive rebound by G. Hayward,,0-4,,
9:53.0,D. Favors misses 2-pt shot from 14 ft,,0-4,,
9:52.0,,,0-4,,Defensive rebound by T. Black
9:44.0,,,0-4,,J. Clarkson misses 2-pt shot from 18 ft (block by R. Gobert)
9:42.0,,,0-4,,Offensive rebound by J. Hill
9:35.0,,,0-4,,T. Black misses 2-pt shot from 3 ft (block by R. Gobert)
9:33.0,Defensive rebound by D. Favors,,0-4,,
9:17.0,G. Hayward makes 3-pt shot from 23 ft (assist by D. Exum),3,3-4,,
8:54.0,,,3-4,,Turnover by J. Hill (bad pass; steal by G. Hayward)
8:52.0,Shooting foul by J. Hill (drawn by R. Gobert),,3-4,,
8:52.0,R. Gobert misses free throw 1 of 2,,3-4,,
8:52.0,Offensive rebound by Team,,3-4,,
8:52.0,R. Gobert makes free throw 2 of 2,1,4-4,,
8:39.0,,,4-4,,W. Johnson misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by R. Gobert,,4-4,,
8:24.0,D. Exum misses 2-pt shot from 19 ft,,4-4,,
8:22.0,,,4-4,,Defensive rebound by J. Hill
8:16.0,Personal block foul by D. Exum (drawn by J. Clarkson),,4-4,,
8:02.0,,,4-4,,T. Black misses 2-pt shot from 6 ft
8:00.0,Defensive rebound by D. Favors,,4-4,,
7:54.0,R. Gobert makes 2-pt shot from 1 ft (assist by G. Hayward),2,6-4,,
7:31.0,,,6-6,2,J. Hill makes 2-pt shot from 7 ft
7:25.0,D. Favors misses 2-pt shot from 9 ft,,6-6,,
7:25.0,,,6-6,,Defensive rebound by J. Clarkson
7:16.0,,,6-6,,J. Hill misses 2-pt shot from 10 ft
7:13.0,,,6-6,,Offensive rebound by T. Black
7:13.0,,,6-8,2,T. Black makes 2-pt shot at rim
6:50.0,Shooting foul by T. Black (drawn by D. Favors),,6-8,,
6:50.0,D. Favors misses free throw 1 of 2,,6-8,,
6:50.0,Offensive rebound by Team,,6-8,,
6:50.0,D. Favors makes free throw 2 of 2,1,7-8,,
6:37.0,,,7-8,,W. Ellington misses 2-pt shot from 19 ft
6:35.0,,,7-8,,Offensive rebound by J. Hill
6:27.0,,,7-8,,Turnover by W. Ellington (bad pass; steal by D. Exum)
6:10.0,D. Favors makes 2-pt shot from 20 ft (assist by R. Hood),2,9-8,,
5:45.0,,,9-10,2,T. Black makes 2-pt shot from 2 ft (assist by J. Clarkson)
5:29.0,Turnover by R. Gobert (traveling),,9-10,,
5:29.0,,,9-10,,LA Lakers full timeout
5:29.0,,,9-10,,J. Lin enters the game for W. Ellington
5:19.0,,,9-10,,Turnover by Team (back court)
5:19.0,J. Ingles enters the game for R. Hood,,9-10,,
5:19.0,,,9-10,,C. Boozer enters the game for T. Black
