time,Memphis,pts.away,score,pts.home,Dallas
0:22.0,,,20-24,,Defensive rebound by D. Powell
0:21.0,,,20-24,,Turnover by D. Powell (lost ball)
0:06.0,Shooting foul by D. Powell (drawn by N. Calathes),,20-24,,
0:06.0,N. Calathes makes free throw 1 of 2,1,21-24,,
0:06.0,N. Calathes makes free throw 2 of 2,1,22-24,,
0:05.0,,,22-24,,Turnover by R. Rondo (bad pass; steal by N. Calathes)
0:04.0,N. Calathes makes 2-pt shot from 1 ft,2,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Leuer makes 3-pt shot from 23 ft (assist by N. Calathes),3,27-24,,
11:32.0,,,27-24,,Offensive foul by R. Rondo
11:32.0,,,27-24,,Turnover by R. Rondo (offensive foul)
11:10.0,Turnover by J. Leuer (bad pass),,27-24,,
10:52.0,,,27-24,,D. Nowitzki misses 2-pt shot from 15 ft
10:51.0,Defensive rebound by N. Calathes,,27-24,,
10:31.0,V. Carter misses 3-pt shot from 23 ft,,27-24,,
10:29.0,,,27-24,,Defensive rebound by R. Rondo
10:22.0,,,27-26,2,D. Nowitzki makes 2-pt shot at rim
10:08.0,K. Koufos misses 2-pt shot from 15 ft,,27-26,,
10:07.0,Offensive rebound by J. Leuer,,27-26,,
10:07.0,Shooting foul by R. Rondo (drawn by J. Leuer),,27-26,,
10:07.0,J. Leuer makes free throw 1 of 2,1,28-26,,
10:07.0,J. Adams enters the game for C. Lee,,28-26,,
10:07.0,J. Leuer misses free throw 2 of 2,,28-26,,
10:05.0,,,28-26,,Defensive rebound by C. Parsons
9:53.0,,,28-28,2,C. Parsons makes 2-pt shot at rim (assist by R. Rondo)
9:36.0,K. Koufos misses 2-pt shot from 8 ft,,28-28,,
9:33.0,,,28-28,,Defensive rebound by R. Rondo
9:24.0,,,28-28,,J. Barea misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by J. Adams,,28-28,,
9:21.0,Turnover by J. Adams (bad pass; steal by D. Powell),,28-28,,
9:14.0,Personal foul by N. Calathes (drawn by R. Rondo),,28-28,,
9:02.0,,,28-28,,Turnover by C. Parsons (bad pass; steal by V. Carter)
8:48.0,J. Leuer misses 2-pt shot from 18 ft,,28-28,,
8:46.0,Offensive rebound by K. Koufos,,28-28,,
8:41.0,V. Carter misses 3-pt shot from 26 ft,,28-28,,
8:39.0,,,28-28,,Defensive rebound by R. Rondo
8:22.0,,,28-30,2,D. Nowitzki makes 2-pt shot from 3 ft
8:08.0,N. Calathes makes 3-pt shot from 25 ft,3,31-30,,
7:49.0,,,31-32,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by R. Rondo)
7:30.0,N. Calathes makes 3-pt shot from 25 ft,3,34-32,,
7:29.0,,,34-32,,Dallas full timeout
7:29.0,,,34-32,,C. Villanueva enters the game for D. Nowitzki
7:29.0,,,34-32,,T. Chandler enters the game for R. Rondo
7:29.0,,,34-32,,D. Harris enters the game for D. Powell
7:17.0,,,34-32,,Shooting foul by J. Adams (drawn by T. Chandler)
7:17.0,,,34-33,1,T. Chandler makes free throw 1 of 2
7:17.0,,,34-34,1,T. Chandler makes free throw 2 of 2
7:06.0,Turnover by K. Koufos (offensive foul),,34-34,,
7:06.0,Offensive foul by K. Koufos,,34-34,,
6:53.0,,,34-34,,Offensive foul by T. Chandler
6:53.0,,,34-34,,Turnover by T. Chandler (offensive foul)
6:43.0,,,34-34,,Shooting block foul by D. Harris (drawn by K. Koufos)
6:43.0,K. Koufos makes free throw 1 of 2,1,35-34,,
6:43.0,,,35-34,,M. Ellis enters the game for D. Harris
6:43.0,,,35-34,,R. Jefferson enters the game for C. Parsons
6:43.0,K. Koufos makes free throw 2 of 2,1,36-34,,
6:36.0,,,36-34,,J. Barea misses 2-pt shot from 4 ft
6:33.0,Defensive rebound by J. Leuer,,36-34,,
6:28.0,J. Leuer misses 2-pt shot at rim (block by C. Villanueva),,36-34,,
6:27.0,,,36-34,,Defensive rebound by C. Villanueva
6:27.0,,,36-34,,Turnover by C. Villanueva (bad pass)
6:17.0,K. Koufos misses 2-pt shot from 6 ft,,36-34,,
6:14.0,,,36-34,,Defensive rebound by C. Villanueva
5:59.0,,,36-36,2,M. Ellis makes 2-pt shot from 22 ft
5:41.0,J. Adams makes 2-pt shot from 1 ft (assist by J. Leuer),2,38-36,,
