time,New York,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. A. Varejao (K. Love gains possession),,,,Jump ball: S. Dalembert vs. A. Varejao (K. Love gains possession)
11:47.0,,,0-2,2,K. Love makes 2-pt shot from 1 ft (assist by K. Irving)
11:31.0,C. Anthony makes 2-pt shot from 15 ft (assist by S. Larkin),2,2-2,,
11:20.0,,,2-2,,L. James misses 2-pt shot from 18 ft
11:19.0,,,2-2,,Offensive rebound by A. Varejao
11:16.0,,,2-2,,Turnover by D. Waiters (bad pass)
10:53.0,C. Anthony makes 2-pt shot from 17 ft (assist by S. Larkin),2,4-2,,
10:34.0,,,4-2,,K. Irving misses 2-pt shot from 18 ft
10:33.0,Defensive rebound by S. Dalembert,,4-2,,
10:21.0,C. Anthony misses 2-pt shot from 16 ft,,4-2,,
10:20.0,,,4-2,,Defensive rebound by K. Love
10:03.0,,,4-2,,Turnover by D. Waiters (bad pass; steal by S. Larkin)
9:58.0,C. Anthony makes 2-pt shot at rim,2,6-2,,
9:40.0,,,6-2,,K. Love misses 2-pt shot from 11 ft (block by Q. Acy)
9:36.0,Defensive rebound by Q. Acy,,6-2,,
9:17.0,Turnover by I. Shumpert (traveling),,6-2,,
8:57.0,,,6-5,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
8:41.0,S. Dalembert misses 2-pt shot from 12 ft,,6-5,,
8:40.0,,,6-5,,Defensive rebound by K. Love
8:31.0,,,6-8,3,D. Waiters makes 3-pt shot from 26 ft (assist by L. James)
8:05.0,Turnover by S. Larkin (bad pass; steal by A. Varejao),,6-8,,
8:00.0,,,6-10,2,K. Irving makes 2-pt shot at rim (assist by D. Waiters)
7:40.0,I. Shumpert makes 2-pt shot from 16 ft (assist by Q. Acy),2,8-10,,
7:31.0,Personal foul by Q. Acy (drawn by D. Waiters),,8-10,,
7:31.0,A. Stoudemire enters the game for S. Dalembert,,8-10,,
7:18.0,,,8-12,2,A. Varejao makes 2-pt shot from 8 ft (assist by K. Love)
6:51.0,I. Shumpert misses 3-pt shot from 31 ft,,8-12,,
6:50.0,,,8-12,,Defensive rebound by K. Love
6:40.0,,,8-12,,Turnover by L. James (bad pass; steal by S. Larkin)
6:35.0,S. Larkin misses 2-pt shot from 18 ft,,8-12,,
6:33.0,,,8-12,,Defensive rebound by K. Love
6:30.0,,,8-14,2,L. James makes 2-pt shot at rim (assist by K. Love)
6:30.0,,,8-14,,Shooting foul by C. Anthony (drawn by L. James)
6:30.0,New York full timeout,,8-14,,
6:30.0,,,8-14,,L. James misses free throw 1 of 1
6:29.0,Defensive rebound by Q. Acy,,8-14,,
6:05.0,Q. Acy misses 2-pt shot from 20 ft,,8-14,,
6:04.0,,,8-14,,Defensive rebound by L. James
5:47.0,,,8-14,,K. Love misses 2-pt shot from 6 ft
5:45.0,,,8-14,,Offensive rebound by A. Varejao
5:44.0,,,8-16,2,A. Varejao makes 2-pt shot at rim
5:31.0,C. Anthony misses 3-pt shot from 25 ft,,8-16,,
5:30.0,Offensive rebound by Q. Acy,,8-16,,
5:23.0,C. Anthony misses 2-pt shot from 16 ft,,8-16,,
5:22.0,,,8-16,,Defensive rebound by K. Love
5:15.0,,,8-16,,Turnover by L. James (lost ball; steal by S. Larkin)
5:09.0,S. Larkin makes 2-pt shot from 15 ft,2,10-16,,
4:45.0,,,10-16,,L. James misses 2-pt shot from 12 ft
4:44.0,Defensive rebound by I. Shumpert,,10-16,,
4:37.0,Q. Acy makes 2-pt shot at rim (assist by I. Shumpert),2,12-16,,
4:21.0,,,12-19,3,K. Love makes 3-pt shot from 23 ft (assist by K. Irving)
3:53.0,C. Anthony misses 2-pt shot from 13 ft,,12-19,,
3:52.0,,,12-19,,Defensive rebound by K. Love
3:45.0,,,12-21,2,D. Waiters makes 2-pt shot from 16 ft (assist by K. Love)
3:24.0,I. Shumpert misses 2-pt shot at rim,,12-21,,
3:20.0,Offensive rebound by S. Larkin,,12-21,,
3:10.0,A. Stoudemire misses 2-pt shot from 16 ft,,12-21,,
3:09.0,Offensive rebound by Q. Acy,,12-21,,
3:05.0,C. Anthony misses 3-pt shot from 26 ft,,12-21,,
3:04.0,,,12-21,,Defensive rebound by L. James
3:00.0,,,12-21,,Turnover by L. James (bad pass; steal by S. Larkin)
2:49.0,C. Anthony misses 2-pt shot from 15 ft,,12-21,,
2:48.0,,,12-21,,Defensive rebound by K. Love
2:43.0,Personal foul by I. Shumpert (drawn by L. James),,12-21,,
2:43.0,,,12-21,,Cleveland full timeout
2:43.0,,,12-21,,T. Thompson enters the game for A. Varejao
2:43.0,,,12-21,,M. Dellavedova enters the game for K. Irving
2:43.0,J. Smith enters the game for Q. Acy,,12-21,,
2:43.0,P. Prigioni enters the game for S. Larkin,,12-21,,
2:43.0,J. Smith enters the game for I. Shumpert,,12-21,,
2:31.0,,,12-21,,L. James misses 3-pt shot from 22 ft
2:30.0,Defensive rebound by A. Stoudemire,,12-21,,
2:14.0,J. Smith makes 2-pt shot from 18 ft (assist by J. Smith),2,14-21,,
1:57.0,,,14-21,,K. Love misses 3-pt shot from 25 ft
1:56.0,,,14-21,,Offensive rebound by T. Thompson
1:51.0,,,14-21,,L. James misses 3-pt shot from 26 ft
1:51.0,Defensive rebound by J. Smith,,14-21,,
