time,Oklahoma City,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Thompson (D. Collison gains possession),,,,Jump ball: S. Adams vs. J. Thompson (D. Collison gains possession)
11:43.0,,,0-0,,Turnover by R. Evans (lost ball; steal by R. Westbrook)
11:40.0,R. Westbrook makes 2-pt shot at rim,2,2-0,,
11:34.0,,,2-0,,Turnover by D. Collison (bad pass; steal by A. Roberson)
11:30.0,Offensive foul by A. Roberson,,2-0,,
11:30.0,Turnover by R. Westbrook (offensive foul),,2-0,,
11:09.0,,,2-0,,B. McLemore misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by S. Ibaka,,2-0,,
10:49.0,S. Ibaka misses 2-pt shot from 16 ft,,2-0,,
10:48.0,,,2-0,,Defensive rebound by B. McLemore
10:43.0,,,2-0,,D. Collison misses 2-pt shot from 1 ft (block by S. Ibaka)
10:40.0,Defensive rebound by A. Roberson,,2-0,,
10:23.0,K. Durant makes 2-pt shot from 16 ft,2,4-0,,
10:09.0,,,4-0,,B. McLemore misses 2-pt shot from 6 ft
10:08.0,Defensive rebound by S. Adams,,4-0,,
9:57.0,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Westbrook),3,7-0,,
9:43.0,,,7-0,,Turnover by R. Gay (lost ball)
9:32.0,K. Durant makes 2-pt shot from 11 ft (assist by R. Westbrook),2,9-0,,
9:25.0,,,9-0,,Sacramento full timeout
9:11.0,,,9-0,,R. Gay misses 2-pt shot from 17 ft
9:09.0,,,9-0,,Offensive rebound by R. Evans
9:03.0,,,9-3,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. Evans)
8:47.0,R. Westbrook misses 2-pt shot from 13 ft,,9-3,,
8:46.0,,,9-3,,Defensive rebound by J. Thompson
8:38.0,,,9-3,,B. McLemore misses 2-pt shot from 2 ft
8:38.0,Defensive rebound by S. Adams,,9-3,,
8:30.0,S. Ibaka makes 2-pt shot from 8 ft,2,11-3,,
8:13.0,,,11-3,,J. Thompson misses 2-pt shot from 15 ft
8:12.0,Defensive rebound by R. Westbrook,,11-3,,
7:58.0,R. Westbrook makes 2-pt shot from 16 ft,2,13-3,,
7:37.0,,,13-3,,R. Gay misses 3-pt shot from 23 ft
7:36.0,Defensive rebound by R. Westbrook,,13-3,,
7:27.0,S. Ibaka misses 3-pt shot from 25 ft,,13-3,,
7:26.0,,,13-3,,Defensive rebound by B. McLemore
7:16.0,,,13-5,2,R. Evans makes 2-pt shot at rim (assist by B. McLemore)
6:58.0,,,13-5,,Personal foul by R. Gay (drawn by K. Durant)
6:58.0,J. Lamb enters the game for K. Durant,,13-5,,
6:50.0,Shooting foul by D. Collison (drawn by R. Westbrook),,13-5,,
6:50.0,R. Westbrook makes free throw 1 of 2,1,14-5,,
6:50.0,R. Westbrook misses free throw 2 of 2,,14-5,,
6:49.0,,,14-5,,Defensive rebound by R. Gay
6:33.0,,,14-7,2,D. Collison makes 2-pt shot from 18 ft (assist by B. McLemore)
6:15.0,R. Westbrook makes 2-pt shot from 8 ft,2,16-7,,
6:01.0,,,16-7,,Turnover by B. McLemore (step out of bounds)
6:01.0,K. Perkins enters the game for S. Adams,,16-7,,
5:51.0,R. Westbrook misses 2-pt shot from 4 ft,,16-7,,
5:50.0,,,16-7,,Defensive rebound by D. Collison
5:50.0,Personal foul by R. Westbrook (drawn by J. Thompson),,16-7,,
5:35.0,,,16-7,,B. McLemore misses 2-pt shot from 3 ft (block by S. Ibaka)
5:32.0,,,16-7,,Offensive rebound by D. Collison
5:24.0,,,16-10,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Collison)
5:08.0,J. Lamb misses 3-pt shot from 24 ft,,16-10,,
5:06.0,,,16-10,,Defensive rebound by R. Evans
4:55.0,,,16-10,,Turnover by R. Gay (lost ball; steal by R. Westbrook)
4:52.0,,,16-10,,Shooting block foul by D. Collison (drawn by R. Westbrook)
4:52.0,R. Westbrook makes free throw 1 of 2,1,17-10,,
4:52.0,,,17-10,,R. Sessions enters the game for D. Collison
4:52.0,R. Westbrook makes free throw 2 of 2,1,18-10,,
4:34.0,,,18-12,2,R. Gay makes 2-pt shot from 16 ft (assist by R. Sessions)
4:16.0,R. Westbrook makes 3-pt shot from 25 ft (assist by K. Perkins),3,21-12,,
3:54.0,,,21-12,,R. Evans misses 2-pt shot from 2 ft (block by S. Ibaka)
3:52.0,Defensive rebound by S. Ibaka,,21-12,,
3:45.0,J. Lamb makes 2-pt shot from 7 ft,2,23-12,,
3:27.0,,,23-12,,Shooting foul by A. Roberson (drawn by R. Sessions)
3:27.0,,,23-13,1,R. Gay makes free throw 1 of 2
3:27.0,,,23-13,,R. Hollins enters the game for R. Evans
3:27.0,,,23-13,,N. Stauskas enters the game for B. McLemore
3:27.0,A. Morrow enters the game for A. Roberson,,23-13,,
3:27.0,,,23-14,1,R. Gay makes free throw 2 of 2
3:13.0,A. Morrow makes 3-pt shot from 24 ft (assist by S. Ibaka),3,26-14,,
3:13.0,Violation by Team (delay of game),,26-14,,
2:59.0,Oklahoma City full timeout,,26-14,,
2:59.0,N. Collison enters the game for S. Ibaka,,26-14,,
2:57.0,,,26-14,,Shooting foul by A. Morrow (drawn by R. Gay)
2:57.0,,,26-15,1,R. Gay makes free throw 1 of 2
2:57.0,,,26-16,1,R. Gay makes free throw 2 of 2
2:46.0,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook),3,29-16,,
2:33.0,Def 3 sec tech foul by K. Perkins,,29-16,,
2:33.0,,,29-16,,R. Gay misses technical free throw
2:33.0,,,29-16,,Offensive rebound by Team
2:33.0,R. Jackson enters the game for R. Westbrook,,29-16,,
2:28.0,,,29-16,,R. Sessions misses 2-pt shot from 9 ft
2:27.0,Defensive rebound by J. Lamb,,29-16,,
2:16.0,R. Jackson misses 3-pt shot from 27 ft,,29-16,,
2:14.0,,,29-16,,Defensive rebound by J. Thompson
2:10.0,Personal foul by K. Perkins (drawn by R. Hollins),,29-16,,
2:10.0,,,29-16,,C. Landry enters the game for J. Thompson
2:00.0,,,29-16,,N. Stauskas misses 3-pt shot from 25 ft
1:59.0,Defensive rebound by N. Collison,,29-16,,
1:46.0,N. Collison makes 2-pt shot from 20 ft (assist by R. Jackson),2,31-16,,
1:33.0,,,31-16,,R. Sessions misses 2-pt shot from 1 ft
1:32.0,,,31-16,,Offensive rebound by R. Hollins
1:32.0,,,31-18,2,R. Hollins makes 2-pt shot at rim
1:22.0,R. Jackson misses 2-pt shot from 10 ft,,31-18,,
1:21.0,,,31-18,,Defensive rebound by R. Gay
1:18.0,,,31-18,,Offensive foul by R. Hollins
1:18.0,,,31-18,,Turnover by R. Hollins (offensive foul)
1:02.0,N. Collison misses 3-pt shot from 23 ft,,31-18,,
1:01.0,,,31-18,,Defensive rebound by N. Stauskas
0:44.0,,,31-18,,R. Gay misses 2-pt shot from 12 ft
0:43.0,Defensive rebound by J. Lamb,,31-18,,
0:37.0,J. Lamb misses 2-pt shot from 17 ft,,31-18,,
0:36.0,,,31-18,,Defensive rebound by R. Sessions
0:31.0,,,31-18,,Offensive foul by C. Landry
0:31.0,,,31-18,,Turnover by C. Landry (offensive foul)
0:11.0,R. Jackson makes 2-pt shot from 2 ft,2,33-18,,
0:11.0,Shooting foul by R. Hollins (drawn by R. Jackson),,33-18,,
0:11.0,R. Jackson makes free throw 1 of 1,1,34-18,,
0:02.0,,,34-20,2,C. Landry makes 2-pt shot from 2 ft (assist by R. Sessions)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by K. Perkins (traveling),,34-20,,
11:25.0,,,34-22,2,N. Stauskas makes 2-pt shot from 13 ft
11:12.0,K. Perkins misses 2-pt shot from 8 ft,,34-22,,
11:11.0,Offensive rebound by K. Perkins,,34-22,,
11:06.0,R. Jackson makes 2-pt shot from 8 ft,2,36-22,,
10:48.0,,,36-24,2,D. Williams makes 2-pt shot from 16 ft
10:46.0,,,36-24,,Violation by Team (delay of game)
10:40.0,Turnover by R. Jackson (lost ball; steal by D. Williams),,36-24,,
10:39.0,Personal foul by N. Collison (drawn by D. Williams),,36-24,,
10:25.0,,,36-24,,R. Sessions misses 2-pt shot from 17 ft
10:24.0,Defensive rebound by R. Jackson,,36-24,,
10:18.0,K. Durant misses 3-pt shot from 25 ft,,36-24,,
10:17.0,,,36-24,,Defensive rebound by R. Hollins
10:11.0,,,36-26,2,R. Sessions makes 2-pt shot at rim (assist by R. Hollins)
9:58.0,K. Durant misses 2-pt shot from 8 ft,,36-26,,
9:57.0,,,36-26,,Defensive rebound by R. Hollins
9:51.0,,,36-28,2,R. Sessions makes 2-pt shot from 4 ft
