time,New York,pts.away,score,pts.home,Washington
0:01.0,,,10-30,,J. Wall misses 2-pt shot from 12 ft
0:00.0,,,10-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Turnover by S. Larkin (bad pass; steal by B. Beal),,10-30,,
11:45.0,,,10-32,2,R. Sessions makes 2-pt shot at rim (assist by B. Beal)
11:35.0,Shooting foul by K. Humphries (drawn by T. Hardaway),,10-32,,
11:35.0,T. Hardaway makes free throw 1 of 2,1,11-32,,
11:35.0,T. Hardaway makes free throw 2 of 2,1,12-32,,
11:15.0,,,12-32,,B. Beal misses 2-pt shot from 2 ft (block by J. Smith)
11:13.0,Defensive rebound by R. Ledo,,12-32,,
10:59.0,Q. Acy misses 2-pt shot from 22 ft,,12-32,,
10:58.0,,,12-32,,Defensive rebound by Team
10:37.0,,,12-32,,Turnover by B. Beal (lost ball; steal by J. Smith)
10:33.0,Turnover by J. Smith (bad pass; steal by R. Sessions),,12-32,,
10:27.0,,,12-32,,K. Humphries misses 2-pt shot from 3 ft
10:26.0,,,12-32,,Offensive rebound by K. Seraphin
10:23.0,,,12-32,,Turnover by K. Seraphin (lost ball; steal by S. Larkin)
10:16.0,Q. Acy makes 2-pt shot at rim (assist by T. Hardaway),2,14-32,,
9:58.0,Personal foul by R. Ledo (drawn by K. Humphries),,14-32,,
9:51.0,,,14-32,,B. Beal misses 2-pt shot from 16 ft
9:50.0,Defensive rebound by Q. Acy,,14-32,,
9:42.0,Q. Acy makes 3-pt shot from 24 ft (assist by S. Larkin),3,17-32,,
9:29.0,,,17-34,2,R. Sessions makes 2-pt shot from 1 ft
9:29.0,,,17-34,,Shooting foul by J. Smith (drawn by R. Sessions)
9:29.0,L. Galloway enters the game for S. Larkin,,17-34,,
9:29.0,,,17-35,1,R. Sessions makes free throw 1 of 1
9:15.0,Q. Acy makes 2-pt shot from 17 ft (assist by L. Galloway),2,19-35,,
8:53.0,,,19-37,2,K. Seraphin makes 2-pt shot from 6 ft (assist by R. Sessions)
8:41.0,Shooting foul by R. Butler (drawn by R. Ledo),,19-37,,
8:41.0,Official timeout,,19-37,,
8:41.0,R. Ledo makes free throw 1 of 2,1,20-37,,
8:41.0,R. Ledo makes free throw 2 of 2,1,21-37,,
8:21.0,,,21-37,,R. Sessions misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by R. Ledo,,21-37,,
8:12.0,Shooting foul by K. Seraphin (drawn by R. Ledo),,21-37,,
8:12.0,R. Ledo makes free throw 1 of 2,1,22-37,,
8:12.0,R. Ledo makes free throw 2 of 2,1,23-37,,
7:49.0,,,23-39,2,B. Beal makes 2-pt shot from 1 ft
7:30.0,J. Smith makes 2-pt shot from 19 ft (assist by R. Ledo),2,25-39,,
7:12.0,,,25-42,3,R. Butler makes 3-pt shot from 24 ft (assist by K. Humphries)
6:59.0,T. Hardaway misses 3-pt shot from 23 ft,,25-42,,
6:58.0,,,25-42,,Defensive rebound by Team
6:47.0,,,25-42,,R. Butler misses 2-pt shot from 19 ft
6:46.0,Defensive rebound by L. Galloway,,25-42,,
6:31.0,R. Ledo makes 3-pt shot from 25 ft (assist by Q. Acy),3,28-42,,
6:16.0,,,28-42,,K. Seraphin misses 2-pt shot from 8 ft
6:15.0,Defensive rebound by Q. Acy,,28-42,,
6:02.0,Q. Acy misses 2-pt shot from 3 ft (block by K. Seraphin),,28-42,,
6:01.0,,,28-42,,Defensive rebound by K. Humphries
5:56.0,,,28-42,,Offensive foul by R. Sessions
5:56.0,,,28-42,,Turnover by R. Sessions (offensive foul)
5:56.0,,,28-42,,Washington full timeout
5:56.0,,,28-42,,D. Gooden enters the game for K. Humphries
5:56.0,,,28-42,,M. Gortat enters the game for K. Seraphin
5:56.0,,,28-42,,J. Wall enters the game for R. Sessions
5:45.0,J. Smith makes 2-pt shot from 17 ft (assist by L. Galloway),2,30-42,,
5:30.0,,,30-44,2,R. Butler makes 2-pt shot at rim (assist by J. Wall)
5:13.0,Q. Acy makes 3-pt shot from 25 ft (assist by T. Hardaway),3,33-44,,
4:51.0,,,33-44,,M. Gortat misses 2-pt shot from 5 ft
4:50.0,,,33-44,,Offensive rebound by D. Gooden
4:50.0,,,33-44,,Shooting foul by T. Hardaway (drawn by D. Gooden)
4:50.0,,,33-44,,D. Gooden misses free throw 1 of 2
