time,New York,pts.away,score,pts.home,Washington
2:19.0,Defensive rebound by R. Ledo,,83-95,,
2:08.0,Turnover by S. Larkin (step out of bounds),,83-95,,
1:52.0,,,83-95,,K. Seraphin misses 2-pt shot from 7 ft
1:52.0,Defensive rebound by S. Larkin,,83-95,,
1:33.0,L. Amundson makes 2-pt shot from 11 ft (assist by C. Aldrich),2,85-95,,
1:20.0,,,85-97,2,K. Seraphin makes 2-pt shot at rim (assist by R. Sessions)
1:05.0,Turnover by C. Aldrich (lost ball; steal by R. Sessions),,85-97,,
0:48.0,,,85-99,2,R. Sessions makes 2-pt shot from 16 ft
0:33.0,C. Aldrich makes 2-pt shot from 1 ft,2,87-99,,
0:09.0,,,87-99,,W. Bynum misses 3-pt shot from 25 ft
0:08.0,,,87-99,,Offensive rebound by K. Seraphin
0:06.0,,,87-99,,K. Seraphin misses 2-pt shot from 1 ft (block by C. Aldrich)
0:04.0,,,87-99,,Offensive rebound by K. Humphries
0:01.0,,,87-101,2,R. Butler makes 2-pt shot at rim (assist by K. Humphries)
0:01.0,New York full timeout,,87-101,,
0:01.0,S. Larkin misses 2-pt shot from 15 ft,,87-101,,
0:00.0,Offensive rebound by Team,,87-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
