time,Brooklyn,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. N. Noel (H. Sims gains possession),,,,Jump ball: B. Lopez vs. N. Noel (H. Sims gains possession)
11:43.0,,,0-0,,Turnover by L. Mbah a Moute (step out of bounds)
11:25.0,B. Lopez makes 2-pt shot from 17 ft (assist by J. Johnson),2,2-0,,
10:58.0,,,2-0,,Turnover by N. Noel (bad pass; steal by K. Garnett)
10:49.0,Offensive foul by K. Garnett,,2-0,,
10:49.0,Turnover by K. Garnett (offensive foul),,2-0,,
10:33.0,,,2-0,,Turnover by T. Wroten (bad pass)
10:16.0,J. Johnson makes 2-pt shot from 4 ft,2,4-0,,
9:58.0,,,4-3,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by T. Wroten)
9:42.0,D. Williams makes 2-pt shot at rim (assist by K. Garnett),2,6-3,,
9:31.0,,,6-3,,M. Carter-Williams misses 2-pt shot from 6 ft
9:29.0,Defensive rebound by K. Garnett,,6-3,,
9:23.0,J. Johnson makes 2-pt shot from 2 ft,2,8-3,,
9:16.0,,,8-3,,M. Carter-Williams misses 2-pt shot from 1 ft
9:14.0,Defensive rebound by B. Lopez,,8-3,,
9:04.0,B. Lopez makes 2-pt shot from 21 ft (assist by D. Williams),2,10-3,,
8:45.0,,,10-5,2,L. Mbah a Moute makes 2-pt shot at rim
8:27.0,Turnover by B. Lopez (bad pass; steal by T. Wroten),,10-5,,
8:22.0,,,10-7,2,T. Wroten makes 2-pt shot from 1 ft
8:08.0,B. Lopez misses 2-pt shot from 5 ft,,10-7,,
8:07.0,,,10-7,,Defensive rebound by M. Carter-Williams
7:58.0,,,10-7,,Turnover by M. Carter-Williams (bad pass; steal by K. Garnett)
7:50.0,B. Bogdanovic misses 3-pt shot from 23 ft,,10-7,,
7:49.0,Offensive rebound by B. Lopez,,10-7,,
7:48.0,Shooting foul by H. Sims (drawn by B. Lopez),,10-7,,
7:48.0,B. Lopez misses free throw 1 of 2,,10-7,,
7:48.0,Offensive rebound by Team,,10-7,,
7:48.0,B. Lopez makes free throw 2 of 2,1,11-7,,
7:39.0,,,11-7,,H. Sims misses 2-pt shot from 19 ft
7:37.0,Defensive rebound by D. Williams,,11-7,,
7:27.0,J. Johnson makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,14-7,,
7:14.0,,,14-7,,Turnover by H. Sims (traveling)
7:00.0,B. Lopez makes 2-pt shot from 1 ft (assist by K. Garnett),2,16-7,,
6:43.0,,,16-10,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by T. Wroten)
6:23.0,Turnover by D. Williams (bad pass),,16-10,,
6:23.0,,,16-10,,Philadelphia full timeout
6:23.0,,,16-10,,B. Davies enters the game for H. Sims
6:23.0,,,16-10,,K. McDaniels enters the game for L. Mbah a Moute
6:23.0,,,16-10,,H. Thompson enters the game for M. Carter-Williams
6:04.0,,,16-10,,T. Wroten misses 3-pt shot from 27 ft
6:01.0,,,16-10,,Offensive rebound by N. Noel
5:52.0,,,16-10,,H. Thompson misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by B. Lopez,,16-10,,
5:39.0,Turnover by D. Williams (lost ball),,16-10,,
5:28.0,Personal foul by J. Johnson (drawn by N. Noel),,16-10,,
5:28.0,M. Teletovic enters the game for K. Garnett,,16-10,,
5:18.0,,,16-10,,Turnover by T. Wroten (lost ball; steal by D. Williams)
5:12.0,Turnover by M. Teletovic (lost ball; steal by B. Davies),,16-10,,
5:08.0,,,16-10,,T. Wroten misses 2-pt shot at rim (block by B. Lopez)
5:06.0,Defensive rebound by D. Williams,,16-10,,
5:00.0,J. Johnson makes 2-pt shot from 1 ft (assist by D. Williams),2,18-10,,
4:47.0,,,18-10,,K. McDaniels misses 2-pt shot from 3 ft
4:45.0,,,18-10,,Offensive rebound by B. Davies
4:45.0,,,18-10,,B. Davies misses 2-pt shot from 2 ft
4:44.0,Defensive rebound by B. Lopez,,18-10,,
4:34.0,D. Williams makes 3-pt shot from 25 ft (assist by J. Johnson),3,21-10,,
4:15.0,,,21-10,,Turnover by K. McDaniels (lost ball; steal by D. Williams)
4:11.0,Shooting foul by K. McDaniels (drawn by B. Bogdanovic),,21-10,,
4:11.0,B. Bogdanovic misses free throw 1 of 2,,21-10,,
4:11.0,Offensive rebound by Team,,21-10,,
4:11.0,,,21-10,,M. Carter-Williams enters the game for T. Wroten
4:11.0,,,21-10,,D. Gordon enters the game for N. Noel
4:11.0,B. Bogdanovic makes free throw 2 of 2,1,22-10,,
4:00.0,,,22-10,,M. Carter-Williams misses 2-pt shot from 21 ft
3:59.0,Defensive rebound by Team,,22-10,,
3:59.0,A. Anderson enters the game for B. Bogdanovic,,22-10,,
3:37.0,Shooting foul by K. McDaniels (drawn by D. Williams),,22-10,,
3:37.0,D. Williams makes free throw 1 of 3,1,23-10,,
3:37.0,D. Williams makes free throw 2 of 3,1,24-10,,
3:37.0,,,24-10,,L. Mbah a Moute enters the game for K. McDaniels
3:37.0,D. Williams makes free throw 3 of 3,1,25-10,,
3:25.0,,,25-10,,M. Carter-Williams misses 2-pt shot from 4 ft
3:23.0,Defensive rebound by B. Lopez,,25-10,,
3:10.0,D. Williams misses 3-pt shot from 25 ft,,25-10,,
3:08.0,,,25-10,,Defensive rebound by D. Gordon
2:54.0,,,25-13,3,H. Thompson makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
2:39.0,M. Teletovic misses 3-pt shot from 25 ft,,25-13,,
2:37.0,,,25-13,,Defensive rebound by D. Gordon
2:28.0,,,25-13,,D. Gordon misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by Team,,25-13,,
2:27.0,Brooklyn full timeout,,25-13,,
2:27.0,,,25-13,,R. Covington enters the game for D. Gordon
2:09.0,D. Williams makes 3-pt shot from 25 ft (assist by M. Teletovic),3,28-13,,
1:53.0,,,28-15,2,B. Davies makes 2-pt shot from 16 ft
1:38.0,B. Lopez makes 2-pt shot from 9 ft (assist by J. Johnson),2,30-15,,
1:25.0,,,30-15,,Shooting foul by D. Williams (drawn by M. Carter-Williams)
1:25.0,J. Jack enters the game for D. Williams,,30-15,,
1:25.0,,,30-16,1,M. Carter-Williams makes free throw 1 of 2
1:25.0,,,30-16,,M. Carter-Williams misses free throw 2 of 2
1:24.0,Defensive rebound by A. Anderson,,30-16,,
1:03.0,J. Jack makes 2-pt shot from 14 ft,2,32-16,,
0:41.0,,,32-16,,R. Covington misses 2-pt shot from 3 ft
0:39.0,Defensive rebound by M. Teletovic,,32-16,,
0:32.0,Turnover by M. Teletovic (traveling),,32-16,,
0:22.0,,,32-18,2,B. Davies makes 2-pt shot from 13 ft (assist by M. Carter-Williams)
0:22.0,,,32-18,,Shooting foul by B. Lopez (drawn by B. Davies)
0:22.0,B. Bogdanovic enters the game for B. Lopez,,32-18,,
0:22.0,,,32-19,1,B. Davies makes free throw 1 of 1
0:02.0,J. Jack misses 3-pt shot from 26 ft,,32-19,,
0:00.0,Offensive rebound by Team,,32-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,J. Jack misses 2-pt shot from 16 ft,,32-19,,
11:33.0,,,32-19,,Defensive rebound by R. Covington
11:25.0,,,32-19,,B. Davies misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by K. Garnett,,32-19,,
11:06.0,K. Garnett misses 2-pt shot from 3 ft,,32-19,,
11:04.0,,,32-19,,Defensive rebound by H. Thompson
10:58.0,,,32-19,,M. Carter-Williams misses 2-pt shot from 17 ft
10:56.0,Defensive rebound by B. Bogdanovic,,32-19,,
10:48.0,,,32-19,,Personal foul by M. Carter-Williams (drawn by J. Jack)
10:48.0,,,32-19,,N. Noel enters the game for B. Davies
10:48.0,,,32-19,,K. McDaniels enters the game for L. Mbah a Moute
10:47.0,Turnover by A. Anderson (bad pass; steal by N. Noel),,32-19,,
10:42.0,,,32-19,,Turnover by N. Noel (bad pass; steal by M. Teletovic)
10:37.0,J. Jack makes 2-pt shot from 19 ft (assist by M. Teletovic),2,34-19,,
10:23.0,,,34-19,,R. Covington misses 3-pt shot from 26 ft
10:19.0,,,34-19,,Offensive rebound by M. Carter-Williams
10:16.0,,,34-19,,Philadelphia full timeout
10:07.0,,,34-19,,K. McDaniels misses 2-pt shot from 10 ft
10:06.0,Defensive rebound by K. Garnett,,34-19,,
9:43.0,J. Jack misses 3-pt shot from 26 ft (block by H. Thompson),,34-19,,
9:40.0,,,34-19,,Defensive rebound by N. Noel
9:33.0,Personal foul by J. Jack (drawn by N. Noel),,34-19,,
9:33.0,,,34-19,,H. Sims enters the game for H. Thompson
9:25.0,,,34-19,,N. Noel misses 2-pt shot from 5 ft
9:23.0,Defensive rebound by K. Garnett,,34-19,,
9:16.0,K. Garnett makes 2-pt shot at rim (assist by J. Jack),2,36-19,,
8:57.0,,,36-19,,R. Covington misses 2-pt shot from 10 ft
8:55.0,Defensive rebound by K. Garnett,,36-19,,
8:50.0,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Jack),3,39-19,,
8:21.0,,,39-19,,Turnover by K. McDaniels (offensive goaltending)
8:21.0,,,39-19,,T. Wroten enters the game for R. Covington
8:04.0,K. Garnett misses 2-pt shot from 11 ft,,39-19,,
8:01.0,,,39-19,,Defensive rebound by H. Sims
