time,Houston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (J. Smith gains possession),,,,Jump ball: D. Howard vs. D. Jordan (J. Smith gains possession)
11:45.0,D. Howard misses 2-pt shot from 2 ft (block by D. Jordan),,0-0,,
11:43.0,,,0-0,,Defensive rebound by C. Paul
11:34.0,,,0-0,,M. Barnes misses 3-pt shot from 26 ft
11:33.0,Defensive rebound by J. Smith,,0-0,,
11:26.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,2-0,,
10:59.0,,,2-0,,B. Griffin misses 2-pt shot from 18 ft
10:58.0,Defensive rebound by T. Ariza,,2-0,,
10:35.0,J. Harden misses 3-pt shot from 27 ft,,2-0,,
10:33.0,Offensive rebound by D. Howard,,2-0,,
10:33.0,D. Howard misses 2-pt shot from 1 ft,,2-0,,
10:31.0,,,2-0,,Defensive rebound by M. Barnes
10:28.0,Personal foul by J. Harden (drawn by D. Jordan),,2-0,,
10:21.0,,,2-0,,J. Redick misses 2-pt shot from 3 ft
10:20.0,Defensive rebound by D. Howard,,2-0,,
10:16.0,J. Smith misses 2-pt shot from 13 ft,,2-0,,
10:12.0,,,2-0,,Defensive rebound by M. Barnes
10:03.0,,,2-2,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:36.0,J. Terry misses 2-pt shot from 17 ft,,2-2,,
9:35.0,,,2-2,,Defensive rebound by C. Paul
9:30.0,Personal foul by J. Smith (drawn by B. Griffin),,2-2,,
9:20.0,,,2-4,2,C. Paul makes 2-pt shot from 15 ft
9:13.0,Turnover by Team (back court),,2-4,,
9:13.0,Violation by Team (delay of game),,2-4,,
9:01.0,,,2-6,2,B. Griffin makes 2-pt shot from 5 ft
8:51.0,Turnover by J. Harden (lost ball; steal by B. Griffin),,2-6,,
8:47.0,,,2-8,2,M. Barnes makes 2-pt shot from 2 ft (assist by B. Griffin)
8:38.0,Houston full timeout,,2-8,,
8:28.0,J. Harden misses 2-pt shot from 1 ft,,2-8,,
8:27.0,Offensive rebound by D. Howard,,2-8,,
8:26.0,D. Howard makes 2-pt shot at rim,2,4-8,,
7:59.0,,,4-8,,M. Barnes misses 3-pt shot from 27 ft
7:58.0,Defensive rebound by D. Howard,,4-8,,
7:49.0,T. Ariza misses 3-pt shot from 26 ft,,4-8,,
7:49.0,,,4-8,,Defensive rebound by D. Jordan
7:37.0,,,4-10,2,B. Griffin makes 2-pt shot from 3 ft
7:20.0,Turnover by D. Howard (lost ball; steal by D. Jordan),,4-10,,
7:05.0,,,4-12,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
6:53.0,,,4-12,,Personal foul by D. Jordan (drawn by D. Howard)
6:37.0,J. Harden misses 3-pt shot from 25 ft,,4-12,,
6:36.0,Offensive rebound by D. Howard,,4-12,,
6:35.0,D. Howard makes 2-pt shot from 2 ft,2,6-12,,
6:29.0,,,6-14,2,M. Barnes makes 2-pt shot from 2 ft (assist by C. Paul)
6:00.0,J. Terry misses 3-pt shot from 24 ft,,6-14,,
5:59.0,,,6-14,,Defensive rebound by J. Redick
5:53.0,,,6-14,,J. Redick misses 3-pt shot from 26 ft
5:51.0,,,6-14,,Offensive rebound by Team
5:51.0,Loose ball foul by D. Howard (drawn by D. Jordan),,6-14,,
5:51.0,T. Jones enters the game for J. Smith,,6-14,,
5:46.0,,,6-14,,Shooting foul by D. Howard (drawn by B. Griffin)
5:46.0,,,6-14,,B. Griffin misses free throw 1 of 2
5:46.0,,,6-14,,Offensive rebound by Team
5:46.0,,,6-15,1,B. Griffin makes free throw 2 of 2
5:31.0,T. Ariza makes 2-pt shot at rim (assist by J. Terry),2,8-15,,
5:21.0,,,8-15,,C. Paul misses 2-pt shot from 19 ft
