time,LA Lakers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Sacre (C. Boozer gains possession),,,,Jump ball: M. Gasol vs. R. Sacre (C. Boozer gains possession)
11:43.0,C. Boozer misses 2-pt shot from 14 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Green
11:21.0,,,0-2,2,Z. Randolph makes 2-pt shot from 16 ft
11:02.0,R. Sacre misses 2-pt shot from 6 ft,,0-2,,
11:00.0,,,0-2,,Defensive rebound by Z. Randolph
10:43.0,,,0-2,,Turnover by Z. Randolph (lost ball; steal by C. Boozer)
10:36.0,W. Ellington misses 2-pt shot from 20 ft,,0-2,,
10:32.0,,,0-2,,Defensive rebound by M. Gasol
10:30.0,,,0-2,,J. Green misses 2-pt shot from 1 ft (block by R. Sacre)
10:30.0,,,0-2,,Offensive rebound by Team
10:21.0,,,0-4,2,M. Gasol makes 2-pt shot from 7 ft
10:00.0,R. Kelly misses 2-pt shot from 16 ft,,0-4,,
9:59.0,,,0-4,,Defensive rebound by M. Gasol
9:51.0,,,0-4,,M. Gasol misses 2-pt shot from 15 ft
9:50.0,Defensive rebound by C. Boozer,,0-4,,
9:44.0,J. Clarkson makes 2-pt shot from 17 ft,2,2-4,,
9:19.0,,,2-4,,J. Green misses 2-pt shot from 19 ft (block by R. Kelly)
9:15.0,,,2-4,,Offensive rebound by J. Green
9:15.0,,,2-6,2,J. Green makes 2-pt shot from 18 ft
9:04.0,J. Clarkson makes 2-pt shot at rim (assist by R. Sacre),2,4-6,,
8:36.0,,,4-6,,J. Green misses 2-pt shot from 2 ft
8:34.0,Defensive rebound by C. Boozer,,4-6,,
8:21.0,W. Ellington misses 2-pt shot from 13 ft,,4-6,,
8:19.0,,,4-6,,Defensive rebound by C. Lee
8:03.0,,,4-8,2,M. Conley makes 2-pt shot at rim
7:50.0,J. Clarkson makes 2-pt shot from 2 ft,2,6-8,,
7:40.0,Personal foul by R. Sacre (drawn by M. Conley),,6-8,,
7:26.0,,,6-10,2,Z. Randolph makes 2-pt shot from 7 ft
7:03.0,C. Boozer misses 2-pt shot at rim,,6-10,,
7:02.0,,,6-10,,Defensive rebound by Z. Randolph
6:58.0,Personal foul by R. Kelly (drawn by Z. Randolph),,6-10,,
6:42.0,,,6-10,,M. Gasol misses 2-pt shot from 19 ft
6:41.0,Defensive rebound by J. Clarkson,,6-10,,
6:34.0,Turnover by J. Clarkson (bad pass; steal by M. Gasol),,6-10,,
6:30.0,,,6-10,,Turnover by J. Green (traveling)
6:13.0,J. Clarkson makes 2-pt shot from 22 ft,2,8-10,,
5:54.0,,,8-10,,J. Green misses 2-pt shot from 18 ft
5:53.0,Defensive rebound by W. Ellington,,8-10,,
5:45.0,R. Kelly misses 2-pt shot from 18 ft,,8-10,,
5:44.0,,,8-10,,Defensive rebound by J. Green
5:40.0,,,8-12,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
5:40.0,,,8-12,,Shooting foul by R. Sacre (drawn by M. Gasol)
5:40.0,,,8-12,,Memphis full timeout
5:40.0,,,8-12,,T. Allen enters the game for J. Green
5:40.0,J. Lin enters the game for W. Ellington,,8-12,,
5:40.0,E. Davis enters the game for R. Sacre,,8-12,,
5:40.0,,,8-13,1,M. Gasol makes free throw 1 of 1
5:22.0,C. Boozer misses 2-pt shot from 13 ft,,8-13,,
5:21.0,,,8-13,,Defensive rebound by T. Allen
5:09.0,,,8-16,3,M. Conley makes 3-pt shot from 25 ft (assist by C. Lee)
4:47.0,E. Davis makes 2-pt shot at rim (assist by J. Lin),2,10-16,,
4:24.0,,,10-18,2,C. Lee makes 2-pt shot from 12 ft (assist by Z. Randolph)
3:57.0,J. Clarkson makes 2-pt shot from 11 ft,2,12-18,,
3:31.0,,,12-18,,Turnover by M. Conley (bad pass; steal by J. Lin)
3:31.0,,,12-18,,Personal foul by M. Gasol (drawn by J. Lin)
3:31.0,,,12-18,,B. Udrih enters the game for M. Conley
3:31.0,W. Johnson enters the game for R. Kelly,,12-18,,
3:31.0,J. Hill enters the game for C. Boozer,,12-18,,
3:31.0,,,12-18,,K. Koufos enters the game for M. Gasol
3:13.0,W. Johnson misses 2-pt shot from 20 ft,,12-18,,
3:11.0,,,12-18,,Defensive rebound by Z. Randolph
3:04.0,,,12-18,,C. Lee misses 2-pt shot from 1 ft
3:01.0,Defensive rebound by J. Hill,,12-18,,
2:52.0,Turnover by J. Hill (bad pass; steal by Z. Randolph),,12-18,,
2:44.0,,,12-20,2,T. Allen makes 2-pt shot at rim (assist by Z. Randolph)
2:16.0,J. Hill makes 2-pt shot from 20 ft (assist by J. Clarkson),2,14-20,,
2:00.0,,,14-22,2,Z. Randolph makes 2-pt shot from 8 ft
1:46.0,J. Lin misses 2-pt shot from 14 ft,,14-22,,
1:44.0,,,14-22,,Defensive rebound by Z. Randolph
1:31.0,,,14-22,,Z. Randolph misses 2-pt shot from 16 ft
1:30.0,Defensive rebound by W. Johnson,,14-22,,
1:15.0,,,14-22,,Personal foul by T. Allen (drawn by J. Lin)
1:15.0,LA Lakers full timeout,,14-22,,
1:15.0,,,14-22,,V. Carter enters the game for C. Lee
1:07.0,J. Hill misses 2-pt shot from 14 ft,,14-22,,
1:06.0,,,14-22,,Defensive rebound by Z. Randolph
0:54.0,,,14-24,2,T. Allen makes 2-pt shot from 1 ft (assist by K. Koufos)
0:41.0,J. Clarkson misses 2-pt shot from 6 ft,,14-24,,
0:40.0,Offensive rebound by E. Davis,,14-24,,
0:40.0,E. Davis makes 2-pt shot at rim,2,16-24,,
0:27.0,,,16-24,,Turnover by Z. Randolph (traveling)
0:08.0,J. Clarkson misses 2-pt shot from 21 ft,,16-24,,
0:06.0,,,16-24,,Defensive rebound by K. Koufos
0:01.0,,,16-24,,B. Udrih misses 2-pt shot at rim
0:00.0,Defensive rebound by E. Davis,,16-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,16-24,,V. Carter misses 3-pt shot from 26 ft
11:45.0,Defensive rebound by W. Johnson,,16-24,,
11:21.0,J. Hill misses 2-pt shot from 19 ft,,16-24,,
11:19.0,,,16-24,,Defensive rebound by V. Carter
11:10.0,,,16-24,,J. Green misses 3-pt shot from 24 ft
11:09.0,,,16-24,,Offensive rebound by T. Allen
11:05.0,,,16-26,2,T. Allen makes 2-pt shot from 1 ft
10:49.0,W. Johnson makes 3-pt shot from 25 ft,3,19-26,,
10:30.0,,,19-26,,V. Carter misses 3-pt shot from 22 ft
10:29.0,Defensive rebound by W. Ellington,,19-26,,
10:22.0,W. Ellington misses 2-pt shot from 19 ft,,19-26,,
10:20.0,Offensive rebound by J. Hill,,19-26,,
10:19.0,J. Hill misses 2-pt shot from 3 ft,,19-26,,
10:19.0,,,19-26,,Defensive rebound by Team
10:19.0,Loose ball foul by E. Davis (drawn by K. Koufos),,19-26,,
10:19.0,,,19-26,,N. Calathes enters the game for T. Allen
10:08.0,,,19-26,,J. Green misses 2-pt shot at rim (block by E. Davis)
10:05.0,Defensive rebound by J. Hill,,19-26,,
9:59.0,E. Davis makes 2-pt shot at rim (assist by W. Ellington),2,21-26,,
9:45.0,Personal foul by J. Hill (drawn by K. Koufos),,21-26,,
9:33.0,,,21-26,,B. Udrih misses 2-pt shot from 13 ft (block by J. Lin)
9:30.0,Defensive rebound by J. Lin,,21-26,,
9:17.0,W. Ellington misses 2-pt shot from 16 ft,,21-26,,
9:15.0,,,21-26,,Defensive rebound by V. Carter
9:11.0,,,21-26,,Shooting foul by E. Davis (drawn by J. Green)
9:11.0,,,21-27,1,J. Green makes free throw 1 of 2
9:11.0,T. Black enters the game for E. Davis,,21-27,,
9:11.0,,,21-28,1,J. Green makes free throw 2 of 2
8:58.0,Shooting foul by J. Green (drawn by W. Johnson),,21-28,,
8:58.0,LA Lakers full timeout,,21-28,,
8:58.0,W. Johnson makes free throw 1 of 2,1,22-28,,
8:58.0,W. Johnson makes free throw 2 of 2,1,23-28,,
8:45.0,,,23-28,,Shooting foul by W. Johnson (drawn by J. Green)
8:45.0,,,23-29,1,J. Green makes free throw 1 of 2
8:45.0,,,23-30,1,J. Green makes free throw 2 of 2
8:23.0,J. Hill misses 2-pt shot at rim,,23-30,,
8:21.0,,,23-30,,Defensive rebound by J. Green
8:10.0,,,23-30,,V. Carter misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by T. Black,,23-30,,
7:57.0,W. Johnson misses 2-pt shot from 22 ft,,23-30,,
7:56.0,,,23-30,,Defensive rebound by K. Koufos
7:45.0,,,23-32,2,N. Calathes makes 2-pt shot from 1 ft
7:29.0,J. Lin makes 2-pt shot from 11 ft,2,25-32,,
7:11.0,,,25-32,,K. Koufos misses 2-pt shot from 6 ft
7:09.0,Defensive rebound by J. Lin,,25-32,,
7:00.0,W. Johnson makes 2-pt shot from 7 ft (assist by J. Lin),2,27-32,,
6:52.0,,,27-32,,Memphis full timeout
6:52.0,,,27-32,,M. Gasol enters the game for B. Udrih
6:52.0,,,27-32,,M. Conley enters the game for V. Carter
6:52.0,C. Boozer enters the game for J. Lin,,27-32,,
6:52.0,J. Clarkson enters the game for J. Hill,,27-32,,
6:43.0,,,27-32,,N. Calathes misses 2-pt shot from 14 ft
6:40.0,Defensive rebound by W. Johnson,,27-32,,
6:20.0,J. Clarkson misses 3-pt shot from 27 ft,,27-32,,
6:19.0,Offensive rebound by T. Black,,27-32,,
6:10.0,J. Clarkson makes 2-pt shot from 7 ft,2,29-32,,
5:53.0,,,29-32,,K. Koufos misses 2-pt shot from 5 ft (block by T. Black)
5:51.0,Defensive rebound by W. Johnson,,29-32,,
5:42.0,C. Boozer misses 2-pt shot from 19 ft,,29-32,,
5:41.0,,,29-32,,Defensive rebound by K. Koufos
5:34.0,,,29-34,2,M. Conley makes 2-pt shot at rim
5:11.0,Turnover by W. Johnson (bad pass; steal by N. Calathes),,29-34,,
4:52.0,,,29-34,,J. Green misses 3-pt shot from 23 ft
4:51.0,Defensive rebound by J. Clarkson,,29-34,,
4:45.0,,,29-34,,Z. Randolph enters the game for K. Koufos
4:42.0,W. Ellington makes 2-pt shot at rim,2,31-34,,
4:16.0,,,31-34,,Z. Randolph misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by C. Boozer,,31-34,,
3:58.0,W. Johnson makes 3-pt shot from 23 ft (assist by J. Clarkson),3,34-34,,
3:50.0,,,34-34,,Shooting foul by C. Boozer (drawn by M. Conley)
3:50.0,,,34-35,1,M. Conley makes free throw 1 of 2
3:50.0,,,34-35,,C. Lee enters the game for N. Calathes
3:50.0,,,34-35,,T. Allen enters the game for J. Green
3:50.0,,,34-35,,M. Conley misses free throw 2 of 2
3:48.0,Defensive rebound by C. Boozer,,34-35,,
3:34.0,J. Clarkson makes 2-pt shot from 18 ft,2,36-35,,
3:18.0,,,36-35,,Z. Randolph misses 2-pt shot at rim (block by T. Black)
3:15.0,,,36-35,,Offensive rebound by Z. Randolph
3:15.0,,,36-37,2,Z. Randolph makes 2-pt shot at rim
3:01.0,W. Johnson misses 2-pt shot from 1 ft,,36-37,,
3:00.0,,,36-37,,Defensive rebound by M. Gasol
2:54.0,,,36-39,2,T. Allen makes 2-pt shot at rim (assist by M. Conley)
2:50.0,LA Lakers full timeout,,36-39,,
2:35.0,J. Clarkson misses 2-pt shot from 14 ft,,36-39,,
2:34.0,,,36-39,,Defensive rebound by T. Allen
2:14.0,,,36-39,,M. Gasol misses 2-pt shot at rim
2:13.0,Defensive rebound by C. Boozer,,36-39,,
2:08.0,,,36-39,,Personal foul by Z. Randolph (drawn by T. Black)
1:57.0,T. Black makes 2-pt shot from 6 ft (assist by J. Clarkson),2,38-39,,
1:57.0,Shooting foul by M. Conley (drawn by T. Black),,38-39,,
1:57.0,T. Black makes free throw 1 of 1,1,39-39,,
1:37.0,,,39-41,2,T. Allen makes 2-pt shot at rim (assist by C. Lee)
1:16.0,J. Clarkson makes 3-pt shot from 25 ft (assist by W. Ellington),3,42-41,,
1:00.0,,,42-43,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Conley)
0:37.0,W. Ellington makes 2-pt shot from 20 ft (assist by C. Boozer),2,44-43,,
0:30.0,,,44-43,,Z. Randolph misses 2-pt shot from 2 ft
0:29.0,Defensive rebound by J. Clarkson,,44-43,,
0:23.0,W. Johnson makes 2-pt shot at rim (assist by W. Ellington),2,46-43,,
0:01.0,,,46-43,,C. Lee misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by T. Black,,46-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,46-43,,C. Lee misses 2-pt shot from 8 ft
11:46.0,Defensive rebound by W. Ellington,,46-43,,
11:34.0,R. Kelly misses 3-pt shot from 25 ft,,46-43,,
11:33.0,Offensive rebound by R. Sacre,,46-43,,
11:29.0,R. Sacre misses 2-pt shot at rim,,46-43,,
11:28.0,,,46-43,,Defensive rebound by Z. Randolph
11:18.0,,,46-43,,Turnover by M. Gasol (bad pass; steal by C. Boozer)
11:13.0,J. Clarkson makes 2-pt shot at rim (assist by C. Boozer),2,48-43,,
10:49.0,,,48-45,2,M. Conley makes 2-pt shot from 19 ft
10:28.0,W. Ellington makes 3-pt shot from 25 ft (assist by R. Sacre),3,51-45,,
10:09.0,,,51-45,,M. Gasol misses 2-pt shot from 5 ft
10:08.0,Defensive rebound by J. Clarkson,,51-45,,
10:05.0,C. Boozer makes 2-pt shot at rim (assist by J. Clarkson),2,53-45,,
10:05.0,,,53-45,,Memphis full timeout
9:53.0,,,53-47,2,M. Gasol makes 2-pt shot from 7 ft (assist by C. Lee)
9:35.0,J. Clarkson makes 2-pt shot from 15 ft (assist by C. Boozer),2,55-47,,
9:15.0,,,55-47,,J. Green misses 2-pt shot from 14 ft
9:14.0,Defensive rebound by C. Boozer,,55-47,,
9:09.0,Turnover by W. Ellington (lost ball),,55-47,,
9:09.0,Jump ball: W. Ellington vs. C. Lee (M. Gasol gains possession),,,,Jump ball: W. Ellington vs. C. Lee (M. Gasol gains possession)
8:55.0,,,55-47,,C. Lee misses 3-pt shot from 22 ft
8:54.0,Defensive rebound by R. Kelly,,55-47,,
8:28.0,R. Kelly misses 2-pt shot from 17 ft,,55-47,,
8:28.0,Offensive rebound by Team,,55-47,,
8:27.0,,,55-47,,Personal foul by Z. Randolph (drawn by R. Sacre)
8:15.0,Jump ball: J. Green vs. R. Kelly (M. Conley gains possession),,,,Jump ball: J. Green vs. R. Kelly (M. Conley gains possession)
8:15.0,Turnover by R. Kelly (lost ball),,55-47,,
8:06.0,,,55-49,2,Z. Randolph makes 2-pt shot at rim (assist by M. Gasol)
