time,LA Clippers,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. D. Jordan (C. Paul gains possession),,,,Jump ball: L. Amundson vs. D. Jordan (C. Paul gains possession)
11:44.0,J. Redick makes 2-pt shot from 23 ft (assist by D. Jordan),2,2-0,,
11:21.0,,,2-0,,L. Thomas misses 2-pt shot from 5 ft
11:20.0,Defensive rebound by M. Barnes,,2-0,,
11:14.0,M. Barnes misses 2-pt shot from 22 ft,,2-0,,
11:13.0,Offensive rebound by J. Redick,,2-0,,
10:57.0,M. Barnes misses 2-pt shot from 2 ft,,2-0,,
10:56.0,,,2-0,,Defensive rebound by S. Larkin
10:38.0,,,2-0,,L. Amundson misses 2-pt shot from 16 ft
10:37.0,Defensive rebound by B. Griffin,,2-0,,
10:31.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,4-0,,
10:31.0,Shooting foul by L. Amundson (drawn by D. Jordan),,4-0,,
10:31.0,D. Jordan misses free throw 1 of 1,,4-0,,
10:31.0,,,4-0,,Defensive rebound by Team
10:14.0,,,4-0,,Turnover by S. Larkin (lost ball; steal by D. Jordan)
9:59.0,Turnover by B. Griffin (3 sec),,4-0,,
9:45.0,,,4-0,,L. Amundson misses 2-pt shot from 14 ft
9:44.0,Defensive rebound by B. Griffin,,4-0,,
9:33.0,B. Griffin misses 2-pt shot from 17 ft,,4-0,,
9:32.0,,,4-0,,Defensive rebound by L. Amundson
9:14.0,,,4-2,2,L. Thomas makes 2-pt shot from 20 ft
9:00.0,J. Redick makes 2-pt shot from 16 ft (assist by C. Paul),2,6-2,,
8:38.0,,,6-4,2,A. Bargnani makes 2-pt shot from 12 ft
8:19.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,8-4,,
8:08.0,,,8-4,,A. Bargnani misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by D. Jordan,,8-4,,
7:59.0,C. Paul misses 2-pt shot from 6 ft,,8-4,,
7:57.0,Offensive rebound by C. Paul,,8-4,,
7:57.0,C. Paul misses 2-pt shot at rim,,8-4,,
7:56.0,Offensive rebound by C. Paul,,8-4,,
7:52.0,LA Clippers full timeout,,8-4,,
7:40.0,J. Redick misses 2-pt shot from 23 ft,,8-4,,
7:39.0,,,8-4,,Defensive rebound by L. Galloway
7:37.0,,,8-4,,Offensive foul by L. Galloway
7:37.0,,,8-4,,Turnover by L. Galloway (offensive foul)
7:20.0,M. Barnes makes 3-pt shot from 25 ft (assist by J. Redick),3,11-4,,
6:57.0,,,11-4,,A. Bargnani misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by Team,,11-4,,
6:50.0,B. Griffin misses 2-pt shot from 1 ft,,11-4,,
6:49.0,,,11-4,,Defensive rebound by S. Larkin
6:40.0,,,11-4,,A. Bargnani misses 2-pt shot from 20 ft
6:39.0,Defensive rebound by D. Jordan,,11-4,,
6:28.0,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul),3,14-4,,
6:10.0,,,14-4,,L. Galloway misses 2-pt shot from 23 ft
6:09.0,Defensive rebound by M. Barnes,,14-4,,
6:01.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,16-4,,
5:54.0,,,16-4,,New York full timeout
5:54.0,,,16-4,,C. Aldrich enters the game for L. Amundson
5:54.0,,,16-4,,J. Smith enters the game for A. Bargnani
5:39.0,,,16-6,2,L. Thomas makes 2-pt shot at rim (assist by J. Smith)
5:28.0,Shooting foul by C. Aldrich (drawn by B. Griffin),,16-6,,
5:28.0,B. Griffin misses free throw 1 of 2,,16-6,,
5:28.0,Offensive rebound by Team,,16-6,,
5:28.0,B. Griffin makes free throw 2 of 2,1,17-6,,
5:16.0,,,17-6,,L. Galloway misses 3-pt shot from 26 ft
