time,LA Clippers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession),,,,Jump ball: T. Duncan vs. D. Jordan (T. Parker gains possession)
11:42.0,,,0-0,,K. Leonard misses 3-pt shot from 23 ft
11:41.0,,,0-0,,Offensive rebound by K. Leonard
11:28.0,,,0-0,,T. Parker misses 2-pt shot from 20 ft
11:27.0,Defensive rebound by M. Barnes,,0-0,,
11:16.0,,,0-0,,Personal foul by T. Parker (drawn by C. Paul)
11:06.0,B. Griffin misses 2-pt shot from 21 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by T. Duncan
10:56.0,,,0-0,,Turnover by T. Splitter (traveling)
10:47.0,D. Jordan misses 2-pt shot from 2 ft,,0-0,,
10:46.0,,,0-0,,Defensive rebound by T. Splitter
10:40.0,,,0-0,,T. Parker misses 2-pt shot from 2 ft
10:39.0,Defensive rebound by B. Griffin,,0-0,,
10:33.0,C. Paul makes 2-pt shot from 1 ft (assist by B. Griffin),2,2-0,,
10:20.0,,,2-0,,K. Leonard misses 2-pt shot from 9 ft
10:19.0,Defensive rebound by D. Jordan,,2-0,,
10:05.0,C. Paul makes 3-pt shot from 22 ft,3,5-0,,
9:49.0,,,5-0,,K. Leonard misses 2-pt shot from 4 ft
9:47.0,Defensive rebound by M. Barnes,,5-0,,
9:39.0,J. Redick misses 2-pt shot from 19 ft,,5-0,,
9:37.0,,,5-0,,Defensive rebound by T. Duncan
9:30.0,,,5-2,2,T. Splitter makes 2-pt shot from 1 ft (assist by T. Duncan)
9:13.0,B. Griffin makes 2-pt shot from 19 ft (assist by M. Barnes),2,7-2,,
8:57.0,,,7-2,,D. Green misses 2-pt shot from 1 ft
8:56.0,Defensive rebound by B. Griffin,,7-2,,
8:50.0,B. Griffin makes 2-pt shot at rim,2,9-2,,
8:36.0,,,9-4,2,T. Parker makes 2-pt shot from 8 ft
8:30.0,B. Griffin misses 2-pt shot from 1 ft,,9-4,,
8:29.0,Offensive rebound by B. Griffin,,9-4,,
8:29.0,B. Griffin misses 2-pt shot from 1 ft,,9-4,,
8:27.0,,,9-4,,Defensive rebound by D. Green
8:16.0,,,9-4,,Turnover by T. Parker (bad pass; steal by M. Barnes)
8:12.0,J. Redick makes 2-pt shot from 1 ft (assist by M. Barnes),2,11-4,,
8:12.0,,,11-4,,San Antonio full timeout
8:12.0,,,11-4,,B. Diaw enters the game for T. Splitter
7:57.0,,,11-6,2,K. Leonard makes 2-pt shot from 18 ft
7:37.0,J. Redick makes 2-pt shot from 16 ft (assist by B. Griffin),2,13-6,,
7:22.0,,,13-9,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
6:56.0,B. Griffin misses 2-pt shot from 15 ft,,13-9,,
6:55.0,,,13-9,,Defensive rebound by B. Diaw
6:40.0,,,13-11,2,T. Duncan makes 2-pt shot from 13 ft
