time,Dallas,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. T. Duncan (T. Parker gains possession),,,,Jump ball: T. Chandler vs. T. Duncan (T. Parker gains possession)
11:37.0,,,0-3,3,K. Leonard makes 3-pt shot from 23 ft (assist by T. Splitter)
11:18.0,D. Nowitzki misses 2-pt shot from 15 ft,,0-3,,
11:17.0,,,0-3,,Defensive rebound by T. Parker
11:02.0,,,0-3,,T. Splitter misses 2-pt shot from 7 ft
11:01.0,Defensive rebound by C. Parsons,,0-3,,
10:51.0,R. Rondo misses 2-pt shot from 20 ft,,0-3,,
10:50.0,,,0-3,,Defensive rebound by T. Splitter
10:39.0,,,0-3,,D. Green misses 3-pt shot from 23 ft
10:39.0,Defensive rebound by D. Nowitzki,,0-3,,
10:25.0,M. Ellis misses 3-pt shot from 23 ft,,0-3,,
10:22.0,Offensive rebound by T. Chandler,,0-3,,
10:19.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Rondo),3,3-3,,
9:58.0,,,3-3,,T. Parker misses 2-pt shot from 16 ft
9:57.0,,,3-3,,Offensive rebound by T. Splitter
9:56.0,,,3-5,2,T. Splitter makes 2-pt shot from 1 ft
9:42.0,C. Parsons makes 2-pt shot at rim (assist by D. Nowitzki),2,5-5,,
9:23.0,,,5-5,,T. Parker misses 2-pt shot from 3 ft
9:22.0,Defensive rebound by T. Chandler,,5-5,,
9:18.0,Turnover by T. Chandler (bad pass),,5-5,,
9:01.0,,,5-7,2,T. Duncan makes 2-pt shot from 17 ft (assist by K. Leonard)
8:50.0,T. Chandler misses 2-pt shot from 15 ft,,5-7,,
8:49.0,,,5-7,,Defensive rebound by T. Duncan
8:34.0,,,5-7,,D. Green misses 3-pt shot from 24 ft
8:32.0,,,5-7,,Offensive rebound by T. Duncan
8:28.0,,,5-9,2,T. Splitter makes 2-pt shot from 2 ft (assist by D. Green)
8:15.0,D. Nowitzki makes 2-pt shot from 12 ft (assist by T. Chandler),2,7-9,,
7:58.0,,,7-9,,K. Leonard misses 2-pt shot from 3 ft
7:57.0,Defensive rebound by T. Chandler,,7-9,,
7:52.0,C. Parsons makes 2-pt shot from 2 ft,2,9-9,,
