time,Brooklyn,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Jones vs. M. Plumlee (P. Beverley gains possession),,,,Jump ball: T. Jones vs. M. Plumlee (P. Beverley gains possession)
11:36.0,,,0-0,,D. Motiejunas misses 2-pt shot from 9 ft
11:35.0,Defensive rebound by D. Williams,,0-0,,
11:23.0,Shooting foul by J. Harden (drawn by A. Anderson),,0-0,,
11:23.0,A. Anderson makes free throw 1 of 3,1,1-0,,
11:23.0,A. Anderson makes free throw 2 of 3,1,2-0,,
11:23.0,A. Anderson makes free throw 3 of 3,1,3-0,,
11:15.0,,,3-2,2,T. Jones makes 2-pt shot from 3 ft (assist by J. Harden)
11:01.0,Turnover by A. Anderson (bad pass),,3-2,,
10:50.0,,,3-2,,D. Motiejunas misses 2-pt shot from 2 ft
10:49.0,Defensive rebound by M. Brown,,3-2,,
10:37.0,A. Anderson makes 3-pt shot from 22 ft (assist by J. Johnson),3,6-2,,
10:24.0,,,6-2,,P. Beverley misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by M. Plumlee,,6-2,,
10:15.0,M. Plumlee makes 2-pt shot at rim (assist by D. Williams),2,8-2,,
9:48.0,,,8-2,,Turnover by Team (shot clock)
9:33.0,J. Johnson makes 2-pt shot from 14 ft,2,10-2,,
9:23.0,,,10-2,,Offensive foul by D. Motiejunas
9:23.0,,,10-2,,Turnover by D. Motiejunas (offensive foul)
9:10.0,J. Johnson makes 2-pt shot from 1 ft,2,12-2,,
9:09.0,,,12-2,,Houston full timeout
8:51.0,,,12-4,2,D. Motiejunas makes 2-pt shot from 2 ft (assist by J. Harden)
8:31.0,M. Brown makes 3-pt shot from 25 ft (assist by J. Johnson),3,15-4,,
8:13.0,,,15-7,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
7:58.0,D. Williams misses 2-pt shot from 17 ft (block by T. Jones),,15-7,,
7:58.0,Offensive rebound by Team,,15-7,,
7:50.0,M. Plumlee makes 2-pt shot at rim (assist by D. Williams),2,17-7,,
7:37.0,,,17-7,,P. Beverley misses 3-pt shot from 22 ft
7:35.0,Defensive rebound by D. Williams,,17-7,,
7:22.0,M. Brown makes 2-pt shot at rim,2,19-7,,
7:11.0,Personal foul by D. Williams (drawn by J. Harden),,19-7,,
7:11.0,,,19-7,,J. Smith enters the game for D. Motiejunas
7:11.0,,,19-7,,J. Terry enters the game for P. Beverley
7:00.0,,,19-9,2,T. Ariza makes 2-pt shot from 2 ft (assist by J. Harden)
6:48.0,D. Williams misses 3-pt shot from 25 ft,,19-9,,
6:47.0,,,19-9,,Defensive rebound by J. Smith
6:34.0,,,19-11,2,T. Jones makes 2-pt shot from 3 ft
6:14.0,D. Williams makes 2-pt shot from 10 ft,2,21-11,,
6:07.0,,,21-13,2,T. Jones makes 2-pt shot from 2 ft (assist by J. Harden)
5:47.0,M. Plumlee misses 2-pt shot from 6 ft,,21-13,,
5:45.0,,,21-13,,Defensive rebound by J. Smith
5:41.0,,,21-13,,Turnover by J. Smith (bad pass)
5:29.0,Turnover by A. Anderson (step out of bounds),,21-13,,
5:18.0,,,21-13,,Shooting foul by M. Plumlee (drawn by J. Harden)
5:18.0,,,21-14,1,J. Harden makes free throw 1 of 2
5:18.0,,,21-15,1,J. Harden makes free throw 2 of 2
4:56.0,M. Brown misses 3-pt shot from 25 ft,,21-15,,
4:54.0,,,21-15,,Defensive rebound by T. Ariza
4:35.0,,,21-18,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
4:15.0,J. Johnson misses 3-pt shot from 24 ft,,21-18,,
4:14.0,Offensive rebound by M. Plumlee,,21-18,,
4:13.0,M. Plumlee makes 2-pt shot at rim,2,23-18,,
3:51.0,,,23-18,,T. Jones misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by M. Brown,,23-18,,
3:40.0,D. Williams makes 2-pt shot from 2 ft,2,25-18,,
3:22.0,,,25-18,,J. Smith misses 3-pt shot from 24 ft
3:21.0,Defensive rebound by J. Johnson,,25-18,,
