time,Sacramento,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Thompson (S. Hawes gains possession),,,,Jump ball: D. Jordan vs. J. Thompson (S. Hawes gains possession)
11:43.0,,,0-0,,S. Hawes misses 2-pt shot at rim
11:41.0,,,0-0,,Offensive rebound by D. Jordan
11:41.0,,,0-2,2,D. Jordan makes 2-pt shot at rim
11:18.0,R. McCallum misses 3-pt shot from 25 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by S. Hawes
10:58.0,,,0-2,,Turnover by S. Hawes (lost ball)
10:41.0,J. Thompson misses 2-pt shot from 7 ft,,0-2,,
10:40.0,,,0-2,,Defensive rebound by D. Jordan
10:38.0,Personal foul by D. Cousins (drawn by D. Jordan),,0-2,,
10:29.0,,,0-5,3,S. Hawes makes 3-pt shot from 25 ft (assist by C. Paul)
10:17.0,D. Cousins makes 2-pt shot from 19 ft (assist by R. Gay),2,2-5,,
10:04.0,,,2-5,,J. Redick misses 2-pt shot from 12 ft
10:02.0,,,2-5,,Offensive rebound by D. Jordan
10:02.0,,,2-5,,D. Jordan misses 2-pt shot at rim
10:00.0,Defensive rebound by R. Gay,,2-5,,
9:54.0,R. Gay makes 3-pt shot from 25 ft (assist by R. McCallum),3,5-5,,
9:37.0,,,5-5,,J. Redick misses 2-pt shot from 7 ft
9:36.0,Defensive rebound by D. Cousins,,5-5,,
9:29.0,D. Cousins misses 2-pt shot from 7 ft (block by D. Jordan),,5-5,,
9:27.0,,,5-5,,Defensive rebound by D. Jordan
9:22.0,,,5-5,,S. Hawes misses 2-pt shot from 3 ft (block by R. Gay)
9:20.0,Defensive rebound by R. McCallum,,5-5,,
9:17.0,B. McLemore makes 2-pt shot from 1 ft (assist by D. Cousins),2,7-5,,
9:02.0,,,7-5,,C. Paul misses 2-pt shot from 15 ft
9:00.0,Defensive rebound by R. Gay,,7-5,,
8:54.0,B. McLemore misses 3-pt shot from 24 ft,,7-5,,
8:53.0,,,7-5,,Defensive rebound by D. Jordan
8:47.0,,,7-5,,Shooting foul by R. Gay (drawn by J. Redick)
8:47.0,,,7-6,1,J. Redick makes free throw 1 of 2
8:47.0,,,7-7,1,J. Redick makes free throw 2 of 2
8:33.0,B. McLemore misses 2-pt shot from 20 ft,,7-7,,
8:31.0,,,7-7,,Defensive rebound by D. Jordan
8:23.0,,,7-7,,D. Jordan misses 2-pt shot from 2 ft
8:23.0,,,7-7,,Offensive rebound by D. Jordan
8:23.0,,,7-7,,Shooting foul by J. Thompson (drawn by D. Jordan)
8:23.0,,,7-7,,D. Jordan misses free throw 1 of 2
8:23.0,,,7-7,,Offensive rebound by Team
8:23.0,,,7-8,1,D. Jordan makes free throw 2 of 2
8:13.0,Shooting foul by M. Barnes (drawn by R. Gay),,7-8,,
8:13.0,R. Gay makes free throw 1 of 2,1,8-8,,
8:13.0,R. Gay makes free throw 2 of 2,1,9-8,,
8:04.0,,,9-8,,Shooting foul by B. McLemore (drawn by J. Redick)
8:04.0,,,9-9,1,J. Redick makes free throw 1 of 2
8:04.0,,,9-10,1,J. Redick makes free throw 2 of 2
7:48.0,D. Cousins misses 2-pt shot from 5 ft,,9-10,,
7:47.0,,,9-10,,Defensive rebound by J. Redick
7:31.0,,,9-12,2,S. Hawes makes 2-pt shot from 12 ft (assist by M. Barnes)
7:19.0,D. Cousins makes 2-pt shot from 14 ft (assist by R. McCallum),2,11-12,,
7:11.0,,,11-12,,Turnover by C. Paul (bad pass; steal by D. Cousins)
7:07.0,R. Gay makes 2-pt shot at rim,2,13-12,,
6:53.0,,,13-12,,J. Redick misses 2-pt shot from 19 ft
6:52.0,Defensive rebound by R. Gay,,13-12,,
6:43.0,R. McCallum makes 2-pt shot from 16 ft,2,15-12,,
6:43.0,,,15-12,,Away from play foul by J. Redick (drawn by R. McCallum)
6:43.0,D. Cousins misses free throw 1 of 1,,15-12,,
6:41.0,,,15-12,,Defensive rebound by D. Jordan
