time,Detroit,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Hibbert (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. R. Hibbert (B. Jennings gains possession)
11:38.0,A. Drummond misses 2-pt shot from 9 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by S. Hill
11:17.0,,,0-0,,R. Stuckey misses 2-pt shot from 17 ft
11:15.0,Defensive rebound by K. Singler,,0-0,,
11:07.0,B. Jennings misses 2-pt shot from 11 ft (block by R. Hibbert),,0-0,,
11:05.0,Offensive rebound by K. Caldwell-Pope,,0-0,,
10:54.0,G. Monroe misses 2-pt shot from 8 ft,,0-0,,
10:52.0,Offensive rebound by Team,,0-0,,
10:46.0,,,0-0,,Violation by R. Hibbert (kicked ball)
10:38.0,Turnover by B. Jennings (lost ball; steal by C. Watson),,0-0,,
10:34.0,,,0-0,,Turnover by D. West (bad pass)
10:19.0,B. Jennings makes 3-pt shot from 25 ft (assist by K. Singler),3,3-0,,
10:07.0,,,3-2,2,D. West makes 2-pt shot from 3 ft (assist by S. Hill)
9:55.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,3-2,,
9:54.0,,,3-2,,Defensive rebound by C. Watson
9:46.0,,,3-5,3,S. Hill makes 3-pt shot from 24 ft (assist by R. Stuckey)
9:25.0,K. Singler misses 3-pt shot from 23 ft,,3-5,,
9:24.0,Offensive rebound by A. Drummond,,3-5,,
9:24.0,A. Drummond misses 2-pt shot from 2 ft,,3-5,,
9:23.0,Offensive rebound by A. Drummond,,3-5,,
9:23.0,A. Drummond misses 2-pt shot from 2 ft,,3-5,,
9:22.0,,,3-5,,Defensive rebound by R. Stuckey
9:15.0,,,3-5,,Turnover by R. Stuckey (bad pass; steal by K. Singler)
9:04.0,K. Singler misses 2-pt shot from 2 ft,,3-5,,
9:02.0,,,3-5,,Defensive rebound by R. Stuckey
8:53.0,,,3-5,,S. Hill misses 3-pt shot from 23 ft
8:52.0,,,3-5,,Offensive rebound by R. Hibbert
8:41.0,,,3-5,,R. Hibbert misses 2-pt shot from 10 ft
8:40.0,,,3-5,,Offensive rebound by D. West
8:39.0,,,3-7,2,D. West makes 2-pt shot at rim
8:21.0,A. Drummond misses 2-pt shot from 8 ft,,3-7,,
8:20.0,,,3-7,,Defensive rebound by D. West
8:10.0,,,3-7,,Turnover by S. Hill (back court)
7:57.0,Shooting foul by D. West (drawn by G. Monroe),,3-7,,
7:57.0,G. Monroe makes free throw 1 of 2,1,4-7,,
7:57.0,G. Monroe misses free throw 2 of 2,,4-7,,
7:55.0,,,4-7,,Defensive rebound by D. West
7:39.0,,,4-7,,R. Hibbert misses 2-pt shot from 15 ft
7:38.0,Defensive rebound by K. Caldwell-Pope,,4-7,,
7:30.0,Shooting foul by R. Stuckey (drawn by A. Drummond),,4-7,,
7:30.0,A. Drummond makes free throw 1 of 2,1,5-7,,
7:30.0,A. Drummond makes free throw 2 of 2,1,6-7,,
7:19.0,,,6-7,,R. Stuckey misses 2-pt shot from 6 ft (block by K. Caldwell-Pope)
7:18.0,Defensive rebound by A. Drummond,,6-7,,
7:14.0,Turnover by B. Jennings (lost ball; steal by D. West),,6-7,,
7:10.0,,,6-9,2,R. Stuckey makes 2-pt shot from 1 ft (assist by D. West)
6:51.0,G. Monroe misses 2-pt shot from 2 ft,,6-9,,
6:51.0,Offensive rebound by G. Monroe,,6-9,,
6:51.0,G. Monroe makes 2-pt shot from 2 ft,2,8-9,,
6:51.0,Shooting foul by R. Hibbert (drawn by G. Monroe),,8-9,,
6:51.0,G. Monroe makes free throw 1 of 1,1,9-9,,
6:40.0,,,9-9,,D. West misses 2-pt shot from 19 ft
6:38.0,Defensive rebound by B. Jennings,,9-9,,
6:33.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Jennings),2,11-9,,
6:33.0,,,11-9,,Indiana full timeout
6:18.0,,,11-9,,C. Watson misses 3-pt shot from 23 ft
6:16.0,Defensive rebound by Team,,11-9,,
6:03.0,G. Monroe misses 2-pt shot from 3 ft,,11-9,,
6:02.0,Offensive rebound by Team,,11-9,,
5:53.0,K. Singler misses 2-pt shot from 6 ft,,11-9,,
5:51.0,Offensive rebound by G. Monroe,,11-9,,
5:44.0,G. Monroe makes 2-pt shot from 4 ft,2,13-9,,
5:30.0,,,13-11,2,R. Stuckey makes 2-pt shot from 2 ft
5:30.0,,,13-11,,Shooting foul by K. Caldwell-Pope (drawn by R. Stuckey)
5:30.0,,,13-12,1,R. Stuckey makes free throw 1 of 1
5:12.0,B. Jennings misses 2-pt shot from 11 ft,,13-12,,
5:11.0,Offensive rebound by A. Drummond,,13-12,,
5:11.0,A. Drummond makes 2-pt shot from 2 ft,2,15-12,,
4:52.0,,,15-12,,D. West misses 2-pt shot from 13 ft
4:50.0,Defensive rebound by K. Caldwell-Pope,,15-12,,
4:44.0,,,15-12,,Personal foul by C. Watson (drawn by B. Jennings)
4:44.0,,,15-12,,I. Mahinmi enters the game for R. Hibbert
4:44.0,,,15-12,,C. Miles enters the game for S. Hill
4:34.0,Turnover by A. Drummond (3 sec),,15-12,,
4:18.0,,,15-12,,Turnover by C. Watson (lost ball; steal by B. Jennings)
4:14.0,B. Jennings makes 2-pt shot from 2 ft (assist by A. Drummond),2,17-12,,
3:58.0,,,17-12,,D. West misses 2-pt shot from 1 ft (block by G. Monroe)
3:58.0,,,17-12,,Offensive rebound by Team
3:58.0,J. Jerebko enters the game for A. Drummond,,17-12,,
3:58.0,J. Meeks enters the game for K. Caldwell-Pope,,17-12,,
3:51.0,,,17-12,,C. Watson misses 2-pt shot from 16 ft
3:50.0,,,17-12,,Offensive rebound by I. Mahinmi
3:47.0,,,17-12,,I. Mahinmi misses 2-pt shot from 6 ft
3:46.0,Defensive rebound by G. Monroe,,17-12,,
3:39.0,B. Jennings misses 2-pt shot from 1 ft,,17-12,,
3:38.0,,,17-12,,Defensive rebound by D. West
3:31.0,,,17-12,,C. Miles misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by G. Monroe,,17-12,,
3:17.0,J. Jerebko makes 2-pt shot from 16 ft,2,19-12,,
3:00.0,,,19-12,,D. West misses 2-pt shot from 11 ft
2:59.0,Defensive rebound by G. Monroe,,19-12,,
2:54.0,J. Jerebko misses 2-pt shot from 2 ft (block by I. Mahinmi),,19-12,,
2:52.0,,,19-12,,Defensive rebound by D. West
2:48.0,,,19-14,2,C. Miles makes 2-pt shot from 3 ft
2:36.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Meeks),2,21-14,,
2:36.0,Shooting foul by I. Mahinmi (drawn by G. Monroe),,21-14,,
2:36.0,Detroit full timeout,,21-14,,
2:36.0,G. Monroe makes free throw 1 of 1,1,22-14,,
2:22.0,Personal foul by J. Jerebko (drawn by I. Mahinmi),,22-14,,
2:22.0,,,22-14,,L. Scola enters the game for D. West
2:22.0,,,22-14,,D. Sloan enters the game for C. Watson
2:12.0,,,22-14,,C. Miles misses 2-pt shot from 12 ft
2:11.0,Defensive rebound by J. Jerebko,,22-14,,
1:54.0,Turnover by J. Meeks (lost ball),,22-14,,
1:33.0,,,22-14,,L. Scola misses 2-pt shot from 2 ft
1:30.0,Defensive rebound by G. Monroe,,22-14,,
1:14.0,Shooting foul by C. Miles (drawn by J. Jerebko),,22-14,,
1:14.0,J. Jerebko makes free throw 1 of 2,1,23-14,,
1:14.0,,,23-14,,D. Rudez enters the game for R. Stuckey
1:14.0,D. Augustin enters the game for B. Jennings,,23-14,,
1:14.0,C. Butler enters the game for K. Singler,,23-14,,
1:14.0,J. Jerebko misses free throw 2 of 2,,23-14,,
1:12.0,,,23-14,,Defensive rebound by L. Scola
1:05.0,,,23-17,3,D. Rudez makes 3-pt shot from 22 ft (assist by D. Sloan)
0:37.0,J. Jerebko misses 2-pt shot from 21 ft,,23-17,,
0:36.0,,,23-17,,Defensive rebound by L. Scola
0:24.0,,,23-19,2,D. Rudez makes 2-pt shot from 11 ft
0:03.0,Turnover by J. Meeks (lost ball; steal by C. Miles),,23-19,,
0:03.0,Personal foul by J. Meeks (drawn by C. Miles),,23-19,,
0:00.0,,,23-19,,D. Sloan misses 3-pt shot from 30 ft
0:00.0,,,23-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-21,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by L. Scola)
11:36.0,Turnover by J. Meeks (lost ball; steal by C. Miles),,23-21,,
11:32.0,,,23-23,2,L. Scola makes 2-pt shot at rim (assist by C. Miles)
11:27.0,Offensive charge foul by D. Augustin,,23-23,,
11:27.0,Turnover by D. Augustin (offensive foul),,23-23,,
11:27.0,Violation by Team (delay of game),,23-23,,
11:21.0,,,23-23,,L. Scola misses 2-pt shot from 18 ft
11:20.0,Defensive rebound by J. Meeks,,23-23,,
11:13.0,J. Jerebko misses 3-pt shot from 25 ft,,23-23,,
11:11.0,Offensive rebound by A. Drummond,,23-23,,
11:10.0,A. Drummond makes 2-pt shot from 1 ft,2,25-23,,
10:55.0,,,25-23,,L. Scola misses 2-pt shot from 17 ft
10:54.0,Defensive rebound by D. Augustin,,25-23,,
10:38.0,D. Augustin misses 2-pt shot from 4 ft,,25-23,,
10:37.0,Offensive rebound by A. Drummond,,25-23,,
10:37.0,A. Drummond misses 2-pt shot from 2 ft,,25-23,,
10:36.0,Offensive rebound by A. Drummond,,25-23,,
10:36.0,A. Drummond makes 2-pt shot from 2 ft,2,27-23,,
10:36.0,Shooting foul by L. Scola (drawn by A. Drummond),,27-23,,
10:36.0,A. Drummond makes free throw 1 of 1,1,28-23,,
10:19.0,,,28-25,2,C. Miles makes 2-pt shot from 13 ft (assist by D. Sloan)
9:56.0,J. Meeks misses 3-pt shot from 25 ft,,28-25,,
9:53.0,,,28-25,,Defensive rebound by Team
9:40.0,,,28-25,,Turnover by C. Miles (bad pass; steal by J. Jerebko)
9:30.0,A. Drummond misses 2-pt shot from 6 ft,,28-25,,
9:29.0,,,28-25,,Defensive rebound by I. Mahinmi
9:22.0,Shooting block foul by J. Jerebko (drawn by D. Sloan),,28-25,,
9:22.0,,,28-26,1,D. Sloan makes free throw 1 of 2
9:22.0,A. Tolliver enters the game for J. Jerebko,,28-26,,
9:22.0,,,28-27,1,D. Sloan makes free throw 2 of 2
9:11.0,Turnover by D. Augustin (bad pass; steal by C. Miles),,28-27,,
9:06.0,,,28-29,2,L. Scola makes 2-pt shot from 2 ft (assist by D. Sloan)
8:50.0,J. Meeks makes 2-pt shot from 19 ft (assist by D. Augustin),2,30-29,,
8:34.0,,,30-29,,D. Rudez misses 3-pt shot from 23 ft
8:33.0,,,30-29,,Offensive rebound by L. Scola
8:32.0,,,30-29,,L. Scola misses 2-pt shot from 2 ft
8:31.0,,,30-29,,Offensive rebound by I. Mahinmi
8:31.0,,,30-29,,I. Mahinmi misses 2-pt shot from 2 ft
8:29.0,,,30-29,,Offensive rebound by I. Mahinmi
8:29.0,,,30-29,,I. Mahinmi misses 2-pt shot from 1 ft (block by A. Tolliver)
8:28.0,Defensive rebound by D. Augustin,,30-29,,
8:23.0,C. Butler misses 3-pt shot from 25 ft,,30-29,,
8:22.0,,,30-29,,Defensive rebound by D. Sloan
8:16.0,,,30-31,2,D. Sloan makes 2-pt shot from 4 ft
7:50.0,A. Tolliver misses 3-pt shot from 24 ft,,30-31,,
7:49.0,,,30-31,,Defensive rebound by C. Miles
7:42.0,,,30-34,3,D. Sloan makes 3-pt shot from 25 ft (assist by C. Miles)
7:33.0,Detroit full timeout,,30-34,,
7:25.0,Turnover by D. Augustin (bad pass; steal by I. Mahinmi),,30-34,,
7:04.0,,,30-34,,C. Miles misses 2-pt shot from 12 ft
7:01.0,Defensive rebound by C. Butler,,30-34,,
6:54.0,Turnover by D. Augustin (lost ball),,30-34,,
6:40.0,,,30-36,2,I. Mahinmi makes 2-pt shot from 2 ft (assist by C. Miles)
6:19.0,A. Tolliver makes 3-pt shot from 23 ft (assist by D. Augustin),3,33-36,,
6:02.0,,,33-36,,L. Scola misses 2-pt shot from 1 ft
6:01.0,,,33-36,,Offensive rebound by L. Scola
6:01.0,,,33-38,2,L. Scola makes 2-pt shot from 1 ft
5:48.0,J. Meeks makes 2-pt shot from 4 ft (assist by D. Augustin),2,35-38,,
5:31.0,,,35-38,,C. Miles misses 2-pt shot from 20 ft
5:30.0,Defensive rebound by D. Augustin,,35-38,,
5:22.0,C. Butler misses 2-pt shot from 19 ft,,35-38,,
5:21.0,,,35-38,,Defensive rebound by I. Mahinmi
5:05.0,,,35-40,2,C. Miles makes 2-pt shot from 3 ft
4:53.0,A. Tolliver misses 3-pt shot from 23 ft,,35-40,,
4:51.0,Offensive rebound by A. Drummond,,35-40,,
4:51.0,A. Drummond misses 2-pt shot from 1 ft,,35-40,,
4:49.0,,,35-40,,Defensive rebound by I. Mahinmi
4:39.0,,,35-43,3,D. Rudez makes 3-pt shot from 25 ft
4:25.0,Detroit full timeout,,35-43,,
4:25.0,Official timeout,,35-43,,
4:25.0,,,35-43,,S. Hill enters the game for C. Miles
4:25.0,K. Singler enters the game for D. Augustin,,35-43,,
4:25.0,G. Monroe enters the game for C. Butler,,35-43,,
4:25.0,B. Jennings enters the game for A. Tolliver,,35-43,,
4:14.0,J. Meeks misses 3-pt shot from 23 ft,,35-43,,
4:13.0,Offensive rebound by A. Drummond,,35-43,,
4:07.0,A. Drummond misses 2-pt shot from 4 ft,,35-43,,
4:06.0,,,35-43,,Defensive rebound by L. Scola
3:48.0,,,35-45,2,D. Rudez makes 2-pt shot from 19 ft (assist by D. Sloan)
3:32.0,B. Jennings makes 3-pt shot from 25 ft (assist by A. Drummond),3,38-45,,
3:16.0,,,38-45,,D. West enters the game for L. Scola
3:16.0,K. Caldwell-Pope enters the game for J. Meeks,,38-45,,
3:16.0,,,38-45,,C. Watson enters the game for D. Sloan
3:05.0,,,38-45,,D. West misses 2-pt shot from 17 ft
3:03.0,Defensive rebound by K. Singler,,38-45,,
2:51.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,38-45,,
2:50.0,,,38-45,,Defensive rebound by D. Rudez
2:32.0,Personal foul by K. Singler (drawn by D. Rudez),,38-45,,
2:32.0,,,38-45,,Indiana full timeout
2:32.0,,,38-45,,R. Stuckey enters the game for I. Mahinmi
2:32.0,,,38-45,,R. Hibbert enters the game for D. Rudez
2:18.0,,,38-47,2,R. Hibbert makes 2-pt shot from 11 ft
1:55.0,B. Jennings makes 3-pt shot from 24 ft (assist by G. Monroe),3,41-47,,
1:37.0,Personal block foul by A. Drummond (drawn by R. Hibbert),,41-47,,
1:31.0,,,41-47,,R. Hibbert misses 2-pt shot from 6 ft
1:30.0,Defensive rebound by A. Drummond,,41-47,,
1:09.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Jennings),3,44-47,,
0:45.0,,,44-49,2,R. Hibbert makes 2-pt shot from 9 ft
0:38.0,B. Jennings misses 2-pt shot from 2 ft,,44-49,,
0:37.0,Offensive rebound by A. Drummond,,44-49,,
0:37.0,A. Drummond makes 2-pt shot at rim,2,46-49,,
0:25.0,,,46-51,2,R. Hibbert makes 2-pt shot from 18 ft (assist by R. Stuckey)
0:10.0,,,46-51,,Personal take foul by C. Watson (drawn by B. Jennings)
0:07.0,Detroit full timeout,,46-51,,
0:07.0,A. Tolliver enters the game for G. Monroe,,46-51,,
0:07.0,,,46-51,,C. Miles enters the game for C. Watson
0:02.0,B. Jennings makes 3-pt shot from 23 ft,3,49-51,,
0:00.0,,,49-51,,Turnover by D. West (bad pass)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,49-53,2,D. West makes 2-pt shot from 10 ft
11:23.0,Turnover by G. Monroe (traveling),,49-53,,
11:07.0,,,49-53,,R. Stuckey misses 2-pt shot from 4 ft
11:06.0,,,49-53,,Offensive rebound by R. Hibbert
11:06.0,,,49-55,2,R. Hibbert makes 2-pt shot from 1 ft
10:36.0,B. Jennings misses 3-pt shot from 26 ft,,49-55,,
10:36.0,Offensive rebound by Team,,49-55,,
10:36.0,Turnover by Team (shot clock),,49-55,,
10:20.0,,,49-57,2,R. Hibbert makes 2-pt shot from 6 ft (assist by D. West)
9:58.0,G. Monroe misses 2-pt shot from 4 ft (block by R. Hibbert),,49-57,,
9:56.0,,,49-57,,Defensive rebound by S. Hill
9:50.0,,,49-57,,R. Stuckey misses 2-pt shot from 13 ft
9:49.0,Defensive rebound by B. Jennings,,49-57,,
9:36.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,51-57,,
9:18.0,,,51-59,2,S. Hill makes 2-pt shot from 10 ft
9:06.0,B. Jennings misses 2-pt shot from 4 ft,,51-59,,
9:04.0,,,51-59,,Defensive rebound by R. Stuckey
8:55.0,,,51-62,3,S. Hill makes 3-pt shot from 23 ft (assist by R. Stuckey)
8:53.0,Detroit full timeout,,51-62,,
8:37.0,K. Singler makes 2-pt shot from 5 ft (assist by G. Monroe),2,53-62,,
8:21.0,,,53-62,,D. West misses 2-pt shot from 22 ft
8:20.0,Defensive rebound by A. Drummond,,53-62,,
8:11.0,B. Jennings makes 2-pt shot from 11 ft,2,55-62,,
7:47.0,,,55-64,2,R. Stuckey makes 2-pt shot from 13 ft (assist by C. Watson)
7:35.0,,,55-64,,Personal foul by D. West (drawn by A. Drummond)
7:24.0,G. Monroe misses 2-pt shot from 16 ft,,55-64,,
7:24.0,,,55-64,,Defensive rebound by Team
7:24.0,Personal foul by A. Drummond (drawn by R. Hibbert),,55-64,,
7:18.0,Personal foul by B. Jennings (drawn by C. Watson),,55-64,,
7:08.0,,,55-64,,D. West misses 2-pt shot from 5 ft
7:07.0,Defensive rebound by A. Drummond,,55-64,,
6:58.0,B. Jennings makes 3-pt shot from 26 ft (assist by G. Monroe),3,58-64,,
