time,Golden State,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. N. Pekovic (S. Curry gains possession),,,,Jump ball: A. Bogut vs. N. Pekovic (S. Curry gains possession)
11:45.0,Turnover by K. Thompson (lost ball; steal by R. Rubio),,0-0,,
11:39.0,,,0-2,2,K. Martin makes 2-pt shot from 1 ft
11:24.0,D. Green misses 3-pt shot from 25 ft,,0-2,,
11:23.0,Offensive rebound by S. Curry,,0-2,,
11:14.0,A. Bogut makes 2-pt shot from 7 ft (assist by S. Curry),2,2-2,,
10:57.0,,,2-2,,N. Pekovic misses 2-pt shot from 6 ft
10:56.0,Defensive rebound by D. Green,,2-2,,
10:45.0,H. Barnes makes 2-pt shot from 21 ft (assist by A. Bogut),2,4-2,,
10:28.0,,,4-4,2,A. Wiggins makes 2-pt shot from 19 ft
10:18.0,S. Curry misses 3-pt shot from 24 ft,,4-4,,
10:17.0,,,4-4,,Defensive rebound by K. Martin
10:08.0,,,4-4,,R. Rubio misses 2-pt shot from 17 ft
10:07.0,,,4-4,,Offensive rebound by Team
10:03.0,,,4-4,,K. Martin misses 2-pt shot from 20 ft
10:02.0,,,4-4,,Offensive rebound by A. Wiggins
9:59.0,,,4-7,3,R. Rubio makes 3-pt shot from 25 ft (assist by A. Wiggins)
9:45.0,K. Thompson misses 3-pt shot from 24 ft,,4-7,,
9:43.0,,,4-7,,Defensive rebound by T. Young
9:30.0,,,4-7,,N. Pekovic misses 2-pt shot from 5 ft
9:29.0,Defensive rebound by H. Barnes,,4-7,,
9:21.0,D. Green makes 2-pt shot from 6 ft (assist by S. Curry),2,6-7,,
9:04.0,,,6-9,2,T. Young makes 2-pt shot from 10 ft
8:51.0,S. Curry makes 2-pt shot from 6 ft,2,8-9,,
8:51.0,Shooting foul by R. Rubio (drawn by S. Curry),,8-9,,
8:51.0,S. Curry makes free throw 1 of 1,1,9-9,,
8:39.0,,,9-9,,R. Rubio misses 2-pt shot from 17 ft
8:38.0,Defensive rebound by D. Green,,9-9,,
8:27.0,K. Thompson misses 2-pt shot from 20 ft,,9-9,,
8:26.0,Offensive rebound by H. Barnes,,9-9,,
8:10.0,H. Barnes misses 2-pt shot from 16 ft,,9-9,,
8:09.0,,,9-9,,Defensive rebound by N. Pekovic
8:04.0,,,9-9,,A. Wiggins misses 2-pt shot from 1 ft
8:02.0,Defensive rebound by S. Curry,,9-9,,
7:57.0,S. Curry makes 2-pt shot from 15 ft,2,11-9,,
7:39.0,,,11-9,,R. Rubio misses 3-pt shot from 25 ft
7:38.0,Defensive rebound by A. Bogut,,11-9,,
7:27.0,K. Thompson misses 2-pt shot from 5 ft,,11-9,,
7:25.0,,,11-9,,Defensive rebound by N. Pekovic
7:19.0,,,11-9,,Turnover by T. Young (lost ball; steal by D. Green)
7:14.0,Turnover by S. Curry (lost ball),,11-9,,
7:14.0,,,11-9,,Minnesota full timeout
6:57.0,,,11-9,,N. Pekovic misses 2-pt shot at rim
6:56.0,Defensive rebound by D. Green,,11-9,,
6:44.0,Turnover by A. Bogut (lost ball),,11-9,,
6:32.0,,,11-12,3,K. Martin makes 3-pt shot from 24 ft (assist by R. Rubio)
6:05.0,K. Thompson misses 3-pt shot from 23 ft,,11-12,,
6:03.0,Offensive rebound by Team,,11-12,,
6:03.0,,,11-12,,Z. LaVine enters the game for R. Rubio
5:59.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,13-12,,
5:37.0,,,13-12,,Turnover by K. Martin (bad pass; steal by S. Curry)
5:32.0,S. Curry misses 3-pt shot from 24 ft,,13-12,,
5:31.0,Offensive rebound by H. Barnes,,13-12,,
5:28.0,K. Thompson makes 3-pt shot from 24 ft (assist by H. Barnes),3,16-12,,
5:08.0,,,16-12,,Z. LaVine misses 2-pt shot from 17 ft
5:07.0,Defensive rebound by H. Barnes,,16-12,,
4:50.0,Turnover by S. Curry (bad pass; steal by A. Wiggins),,16-12,,
4:42.0,,,16-14,2,T. Young makes 2-pt shot from 7 ft (assist by A. Wiggins)
4:25.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,18-14,,
4:08.0,,,18-14,,K. Martin misses 2-pt shot from 18 ft
4:08.0,,,18-14,,Offensive rebound by K. Martin
4:08.0,Personal foul by S. Curry (drawn by K. Martin),,18-14,,
4:08.0,L. Barbosa enters the game for K. Thompson,,18-14,,
4:08.0,A. Iguodala enters the game for H. Barnes,,18-14,,
4:00.0,,,18-16,2,T. Young makes 2-pt shot from 21 ft (assist by N. Pekovic)
3:41.0,D. Green misses 2-pt shot from 3 ft,,18-16,,
3:40.0,,,18-16,,Defensive rebound by N. Pekovic
3:32.0,,,18-18,2,K. Martin makes 2-pt shot from 19 ft
3:24.0,Golden State full timeout,,18-18,,
3:20.0,A. Bogut misses 2-pt shot from 4 ft,,18-18,,
3:19.0,Offensive rebound by S. Curry,,18-18,,
3:16.0,S. Curry makes 2-pt shot from 10 ft,2,20-18,,
3:02.0,,,20-18,,Turnover by Z. LaVine (bad pass; steal by S. Curry)
2:57.0,Shooting foul by Z. LaVine (drawn by S. Curry),,20-18,,
2:57.0,S. Curry makes free throw 1 of 2,1,21-18,,
2:57.0,S. Curry makes free throw 2 of 2,1,22-18,,
2:35.0,,,22-18,,T. Young misses 2-pt shot from 6 ft
2:34.0,,,22-18,,Offensive rebound by N. Pekovic
2:33.0,,,22-20,2,N. Pekovic makes 2-pt shot from 2 ft
2:21.0,S. Curry misses 3-pt shot from 24 ft,,22-20,,
2:20.0,,,22-20,,Defensive rebound by T. Young
2:12.0,,,22-20,,K. Martin misses 2-pt shot from 18 ft
2:11.0,Defensive rebound by A. Bogut,,22-20,,
2:08.0,Turnover by A. Bogut (lost ball; steal by K. Martin),,22-20,,
2:04.0,,,22-23,3,K. Martin makes 3-pt shot from 24 ft
1:47.0,L. Barbosa misses 3-pt shot from 24 ft,,22-23,,
1:46.0,Offensive rebound by D. Green,,22-23,,
1:43.0,S. Curry misses 3-pt shot from 22 ft,,22-23,,
1:40.0,,,22-23,,Defensive rebound by N. Pekovic
1:28.0,,,22-25,2,N. Pekovic makes 2-pt shot from 6 ft (assist by K. Martin)
1:18.0,S. Curry makes 2-pt shot from 17 ft,2,24-25,,
0:59.0,,,24-25,,T. Young misses 2-pt shot from 18 ft
0:58.0,,,24-25,,Offensive rebound by N. Pekovic
0:54.0,,,24-25,,Z. LaVine misses 2-pt shot from 1 ft
0:53.0,Defensive rebound by A. Bogut,,24-25,,
0:48.0,A. Iguodala makes 2-pt shot from 2 ft (assist by S. Curry),2,26-25,,
0:37.0,Personal foul by A. Iguodala (drawn by A. Wiggins),,26-25,,
0:37.0,,,26-25,,S. Muhammad enters the game for A. Wiggins
0:37.0,M. Speights enters the game for A. Bogut,,26-25,,
0:27.0,,,26-25,,K. Martin misses 2-pt shot from 11 ft
0:26.0,Defensive rebound by M. Speights,,26-25,,
0:08.0,,,26-25,,Personal take foul by K. Martin (drawn by A. Iguodala)
0:02.0,A. Iguodala makes 2-pt shot from 1 ft,2,28-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,28-25,,R. Rubio misses 3-pt shot from 24 ft (block by S. Livingston)
11:39.0,,,28-25,,Offensive rebound by R. Rubio
11:37.0,,,28-25,,T. Young misses 3-pt shot from 35 ft
11:36.0,,,28-25,,Offensive rebound by Team
11:36.0,,,28-25,,Turnover by Team (shot clock)
11:15.0,M. Speights makes 2-pt shot from 5 ft (assist by A. Iguodala),2,30-25,,
10:59.0,,,30-25,,S. Muhammad misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by S. Livingston,,30-25,,
10:53.0,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston),2,32-25,,
10:47.0,,,32-25,,Minnesota full timeout
10:47.0,,,32-25,,A. Bennett enters the game for T. Young
10:35.0,,,32-27,2,K. Martin makes 2-pt shot from 18 ft (assist by G. Dieng)
10:18.0,M. Speights misses 2-pt shot from 17 ft,,32-27,,
10:17.0,,,32-27,,Defensive rebound by R. Rubio
10:10.0,,,32-27,,G. Dieng misses 2-pt shot at rim (block by D. Lee)
10:09.0,Defensive rebound by D. Lee,,32-27,,
10:05.0,A. Iguodala makes 2-pt shot from 1 ft,2,34-27,,
10:01.0,Violation by Team (delay of game),,34-27,,
9:44.0,,,34-27,,G. Dieng misses 2-pt shot from 19 ft
9:42.0,Defensive rebound by D. Lee,,34-27,,
9:24.0,M. Speights misses 2-pt shot from 16 ft,,34-27,,
9:22.0,,,34-27,,Defensive rebound by A. Bennett
9:08.0,,,34-27,,G. Dieng misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by M. Speights,,34-27,,
9:03.0,L. Barbosa makes 2-pt shot from 1 ft (assist by A. Iguodala),2,36-27,,
8:49.0,,,36-27,,K. Martin misses 3-pt shot from 24 ft
8:48.0,Defensive rebound by S. Livingston,,36-27,,
8:40.0,Turnover by A. Iguodala (bad pass),,36-27,,
