time,Charlotte,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. C. Zeller (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. C. Zeller (R. Jackson gains possession)
11:47.0,,,0-0,,R. Jackson misses 2-pt shot from 15 ft
11:46.0,,,0-0,,Offensive rebound by R. Jackson
11:34.0,,,0-0,,G. Monroe misses 2-pt shot from 4 ft (block by G. Henderson)
11:33.0,,,0-0,,Offensive rebound by Team
11:24.0,,,0-2,2,K. Caldwell-Pope makes 2-pt shot at rim
11:02.0,M. Williams makes 2-pt shot from 5 ft,2,2-2,,
10:47.0,,,2-2,,Turnover by G. Monroe (bad pass; steal by C. Zeller)
10:31.0,A. Jefferson makes 2-pt shot at rim (assist by M. Williams),2,4-2,,
10:11.0,,,4-4,2,K. Caldwell-Pope makes 2-pt shot from 20 ft (assist by T. Prince)
9:54.0,Shooting foul by A. Drummond (drawn by A. Jefferson),,4-4,,
9:54.0,A. Jefferson makes free throw 1 of 2,1,5-4,,
9:54.0,A. Jefferson makes free throw 2 of 2,1,6-4,,
9:42.0,,,6-4,,A. Drummond misses 2-pt shot from 4 ft
9:41.0,,,6-4,,Offensive rebound by G. Monroe
9:41.0,,,6-6,2,G. Monroe makes 2-pt shot at rim
9:14.0,Turnover by Team (shot clock),,6-6,,
8:56.0,,,6-8,2,G. Monroe makes 2-pt shot at rim (assist by K. Caldwell-Pope)
8:56.0,,,6-8,,Shooting foul by A. Jefferson (drawn by G. Monroe)
8:56.0,,,6-9,1,G. Monroe makes free throw 1 of 1
8:48.0,,,6-9,,Personal foul by A. Drummond (drawn by G. Henderson)
8:48.0,,,6-9,,A. Tolliver enters the game for A. Drummond
8:42.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by G. Henderson),2,8-9,,
8:24.0,,,8-9,,R. Jackson misses 2-pt shot from 5 ft
8:23.0,Defensive rebound by G. Henderson,,8-9,,
8:17.0,Shooting foul by T. Prince (drawn by M. Kidd-Gilchrist),,8-9,,
8:17.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,9-9,,
8:17.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,10-9,,
7:58.0,,,10-11,2,T. Prince makes 2-pt shot from 20 ft (assist by R. Jackson)
7:52.0,Charlotte full timeout,,10-11,,
7:47.0,G. Henderson makes 2-pt shot at rim,2,12-11,,
7:31.0,,,12-13,2,G. Monroe makes 2-pt shot at rim
7:07.0,,,12-13,,Personal foul by A. Tolliver (drawn by M. Williams)
7:07.0,M. Williams makes free throw 1 of 2,1,13-13,,
7:07.0,M. Williams makes free throw 2 of 2,1,14-13,,
6:56.0,,,14-15,2,T. Prince makes 2-pt shot from 16 ft (assist by G. Monroe)
6:39.0,A. Jefferson misses 2-pt shot from 6 ft,,14-15,,
6:38.0,Offensive rebound by Team,,14-15,,
6:37.0,,,14-15,,Loose ball foul by A. Tolliver (drawn by C. Zeller)
6:37.0,C. Zeller makes free throw 1 of 2,1,15-15,,
6:37.0,,,15-15,,S. Williams enters the game for A. Tolliver
6:37.0,C. Zeller makes free throw 2 of 2,1,16-15,,
6:20.0,,,16-17,2,R. Jackson makes 2-pt shot at rim (assist by G. Monroe)
6:07.0,M. Williams misses 3-pt shot from 25 ft,,16-17,,
6:06.0,,,16-17,,Defensive rebound by K. Caldwell-Pope
