time,Toronto,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. J. Valanciunas (P. Millsap gains possession),,,,Jump ball: A. Horford vs. J. Valanciunas (P. Millsap gains possession)
11:36.0,,,0-0,,P. Millsap misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by D. DeRozan,,0-0,,
11:14.0,J. Valanciunas misses 2-pt shot from 2 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by A. Horford
11:03.0,,,0-0,,Turnover by P. Millsap (bad pass)
10:47.0,T. Ross makes 2-pt shot from 20 ft,2,2-0,,
10:23.0,,,2-0,,A. Horford misses 2-pt shot from 15 ft
10:22.0,,,2-0,,Offensive rebound by P. Millsap
10:14.0,,,2-0,,D. Carroll misses 2-pt shot from 10 ft
10:13.0,,,2-0,,Offensive rebound by P. Millsap
10:10.0,,,2-2,2,A. Horford makes 2-pt shot from 16 ft (assist by P. Millsap)
9:47.0,Turnover by D. DeRozan (traveling),,2-2,,
9:37.0,,,2-5,3,J. Teague makes 3-pt shot from 24 ft
9:14.0,A. Johnson misses 3-pt shot from 25 ft,,2-5,,
9:12.0,Offensive rebound by D. DeRozan,,2-5,,
9:01.0,K. Lowry misses 3-pt shot from 24 ft,,2-5,,
8:59.0,Offensive rebound by J. Valanciunas,,2-5,,
8:57.0,J. Valanciunas makes 2-pt shot from 1 ft,2,4-5,,
8:49.0,Personal foul by K. Lowry (drawn by J. Teague),,4-5,,
8:47.0,,,4-7,2,K. Korver makes 2-pt shot from 18 ft (assist by J. Teague)
8:20.0,D. DeRozan makes 2-pt shot from 19 ft,2,6-7,,
7:46.0,,,6-7,,J. Teague misses 2-pt shot from 6 ft (block by J. Valanciunas)
7:44.0,Defensive rebound by K. Lowry,,6-7,,
7:44.0,Turnover by K. Lowry (step out of bounds),,6-7,,
7:39.0,,,6-9,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
7:23.0,Shooting foul by J. Teague (drawn by D. DeRozan),,6-9,,
7:23.0,D. DeRozan makes 2-pt shot from 4 ft,2,8-9,,
7:23.0,D. DeRozan makes free throw 1 of 1,1,9-9,,
7:12.0,,,9-9,,K. Korver misses 2-pt shot from 10 ft
7:11.0,Defensive rebound by J. Valanciunas,,9-9,,
7:00.0,D. DeRozan makes 2-pt shot from 18 ft (assist by K. Lowry),2,11-9,,
6:42.0,,,11-11,2,P. Millsap makes 2-pt shot from 5 ft (assist by J. Teague)
6:33.0,T. Ross makes 3-pt shot from 25 ft (assist by D. DeRozan),3,14-11,,
6:17.0,,,14-14,3,D. Carroll makes 3-pt shot from 25 ft (assist by J. Teague)
6:05.0,,,14-14,,Personal foul by P. Millsap (drawn by D. DeRozan)
