time,LA Clippers,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Valanciunas (C. Paul gains possession),,,,Jump ball: D. Jordan vs. J. Valanciunas (C. Paul gains possession)
11:39.0,C. Paul misses 2-pt shot from 20 ft,,0-0,,
11:38.0,Offensive rebound by D. Jordan,,0-0,,
11:34.0,D. Jordan makes 2-pt shot from 1 ft,2,2-0,,
11:15.0,,,2-0,,J. Valanciunas misses 2-pt shot from 13 ft
11:14.0,Defensive rebound by D. Jordan,,2-0,,
10:56.0,M. Barnes makes 2-pt shot from 21 ft (assist by C. Paul),2,4-0,,
10:29.0,,,4-0,,G. Vasquez misses 3-pt shot from 26 ft
10:28.0,Defensive rebound by M. Barnes,,4-0,,
10:18.0,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin),3,7-0,,
9:58.0,,,7-0,,D. DeRozan misses 2-pt shot from 15 ft
9:57.0,,,7-0,,Offensive rebound by A. Johnson
9:55.0,,,7-2,2,A. Johnson makes 2-pt shot at rim
9:50.0,,,7-2,,Shooting block foul by J. Valanciunas (drawn by M. Barnes)
9:50.0,M. Barnes makes free throw 1 of 2,1,8-2,,
9:50.0,M. Barnes makes free throw 2 of 2,1,9-2,,
9:32.0,,,9-2,,Turnover by K. Lowry (lost ball; steal by C. Paul)
9:28.0,C. Paul makes 2-pt shot from 1 ft,2,11-2,,
9:20.0,,,11-2,,Toronto full timeout
9:05.0,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul),2,13-2,,
8:49.0,,,13-2,,Turnover by G. Vasquez (bad pass; steal by A. Rivers)
8:46.0,Shooting foul by G. Vasquez (drawn by B. Griffin),,13-2,,
8:46.0,B. Griffin makes free throw 1 of 2,1,14-2,,
8:46.0,,,14-2,,L. Williams enters the game for G. Vasquez
8:46.0,,,14-2,,P. Patterson enters the game for A. Johnson
8:46.0,B. Griffin makes free throw 2 of 2,1,15-2,,
8:32.0,,,15-2,,D. DeRozan misses 2-pt shot from 20 ft
8:31.0,Defensive rebound by B. Griffin,,15-2,,
8:24.0,C. Paul misses 3-pt shot from 26 ft,,15-2,,
8:23.0,,,15-2,,Defensive rebound by D. DeRozan
8:12.0,,,15-4,2,D. DeRozan makes 2-pt shot at rim
8:05.0,M. Barnes misses 3-pt shot from 24 ft,,15-4,,
8:04.0,,,15-4,,Defensive rebound by J. Valanciunas
7:52.0,,,15-4,,P. Patterson misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by D. Jordan,,15-4,,
7:39.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,17-4,,
7:18.0,,,17-4,,Turnover by J. Valanciunas (lost ball; steal by A. Rivers)
7:13.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,19-4,,
7:06.0,,,19-4,,Toronto full timeout
6:47.0,,,19-4,,D. DeRozan misses 2-pt shot from 20 ft
6:47.0,,,19-4,,Offensive rebound by Team
6:47.0,Loose ball foul by A. Rivers (drawn by J. Valanciunas),,19-4,,
6:40.0,,,19-4,,P. Patterson misses 2-pt shot from 16 ft
6:39.0,Defensive rebound by M. Barnes,,19-4,,
6:28.0,A. Rivers misses 3-pt shot from 23 ft,,19-4,,
6:27.0,,,19-4,,Defensive rebound by L. Williams
6:21.0,,,19-4,,K. Lowry misses 3-pt shot from 28 ft
6:20.0,Defensive rebound by C. Paul,,19-4,,
5:58.0,C. Paul misses 3-pt shot from 26 ft,,19-4,,
5:57.0,,,19-4,,Defensive rebound by P. Patterson
5:39.0,,,19-6,2,L. Williams makes 2-pt shot from 4 ft
5:34.0,LA Clippers full timeout,,19-6,,
5:34.0,J. Crawford enters the game for A. Rivers,,19-6,,
5:34.0,,,19-6,,A. Johnson enters the game for J. Valanciunas
5:22.0,B. Griffin misses 2-pt shot from 4 ft,,19-6,,
5:21.0,Offensive rebound by D. Jordan,,19-6,,
5:18.0,D. Jordan misses 2-pt shot from 2 ft,,19-6,,
5:17.0,,,19-6,,Defensive rebound by P. Patterson
5:05.0,,,19-6,,L. Williams misses 2-pt shot from 13 ft
5:04.0,Defensive rebound by M. Barnes,,19-6,,
4:53.0,M. Barnes makes 2-pt shot from 3 ft (assist by B. Griffin),2,21-6,,
4:33.0,,,21-8,2,K. Lowry makes 2-pt shot from 14 ft
4:08.0,B. Griffin makes 2-pt shot from 16 ft,2,23-8,,
3:53.0,,,23-8,,Shooting foul by M. Barnes (drawn by D. DeRozan)
3:53.0,,,23-9,1,D. DeRozan makes free throw 1 of 2
3:53.0,S. Hawes enters the game for B. Griffin,,23-9,,
3:53.0,,,23-10,1,D. DeRozan makes free throw 2 of 2
3:41.0,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul),2,25-10,,
3:20.0,,,25-10,,D. DeRozan misses 2-pt shot from 18 ft
3:19.0,Defensive rebound by D. Jordan,,25-10,,
3:12.0,J. Crawford misses 2-pt shot from 4 ft,,25-10,,
3:11.0,Offensive rebound by D. Jordan,,25-10,,
3:09.0,D. Jordan makes 2-pt shot at rim,2,27-10,,
2:59.0,,,27-10,,P. Patterson misses 3-pt shot from 23 ft
2:58.0,Defensive rebound by C. Paul,,27-10,,
2:34.0,S. Hawes makes 3-pt shot from 25 ft (assist by C. Paul),3,30-10,,
2:10.0,,,30-13,3,L. Williams makes 3-pt shot from 22 ft (assist by P. Patterson)
1:50.0,Shooting foul by L. Williams (drawn by D. Jordan),,30-13,,
1:50.0,D. Jordan makes free throw 1 of 2,1,31-13,,
1:50.0,,,31-13,,T. Ross enters the game for K. Lowry
1:50.0,,,31-13,,G. Vasquez enters the game for D. DeRozan
1:50.0,D. Jordan misses free throw 2 of 2,,31-13,,
1:49.0,,,31-13,,Defensive rebound by T. Ross
1:31.0,,,31-13,,T. Ross misses 3-pt shot from 23 ft
1:30.0,,,31-13,,Offensive rebound by P. Patterson
1:19.0,,,31-13,,Shooting foul by D. Jordan (drawn by T. Ross)
1:19.0,,,31-13,,T. Ross misses free throw 1 of 2
1:19.0,,,31-13,,Offensive rebound by Team
1:19.0,,,31-13,,T. Ross misses free throw 2 of 2
1:18.0,Defensive rebound by M. Barnes,,31-13,,
1:08.0,Turnover by C. Paul (bad pass; steal by A. Johnson),,31-13,,
1:01.0,,,31-16,3,G. Vasquez makes 3-pt shot from 25 ft (assist by T. Ross)
0:45.0,J. Crawford misses 3-pt shot from 23 ft,,31-16,,
0:44.0,,,31-16,,Defensive rebound by Team
0:44.0,A. Rivers enters the game for C. Paul,,31-16,,
0:37.0,,,31-19,3,L. Williams makes 3-pt shot from 24 ft
0:14.0,J. Crawford makes 3-pt shot from 27 ft,3,34-19,,
0:00.0,,,34-19,,L. Williams misses 3-pt shot from 25 ft
0:00.0,,,34-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,34-19,,Turnover by T. Ross (lost ball; steal by A. Rivers)
11:39.0,B. Griffin makes 2-pt shot from 2 ft (assist by A. Rivers),2,36-19,,
11:31.0,Personal foul by M. Barnes (drawn by L. Williams),,36-19,,
11:20.0,,,36-21,2,G. Vasquez makes 2-pt shot from 10 ft (assist by T. Ross)
11:17.0,Shooting foul by T. Ross (drawn by B. Griffin),,36-21,,
11:17.0,B. Griffin makes free throw 1 of 2,1,37-21,,
11:17.0,D. Jones enters the game for M. Barnes,,37-21,,
11:17.0,B. Griffin makes free throw 2 of 2,1,38-21,,
10:55.0,,,38-21,,Shooting foul by D. Jones (drawn by L. Williams)
10:55.0,,,38-22,1,L. Williams makes free throw 1 of 3
10:55.0,,,38-23,1,L. Williams makes free throw 2 of 3
10:55.0,,,38-24,1,L. Williams makes free throw 3 of 3
10:45.0,Shooting foul by T. Ross (drawn by J. Crawford),,38-24,,
10:45.0,J. Crawford makes free throw 1 of 2,1,39-24,,
10:45.0,J. Crawford makes free throw 2 of 2,1,40-24,,
10:25.0,,,40-27,3,P. Patterson makes 3-pt shot from 26 ft (assist by L. Williams)
10:11.0,A. Rivers makes 2-pt shot from 16 ft (assist by B. Griffin),2,42-27,,
10:04.0,,,42-27,,Shooting foul by S. Hawes (drawn by L. Williams)
10:04.0,,,42-27,,L. Williams misses free throw 1 of 2
10:04.0,,,42-27,,Offensive rebound by Team
10:04.0,,,42-28,1,L. Williams makes free throw 2 of 2
9:44.0,J. Crawford misses 3-pt shot from 27 ft,,42-28,,
9:43.0,,,42-28,,Defensive rebound by A. Johnson
9:35.0,,,42-28,,T. Ross misses 3-pt shot from 24 ft
9:34.0,,,42-28,,Offensive rebound by A. Johnson
9:31.0,,,42-28,,A. Johnson misses 2-pt shot from 1 ft (block by B. Griffin)
9:30.0,,,42-28,,Offensive rebound by G. Vasquez
9:30.0,,,42-28,,Turnover by G. Vasquez (traveling)
9:20.0,A. Rivers misses 2-pt shot from 9 ft,,42-28,,
9:19.0,,,42-28,,Defensive rebound by T. Ross
9:14.0,,,42-31,3,P. Patterson makes 3-pt shot from 25 ft (assist by T. Ross)
9:01.0,Shooting foul by P. Patterson (drawn by B. Griffin),,42-31,,
9:01.0,B. Griffin misses free throw 1 of 2,,42-31,,
9:01.0,Offensive rebound by Team,,42-31,,
9:01.0,C. Paul enters the game for D. Jones,,42-31,,
9:01.0,B. Griffin makes free throw 2 of 2,1,43-31,,
8:45.0,,,43-33,2,A. Johnson makes 2-pt shot at rim (assist by L. Williams)
8:28.0,Offensive foul by S. Hawes,,43-33,,
8:28.0,Turnover by S. Hawes (offensive foul),,43-33,,
8:28.0,Official timeout,,43-33,,
8:14.0,,,43-35,2,A. Johnson makes 2-pt shot from 2 ft (assist by L. Williams)
7:46.0,B. Griffin misses 2-pt shot from 3 ft,,43-35,,
7:44.0,Offensive rebound by S. Hawes,,43-35,,
7:40.0,S. Hawes makes 2-pt shot at rim,2,45-35,,
