time,Sacramento,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hollins vs. T. Zeller (J. Sullinger gains possession),,,,Jump ball: R. Hollins vs. T. Zeller (J. Sullinger gains possession)
11:45.0,,,0-0,,J. Green misses 2-pt shot from 20 ft
11:44.0,Defensive rebound by D. Cousins,,0-0,,
11:22.0,D. Cousins misses 2-pt shot from 7 ft (block by T. Zeller),,0-0,,
11:21.0,Offensive rebound by D. Cousins,,0-0,,
11:19.0,D. Cousins misses 2-pt shot from 2 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by J. Sullinger
11:12.0,,,0-2,2,T. Zeller makes 2-pt shot at rim (assist by J. Sullinger)
11:12.0,,,0-2,,Shooting foul by R. Hollins (drawn by T. Zeller)
11:12.0,,,0-3,1,T. Zeller makes free throw 1 of 1
10:56.0,D. Cousins misses 2-pt shot from 20 ft,,0-3,,
10:55.0,,,0-3,,Defensive rebound by J. Green
10:47.0,,,0-3,,J. Sullinger misses 3-pt shot from 24 ft
10:45.0,Defensive rebound by R. Hollins,,0-3,,
10:35.0,Turnover by D. Collison (traveling),,0-3,,
10:13.0,,,0-5,2,J. Sullinger makes 2-pt shot from 14 ft
10:01.0,,,0-5,,Personal foul by T. Zeller (drawn by D. Cousins)
9:56.0,D. Cousins misses 2-pt shot at rim,,0-5,,
9:55.0,,,0-5,,Defensive rebound by J. Sullinger
9:40.0,,,0-7,2,A. Bradley makes 2-pt shot from 18 ft (assist by E. Turner)
9:33.0,Turnover by D. Collison (lost ball; steal by A. Bradley),,0-7,,
9:23.0,,,0-7,,J. Sullinger misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by B. McLemore,,0-7,,
9:12.0,R. Gay misses 2-pt shot from 9 ft,,0-7,,
9:11.0,,,0-7,,Defensive rebound by E. Turner
8:54.0,,,0-7,,J. Sullinger misses 2-pt shot from 18 ft
8:53.0,Defensive rebound by D. Cousins,,0-7,,
8:38.0,D. Cousins misses 2-pt shot at rim,,0-7,,
8:37.0,,,0-7,,Defensive rebound by T. Zeller
8:32.0,,,0-9,2,E. Turner makes 2-pt shot from 13 ft
8:21.0,Sacramento full timeout,,0-9,,
8:21.0,C. Landry enters the game for R. Hollins,,0-9,,
8:14.0,Shooting foul by E. Turner (drawn by B. McLemore),,0-9,,
8:14.0,B. McLemore makes free throw 1 of 2,1,1-9,,
8:14.0,B. McLemore makes free throw 2 of 2,1,2-9,,
8:01.0,,,2-11,2,J. Sullinger makes 2-pt shot from 18 ft (assist by E. Turner)
7:48.0,,,2-11,,Personal foul by J. Green (drawn by R. Gay)
7:39.0,R. Gay makes 2-pt shot from 7 ft,2,4-11,,
