time,Houston,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. D. Howard (C. Boozer gains possession),,,,Jump ball: J. Hill vs. D. Howard (C. Boozer gains possession)
11:40.0,,,0-0,,C. Boozer misses 2-pt shot from 8 ft
11:39.0,Defensive rebound by D. Howard,,0-0,,
11:23.0,D. Howard makes 2-pt shot from 5 ft (assist by J. Harden),2,2-0,,
11:05.0,,,2-0,,J. Hill misses 2-pt shot from 1 ft
11:04.0,Defensive rebound by Team,,2-0,,
10:49.0,Shooting foul by W. Johnson (drawn by D. Howard),,2-0,,
10:49.0,D. Howard misses free throw 1 of 2,,2-0,,
10:49.0,Offensive rebound by Team,,2-0,,
10:49.0,D. Howard misses free throw 2 of 2,,2-0,,
10:48.0,,,2-0,,Defensive rebound by C. Boozer
10:30.0,,,2-0,,C. Boozer misses 2-pt shot from 16 ft
10:29.0,Defensive rebound by D. Howard,,2-0,,
10:23.0,Turnover by T. Ariza (traveling),,2-0,,
10:06.0,,,2-0,,Turnover by J. Lin (lost ball; steal by T. Ariza)
9:58.0,J. Harden misses 3-pt shot from 22 ft,,2-0,,
9:57.0,Offensive rebound by T. Jones,,2-0,,
9:52.0,T. Jones misses 3-pt shot from 23 ft,,2-0,,
9:51.0,,,2-0,,Defensive rebound by W. Johnson
9:42.0,,,2-3,3,W. Johnson makes 3-pt shot from 25 ft (assist by J. Lin)
9:35.0,,,2-3,,Personal foul by J. Hill (drawn by D. Howard)
9:21.0,T. Jones makes 2-pt shot from 19 ft (assist by P. Beverley),2,4-3,,
9:21.0,Loose ball foul by D. Howard (drawn by J. Hill),,4-3,,
9:08.0,Personal foul by P. Beverley (drawn by J. Lin),,4-3,,
9:02.0,,,4-3,,K. Bryant misses 2-pt shot at rim
8:59.0,,,4-3,,Offensive rebound by J. Hill
8:59.0,,,4-3,,J. Hill misses 2-pt shot at rim
8:56.0,,,4-3,,Offensive rebound by C. Boozer
8:56.0,,,4-3,,C. Boozer misses 2-pt shot at rim
8:56.0,Defensive rebound by D. Howard,,4-3,,
8:56.0,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley),3,7-3,,
8:56.0,Shooting foul by J. Lin (drawn by T. Ariza),,7-3,,
8:56.0,T. Ariza makes free throw 1 of 1,1,8-3,,
8:38.0,,,8-5,2,K. Bryant makes 2-pt shot from 20 ft (assist by C. Boozer)
8:25.0,J. Harden misses 2-pt shot from 2 ft,,8-5,,
8:24.0,Offensive rebound by P. Beverley,,8-5,,
8:21.0,J. Harden makes 3-pt shot from 25 ft (assist by P. Beverley),3,11-5,,
8:02.0,,,11-5,,K. Bryant misses 2-pt shot from 12 ft
8:00.0,,,11-5,,Offensive rebound by J. Hill
8:00.0,,,11-7,2,J. Hill makes 2-pt shot from 1 ft
7:52.0,,,11-7,,Personal foul by K. Bryant (drawn by J. Harden)
7:52.0,J. Harden makes free throw 1 of 2,1,12-7,,
7:52.0,J. Harden makes free throw 2 of 2,1,13-7,,
7:36.0,,,13-7,,J. Lin misses 2-pt shot from 2 ft (block by T. Jones)
7:33.0,Defensive rebound by P. Beverley,,13-7,,
7:31.0,Shooting foul by W. Johnson (drawn by P. Beverley),,13-7,,
7:31.0,P. Beverley misses free throw 1 of 2,,13-7,,
7:31.0,Offensive rebound by Team,,13-7,,
7:31.0,,,13-7,,R. Price enters the game for W. Johnson
7:31.0,P. Beverley makes free throw 2 of 2,1,14-7,,
7:18.0,Personal foul by D. Howard (drawn by K. Bryant),,14-7,,
7:18.0,T. Black enters the game for D. Howard,,14-7,,
7:06.0,,,14-9,2,K. Bryant makes 2-pt shot from 20 ft (assist by J. Hill)
6:55.0,T. Black misses 2-pt shot from 2 ft,,14-9,,
6:53.0,Offensive rebound by T. Jones,,14-9,,
6:53.0,T. Jones misses 2-pt shot from 2 ft,,14-9,,
6:50.0,,,14-9,,Defensive rebound by C. Boozer
6:44.0,,,14-9,,J. Lin misses 2-pt shot from 1 ft
6:44.0,Defensive rebound by Team,,14-9,,
6:28.0,,,14-9,,Personal foul by J. Lin (drawn by J. Harden)
6:28.0,J. Harden makes free throw 1 of 2,1,15-9,,
6:28.0,,,15-9,,J. Clarkson enters the game for J. Lin
6:28.0,J. Harden makes free throw 2 of 2,1,16-9,,
6:13.0,,,16-9,,K. Bryant misses 2-pt shot from 20 ft
6:12.0,,,16-9,,Offensive rebound by C. Boozer
6:06.0,,,16-9,,J. Hill misses 2-pt shot from 16 ft
6:04.0,Defensive rebound by T. Jones,,16-9,,
5:58.0,T. Ariza misses 3-pt shot from 22 ft,,16-9,,
5:54.0,Offensive rebound by T. Jones,,16-9,,
5:54.0,T. Jones makes 2-pt shot from 1 ft,2,18-9,,
5:49.0,,,18-9,,LA Lakers full timeout
5:49.0,J. Terry enters the game for P. Beverley,,18-9,,
5:35.0,,,18-9,,K. Bryant misses 2-pt shot from 17 ft
5:34.0,,,18-9,,Offensive rebound by Team
5:34.0,Loose ball foul by T. Black (drawn by J. Hill),,18-9,,
5:20.0,,,18-9,,J. Clarkson misses 2-pt shot from 9 ft
5:18.0,Defensive rebound by T. Ariza,,18-9,,
5:02.0,T. Jones misses 2-pt shot from 19 ft,,18-9,,
5:01.0,,,18-9,,Defensive rebound by J. Clarkson
4:45.0,,,18-11,2,K. Bryant makes 2-pt shot from 6 ft
4:32.0,J. Harden misses 2-pt shot from 19 ft,,18-11,,
4:31.0,,,18-11,,Defensive rebound by J. Hill
4:23.0,,,18-11,,R. Price misses 2-pt shot from 16 ft
4:19.0,Defensive rebound by T. Jones,,18-11,,
4:12.0,T. Jones makes 2-pt shot at rim (assist by J. Harden),2,20-11,,
3:56.0,,,20-14,3,J. Clarkson makes 3-pt shot from 22 ft (assist by R. Price)
3:34.0,J. Terry misses 2-pt shot from 2 ft,,20-14,,
3:32.0,,,20-14,,Defensive rebound by C. Boozer
3:26.0,,,20-14,,J. Clarkson misses 3-pt shot from 24 ft
3:23.0,Defensive rebound by T. Jones,,20-14,,
3:20.0,Houston full timeout,,20-14,,
3:20.0,D. Motiejunas enters the game for T. Ariza,,20-14,,
3:20.0,K. Papanikolaou enters the game for T. Jones,,20-14,,
3:20.0,,,20-14,,E. Davis enters the game for C. Boozer
3:20.0,,,20-14,,X. Henry enters the game for J. Hill
3:20.0,,,20-14,,J. Randle enters the game for K. Bryant
3:11.0,,,20-14,,Personal foul by J. Clarkson (drawn by J. Harden)
3:11.0,J. Harden makes free throw 1 of 2,1,21-14,,
3:11.0,J. Harden makes free throw 2 of 2,1,22-14,,
2:50.0,,,22-14,,R. Price misses 2-pt shot from 22 ft
2:49.0,Defensive rebound by K. Papanikolaou,,22-14,,
2:38.0,J. Harden makes 2-pt shot from 2 ft,2,24-14,,
2:27.0,Personal foul by D. Motiejunas (drawn by R. Price),,24-14,,
2:27.0,,,24-15,1,R. Price makes free throw 1 of 2
2:27.0,P. Beverley enters the game for J. Harden,,24-15,,
2:27.0,D. Howard enters the game for T. Black,,24-15,,
