time,LA Clippers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. D. Jordan (S. Hawes gains possession),,,,Jump ball: M. Gasol vs. D. Jordan (S. Hawes gains possession)
11:44.0,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul),2,2-0,,
11:19.0,,,2-0,,M. Conley misses 3-pt shot from 25 ft
11:18.0,,,2-0,,Offensive rebound by M. Gasol
11:10.0,,,2-0,,M. Gasol misses 2-pt shot from 12 ft
11:09.0,Defensive rebound by S. Hawes,,2-0,,
10:56.0,M. Barnes misses 3-pt shot from 25 ft,,2-0,,
10:55.0,,,2-0,,Defensive rebound by J. Green
10:44.0,,,2-0,,Z. Randolph misses 2-pt shot from 16 ft
10:43.0,Defensive rebound by D. Jordan,,2-0,,
10:28.0,S. Hawes misses 3-pt shot from 25 ft,,2-0,,
10:27.0,,,2-0,,Defensive rebound by M. Gasol
10:03.0,,,2-3,3,C. Lee makes 3-pt shot from 24 ft (assist by J. Green)
9:50.0,J. Redick misses 3-pt shot from 23 ft,,2-3,,
9:48.0,,,2-3,,Defensive rebound by Z. Randolph
9:38.0,,,2-3,,M. Gasol misses 2-pt shot from 20 ft
9:37.0,,,2-3,,Offensive rebound by Z. Randolph
9:21.0,,,2-3,,M. Gasol misses 2-pt shot from 5 ft
9:20.0,Defensive rebound by D. Jordan,,2-3,,
9:11.0,J. Redick misses 2-pt shot from 20 ft,,2-3,,
9:11.0,,,2-3,,Defensive rebound by Z. Randolph
8:49.0,,,2-3,,J. Green misses 2-pt shot from 21 ft
8:48.0,,,2-3,,Offensive rebound by M. Gasol
8:36.0,,,2-3,,Turnover by M. Gasol (bad pass; steal by S. Hawes)
8:24.0,J. Redick makes 2-pt shot from 7 ft,2,4-3,,
8:11.0,,,4-3,,Turnover by C. Lee (lost ball; steal by D. Jordan)
8:09.0,Turnover by D. Jordan (bad pass; steal by M. Gasol),,4-3,,
8:03.0,,,4-3,,M. Gasol misses 2-pt shot from 15 ft
8:02.0,Defensive rebound by D. Jordan,,4-3,,
7:48.0,M. Barnes misses 2-pt shot from 7 ft (block by M. Gasol),,4-3,,
7:48.0,,,4-3,,Defensive rebound by M. Gasol
7:31.0,,,4-3,,M. Conley misses 2-pt shot from 10 ft (block by S. Hawes)
7:31.0,Defensive rebound by M. Barnes,,4-3,,
7:31.0,,,4-3,,Personal take foul by M. Conley (drawn by M. Barnes)
7:18.0,,,4-3,,Personal foul by Z. Randolph (drawn by C. Paul)
7:13.0,S. Hawes makes 2-pt shot from 6 ft (assist by C. Paul),2,6-3,,
6:55.0,,,6-3,,J. Green misses 2-pt shot from 20 ft
6:53.0,Defensive rebound by D. Jordan,,6-3,,
6:37.0,S. Hawes misses 2-pt shot from 18 ft (block by M. Gasol),,6-3,,
6:35.0,,,6-3,,Defensive rebound by M. Conley
6:32.0,,,6-3,,C. Lee misses 2-pt shot from 1 ft
6:30.0,,,6-3,,Offensive rebound by M. Conley
6:21.0,,,6-5,2,Z. Randolph makes 2-pt shot from 1 ft
6:12.0,Offensive foul by S. Hawes,,6-5,,
6:12.0,Turnover by S. Hawes (offensive foul),,6-5,,
5:51.0,,,6-5,,C. Lee misses 2-pt shot from 21 ft
5:48.0,Defensive rebound by C. Paul,,6-5,,
5:45.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,8-5,,
5:22.0,,,8-5,,Z. Randolph misses 2-pt shot from 1 ft (block by S. Hawes)
5:20.0,Defensive rebound by S. Hawes,,8-5,,
5:14.0,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul),3,11-5,,
5:13.0,,,11-5,,Memphis full timeout
4:51.0,,,11-5,,Shooting foul by M. Barnes (drawn by J. Green)
4:51.0,Technical foul by M. Barnes (drawn by J. Green),,11-5,,
4:51.0,,,11-6,1,C. Lee makes technical free throw
4:51.0,,,11-7,1,J. Green makes free throw 1 of 3
4:51.0,,,11-8,1,J. Green makes free throw 2 of 3
4:51.0,,,11-8,,J. Green misses free throw 3 of 3
4:50.0,Defensive rebound by M. Barnes,,11-8,,
4:31.0,C. Paul makes 2-pt shot from 19 ft,2,13-8,,
4:30.0,Violation by Team (delay of game),,13-8,,
4:21.0,Personal foul by S. Hawes (drawn by M. Gasol),,13-8,,
4:21.0,Technical foul by S. Hawes (drawn by M. Gasol),,13-8,,
4:21.0,,,13-9,1,C. Lee makes technical free throw
4:21.0,G. Davis enters the game for S. Hawes,,13-9,,
4:06.0,,,13-9,,J. Green misses 2-pt shot from 17 ft
4:06.0,,,13-9,,Offensive rebound by Team
4:06.0,,,13-9,,Turnover by Team (shot clock)
3:50.0,Turnover by G. Davis (bad pass; steal by Z. Randolph),,13-9,,
3:44.0,,,13-9,,Turnover by M. Conley (lost ball; steal by G. Davis)
3:35.0,M. Barnes misses 3-pt shot from 23 ft,,13-9,,
3:34.0,,,13-9,,Defensive rebound by J. Green
3:27.0,Violation by G. Davis (kicked ball),,13-9,,
3:27.0,,,13-9,,T. Allen enters the game for J. Green
3:27.0,,,13-9,,B. Udrih enters the game for M. Conley
3:27.0,J. Crawford enters the game for J. Redick,,13-9,,
3:15.0,,,13-9,,C. Lee misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by M. Barnes,,13-9,,
3:07.0,J. Crawford misses 2-pt shot from 19 ft,,13-9,,
3:07.0,Offensive rebound by Team,,13-9,,
3:07.0,,,13-9,,Loose ball foul by M. Gasol (drawn by D. Jordan)
3:07.0,A. Rivers enters the game for M. Barnes,,13-9,,
3:07.0,,,13-9,,K. Koufos enters the game for M. Gasol
2:57.0,A. Rivers misses 3-pt shot from 24 ft,,13-9,,
2:56.0,Offensive rebound by D. Jordan,,13-9,,
2:54.0,D. Jordan makes 2-pt shot at rim,2,15-9,,
2:33.0,,,15-11,2,Z. Randolph makes 2-pt shot from 16 ft (assist by C. Lee)
2:24.0,C. Paul misses 2-pt shot from 14 ft,,15-11,,
2:22.0,,,15-11,,Defensive rebound by Z. Randolph
2:09.0,,,15-11,,Z. Randolph misses 2-pt shot at rim
2:07.0,Defensive rebound by D. Jordan,,15-11,,
1:53.0,G. Davis misses 2-pt shot from 18 ft,,15-11,,
1:52.0,Offensive rebound by D. Jordan,,15-11,,
1:52.0,,,15-11,,Personal foul by K. Koufos (drawn by D. Jordan)
1:52.0,LA Clippers full timeout,,15-11,,
1:38.0,G. Davis makes 2-pt shot from 6 ft,2,17-11,,
1:20.0,,,17-13,2,Z. Randolph makes 2-pt shot from 8 ft (assist by C. Lee)
0:51.0,C. Paul misses 3-pt shot from 25 ft,,17-13,,
0:50.0,,,17-13,,Defensive rebound by Z. Randolph
0:37.0,,,17-15,2,K. Koufos makes 2-pt shot from 13 ft (assist by T. Allen)
0:32.0,D. Jordan misses 2-pt shot at rim,,17-15,,
0:28.0,,,17-15,,Defensive rebound by C. Lee
0:14.0,Personal foul by A. Rivers (drawn by B. Udrih),,17-15,,
0:14.0,J. Redick enters the game for C. Paul,,17-15,,
0:14.0,,,17-15,,M. Conley enters the game for T. Allen
0:04.0,Personal foul by A. Rivers (drawn by K. Koufos),,17-15,,
0:04.0,,,17-15,,K. Koufos misses free throw 1 of 2
0:04.0,,,17-15,,Offensive rebound by Team
0:04.0,,,17-15,,T. Allen enters the game for M. Conley
0:04.0,C. Paul enters the game for G. Davis,,17-15,,
0:04.0,,,17-16,1,K. Koufos makes free throw 2 of 2
0:01.0,J. Crawford misses 3-pt shot from 42 ft,,17-16,,
0:00.0,Offensive rebound by Team,,17-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,17-18,2,Z. Randolph makes 2-pt shot from 16 ft (assist by C. Lee)
11:17.0,A. Rivers misses 3-pt shot from 25 ft,,17-18,,
11:16.0,,,17-18,,Defensive rebound by C. Lee
10:57.0,,,17-18,,Z. Randolph misses 2-pt shot from 14 ft
10:56.0,Defensive rebound by A. Rivers,,17-18,,
10:46.0,J. Crawford makes 3-pt shot from 25 ft (assist by S. Hawes),3,20-18,,
10:26.0,,,20-20,2,B. Udrih makes 2-pt shot from 14 ft
10:13.0,J. Crawford makes 2-pt shot from 18 ft,2,22-20,,
10:13.0,Shooting foul by T. Allen (drawn by J. Crawford),,22-20,,
10:13.0,,,22-20,,J. Leuer enters the game for Z. Randolph
10:13.0,J. Crawford makes free throw 1 of 1,1,23-20,,
9:55.0,,,23-20,,Turnover by K. Koufos (lost ball; steal by S. Hawes)
9:49.0,,,23-20,,Personal foul by T. Allen (drawn by J. Crawford)
9:49.0,,,23-20,,N. Calathes enters the game for C. Lee
9:37.0,A. Rivers misses 2-pt shot from 14 ft,,23-20,,
9:37.0,,,23-20,,Defensive rebound by Team
9:23.0,,,23-22,2,B. Udrih makes 2-pt shot from 17 ft (assist by K. Koufos)
9:04.0,J. Crawford makes 2-pt shot from 16 ft,2,25-22,,
8:53.0,,,25-24,2,N. Calathes makes 2-pt shot from 11 ft
8:34.0,J. Redick makes 2-pt shot from 17 ft,2,27-24,,
8:14.0,,,27-24,,Turnover by B. Udrih (lost ball; steal by A. Rivers)
8:09.0,Turnover by A. Rivers (bad pass; steal by N. Calathes),,27-24,,
8:05.0,,,27-24,,Shooting foul by G. Davis (drawn by J. Leuer)
8:05.0,Official timeout,,27-24,,
8:05.0,,,27-25,1,J. Leuer makes free throw 1 of 2
