time,Charlotte,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. C. Zeller (A. Jefferson gains possession),,,,Jump ball: J. Nurkic vs. C. Zeller (A. Jefferson gains possession)
11:45.0,Turnover by G. Henderson (bad pass; steal by J. Nurkic),,0-0,,
11:35.0,,,0-2,2,D. Gallinari makes 2-pt shot at rim
11:24.0,A. Jefferson misses 2-pt shot from 11 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by Team
11:09.0,,,0-2,,D. Gallinari misses 2-pt shot from 18 ft
11:07.0,,,0-2,,Offensive rebound by J. Nurkic
10:57.0,,,0-2,,D. Gallinari misses 2-pt shot from 18 ft
10:55.0,Defensive rebound by M. Kidd-Gilchrist,,0-2,,
10:52.0,Offensive foul by M. Kidd-Gilchrist,,0-2,,
10:52.0,Turnover by M. Kidd-Gilchrist (offensive foul),,0-2,,
10:37.0,,,0-4,2,J. Nurkic makes 2-pt shot from 2 ft (assist by A. Afflalo)
10:23.0,M. Kidd-Gilchrist misses 2-pt shot from 16 ft,,0-4,,
10:21.0,,,0-4,,Defensive rebound by D. Gallinari
10:08.0,,,0-4,,D. Gallinari misses 2-pt shot from 6 ft
10:06.0,Defensive rebound by B. Roberts,,0-4,,
9:56.0,B. Roberts misses 2-pt shot from 11 ft,,0-4,,
9:54.0,,,0-4,,Defensive rebound by A. Afflalo
9:50.0,,,0-4,,Turnover by D. Gallinari (lost ball)
9:33.0,A. Jefferson misses 2-pt shot from 4 ft (block by J. Nurkic),,0-4,,
9:29.0,,,0-4,,Defensive rebound by W. Chandler
9:27.0,,,0-4,,D. Gallinari misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
9:25.0,Defensive rebound by M. Kidd-Gilchrist,,0-4,,
9:21.0,B. Roberts misses 3-pt shot from 26 ft,,0-4,,
9:21.0,Offensive rebound by M. Kidd-Gilchrist,,0-4,,
9:21.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,2-4,,
9:21.0,Shooting foul by W. Chandler (drawn by M. Kidd-Gilchrist),,2-4,,
9:21.0,M. Kidd-Gilchrist makes free throw 1 of 1,1,3-4,,
8:58.0,,,3-4,,J. Nurkic misses 2-pt shot from 17 ft
8:57.0,Defensive rebound by M. Kidd-Gilchrist,,3-4,,
8:49.0,G. Henderson makes 2-pt shot from 15 ft (assist by B. Roberts),2,5-4,,
8:32.0,,,5-7,3,T. Lawson makes 3-pt shot from 25 ft (assist by W. Chandler)
8:15.0,C. Zeller makes 2-pt shot from 1 ft (assist by A. Jefferson),2,7-7,,
7:57.0,,,7-7,,D. Gallinari misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by B. Roberts,,7-7,,
7:42.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft,,7-7,,
7:41.0,,,7-7,,Defensive rebound by W. Chandler
7:38.0,,,7-9,2,W. Chandler makes 2-pt shot from 3 ft
7:38.0,,,7-9,,Shooting foul by G. Henderson (drawn by W. Chandler)
7:38.0,,,7-10,1,W. Chandler makes free throw 1 of 1
7:23.0,C. Zeller misses 2-pt shot from 22 ft,,7-10,,
7:21.0,,,7-10,,Defensive rebound by T. Lawson
7:02.0,,,7-10,,A. Afflalo misses 2-pt shot from 20 ft
7:01.0,Defensive rebound by G. Henderson,,7-10,,
6:55.0,G. Henderson makes 2-pt shot from 1 ft,2,9-10,,
6:39.0,,,9-10,,Shooting foul by B. Roberts (drawn by T. Lawson)
6:39.0,,,9-11,1,T. Lawson makes free throw 1 of 3
6:39.0,,,9-11,,T. Lawson misses free throw 2 of 3
6:39.0,,,9-11,,Offensive rebound by Team
6:39.0,,,9-11,,A. Gee enters the game for W. Chandler
6:39.0,,,9-11,,T. Lawson misses free throw 3 of 3
6:38.0,Defensive rebound by M. Kidd-Gilchrist,,9-11,,
6:21.0,Charlotte full timeout,,9-11,,
6:16.0,G. Henderson makes 2-pt shot at rim (assist by C. Zeller),2,11-11,,
6:00.0,,,11-11,,Turnover by A. Afflalo (traveling)
5:41.0,B. Roberts misses 3-pt shot from 26 ft,,11-11,,
5:40.0,Offensive rebound by Team,,11-11,,
5:40.0,,,11-11,,J. Hickson enters the game for D. Gallinari
5:33.0,Shooting foul by A. Gee (drawn by M. Kidd-Gilchrist),,11-11,,
5:33.0,M. Kidd-Gilchrist misses free throw 1 of 2,,11-11,,
5:33.0,Offensive rebound by Team,,11-11,,
5:33.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,12-11,,
5:19.0,,,12-13,2,A. Afflalo makes 2-pt shot from 14 ft (assist by T. Lawson)
5:02.0,M. Kidd-Gilchrist makes 2-pt shot from 20 ft (assist by B. Roberts),2,14-13,,
4:35.0,,,14-13,,J. Nurkic misses 2-pt shot from 20 ft
4:33.0,Defensive rebound by G. Henderson,,14-13,,
4:29.0,C. Zeller makes 2-pt shot at rim (assist by M. Kidd-Gilchrist),2,16-13,,
4:25.0,,,16-13,,Denver full timeout
4:25.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,16-13,,
4:25.0,,,16-13,,J. McGee enters the game for J. Nurkic
4:11.0,,,16-13,,A. Afflalo misses 2-pt shot from 9 ft
4:10.0,Defensive rebound by C. Zeller,,16-13,,
4:02.0,A. Jefferson misses 2-pt shot from 16 ft,,16-13,,
4:00.0,,,16-13,,Defensive rebound by J. Hickson
3:52.0,,,16-13,,Turnover by T. Lawson (lost ball; steal by L. Stephenson)
3:46.0,B. Roberts misses 2-pt shot from 2 ft (block by J. Hickson),,16-13,,
3:37.0,Offensive rebound by C. Zeller,,16-13,,
3:37.0,C. Zeller makes 2-pt shot at rim,2,18-13,,
3:23.0,,,18-13,,Shooting foul by B. Roberts (drawn by T. Lawson)
3:23.0,,,18-14,1,T. Lawson makes free throw 1 of 2
3:23.0,J. Maxiell enters the game for A. Jefferson,,18-14,,
3:23.0,G. Neal enters the game for B. Roberts,,18-14,,
3:23.0,,,18-14,,R. Foye enters the game for A. Afflalo
3:23.0,,,18-15,1,T. Lawson makes free throw 2 of 2
3:05.0,C. Zeller makes 2-pt shot at rim (assist by L. Stephenson),2,20-15,,
2:55.0,,,20-15,,J. McGee misses 2-pt shot at rim
2:53.0,Defensive rebound by J. Maxiell,,20-15,,
2:47.0,C. Zeller makes 2-pt shot at rim (assist by L. Stephenson),2,22-15,,
2:32.0,,,22-15,,R. Foye misses 3-pt shot from 25 ft
2:31.0,Defensive rebound by C. Zeller,,22-15,,
2:26.0,Shooting foul by J. Hickson (drawn by G. Neal),,22-15,,
2:26.0,G. Neal makes free throw 1 of 2,1,23-15,,
2:26.0,,,23-15,,J. Nelson enters the game for T. Lawson
2:26.0,G. Neal makes free throw 2 of 2,1,24-15,,
2:06.0,,,24-15,,R. Foye misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by C. Zeller,,24-15,,
1:50.0,G. Henderson misses 2-pt shot from 11 ft,,24-15,,
1:49.0,Offensive rebound by J. Maxiell,,24-15,,
1:48.0,J. Maxiell makes 2-pt shot from 1 ft,2,26-15,,
1:36.0,,,26-15,,J. Nelson misses 2-pt shot from 14 ft
1:34.0,Defensive rebound by C. Zeller,,26-15,,
1:16.0,C. Zeller makes 2-pt shot from 1 ft (assist by G. Neal),2,28-15,,
0:58.0,,,28-15,,J. McGee misses 2-pt shot at rim (block by J. Maxiell)
0:57.0,,,28-15,,Offensive rebound by Team
0:57.0,M. Kidd-Gilchrist enters the game for G. Henderson,,28-15,,
0:50.0,,,28-15,,J. McGee misses 2-pt shot from 7 ft
0:49.0,Defensive rebound by C. Zeller,,28-15,,
0:45.0,Shooting foul by J. Nelson (drawn by L. Stephenson),,28-15,,
0:45.0,L. Stephenson misses free throw 1 of 2,,28-15,,
0:45.0,Offensive rebound by Team,,28-15,,
0:45.0,L. Stephenson misses free throw 2 of 2,,28-15,,
0:43.0,,,28-15,,Defensive rebound by J. Hickson
0:24.0,,,28-15,,J. Nelson misses 3-pt shot from 25 ft
0:22.0,Defensive rebound by L. Stephenson,,28-15,,
0:05.0,C. Zeller makes 2-pt shot at rim (assist by L. Stephenson),2,30-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,30-17,2,J. Nelson makes 2-pt shot from 5 ft (assist by T. Lawson)
11:27.0,G. Neal makes 2-pt shot from 21 ft (assist by L. Stephenson),2,32-17,,
11:14.0,,,32-17,,Shooting foul by L. Stephenson (drawn by J. Nelson)
11:14.0,,,32-17,,J. Nelson misses free throw 1 of 2
11:14.0,,,32-17,,Offensive rebound by Team
11:14.0,,,32-18,1,J. Nelson makes free throw 2 of 2
10:58.0,J. Maxiell misses 2-pt shot from 4 ft (block by J. Nurkic),,32-18,,
10:57.0,Offensive rebound by Team,,32-18,,
10:52.0,J. Maxiell makes 2-pt shot from 5 ft (assist by G. Neal),2,34-18,,
10:40.0,Personal foul by L. Stephenson (drawn by J. Nelson),,34-18,,
10:28.0,,,34-20,2,W. Chandler makes 2-pt shot from 2 ft (assist by J. Nelson)
10:15.0,G. Neal makes 2-pt shot from 20 ft (assist by L. Stephenson),2,36-20,,
10:08.0,,,36-20,,J. Nelson misses 2-pt shot from 3 ft (block by N. Vonleh)
10:03.0,Defensive rebound by J. Maxiell,,36-20,,
9:55.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,36-20,,
9:54.0,,,36-20,,Defensive rebound by T. Lawson
9:47.0,,,36-22,2,T. Lawson makes 2-pt shot from 21 ft
9:32.0,G. Neal makes 2-pt shot from 21 ft (assist by L. Stephenson),2,38-22,,
9:18.0,,,38-22,,J. Nurkic misses 2-pt shot from 1 ft
9:18.0,Defensive rebound by J. Maxiell,,38-22,,
9:18.0,,,38-22,,Personal foul by J. Nurkic (drawn by J. Maxiell)
9:04.0,J. Maxiell makes 2-pt shot from 5 ft (assist by G. Neal),2,40-22,,
8:43.0,,,40-22,,J. Nelson misses 2-pt shot from 18 ft
8:41.0,Defensive rebound by G. Neal,,40-22,,
8:22.0,L. Stephenson misses 2-pt shot from 17 ft,,40-22,,
8:20.0,Offensive rebound by M. Kidd-Gilchrist,,40-22,,
8:13.0,N. Vonleh makes 2-pt shot from 1 ft (assist by L. Stephenson),2,42-22,,
8:13.0,,,42-22,,Denver full timeout
8:13.0,,,42-22,,A. Afflalo enters the game for T. Lawson
8:03.0,,,42-22,,W. Chandler misses 3-pt shot from 26 ft
8:01.0,Defensive rebound by M. Kidd-Gilchrist,,42-22,,
7:49.0,L. Stephenson makes 2-pt shot from 18 ft,2,44-22,,
7:35.0,,,44-22,,J. Nurkic misses 2-pt shot from 2 ft (block by J. Maxiell)
7:32.0,Defensive rebound by M. Kidd-Gilchrist,,44-22,,
7:27.0,J. Maxiell makes 2-pt shot from 5 ft (assist by M. Kidd-Gilchrist),2,46-22,,
7:10.0,,,46-22,,Turnover by A. Afflalo (lost ball; steal by M. Kidd-Gilchrist)
7:10.0,Charlotte full timeout,,46-22,,
7:10.0,,,46-22,,D. Gallinari enters the game for J. Nurkic
7:10.0,A. Jefferson enters the game for J. Maxiell,,46-22,,
6:57.0,G. Neal misses 3-pt shot from 26 ft,,46-22,,
6:56.0,,,46-22,,Defensive rebound by A. Afflalo
6:43.0,,,46-22,,D. Gallinari misses 3-pt shot from 28 ft
6:42.0,Defensive rebound by L. Stephenson,,46-22,,
6:30.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,46-22,,
6:29.0,Offensive rebound by N. Vonleh,,46-22,,
6:28.0,Shooting foul by J. Hickson (drawn by N. Vonleh),,46-22,,
6:28.0,N. Vonleh misses free throw 1 of 2,,46-22,,
6:28.0,Offensive rebound by Team,,46-22,,
6:28.0,N. Vonleh makes free throw 2 of 2,1,47-22,,
6:09.0,,,47-22,,D. Gallinari misses 2-pt shot from 4 ft
6:08.0,Defensive rebound by A. Jefferson,,47-22,,
5:59.0,G. Neal misses 2-pt shot from 2 ft,,47-22,,
5:57.0,,,47-22,,Defensive rebound by W. Chandler
5:49.0,,,47-22,,D. Gallinari misses 3-pt shot from 23 ft
5:48.0,Defensive rebound by M. Kidd-Gilchrist,,47-22,,
5:38.0,Shooting foul by J. Nelson (drawn by N. Vonleh),,47-22,,
5:38.0,N. Vonleh misses free throw 1 of 2,,47-22,,
5:38.0,Offensive rebound by Team,,47-22,,
5:38.0,,,47-22,,T. Lawson enters the game for J. Nelson
5:38.0,G. Henderson enters the game for M. Kidd-Gilchrist,,47-22,,
5:38.0,N. Vonleh makes free throw 2 of 2,1,48-22,,
5:26.0,,,48-22,,A. Afflalo misses 3-pt shot from 24 ft
5:25.0,Defensive rebound by N. Vonleh,,48-22,,
5:19.0,Shooting foul by T. Lawson (drawn by G. Neal),,48-22,,
5:19.0,G. Neal makes free throw 1 of 2,1,49-22,,
5:19.0,,,49-22,,R. Foye enters the game for D. Gallinari
5:19.0,C. Zeller enters the game for N. Vonleh,,49-22,,
5:19.0,G. Neal makes free throw 2 of 2,1,50-22,,
5:05.0,,,50-22,,R. Foye misses 2-pt shot from 2 ft (block by A. Jefferson)
5:03.0,Defensive rebound by C. Zeller,,50-22,,
4:56.0,Turnover by L. Stephenson (bad pass),,50-22,,
4:56.0,B. Roberts enters the game for G. Neal,,50-22,,
4:43.0,,,50-24,2,J. Hickson makes 2-pt shot from 8 ft (assist by T. Lawson)
4:28.0,A. Jefferson misses 2-pt shot from 17 ft,,50-24,,
4:27.0,,,50-24,,Defensive rebound by A. Afflalo
4:22.0,,,50-24,,Turnover by A. Afflalo (bad pass; steal by C. Zeller)
4:07.0,C. Zeller makes 2-pt shot from 7 ft (assist by L. Stephenson),2,52-24,,
3:57.0,,,52-24,,T. Lawson misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by L. Stephenson,,52-24,,
3:49.0,L. Stephenson misses 3-pt shot from 24 ft,,52-24,,
3:48.0,,,52-24,,Defensive rebound by W. Chandler
3:37.0,,,52-26,2,A. Afflalo makes 2-pt shot from 4 ft (assist by W. Chandler)
3:18.0,A. Jefferson misses 2-pt shot from 16 ft,,52-26,,
3:17.0,,,52-26,,Defensive rebound by W. Chandler
3:08.0,,,52-26,,A. Afflalo misses 3-pt shot from 26 ft
3:07.0,Defensive rebound by L. Stephenson,,52-26,,
2:56.0,G. Henderson misses 3-pt shot from 24 ft,,52-26,,
2:54.0,,,52-26,,Defensive rebound by W. Chandler
2:49.0,,,52-26,,R. Foye misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by A. Jefferson,,52-26,,
2:29.0,A. Jefferson makes 2-pt shot from 8 ft (assist by B. Roberts),2,54-26,,
2:10.0,,,54-26,,T. Lawson misses 2-pt shot from 3 ft (block by C. Zeller)
2:09.0,,,54-26,,Offensive rebound by Team
2:09.0,Official timeout,,54-26,,
2:09.0,,,54-26,,A. Gee enters the game for W. Chandler
2:09.0,,,54-26,,G. Harris enters the game for R. Foye
2:09.0,M. Kidd-Gilchrist enters the game for L. Stephenson,,54-26,,
2:07.0,,,54-26,,Turnover by G. Harris (bad pass; steal by G. Henderson)
1:59.0,G. Henderson makes 2-pt shot from 2 ft,2,56-26,,
1:48.0,Personal foul by B. Roberts (drawn by T. Lawson),,56-26,,
1:48.0,G. Neal enters the game for B. Roberts,,56-26,,
1:42.0,,,56-26,,J. Hickson misses 2-pt shot from 12 ft
1:40.0,Defensive rebound by M. Kidd-Gilchrist,,56-26,,
1:19.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,56-26,,
1:18.0,,,56-26,,Defensive rebound by J. Hickson
1:10.0,,,56-26,,Turnover by A. Gee (bad pass; steal by A. Jefferson)
1:05.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by G. Neal),2,58-26,,
0:52.0,,,58-28,2,J. Hickson makes 2-pt shot at rim (assist by G. Harris)
0:37.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by A. Jefferson),2,60-28,,
0:30.0,,,60-30,2,T. Lawson makes 2-pt shot from 15 ft
0:12.0,A. Jefferson makes 2-pt shot from 4 ft,2,62-30,,
0:00.0,,,62-30,,G. Harris misses 3-pt shot from 24 ft
0:00.0,,,62-30,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,62-30,,A. Afflalo misses 2-pt shot from 16 ft
11:46.0,Defensive rebound by B. Roberts,,62-30,,
11:27.0,A. Jefferson misses 2-pt shot from 6 ft,,62-30,,
11:25.0,,,62-30,,Defensive rebound by J. Hickson
11:19.0,,,62-32,2,J. Hickson makes 2-pt shot at rim (assist by T. Lawson)
11:08.0,A. Jefferson makes 2-pt shot from 1 ft (assist by M. Kidd-Gilchrist),2,64-32,,
10:58.0,,,64-32,,T. Lawson misses 2-pt shot from 2 ft
10:57.0,Defensive rebound by C. Zeller,,64-32,,
10:48.0,C. Zeller makes 2-pt shot from 18 ft (assist by B. Roberts),2,66-32,,
10:28.0,,,66-32,,Turnover by J. Hickson (lost ball; steal by C. Zeller)
10:18.0,Shooting foul by J. Hickson (drawn by C. Zeller),,66-32,,
10:18.0,C. Zeller makes free throw 1 of 2,1,67-32,,
10:18.0,C. Zeller misses free throw 2 of 2,,67-32,,
10:16.0,,,67-32,,Defensive rebound by J. Nurkic
10:05.0,,,67-32,,W. Chandler misses 2-pt shot from 11 ft
10:04.0,,,67-32,,Offensive rebound by W. Chandler
10:01.0,,,67-32,,W. Chandler misses 2-pt shot from 7 ft
10:00.0,,,67-32,,Offensive rebound by T. Lawson
9:50.0,,,67-32,,J. Nurkic misses 2-pt shot from 4 ft (block by C. Zeller)
9:48.0,Defensive rebound by G. Henderson,,67-32,,
9:45.0,Shooting foul by A. Afflalo (drawn by M. Kidd-Gilchrist),,67-32,,
9:45.0,M. Kidd-Gilchrist misses free throw 1 of 2,,67-32,,
9:45.0,Offensive rebound by Team,,67-32,,
9:45.0,,,67-32,,J. McGee enters the game for J. Nurkic
9:45.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,68-32,,
9:35.0,,,68-32,,W. Chandler misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by G. Henderson,,68-32,,
9:23.0,B. Roberts misses 3-pt shot from 24 ft,,68-32,,
9:22.0,,,68-32,,Defensive rebound by A. Afflalo
9:06.0,,,68-32,,J. Hickson misses 2-pt shot at rim
9:05.0,,,68-32,,Offensive rebound by J. Hickson
