time,Cleveland,pts.away,score,pts.home,New York
2:19.0,,,88-87,,I. Shumpert enters the game for T. Hardaway
2:08.0,L. James misses 2-pt shot from 8 ft,,88-87,,
2:07.0,,,88-87,,Defensive rebound by C. Anthony
1:52.0,Personal foul by L. James (drawn by C. Anthony),,88-87,,
1:40.0,,,88-87,,A. Stoudemire misses 2-pt shot from 6 ft
1:39.0,Defensive rebound by K. Love,,88-87,,
1:35.0,Cleveland full timeout,,88-87,,
1:21.0,L. James misses 3-pt shot from 26 ft,,88-87,,
1:19.0,,,88-87,,Defensive rebound by S. Larkin
0:53.0,K. Irving misses 2-pt shot from 19 ft,,88-87,,
0:52.0,,,88-87,,Defensive rebound by C. Anthony
0:41.0,,,88-87,,New York full timeout
0:41.0,D. Waiters enters the game for K. Love,,88-87,,
0:33.0,,,88-87,,S. Larkin misses 2-pt shot from 10 ft
0:32.0,,,88-87,,Offensive rebound by C. Anthony
0:32.0,,,88-87,,C. Anthony misses 2-pt shot from 1 ft
0:31.0,Defensive rebound by S. Marion,,88-87,,
0:17.0,Cleveland full timeout,,88-87,,
0:17.0,K. Love enters the game for D. Waiters,,88-87,,
0:17.0,,,88-87,,Q. Acy enters the game for S. Larkin
0:10.0,K. Irving makes 2-pt shot from 2 ft,2,90-87,,
0:10.0,,,90-87,,New York full timeout
0:10.0,T. Thompson enters the game for K. Love,,90-87,,
0:10.0,D. Waiters enters the game for A. Varejao,,90-87,,
0:10.0,,,90-87,,T. Hardaway enters the game for Q. Acy
0:02.0,,,90-87,,C. Anthony misses 3-pt shot from 25 ft
0:00.0,,,90-87,,Offensive rebound by I. Shumpert
0:00.0,End of 4th quarter,,,,End of 4th quarter
