time,Cleveland,pts.away,score,pts.home,New York
0:46.0,Personal foul by D. Waiters (drawn by T. Hardaway),,23-24,,
0:38.0,,,23-24,,Q. Acy misses 2-pt shot from 16 ft
0:37.0,Defensive rebound by K. Love,,23-24,,
0:30.0,D. Waiters makes 2-pt shot from 1 ft,2,25-24,,
0:06.0,,,25-24,,P. Prigioni misses 3-pt shot from 29 ft
0:05.0,,,25-24,,Offensive rebound by S. Dalembert
0:05.0,,,25-24,,S. Dalembert misses 2-pt shot at rim
0:04.0,Defensive rebound by T. Thompson,,25-24,,
0:01.0,L. James misses 3-pt shot from 33 ft,,25-24,,
0:00.0,Offensive rebound by Team,,25-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,25-24,,J. Smith misses 2-pt shot from 22 ft
11:45.0,Defensive rebound by S. Marion,,25-24,,
11:36.0,K. Irving makes 2-pt shot from 2 ft,2,27-24,,
11:23.0,,,27-24,,J. Smith misses 2-pt shot at rim
11:22.0,Defensive rebound by T. Thompson,,27-24,,
11:11.0,Turnover by K. Irving (lost ball; steal by P. Prigioni),,27-24,,
11:06.0,,,27-26,2,T. Hardaway makes 2-pt shot from 1 ft (assist by P. Prigioni)
10:38.0,S. Marion misses 2-pt shot from 14 ft,,27-26,,
10:37.0,,,27-26,,Defensive rebound by T. Hardaway
10:30.0,,,27-29,3,T. Hardaway makes 3-pt shot from 25 ft
10:18.0,Turnover by D. Waiters (lost ball; steal by P. Prigioni),,27-29,,
10:06.0,,,27-29,,J. Smith misses 2-pt shot from 18 ft
10:04.0,,,27-29,,Offensive rebound by A. Stoudemire
10:03.0,Jump ball: M. Miller vs. A. Stoudemire (J. Smith gains possession),,,,Jump ball: M. Miller vs. A. Stoudemire (J. Smith gains possession)
9:57.0,,,27-32,3,T. Hardaway makes 3-pt shot from 26 ft (assist by P. Prigioni)
9:40.0,S. Marion misses 2-pt shot from 7 ft,,27-32,,
9:39.0,,,27-32,,Defensive rebound by T. Hardaway
9:37.0,Personal foul by M. Miller (drawn by T. Hardaway),,27-32,,
9:37.0,A. Varejao enters the game for S. Marion,,27-32,,
9:37.0,J. Harris enters the game for M. Miller,,27-32,,
9:25.0,,,27-34,2,J. Smith makes 2-pt shot from 16 ft (assist by P. Prigioni)
9:10.0,Turnover by K. Irving (lost ball; steal by P. Prigioni),,27-34,,
8:55.0,,,27-34,,T. Hardaway misses 2-pt shot from 18 ft
8:54.0,Defensive rebound by A. Varejao,,27-34,,
8:46.0,D. Waiters misses 2-pt shot from 20 ft,,27-34,,
8:45.0,,,27-34,,Defensive rebound by A. Stoudemire
8:30.0,,,27-34,,T. Hardaway misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by J. Harris,,27-34,,
8:20.0,K. Irving misses 3-pt shot from 26 ft,,27-34,,
8:19.0,,,27-34,,Defensive rebound by T. Hardaway
8:08.0,,,27-34,,J. Smith misses 2-pt shot from 12 ft
8:07.0,,,27-34,,Offensive rebound by A. Stoudemire
8:06.0,,,27-34,,A. Stoudemire misses 2-pt shot from 3 ft
8:05.0,,,27-34,,Offensive rebound by Team
8:05.0,Loose ball foul by T. Thompson (drawn by A. Stoudemire),,27-34,,
8:05.0,Official timeout,,27-34,,
7:54.0,,,27-37,3,T. Hardaway makes 3-pt shot from 24 ft (assist by P. Prigioni)
7:30.0,J. Harris makes 2-pt shot from 19 ft,2,29-37,,
7:11.0,,,29-37,,P. Prigioni misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by K. Irving,,29-37,,
7:04.0,D. Waiters makes 2-pt shot from 16 ft,2,31-37,,
6:48.0,,,31-39,2,J. Smith makes 2-pt shot from 16 ft (assist by A. Stoudemire)
6:42.0,Shooting foul by A. Stoudemire (drawn by K. Irving),,31-39,,
6:42.0,K. Irving makes free throw 1 of 2,1,32-39,,
6:42.0,L. James enters the game for D. Waiters,,32-39,,
6:42.0,K. Love enters the game for T. Thompson,,32-39,,
6:42.0,,,32-39,,J. Calderon enters the game for P. Prigioni
6:42.0,,,32-39,,C. Anthony enters the game for J. Smith
6:42.0,K. Irving makes free throw 2 of 2,1,33-39,,
6:25.0,,,33-41,2,T. Hardaway makes 2-pt shot from 1 ft (assist by C. Anthony)
6:12.0,,,33-41,,Personal foul by J. Smith (drawn by K. Love)
6:12.0,,,33-41,,Q. Acy enters the game for J. Smith
6:12.0,,,33-41,,S. Dalembert enters the game for A. Stoudemire
6:07.0,K. Love misses 2-pt shot from 4 ft,,33-41,,
6:06.0,,,33-41,,Defensive rebound by S. Dalembert
5:54.0,,,33-41,,New York full timeout
5:54.0,S. Marion enters the game for J. Harris,,33-41,,
5:54.0,,,33-41,,I. Shumpert enters the game for T. Hardaway
5:45.0,,,33-41,,C. Anthony misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by K. Love,,33-41,,
5:33.0,Shooting foul by S. Dalembert (drawn by L. James),,33-41,,
5:33.0,L. James misses free throw 1 of 2,,33-41,,
5:33.0,Offensive rebound by Team,,33-41,,
5:33.0,L. James misses free throw 2 of 2,,33-41,,
5:32.0,,,33-41,,Defensive rebound by S. Dalembert
5:16.0,,,33-43,2,S. Dalembert makes 2-pt shot at rim (assist by J. Calderon)
4:59.0,K. Irving makes 2-pt shot from 20 ft (assist by L. James),2,35-43,,
4:50.0,,,35-45,2,Q. Acy makes 2-pt shot from 1 ft
4:50.0,,,35-45,,Shooting foul by L. James (drawn by Q. Acy)
4:50.0,,,35-46,1,Q. Acy makes free throw 1 of 1
4:40.0,Shooting foul by I. Shumpert (drawn by L. James),,35-46,,
4:40.0,L. James makes free throw 1 of 2,1,36-46,,
4:40.0,L. James misses free throw 2 of 2,,36-46,,
4:39.0,,,36-46,,Defensive rebound by S. Dalembert
4:20.0,,,36-46,,S. Dalembert misses 2-pt shot from 21 ft
4:19.0,Defensive rebound by S. Marion,,36-46,,
4:14.0,,,36-46,,Violation by S. Dalembert (def goaltending)
4:14.0,A. Varejao makes 2-pt shot from 4 ft (assist by L. James),2,38-46,,
3:57.0,,,38-46,,C. Anthony misses 2-pt shot from 17 ft
3:56.0,Defensive rebound by K. Irving,,38-46,,
3:36.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,41-46,,
3:17.0,,,41-46,,A. Stoudemire enters the game for S. Dalembert
3:09.0,,,41-46,,Q. Acy misses 2-pt shot from 22 ft
3:07.0,Defensive rebound by K. Irving,,41-46,,
3:01.0,Turnover by L. James (lost ball; steal by J. Calderon),,41-46,,
2:58.0,,,41-46,,Turnover by C. Anthony (traveling)
2:58.0,Cleveland full timeout,,41-46,,
2:43.0,L. James misses 2-pt shot from 2 ft,,41-46,,
2:42.0,Offensive rebound by L. James,,41-46,,
2:40.0,L. James misses 2-pt shot from 2 ft,,41-46,,
2:39.0,,,41-46,,Defensive rebound by Q. Acy
2:25.0,Personal foul by S. Marion (drawn by C. Anthony),,41-46,,
2:13.0,,,41-49,3,J. Calderon makes 3-pt shot from 25 ft (assist by C. Anthony)
1:56.0,S. Marion misses 3-pt shot from 24 ft,,41-49,,
1:55.0,,,41-49,,Defensive rebound by I. Shumpert
1:51.0,,,41-51,2,C. Anthony makes 2-pt shot at rim (assist by I. Shumpert)
1:41.0,K. Irving makes 2-pt shot from 5 ft,2,43-51,,
