time,Milwaukee,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Sanders vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: L. Sanders vs. N. Vucevic (E. Payton gains possession)
11:46.0,,,0-0,,Turnover by N. Vucevic (bad pass)
11:35.0,Offensive foul by E. Ilyasova,,0-0,,
11:35.0,Turnover by E. Ilyasova (offensive foul),,0-0,,
11:17.0,,,0-0,,C. Frye misses 3-pt shot from 22 ft
11:16.0,Defensive rebound by B. Knight,,0-0,,
11:10.0,Turnover by L. Sanders (step out of bounds),,0-0,,
10:53.0,,,0-3,3,E. Fournier makes 3-pt shot from 22 ft (assist by T. Harris)
10:37.0,J. Parker makes 2-pt shot from 3 ft,2,2-3,,
10:23.0,,,2-3,,E. Payton misses 2-pt shot from 5 ft
10:22.0,,,2-3,,Offensive rebound by N. Vucevic
10:22.0,,,2-3,,N. Vucevic misses 2-pt shot from 2 ft
10:22.0,Defensive rebound by L. Sanders,,2-3,,
10:15.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by B. Knight),2,4-3,,
9:54.0,,,4-3,,N. Vucevic misses 2-pt shot from 10 ft
9:54.0,Defensive rebound by B. Knight,,4-3,,
9:41.0,B. Knight makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,6-3,,
9:33.0,,,6-3,,Orlando full timeout
9:25.0,,,6-5,2,T. Harris makes 2-pt shot from 16 ft (assist by E. Payton)
9:11.0,E. Ilyasova misses 3-pt shot from 25 ft,,6-5,,
9:10.0,,,6-5,,Defensive rebound by T. Harris
8:56.0,,,6-5,,E. Fournier misses 2-pt shot from 2 ft
8:56.0,Defensive rebound by L. Sanders,,6-5,,
8:47.0,L. Sanders makes 2-pt shot from 13 ft (assist by B. Knight),2,8-5,,
8:32.0,,,8-5,,N. Vucevic misses 2-pt shot from 11 ft
8:32.0,Defensive rebound by B. Knight,,8-5,,
8:24.0,Turnover by J. Parker (traveling),,8-5,,
8:14.0,,,8-5,,Turnover by C. Frye (bad pass; steal by J. Parker)
8:04.0,B. Knight makes 2-pt shot at rim,2,10-5,,
7:44.0,Personal foul by J. Dudley (drawn by N. Vucevic),,10-5,,
7:42.0,Personal block foul by L. Sanders (drawn by E. Fournier),,10-5,,
7:31.0,,,10-5,,Turnover by T. Harris (bad pass; steal by J. Dudley)
