time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. H. Whiteside (M. Williams gains possession),,,,Jump ball: B. Biyombo vs. H. Whiteside (M. Williams gains possession)
11:44.0,K. Walker makes 2-pt shot from 1 ft,2,2-0,,
11:15.0,,,2-2,2,L. Deng makes 2-pt shot from 16 ft
10:52.0,G. Henderson makes 2-pt shot from 18 ft,2,4-2,,
10:39.0,,,4-4,2,G. Dragic makes 2-pt shot from 14 ft
10:22.0,J. Taylor makes 2-pt shot from 21 ft,2,6-4,,
10:06.0,,,6-6,2,L. Deng makes 2-pt shot from 20 ft (assist by G. Dragic)
9:47.0,Shooting foul by H. Whiteside (drawn by B. Biyombo),,6-6,,
9:47.0,B. Biyombo makes free throw 1 of 2,1,7-6,,
9:47.0,B. Biyombo misses free throw 2 of 2,,7-6,,
9:46.0,,,7-6,,Defensive rebound by U. Haslem
9:34.0,,,7-6,,D. Wade misses 2-pt shot from 16 ft
9:33.0,Defensive rebound by B. Biyombo,,7-6,,
9:11.0,K. Walker misses 3-pt shot from 24 ft,,7-6,,
9:10.0,Offensive rebound by M. Williams,,7-6,,
9:06.0,M. Williams misses 2-pt shot from 3 ft,,7-6,,
9:05.0,,,7-6,,Defensive rebound by G. Dragic
8:53.0,,,7-8,2,H. Whiteside makes 2-pt shot from 8 ft (assist by U. Haslem)
8:42.0,G. Henderson makes 2-pt shot from 21 ft (assist by K. Walker),2,9-8,,
8:26.0,,,9-8,,L. Deng misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by B. Biyombo,,9-8,,
8:17.0,K. Walker misses 3-pt shot from 25 ft,,9-8,,
8:16.0,,,9-8,,Defensive rebound by H. Whiteside
8:10.0,,,9-8,,Shooting foul by B. Biyombo (drawn by D. Wade)
8:10.0,,,9-8,,D. Wade misses free throw 1 of 2
8:10.0,,,9-8,,Offensive rebound by Team
