time,Miami,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. C. Kaman (M. Chalmers gains possession),,,,Jump ball: C. Bosh vs. C. Kaman (M. Chalmers gains possession)
11:41.0,M. Chalmers makes 2-pt shot from 4 ft,2,2-0,,
11:24.0,,,2-0,,L. Aldridge misses 2-pt shot from 19 ft
11:23.0,Defensive rebound by D. Wade,,2-0,,
11:13.0,C. Bosh misses 2-pt shot from 9 ft,,2-0,,
11:12.0,,,2-0,,Defensive rebound by C. Kaman
11:04.0,,,2-0,,Turnover by D. Lillard (bad pass; steal by M. Chalmers)
10:53.0,D. Wade misses 2-pt shot from 12 ft,,2-0,,
10:52.0,,,2-0,,Defensive rebound by N. Batum
10:33.0,,,2-0,,L. Aldridge misses 2-pt shot from 19 ft
10:29.0,Defensive rebound by L. Deng,,2-0,,
10:16.0,L. Deng misses 2-pt shot from 10 ft,,2-0,,
10:15.0,,,2-0,,Defensive rebound by C. Kaman
10:02.0,,,2-0,,W. Matthews misses 2-pt shot from 19 ft
10:01.0,Defensive rebound by C. Bosh,,2-0,,
9:48.0,M. Chalmers misses 2-pt shot from 13 ft,,2-0,,
9:47.0,Offensive rebound by C. Andersen,,2-0,,
9:47.0,C. Andersen makes 2-pt shot at rim,2,4-0,,
9:30.0,,,4-0,,C. Kaman misses 2-pt shot from 2 ft
9:30.0,Defensive rebound by C. Andersen,,4-0,,
9:16.0,D. Wade makes 2-pt shot from 1 ft (assist by C. Andersen),2,6-0,,
8:52.0,,,6-2,2,L. Aldridge makes 2-pt shot from 4 ft
8:29.0,C. Bosh misses 2-pt shot from 18 ft,,6-2,,
8:29.0,,,6-2,,Defensive rebound by C. Kaman
8:18.0,,,6-4,2,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Lillard)
7:57.0,Turnover by D. Wade (bad pass; steal by W. Matthews),,6-4,,
