time,Minnesota,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. J. Valanciunas (A. Payne gains possession),,,,Jump ball: G. Dieng vs. J. Valanciunas (A. Payne gains possession)
11:36.0,R. Rubio misses 2-pt shot from 16 ft,,0-0,,
11:35.0,Offensive rebound by A. Wiggins,,0-0,,
11:24.0,G. Dieng misses 2-pt shot from 3 ft (block by J. Valanciunas),,0-0,,
11:21.0,,,0-0,,Defensive rebound by D. DeRozan
11:08.0,,,0-0,,T. Ross misses 2-pt shot from 15 ft
11:07.0,Defensive rebound by R. Rubio,,0-0,,
11:00.0,A. Payne makes 2-pt shot from 2 ft (assist by R. Rubio),2,2-0,,
10:32.0,,,2-0,,D. DeRozan misses 2-pt shot from 9 ft
10:30.0,,,2-0,,Offensive rebound by J. Valanciunas
10:27.0,,,2-2,2,J. Valanciunas makes 2-pt shot from 3 ft
10:15.0,Shooting foul by A. Johnson (drawn by G. Dieng),,2-2,,
10:15.0,G. Dieng makes free throw 1 of 2,1,3-2,,
10:15.0,G. Dieng misses free throw 2 of 2,,3-2,,
10:14.0,,,3-2,,Defensive rebound by A. Johnson
10:02.0,,,3-5,3,T. Ross makes 3-pt shot from 26 ft (assist by D. DeRozan)
9:44.0,A. Payne misses 2-pt shot from 8 ft,,3-5,,
9:43.0,Offensive rebound by G. Dieng,,3-5,,
9:42.0,G. Dieng misses 2-pt shot from 1 ft,,3-5,,
9:41.0,,,3-5,,Defensive rebound by J. Valanciunas
9:34.0,,,3-5,,Turnover by D. DeRozan (lost ball; steal by R. Rubio)
9:30.0,A. Payne makes 2-pt shot at rim (assist by R. Rubio),2,5-5,,
9:28.0,Violation by Team (delay of game),,5-5,,
9:16.0,,,5-7,2,D. DeRozan makes 2-pt shot from 5 ft
9:16.0,,,5-7,,Shooting foul by A. Wiggins (drawn by D. DeRozan)
9:16.0,,,5-8,1,D. DeRozan makes free throw 1 of 1
9:03.0,Shooting foul by D. DeRozan (drawn by A. Wiggins),,5-8,,
9:03.0,A. Wiggins makes free throw 1 of 2,1,6-8,,
9:03.0,A. Wiggins makes free throw 2 of 2,1,7-8,,
8:45.0,,,7-10,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan)
8:30.0,Turnover by A. Payne (dbl dribble),,7-10,,
8:18.0,,,7-10,,Turnover by D. DeRozan (lost ball)
8:07.0,K. Martin makes 2-pt shot from 14 ft (assist by R. Rubio),2,9-10,,
7:46.0,,,9-13,3,T. Ross makes 3-pt shot from 27 ft (assist by K. Lowry)
7:36.0,A. Wiggins makes 2-pt shot from 1 ft,2,11-13,,
7:19.0,,,11-13,,Turnover by T. Ross (bad pass; steal by G. Dieng)
7:06.0,K. Martin misses 2-pt shot from 17 ft,,11-13,,
7:05.0,,,11-13,,Defensive rebound by J. Valanciunas
6:58.0,,,11-13,,K. Lowry misses 2-pt shot from 17 ft
6:57.0,Defensive rebound by R. Rubio,,11-13,,
6:46.0,A. Payne misses 2-pt shot from 19 ft,,11-13,,
6:45.0,,,11-13,,Defensive rebound by J. Valanciunas
6:39.0,,,11-15,2,A. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry)
6:28.0,Minnesota full timeout,,11-15,,
6:14.0,A. Wiggins misses 2-pt shot from 3 ft,,11-15,,
6:13.0,,,11-15,,Defensive rebound by J. Valanciunas
6:08.0,,,11-15,,Shooting foul by R. Rubio (drawn by D. DeRozan)
6:08.0,,,11-16,1,D. DeRozan makes free throw 1 of 2
6:08.0,,,11-17,1,D. DeRozan makes free throw 2 of 2
5:52.0,,,11-17,,Personal foul by T. Ross (drawn by K. Martin)
5:38.0,G. Dieng misses 2-pt shot from 6 ft,,11-17,,
5:36.0,,,11-17,,Defensive rebound by J. Valanciunas
5:29.0,,,11-17,,T. Ross misses 3-pt shot from 27 ft
