time,Utah,pts.away,score,pts.home,Golden State
1:33.0,Defensive rebound by D. Exum,,10-24,,
1:17.0,Offensive charge foul by A. Burks,,10-24,,
1:17.0,Turnover by A. Burks (offensive foul),,10-24,,
1:17.0,,,10-24,,S. Livingston enters the game for S. Curry
1:17.0,I. Clark enters the game for A. Burks,,10-24,,
1:04.0,,,10-27,3,A. Iguodala makes 3-pt shot from 26 ft (assist by L. Barbosa)
0:52.0,Shooting foul by S. Livingston (drawn by J. Ingles),,10-27,,
0:52.0,J. Ingles makes free throw 1 of 2,1,11-27,,
0:52.0,J. Ingles misses free throw 2 of 2,,11-27,,
0:51.0,,,11-27,,Defensive rebound by A. Iguodala
0:45.0,,,11-27,,Shooting foul by R. Gobert (drawn by A. Iguodala)
0:45.0,,,11-28,1,A. Iguodala makes free throw 1 of 2
0:45.0,,,11-28,,A. Iguodala misses free throw 2 of 2
0:45.0,Defensive rebound by T. Booker,,11-28,,
0:23.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,13-28,,
0:04.0,,,13-28,,M. Speights misses 2-pt shot from 2 ft
0:03.0,,,13-28,,Offensive rebound by Team
0:02.0,,,13-28,,L. Barbosa misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by D. Exum,,13-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by R. Gobert (traveling),,13-28,,
11:27.0,,,13-30,2,M. Speights makes 2-pt shot from 16 ft (assist by S. Livingston)
11:09.0,G. Hayward misses 2-pt shot from 17 ft,,13-30,,
11:08.0,,,13-30,,Defensive rebound by H. Barnes
11:03.0,,,13-30,,L. Barbosa misses 2-pt shot from 18 ft
11:01.0,Defensive rebound by R. Gobert,,13-30,,
10:56.0,T. Booker makes 2-pt shot from 1 ft (assist by G. Hayward),2,15-30,,
10:29.0,,,15-30,,M. Speights misses 2-pt shot from 18 ft
10:27.0,Defensive rebound by D. Exum,,15-30,,
10:04.0,Turnover by Team (shot clock),,15-30,,
9:40.0,,,15-32,2,A. Iguodala makes 2-pt shot from 17 ft (assist by M. Speights)
9:24.0,Turnover by G. Hayward (bad pass; steal by L. Barbosa),,15-32,,
9:14.0,,,15-32,,S. Livingston misses 2-pt shot from 7 ft (block by R. Gobert)
9:13.0,Defensive rebound by J. Ingles,,15-32,,
9:06.0,G. Hayward makes 3-pt shot from 26 ft (assist by J. Ingles),3,18-32,,
8:45.0,,,18-34,2,M. Speights makes 2-pt shot at rim (assist by A. Iguodala)
8:35.0,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum),2,20-34,,
8:35.0,Shooting foul by M. Speights (drawn by R. Gobert),,20-34,,
8:35.0,Official timeout,,20-34,,
8:35.0,T. Burke enters the game for T. Booker,,20-34,,
8:35.0,S. Novak enters the game for D. Exum,,20-34,,
8:35.0,R. Gobert misses free throw 1 of 1,,20-34,,
8:33.0,,,20-34,,Defensive rebound by H. Barnes
8:11.0,,,20-34,,H. Barnes misses 3-pt shot from 27 ft
8:10.0,Defensive rebound by G. Hayward,,20-34,,
7:55.0,S. Novak makes 3-pt shot from 24 ft (assist by T. Burke),3,23-34,,
7:35.0,,,23-36,2,S. Livingston makes 2-pt shot from 10 ft
7:30.0,Shooting foul by L. Barbosa (drawn by G. Hayward),,23-36,,
7:30.0,G. Hayward makes free throw 1 of 2,1,24-36,,
7:30.0,,,24-36,,K. Thompson enters the game for L. Barbosa
7:30.0,D. Favors enters the game for R. Gobert,,24-36,,
7:30.0,G. Hayward misses free throw 2 of 2,,24-36,,
7:29.0,,,24-36,,Defensive rebound by H. Barnes
7:19.0,,,24-38,2,K. Thompson makes 2-pt shot from 12 ft (assist by S. Livingston)
7:05.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,26-38,,
6:46.0,,,26-40,2,M. Speights makes 2-pt shot from 19 ft (assist by K. Thompson)
6:29.0,D. Favors misses 2-pt shot from 12 ft,,26-40,,
6:28.0,,,26-40,,Defensive rebound by A. Iguodala
6:18.0,,,26-40,,M. Speights misses 2-pt shot from 17 ft
6:17.0,Defensive rebound by Team,,26-40,,
6:17.0,,,26-40,,A. Bogut enters the game for M. Speights
5:59.0,J. Ingles misses 3-pt shot from 25 ft,,26-40,,
5:58.0,,,26-40,,Defensive rebound by H. Barnes
5:46.0,,,26-42,2,S. Livingston makes 2-pt shot from 12 ft
