time,Detroit,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. Hill (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. J. Hill (R. Jackson gains possession)
11:40.0,A. Drummond misses 2-pt shot from 7 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by W. Ellington
11:26.0,,,0-2,2,W. Ellington makes 2-pt shot from 12 ft (assist by J. Clarkson)
11:06.0,G. Monroe makes 2-pt shot from 4 ft,2,2-2,,
10:43.0,,,2-2,,J. Hill misses 2-pt shot from 9 ft
10:42.0,,,2-2,,Offensive rebound by T. Black
10:42.0,,,2-2,,T. Black misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by Team,,2-2,,
10:23.0,A. Drummond misses 2-pt shot from 7 ft,,2-2,,
10:21.0,,,2-2,,Defensive rebound by T. Black
10:13.0,,,2-4,2,J. Clarkson makes 2-pt shot at rim
9:55.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,2-4,,
9:54.0,,,2-4,,Defensive rebound by J. Hill
9:34.0,,,2-4,,J. Hill misses 2-pt shot from 21 ft
9:32.0,Defensive rebound by T. Prince,,2-4,,
9:26.0,R. Jackson misses 3-pt shot from 24 ft,,2-4,,
9:24.0,Offensive rebound by A. Drummond,,2-4,,
9:21.0,A. Drummond makes 2-pt shot from 1 ft,2,4-4,,
8:58.0,,,4-6,2,W. Johnson makes 2-pt shot from 18 ft (assist by J. Hill)
8:32.0,G. Monroe misses 2-pt shot from 6 ft,,4-6,,
8:30.0,Offensive rebound by A. Drummond,,4-6,,
8:30.0,A. Drummond makes 2-pt shot from 1 ft,2,6-6,,
8:09.0,,,6-6,,W. Ellington misses 2-pt shot from 20 ft
8:05.0,,,6-6,,Offensive rebound by T. Black
8:05.0,,,6-6,,T. Black misses 2-pt shot at rim
8:01.0,,,6-6,,Offensive rebound by J. Hill
7:57.0,,,6-9,3,W. Johnson makes 3-pt shot from 24 ft (assist by J. Hill)
7:43.0,Turnover by Team (back court),,6-9,,
7:29.0,,,6-9,,W. Ellington misses 3-pt shot from 24 ft
7:28.0,Defensive rebound by R. Jackson,,6-9,,
7:22.0,Turnover by R. Jackson (bad pass; steal by W. Johnson),,6-9,,
7:20.0,,,6-9,,Shooting foul by R. Jackson (drawn by J. Clarkson)
7:20.0,,,6-10,1,J. Clarkson makes free throw 1 of 2
7:20.0,,,6-11,1,J. Clarkson makes free throw 2 of 2
7:03.0,G. Monroe makes 2-pt shot from 6 ft (assist by K. Caldwell-Pope),2,8-11,,
6:35.0,,,8-11,,W. Johnson misses 2-pt shot from 17 ft
6:33.0,Defensive rebound by A. Drummond,,8-11,,
6:25.0,R. Jackson makes 2-pt shot from 16 ft,2,10-11,,
6:04.0,,,10-11,,J. Clarkson misses 2-pt shot from 9 ft
6:00.0,,,10-11,,Offensive rebound by J. Clarkson
5:54.0,,,10-13,2,J. Hill makes 2-pt shot from 8 ft (assist by J. Clarkson)
5:37.0,A. Drummond makes 2-pt shot from 8 ft,2,12-13,,
5:27.0,,,12-15,2,J. Hill makes 2-pt shot from 12 ft (assist by J. Clarkson)
5:22.0,Detroit full timeout,,12-15,,
5:22.0,,,12-15,,C. Boozer enters the game for T. Black
5:22.0,,,12-15,,J. Lin enters the game for W. Ellington
5:09.0,T. Prince makes 2-pt shot from 21 ft (assist by R. Jackson),2,14-15,,
4:48.0,,,14-17,2,J. Hill makes 2-pt shot from 9 ft (assist by W. Johnson)
4:37.0,,,14-17,,Personal foul by J. Lin (drawn by K. Caldwell-Pope)
4:37.0,A. Tolliver enters the game for A. Drummond,,14-17,,
4:29.0,R. Jackson misses 2-pt shot from 3 ft,,14-17,,
4:28.0,Offensive rebound by G. Monroe,,14-17,,
4:28.0,G. Monroe makes 2-pt shot from 1 ft,2,16-17,,
4:05.0,,,16-19,2,J. Hill makes 2-pt shot from 18 ft (assist by J. Clarkson)
3:51.0,R. Jackson misses 2-pt shot from 1 ft,,16-19,,
3:51.0,Offensive rebound by G. Monroe,,16-19,,
3:51.0,,,16-19,,Loose ball foul by J. Clarkson (drawn by G. Monroe)
3:42.0,A. Tolliver misses 3-pt shot from 22 ft,,16-19,,
3:40.0,,,16-19,,Defensive rebound by W. Johnson
3:30.0,,,16-19,,J. Clarkson misses 3-pt shot from 23 ft
3:30.0,Defensive rebound by Team,,16-19,,
3:30.0,,,16-19,,Loose ball foul by C. Boozer (drawn by A. Tolliver)
3:30.0,,,16-19,,E. Davis enters the game for J. Hill
3:30.0,J. Meeks enters the game for K. Caldwell-Pope,,16-19,,
3:16.0,T. Prince misses 2-pt shot from 3 ft,,16-19,,
3:14.0,,,16-19,,Defensive rebound by C. Boozer
3:06.0,,,16-19,,Shooting foul by G. Monroe (drawn by W. Johnson)
3:06.0,,,16-20,1,W. Johnson makes free throw 1 of 2
3:06.0,,,16-21,1,W. Johnson makes free throw 2 of 2
2:49.0,G. Monroe makes 2-pt shot at rim (assist by R. Jackson),2,18-21,,
2:26.0,,,18-21,,Turnover by C. Boozer (lost ball; steal by G. Monroe)
2:09.0,G. Monroe misses 2-pt shot from 5 ft,,18-21,,
2:07.0,,,18-21,,Defensive rebound by E. Davis
2:02.0,,,18-23,2,C. Boozer makes 2-pt shot at rim (assist by J. Clarkson)
1:47.0,A. Tolliver misses 3-pt shot from 25 ft,,18-23,,
1:44.0,,,18-23,,Defensive rebound by W. Johnson
1:36.0,,,18-23,,W. Johnson misses 3-pt shot from 24 ft
1:35.0,,,18-23,,Offensive rebound by E. Davis
1:30.0,,,18-25,2,E. Davis makes 2-pt shot from 3 ft
1:06.0,Offensive foul by R. Jackson,,18-25,,
1:06.0,Turnover by R. Jackson (offensive foul),,18-25,,
1:06.0,,,18-25,,LA Lakers full timeout
1:06.0,,,18-25,,R. Kelly enters the game for W. Johnson
1:06.0,A. Drummond enters the game for G. Monroe,,18-25,,
1:06.0,J. Lucas III enters the game for R. Jackson,,18-25,,
0:47.0,,,18-25,,E. Davis misses 2-pt shot from 1 ft
0:43.0,Defensive rebound by J. Meeks,,18-25,,
0:41.0,A. Drummond makes 2-pt shot at rim (assist by J. Meeks),2,20-25,,
0:28.0,Personal foul by J. Lucas III (drawn by J. Lin),,20-25,,
0:13.0,,,20-25,,J. Clarkson misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by A. Drummond,,20-25,,
0:05.0,,,20-25,,Personal foul by E. Davis (drawn by J. Lucas III)
0:01.0,J. Lucas III misses 3-pt shot from 24 ft,,20-25,,
0:00.0,Offensive rebound by Team,,20-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,20-25,,R. Kelly misses 2-pt shot from 8 ft
11:44.0,Defensive rebound by A. Drummond,,20-25,,
11:35.0,A. Drummond makes 2-pt shot from 7 ft (assist by J. Lucas III),2,22-25,,
11:17.0,,,22-25,,E. Davis misses 2-pt shot from 2 ft (block by A. Tolliver)
11:17.0,,,22-25,,Offensive rebound by Team
11:11.0,,,22-25,,Turnover by W. Ellington (bad pass; steal by C. Butler)
10:54.0,C. Butler misses 2-pt shot from 6 ft,,22-25,,
10:53.0,,,22-25,,Defensive rebound by E. Davis
10:32.0,,,22-25,,R. Kelly misses 2-pt shot from 5 ft
10:30.0,Defensive rebound by A. Drummond,,22-25,,
10:17.0,A. Tolliver makes 3-pt shot from 22 ft (assist by J. Lucas III),3,25-25,,
10:04.0,,,25-27,2,E. Davis makes 2-pt shot at rim (assist by R. Kelly)
9:47.0,A. Tolliver misses 3-pt shot from 25 ft,,25-27,,
9:45.0,,,25-27,,Defensive rebound by J. Lin
9:38.0,,,25-27,,Turnover by J. Lin (lost ball)
9:21.0,Shooting foul by W. Ellington (drawn by J. Meeks),,25-27,,
9:21.0,J. Meeks misses free throw 1 of 2,,25-27,,
9:21.0,Offensive rebound by Team,,25-27,,
9:21.0,J. Meeks makes free throw 2 of 2,1,26-27,,
9:03.0,,,26-27,,R. Kelly misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by A. Drummond,,26-27,,
8:54.0,Shooting foul by E. Davis (drawn by A. Tolliver),,26-27,,
8:54.0,Official timeout,,26-27,,
