time,Portland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Mozgov (L. Aldridge gains possession),,,,Jump ball: R. Lopez vs. T. Mozgov (L. Aldridge gains possession)
11:47.0,W. Matthews misses 3-pt shot from 24 ft,,0-0,,
11:46.0,Offensive rebound by R. Lopez,,0-0,,
11:43.0,Shooting foul by K. Faried (drawn by R. Lopez),,0-0,,
11:43.0,R. Lopez makes free throw 1 of 2,1,1-0,,
11:43.0,R. Lopez misses free throw 2 of 2,,1-0,,
11:43.0,,,1-0,,Defensive rebound by K. Faried
11:30.0,,,1-0,,W. Chandler misses 2-pt shot from 1 ft
11:29.0,Defensive rebound by L. Aldridge,,1-0,,
11:15.0,L. Aldridge misses 2-pt shot from 14 ft,,1-0,,
11:13.0,,,1-0,,Defensive rebound by W. Chandler
11:07.0,,,1-0,,A. Afflalo misses 3-pt shot from 23 ft
11:06.0,Defensive rebound by L. Aldridge,,1-0,,
10:55.0,L. Aldridge makes 2-pt shot from 17 ft (assist by N. Batum),2,3-0,,
10:39.0,,,3-0,,W. Chandler misses 3-pt shot from 25 ft
10:32.0,Defensive rebound by Team,,3-0,,
10:17.0,L. Aldridge misses 2-pt shot from 17 ft,,3-0,,
10:16.0,,,3-0,,Defensive rebound by W. Chandler
10:07.0,,,3-0,,Shooting foul by D. Lillard (drawn by T. Lawson)
10:07.0,,,3-1,1,T. Lawson makes free throw 1 of 2
10:07.0,,,3-1,,T. Lawson misses free throw 2 of 2
10:07.0,Defensive rebound by N. Batum,,3-1,,
9:56.0,L. Aldridge makes 2-pt shot from 3 ft (assist by N. Batum),2,5-1,,
9:30.0,,,5-3,2,A. Afflalo makes 2-pt shot from 14 ft
9:03.0,W. Matthews makes 2-pt shot from 19 ft,2,7-3,,
8:42.0,,,7-3,,Turnover by W. Chandler (lost ball; steal by W. Matthews)
8:36.0,D. Lillard makes 2-pt shot at rim (assist by N. Batum),2,9-3,,
8:23.0,,,9-3,,Turnover by W. Chandler (traveling)
8:01.0,W. Matthews misses 2-pt shot from 1 ft,,9-3,,
8:00.0,,,9-3,,Defensive rebound by W. Chandler
7:47.0,,,9-6,3,W. Chandler makes 3-pt shot from 25 ft (assist by A. Afflalo)
7:33.0,W. Matthews misses 3-pt shot from 23 ft,,9-6,,
7:31.0,,,9-6,,Defensive rebound by T. Mozgov
7:25.0,,,9-6,,A. Afflalo misses 2-pt shot from 17 ft
7:24.0,Defensive rebound by L. Aldridge,,9-6,,
7:14.0,Turnover by D. Lillard (bad pass; steal by T. Lawson),,9-6,,
7:08.0,,,9-8,2,T. Lawson makes 2-pt shot from 1 ft
6:56.0,L. Aldridge makes 2-pt shot from 21 ft (assist by D. Lillard),2,11-8,,
6:36.0,,,11-10,2,K. Faried makes 2-pt shot from 14 ft (assist by A. Afflalo)
6:22.0,Shooting foul by T. Mozgov (drawn by L. Aldridge),,11-10,,
6:22.0,L. Aldridge makes free throw 1 of 2,1,12-10,,
6:22.0,L. Aldridge misses free throw 2 of 2,,12-10,,
6:21.0,,,12-10,,Defensive rebound by T. Mozgov
6:07.0,,,12-10,,Turnover by T. Lawson (bad pass; steal by N. Batum)
6:02.0,D. Lillard makes 2-pt shot from 2 ft,2,14-10,,
5:53.0,,,14-10,,Denver full timeout
5:53.0,S. Blake enters the game for W. Matthews,,14-10,,
5:43.0,,,14-12,2,K. Faried makes 2-pt shot from 1 ft (assist by A. Afflalo)
5:27.0,D. Lillard misses 3-pt shot from 24 ft,,14-12,,
5:26.0,,,14-12,,Defensive rebound by K. Faried
5:15.0,,,14-14,2,T. Lawson makes 2-pt shot from 13 ft
5:00.0,L. Aldridge makes 2-pt shot from 19 ft (assist by N. Batum),2,16-14,,
4:38.0,,,16-14,,W. Chandler misses 2-pt shot from 19 ft
4:37.0,Defensive rebound by D. Lillard,,16-14,,
4:30.0,L. Aldridge misses 2-pt shot from 19 ft,,16-14,,
4:29.0,,,16-14,,Defensive rebound by Team
4:29.0,C. Kaman enters the game for R. Lopez,,16-14,,
4:09.0,,,16-16,2,A. Afflalo makes 2-pt shot from 3 ft
3:43.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Lillard),2,18-16,,
3:21.0,,,18-18,2,A. Afflalo makes 2-pt shot from 15 ft
3:21.0,,,18-18,,Shooting foul by D. Lillard (drawn by A. Afflalo)
3:21.0,,,18-18,,J. Hickson enters the game for K. Faried
3:21.0,A. Crabbe enters the game for D. Lillard,,18-18,,
3:21.0,,,18-19,1,A. Afflalo makes free throw 1 of 1
2:59.0,L. Aldridge misses 2-pt shot from 6 ft,,18-19,,
2:58.0,,,18-19,,Defensive rebound by W. Chandler
2:52.0,,,18-21,2,T. Mozgov makes 2-pt shot at rim (assist by W. Chandler)
2:50.0,Portland full timeout,,18-21,,
2:50.0,W. Matthews enters the game for N. Batum,,18-21,,
2:50.0,,,18-21,,G. Harris enters the game for A. Afflalo
2:33.0,L. Aldridge makes 2-pt shot from 1 ft,2,20-21,,
2:33.0,Shooting foul by T. Mozgov (drawn by L. Aldridge),,20-21,,
2:33.0,,,20-21,,D. Gallinari enters the game for W. Chandler
2:33.0,L. Aldridge makes free throw 1 of 1,1,21-21,,
2:15.0,,,21-23,2,J. Hickson makes 2-pt shot from 14 ft (assist by T. Lawson)
2:04.0,Turnover by S. Blake (bad pass; steal by G. Harris),,21-23,,
1:59.0,,,21-23,,Shooting foul by W. Matthews (drawn by G. Harris)
1:59.0,,,21-24,1,G. Harris makes free throw 1 of 2
1:59.0,,,21-24,,D. Arthur enters the game for T. Mozgov
