time,Milwaukee,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. Z. Pachulia (O. Asik gains possession),,,,Jump ball: A. Davis vs. Z. Pachulia (O. Asik gains possession)
11:49.0,,,0-0,,Turnover by T. Evans (bad pass)
11:34.0,E. Ilyasova misses 2-pt shot from 18 ft,,0-0,,
11:33.0,Offensive rebound by G. Antetokounmpo,,0-0,,
11:23.0,Z. Pachulia misses 2-pt shot from 15 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by O. Asik
11:09.0,,,0-3,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans)
10:53.0,K. Middleton misses 3-pt shot from 23 ft,,0-3,,
10:52.0,,,0-3,,Defensive rebound by T. Evans
10:43.0,,,0-5,2,T. Evans makes 2-pt shot from 22 ft (assist by O. Asik)
10:31.0,M. Carter-Williams misses 2-pt shot from 16 ft,,0-5,,
10:30.0,,,0-5,,Defensive rebound by Q. Pondexter
10:07.0,,,0-5,,T. Evans misses 2-pt shot from 20 ft
10:06.0,,,0-5,,Offensive rebound by Q. Pondexter
9:58.0,,,0-5,,E. Gordon misses 3-pt shot from 25 ft
9:57.0,,,0-5,,Offensive rebound by Q. Pondexter
9:47.0,,,0-7,2,T. Evans makes 2-pt shot from 2 ft
9:34.0,,,0-7,,Personal foul by Q. Pondexter (drawn by K. Middleton)
9:26.0,Z. Pachulia misses 2-pt shot from 16 ft,,0-7,,
9:25.0,,,0-7,,Defensive rebound by A. Davis
9:16.0,,,0-7,,Shooting foul by M. Carter-Williams (drawn by E. Gordon)
9:16.0,,,0-7,,E. Gordon misses free throw 1 of 2
9:16.0,,,0-7,,Offensive rebound by Team
9:16.0,,,0-8,1,E. Gordon makes free throw 2 of 2
9:05.0,M. Carter-Williams misses 2-pt shot from 15 ft,,0-8,,
9:04.0,,,0-8,,Defensive rebound by O. Asik
8:57.0,,,0-10,2,T. Evans makes 2-pt shot from 2 ft (assist by A. Davis)
8:56.0,Milwaukee full timeout,,0-10,,
8:56.0,J. Bayless enters the game for M. Carter-Williams,,0-10,,
8:56.0,C. Johnson enters the game for G. Antetokounmpo,,0-10,,
8:42.0,Turnover by K. Middleton (bad pass; steal by T. Evans),,0-10,,
8:38.0,,,0-10,,Shooting foul by C. Johnson (drawn by T. Evans)
8:38.0,,,0-11,1,T. Evans makes free throw 1 of 2
8:38.0,,,0-12,1,T. Evans makes free throw 2 of 2
8:22.0,K. Middleton misses 2-pt shot from 20 ft,,0-12,,
8:21.0,,,0-12,,Defensive rebound by O. Asik
8:08.0,,,0-12,,A. Davis misses 2-pt shot from 18 ft
8:08.0,Defensive rebound by J. Bayless,,0-12,,
8:00.0,Turnover by K. Middleton (lost ball),,0-12,,
7:50.0,Personal foul by C. Johnson (drawn by A. Davis),,0-12,,
7:50.0,T. Ennis enters the game for K. Middleton,,0-12,,
7:40.0,,,0-12,,Turnover by T. Evans (lost ball; steal by Z. Pachulia)
7:37.0,Turnover by Z. Pachulia (bad pass; steal by E. Gordon),,0-12,,
7:29.0,,,0-15,3,Q. Pondexter makes 3-pt shot from 25 ft (assist by E. Gordon)
7:02.0,J. Bayless misses 3-pt shot from 25 ft,,0-15,,
7:01.0,,,0-15,,Defensive rebound by O. Asik
6:39.0,,,0-15,,Q. Pondexter misses 3-pt shot from 23 ft
6:38.0,Defensive rebound by Z. Pachulia,,0-15,,
6:19.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by J. Bayless),3,3-15,,
6:02.0,,,3-17,2,O. Asik makes 2-pt shot from 3 ft (assist by E. Gordon)
5:44.0,Z. Pachulia misses 2-pt shot from 3 ft,,3-17,,
5:43.0,Offensive rebound by Z. Pachulia,,3-17,,
5:42.0,Shooting foul by O. Asik (drawn by Z. Pachulia),,3-17,,
5:42.0,Z. Pachulia makes free throw 1 of 2,1,4-17,,
5:42.0,G. Antetokounmpo enters the game for C. Johnson,,4-17,,
5:42.0,Z. Pachulia makes free throw 2 of 2,1,5-17,,
5:32.0,,,5-17,,Shooting foul by E. Ilyasova (drawn by A. Davis)
