time,San Antonio,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Duncan (T. Parker gains possession),,,,Jump ball: A. Drummond vs. T. Duncan (T. Parker gains possession)
11:50.0,D. Green misses 2-pt shot from 17 ft,,0-0,,
11:49.0,,,0-0,,Defensive rebound by D. Augustin
11:28.0,,,0-0,,A. Drummond misses 2-pt shot from 6 ft
11:28.0,Defensive rebound by Team,,0-0,,
11:14.0,Turnover by T. Parker (lost ball),,0-0,,
11:01.0,,,0-2,2,K. Caldwell-Pope makes 2-pt shot at rim
10:47.0,K. Leonard misses 2-pt shot from 19 ft,,0-2,,
10:46.0,,,0-2,,Defensive rebound by K. Singler
10:41.0,,,0-2,,Turnover by D. Augustin (offensive foul)
10:41.0,,,0-2,,Offensive foul by D. Augustin
10:26.0,A. Baynes makes 2-pt shot at rim (assist by T. Duncan),2,2-2,,
10:01.0,,,2-4,2,A. Drummond makes 2-pt shot at rim (assist by G. Monroe)
9:36.0,A. Baynes makes 2-pt shot at rim,2,4-4,,
9:25.0,Personal foul by K. Leonard (drawn by K. Singler),,4-4,,
9:18.0,,,4-6,2,G. Monroe makes 2-pt shot at rim (assist by D. Augustin)
8:58.0,T. Duncan misses 2-pt shot from 18 ft,,4-6,,
8:57.0,,,4-6,,Defensive rebound by K. Caldwell-Pope
8:47.0,,,4-6,,D. Augustin misses 2-pt shot from 3 ft (block by T. Duncan)
8:45.0,Defensive rebound by A. Baynes,,4-6,,
8:31.0,D. Green makes 3-pt shot from 25 ft (assist by T. Parker),3,7-6,,
8:10.0,,,7-6,,K. Singler misses 3-pt shot from 26 ft
8:09.0,,,7-6,,Offensive rebound by A. Drummond
8:05.0,,,7-6,,A. Drummond misses 2-pt shot from 3 ft (block by D. Green)
8:04.0,,,7-6,,Offensive rebound by G. Monroe
8:03.0,,,7-6,,G. Monroe misses 2-pt shot from 2 ft (block by K. Leonard)
8:02.0,,,7-6,,Offensive rebound by G. Monroe
8:00.0,,,7-6,,G. Monroe misses 2-pt shot from 4 ft
7:58.0,,,7-6,,Offensive rebound by A. Drummond
7:57.0,,,7-6,,A. Drummond misses 2-pt shot at rim
7:54.0,Defensive rebound by A. Baynes,,7-6,,
7:49.0,T. Parker makes 2-pt shot from 4 ft,2,9-6,,
7:28.0,,,9-6,,K. Caldwell-Pope misses 2-pt shot from 19 ft
7:27.0,Defensive rebound by Team,,9-6,,
7:09.0,A. Baynes misses 2-pt shot from 1 ft,,9-6,,
7:08.0,,,9-6,,Defensive rebound by K. Singler
7:00.0,,,9-6,,Turnover by D. Augustin (bad pass; steal by D. Green)
6:57.0,,,9-6,,Personal foul by K. Caldwell-Pope (drawn by T. Parker)
6:48.0,T. Parker makes 2-pt shot from 17 ft,2,11-6,,
6:29.0,,,11-8,2,D. Augustin makes 2-pt shot at rim (assist by G. Monroe)
6:28.0,San Antonio full timeout,,11-8,,
6:03.0,T. Duncan misses 2-pt shot from 12 ft,,11-8,,
6:02.0,,,11-8,,Defensive rebound by G. Monroe
5:55.0,,,11-8,,K. Caldwell-Pope misses 2-pt shot from 8 ft (block by D. Green)
5:55.0,,,11-8,,Offensive rebound by Team
5:55.0,M. Ginobili enters the game for D. Green,,11-8,,
5:55.0,B. Diaw enters the game for A. Baynes,,11-8,,
5:48.0,,,11-8,,K. Caldwell-Pope misses 3-pt shot from 23 ft
5:47.0,Defensive rebound by K. Leonard,,11-8,,
5:29.0,K. Leonard misses 2-pt shot at rim (block by A. Drummond),,11-8,,
5:29.0,Offensive rebound by Team,,11-8,,
5:26.0,T. Duncan misses 2-pt shot from 16 ft,,11-8,,
5:25.0,,,11-8,,Defensive rebound by K. Singler
5:17.0,,,11-10,2,D. Augustin makes 2-pt shot at rim
5:01.0,,,11-10,,Technical foul by Team
5:01.0,T. Parker makes technical free throw,1,12-10,,
4:50.0,K. Leonard misses 2-pt shot from 6 ft,,12-10,,
4:49.0,,,12-10,,Defensive rebound by A. Drummond
4:39.0,,,12-10,,Turnover by D. Augustin (bad pass; steal by K. Leonard)
4:34.0,K. Leonard misses 2-pt shot from 3 ft (block by K. Caldwell-Pope),,12-10,,
4:32.0,Offensive rebound by K. Leonard,,12-10,,
4:28.0,Turnover by K. Leonard (lost ball; steal by K. Singler),,12-10,,
4:26.0,,,12-10,,A. Drummond misses 2-pt shot at rim
4:26.0,Defensive rebound by Team,,12-10,,
4:26.0,T. Splitter enters the game for T. Duncan,,12-10,,
4:08.0,K. Leonard misses 2-pt shot from 11 ft,,12-10,,
4:07.0,Offensive rebound by T. Splitter,,12-10,,
4:05.0,T. Splitter makes 2-pt shot at rim,2,14-10,,
3:50.0,,,14-10,,K. Caldwell-Pope misses 2-pt shot from 8 ft
3:49.0,,,14-10,,Offensive rebound by A. Drummond
3:49.0,,,14-12,2,A. Drummond makes 2-pt shot at rim
3:34.0,B. Diaw makes 2-pt shot at rim (assist by T. Parker),2,16-12,,
3:11.0,,,16-12,,Turnover by G. Monroe (traveling)
3:11.0,,,16-12,,J. Meeks enters the game for K. Singler
3:11.0,,,16-12,,A. Tolliver enters the game for A. Drummond
3:11.0,M. Belinelli enters the game for K. Leonard,,16-12,,
3:11.0,P. Mills enters the game for T. Parker,,16-12,,
2:55.0,B. Diaw misses 2-pt shot from 5 ft,,16-12,,
2:54.0,Offensive rebound by B. Diaw,,16-12,,
2:45.0,B. Diaw misses 2-pt shot from 6 ft,,16-12,,
2:44.0,,,16-12,,Defensive rebound by G. Monroe
2:29.0,,,16-12,,J. Meeks misses 2-pt shot from 14 ft
2:26.0,Defensive rebound by B. Diaw,,16-12,,
2:17.0,M. Ginobili misses 3-pt shot from 25 ft,,16-12,,
2:17.0,,,16-12,,Defensive rebound by Team
2:17.0,Loose ball foul by B. Diaw (drawn by J. Meeks),,16-12,,
2:17.0,,,16-12,,Detroit full timeout
2:17.0,,,16-12,,J. Lucas III enters the game for D. Augustin
1:52.0,,,16-12,,G. Monroe misses 2-pt shot from 15 ft
1:51.0,Defensive rebound by T. Splitter,,16-12,,
1:39.0,M. Belinelli misses 2-pt shot from 5 ft,,16-12,,
1:36.0,,,16-12,,Defensive rebound by J. Meeks
1:27.0,,,16-12,,G. Monroe misses 2-pt shot from 3 ft
1:26.0,Defensive rebound by T. Splitter,,16-12,,
1:13.0,M. Ginobili makes 2-pt shot at rim (assist by M. Belinelli),2,18-12,,
0:48.0,,,18-12,,Turnover by J. Meeks (lost ball; steal by M. Ginobili)
0:45.0,M. Ginobili makes 2-pt shot at rim (assist by M. Belinelli),2,20-12,,
0:26.0,,,20-12,,J. Lucas III misses 2-pt shot from 17 ft
0:25.0,Defensive rebound by M. Belinelli,,20-12,,
0:03.0,M. Belinelli misses 3-pt shot from 27 ft,,20-12,,
0:02.0,,,20-12,,Defensive rebound by A. Tolliver
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,20-14,2,J. Lucas III makes 2-pt shot from 17 ft
11:26.0,Turnover by T. Splitter (bad pass),,20-14,,
11:10.0,,,20-14,,A. Drummond misses 2-pt shot at rim
11:09.0,Defensive rebound by B. Diaw,,20-14,,
10:54.0,T. Splitter misses 2-pt shot from 7 ft,,20-14,,
10:53.0,Offensive rebound by B. Diaw,,20-14,,
10:51.0,B. Diaw misses 2-pt shot at rim,,20-14,,
10:49.0,,,20-14,,Defensive rebound by A. Tolliver
10:42.0,,,20-14,,K. Singler misses 3-pt shot from 26 ft
10:41.0,Defensive rebound by T. Splitter,,20-14,,
10:34.0,M. Ginobili misses 3-pt shot from 26 ft,,20-14,,
10:33.0,Offensive rebound by T. Splitter,,20-14,,
10:23.0,Turnover by M. Ginobili (bad pass; steal by J. Lucas III),,20-14,,
10:15.0,,,20-14,,Shooting foul by B. Diaw (drawn by A. Drummond)
10:15.0,,,20-14,,A. Drummond misses free throw 1 of 2
10:15.0,,,20-14,,Offensive rebound by Team
10:15.0,K. Leonard enters the game for M. Ginobili,,20-14,,
10:15.0,,,20-14,,A. Drummond misses free throw 2 of 2
10:14.0,Defensive rebound by T. Splitter,,20-14,,
9:59.0,M. Belinelli makes 2-pt shot from 1 ft (assist by P. Mills),2,22-14,,
9:47.0,,,22-14,,Turnover by J. Lucas III (bad pass; steal by P. Mills)
9:32.0,B. Diaw misses 3-pt shot from 26 ft,,22-14,,
9:31.0,Offensive rebound by P. Mills,,22-14,,
9:26.0,P. Mills makes 3-pt shot from 26 ft,3,25-14,,
9:26.0,,,25-14,,Detroit full timeout
9:26.0,M. Bonner enters the game for B. Diaw,,25-14,,
9:09.0,,,25-16,2,A. Drummond makes 2-pt shot from 1 ft (assist by J. Lucas III)
8:52.0,M. Bonner misses 2-pt shot from 23 ft,,25-16,,
8:51.0,Offensive rebound by K. Leonard,,25-16,,
8:35.0,P. Mills makes 3-pt shot from 26 ft (assist by M. Belinelli),3,28-16,,
8:15.0,,,28-19,3,A. Tolliver makes 3-pt shot from 27 ft (assist by J. Lucas III)
7:59.0,M. Belinelli misses 3-pt shot from 26 ft,,28-19,,
7:58.0,,,28-19,,Defensive rebound by A. Drummond
7:50.0,,,28-22,3,J. Meeks makes 3-pt shot from 26 ft (assist by J. Lucas III)
