time,Detroit,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Gasol (M. Conley gains possession),,,,Jump ball: A. Drummond vs. M. Gasol (M. Conley gains possession)
11:38.0,,,0-0,,Z. Randolph misses 2-pt shot from 1 ft
11:38.0,Defensive rebound by G. Monroe,,0-0,,
11:14.0,Turnover by Team (shot clock),,0-0,,
11:01.0,,,0-0,,Turnover by M. Conley (bad pass)
10:45.0,,,0-0,,Personal foul by M. Conley (drawn by G. Monroe)
10:36.0,B. Jennings misses 2-pt shot from 16 ft,,0-0,,
10:34.0,,,0-0,,Defensive rebound by T. Allen
10:18.0,,,0-0,,M. Gasol misses 2-pt shot from 17 ft
10:17.0,Defensive rebound by B. Jennings,,0-0,,
9:58.0,K. Caldwell-Pope misses 2-pt shot from 14 ft,,0-0,,
9:57.0,,,0-0,,Defensive rebound by Z. Randolph
9:43.0,,,0-0,,T. Prince misses 2-pt shot from 18 ft
9:42.0,Defensive rebound by A. Drummond,,0-0,,
9:30.0,J. Smith makes 2-pt shot at rim,2,2-0,,
9:21.0,,,2-0,,Shooting foul by G. Monroe (drawn by M. Gasol)
9:21.0,,,2-0,,M. Gasol misses free throw 1 of 2
9:21.0,,,2-0,,Offensive rebound by Team
9:21.0,,,2-1,1,M. Gasol makes free throw 2 of 2
9:06.0,G. Monroe misses 2-pt shot from 3 ft,,2-1,,
9:04.0,Offensive rebound by G. Monroe,,2-1,,
9:02.0,G. Monroe misses 2-pt shot from 2 ft,,2-1,,
9:00.0,Offensive rebound by A. Drummond,,2-1,,
9:00.0,A. Drummond makes 2-pt shot from 1 ft,2,4-1,,
8:39.0,,,4-3,2,Z. Randolph makes 2-pt shot at rim (assist by T. Allen)
8:15.0,Shooting foul by Z. Randolph (drawn by G. Monroe),,4-3,,
8:15.0,G. Monroe misses free throw 1 of 2,,4-3,,
8:15.0,Offensive rebound by Team,,4-3,,
8:15.0,G. Monroe misses free throw 2 of 2,,4-3,,
