time,Charlotte,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. C. Zeller (M. Smart gains possession),,,,Jump ball: B. Bass vs. C. Zeller (M. Smart gains possession)
11:47.0,,,0-2,2,T. Zeller makes 2-pt shot from 17 ft (assist by M. Smart)
11:24.0,G. Henderson misses 2-pt shot from 11 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by T. Zeller
11:04.0,,,0-2,,B. Bass misses 2-pt shot from 13 ft
11:03.0,Defensive rebound by M. Kidd-Gilchrist,,0-2,,
10:46.0,A. Jefferson makes 2-pt shot from 2 ft,2,2-2,,
10:32.0,,,2-4,2,M. Smart makes 2-pt shot from 12 ft
10:08.0,A. Jefferson makes 2-pt shot from 4 ft,2,4-4,,
9:47.0,,,4-6,2,B. Bass makes 2-pt shot from 17 ft (assist by A. Bradley)
9:28.0,M. Williams misses 2-pt shot from 20 ft,,4-6,,
9:27.0,,,4-6,,Defensive rebound by T. Zeller
9:21.0,,,4-6,,B. Bass misses 2-pt shot from 17 ft
9:20.0,Defensive rebound by M. Williams,,4-6,,
9:12.0,A. Jefferson misses 2-pt shot from 15 ft,,4-6,,
9:10.0,,,4-6,,Defensive rebound by B. Bass
8:56.0,,,4-6,,A. Bradley misses 2-pt shot from 3 ft
8:55.0,Defensive rebound by A. Jefferson,,4-6,,
8:47.0,C. Zeller makes 2-pt shot from 20 ft (assist by M. Kidd-Gilchrist),2,6-6,,
8:31.0,,,6-8,2,M. Smart makes 2-pt shot from 14 ft (assist by E. Turner)
8:08.0,G. Henderson misses 2-pt shot from 4 ft (block by T. Zeller),,6-8,,
8:06.0,,,6-8,,Defensive rebound by E. Turner
8:00.0,,,6-11,3,M. Smart makes 3-pt shot from 25 ft (assist by E. Turner)
7:41.0,M. Williams makes 2-pt shot from 14 ft (assist by G. Henderson),2,8-11,,
7:31.0,,,8-11,,E. Turner misses 2-pt shot from 15 ft
7:29.0,Defensive rebound by G. Henderson,,8-11,,
7:20.0,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by T. Zeller),,8-11,,
7:18.0,,,8-11,,Defensive rebound by A. Bradley
7:06.0,,,8-11,,T. Zeller misses 2-pt shot from 3 ft (block by A. Jefferson)
7:05.0,Defensive rebound by M. Kidd-Gilchrist,,8-11,,
7:01.0,,,8-11,,Personal foul by M. Smart (drawn by M. Kidd-Gilchrist)
6:56.0,M. Williams misses 2-pt shot from 13 ft,,8-11,,
6:55.0,,,8-11,,Defensive rebound by Team
6:32.0,,,8-11,,A. Bradley misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by C. Zeller,,8-11,,
6:14.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft,2,10-11,,
5:59.0,,,10-13,2,B. Bass makes 2-pt shot from 15 ft (assist by E. Turner)
5:39.0,A. Jefferson makes 2-pt shot from 2 ft,2,12-13,,
5:27.0,,,12-13,,T. Zeller misses 2-pt shot from 2 ft
5:25.0,Defensive rebound by M. Williams,,12-13,,
5:15.0,M. Kidd-Gilchrist misses 2-pt shot from 4 ft,,12-13,,
5:14.0,,,12-13,,Defensive rebound by T. Zeller
5:08.0,,,12-16,3,M. Smart makes 3-pt shot from 25 ft (assist by T. Zeller)
4:59.0,Charlotte full timeout,,12-16,,
4:59.0,,,12-16,,I. Thomas enters the game for A. Bradley
4:59.0,,,12-16,,J. Crowder enters the game for B. Bass
4:59.0,M. Williams enters the game for C. Zeller,,12-16,,
4:51.0,Turnover by G. Henderson (bad pass; steal by M. Smart),,12-16,,
4:34.0,,,12-18,2,I. Thomas makes 2-pt shot from 1 ft
4:13.0,G. Henderson misses 2-pt shot from 14 ft,,12-18,,
4:11.0,Offensive rebound by M. Kidd-Gilchrist,,12-18,,
4:10.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,14-18,,
3:52.0,,,14-18,,M. Smart misses 2-pt shot from 17 ft
3:51.0,Defensive rebound by A. Jefferson,,14-18,,
3:37.0,M. Williams misses 2-pt shot from 9 ft,,14-18,,
3:36.0,,,14-18,,Defensive rebound by T. Zeller
3:26.0,,,14-18,,E. Turner misses 2-pt shot from 18 ft
3:25.0,Defensive rebound by M. Kidd-Gilchrist,,14-18,,
3:14.0,B. Roberts enters the game for G. Henderson,,14-18,,
3:14.0,J. Maxiell enters the game for A. Jefferson,,14-18,,
3:10.0,M. Williams misses 2-pt shot from 18 ft,,14-18,,
3:09.0,,,14-18,,Defensive rebound by T. Zeller
3:04.0,,,14-18,,M. Smart misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by M. Kidd-Gilchrist,,14-18,,
2:49.0,M. Kidd-Gilchrist misses 2-pt shot from 4 ft (block by T. Zeller),,14-18,,
2:48.0,,,14-18,,Defensive rebound by E. Turner
2:42.0,,,14-18,,J. Crowder misses 2-pt shot from 5 ft
2:41.0,,,14-18,,Offensive rebound by T. Zeller
2:40.0,,,14-20,2,T. Zeller makes 2-pt shot at rim
2:40.0,,,14-20,,Shooting foul by B. Roberts (drawn by T. Zeller)
2:40.0,,,14-20,,Boston full timeout
2:40.0,,,14-21,1,T. Zeller makes free throw 1 of 1
2:22.0,M. Williams makes 2-pt shot from 17 ft,2,16-21,,
2:07.0,,,16-21,,I. Thomas misses 2-pt shot from 3 ft
2:06.0,Defensive rebound by J. Maxiell,,16-21,,
1:54.0,Shooting foul by M. Smart (drawn by M. Williams),,16-21,,
1:54.0,M. Williams makes free throw 1 of 2,1,17-21,,
1:54.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,17-21,,
1:54.0,,,17-21,,J. Jerebko enters the game for T. Zeller
1:54.0,,,17-21,,J. Young enters the game for E. Turner
1:54.0,M. Williams makes free throw 2 of 2,1,18-21,,
1:36.0,,,18-24,3,J. Jerebko makes 3-pt shot from 24 ft (assist by M. Smart)
1:20.0,M. Williams misses 3-pt shot from 22 ft,,18-24,,
1:19.0,,,18-24,,Defensive rebound by J. Jerebko
1:11.0,,,18-24,,I. Thomas misses 2-pt shot from 1 ft (block by M. Williams)
1:09.0,,,18-24,,Offensive rebound by J. Jerebko
1:07.0,,,18-27,3,J. Crowder makes 3-pt shot from 23 ft (assist by J. Jerebko)
0:46.0,B. Roberts misses 3-pt shot from 23 ft,,18-27,,
0:45.0,,,18-27,,Defensive rebound by J. Crowder
0:36.0,,,18-27,,J. Crowder misses 2-pt shot from 21 ft
0:35.0,Defensive rebound by J. Maxiell,,18-27,,
0:27.0,,,18-27,,A. Bradley enters the game for M. Smart
0:27.0,Jump ball: J. Crowder vs. M. Williams (B. Roberts gains possession),,,,Jump ball: J. Crowder vs. M. Williams (B. Roberts gains possession)
0:16.0,M. Williams misses 2-pt shot from 22 ft,,18-27,,
0:14.0,Offensive rebound by J. Maxiell,,18-27,,
0:13.0,M. Williams misses 3-pt shot from 25 ft,,18-27,,
0:12.0,,,18-27,,Defensive rebound by Team
0:04.0,,,18-27,,A. Bradley misses 2-pt shot from 3 ft (block by M. Williams)
0:02.0,Defensive rebound by M. Williams,,18-27,,
0:00.0,M. Williams makes 3-pt shot from 26 ft,3,21-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Maxiell misses 2-pt shot from 8 ft,,21-27,,
11:45.0,,,21-27,,Defensive rebound by J. Crowder
11:34.0,,,21-27,,I. Thomas misses 2-pt shot from 17 ft
11:32.0,Defensive rebound by L. Stephenson,,21-27,,
11:25.0,L. Stephenson misses 2-pt shot from 14 ft,,21-27,,
11:23.0,,,21-27,,Defensive rebound by A. Bradley
11:12.0,,,21-27,,I. Thomas misses 2-pt shot from 2 ft
11:11.0,,,21-27,,Offensive rebound by J. Jerebko
11:11.0,,,21-29,2,J. Jerebko makes 2-pt shot at rim
11:05.0,Turnover by L. Stephenson (lost ball),,21-29,,
10:55.0,,,21-29,,J. Jerebko misses 2-pt shot from 4 ft
10:54.0,Defensive rebound by J. Maxiell,,21-29,,
10:35.0,B. Roberts makes 3-pt shot from 24 ft (assist by M. Williams),3,24-29,,
10:14.0,,,24-31,2,I. Thomas makes 2-pt shot from 2 ft
9:59.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by L. Stephenson),2,26-31,,
9:42.0,,,26-31,,Turnover by I. Thomas (lost ball; steal by B. Roberts)
9:31.0,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by L. Stephenson),2,28-31,,
9:15.0,,,28-31,,A. Bradley misses 2-pt shot from 19 ft
9:14.0,Defensive rebound by M. Williams,,28-31,,
9:04.0,,,28-31,,Personal foul by J. Crowder (drawn by J. Maxiell)
9:04.0,,,28-31,,B. Bass enters the game for J. Crowder
8:57.0,,,28-31,,Personal block foul by A. Bradley (drawn by L. Stephenson)
8:57.0,Official timeout,,28-31,,
8:48.0,Turnover by J. Maxiell (lost ball; steal by J. Young),,28-31,,
8:33.0,,,28-31,,J. Jerebko misses 3-pt shot from 26 ft
8:32.0,Defensive rebound by J. Maxiell,,28-31,,
8:25.0,B. Roberts misses 3-pt shot from 25 ft,,28-31,,
8:23.0,,,28-31,,Defensive rebound by B. Bass
8:19.0,,,28-31,,A. Bradley misses 2-pt shot from 18 ft
8:18.0,Defensive rebound by M. Kidd-Gilchrist,,28-31,,
8:13.0,M. Williams makes 2-pt shot from 8 ft (assist by M. Kidd-Gilchrist),2,30-31,,
7:55.0,,,30-33,2,B. Bass makes 2-pt shot from 17 ft (assist by I. Thomas)
7:39.0,L. Stephenson misses 2-pt shot from 6 ft,,30-33,,
7:38.0,,,30-33,,Defensive rebound by B. Bass
7:33.0,Personal block foul by B. Roberts (drawn by I. Thomas),,30-33,,
