time,New Orleans,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: A. Davis vs. D. Jordan (B. Griffin gains possession)
11:41.0,,,0-3,3,J. Redick makes 3-pt shot from 24 ft (assist by M. Barnes)
11:23.0,Turnover by J. Holiday (bad pass; steal by M. Barnes),,0-3,,
11:12.0,,,0-3,,Turnover by M. Barnes (bad pass)
11:01.0,L. Babbitt makes 3-pt shot from 22 ft (assist by J. Holiday),3,3-3,,
10:36.0,,,3-5,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
10:12.0,A. Davis misses 2-pt shot from 19 ft,,3-5,,
10:11.0,,,3-5,,Defensive rebound by D. Jordan
10:04.0,,,3-7,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
9:51.0,Turnover by O. Asik (lost ball; steal by J. Redick),,3-7,,
9:45.0,,,3-7,,B. Griffin misses 2-pt shot from 2 ft (block by A. Davis)
9:45.0,,,3-7,,Offensive rebound by B. Griffin
9:45.0,,,3-7,,Shooting foul by L. Babbitt (drawn by B. Griffin)
9:45.0,,,3-8,1,B. Griffin makes free throw 1 of 2
9:45.0,,,3-9,1,B. Griffin makes free throw 2 of 2
9:30.0,L. Babbitt makes 3-pt shot from 23 ft (assist by J. Holiday),3,6-9,,
9:19.0,Personal foul by T. Evans (drawn by J. Redick),,6-9,,
9:12.0,,,6-12,3,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin)
8:55.0,T. Evans misses 2-pt shot from 2 ft,,6-12,,
8:53.0,Offensive rebound by O. Asik,,6-12,,
8:50.0,O. Asik makes 2-pt shot at rim,2,8-12,,
8:32.0,,,8-15,3,J. Redick makes 3-pt shot from 25 ft (assist by B. Griffin)
8:30.0,New Orleans full timeout,,8-15,,
8:20.0,J. Holiday makes 2-pt shot from 16 ft (assist by O. Asik),2,10-15,,
8:02.0,,,10-18,3,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin)
7:45.0,L. Babbitt makes 3-pt shot from 24 ft (assist by T. Evans),3,13-18,,
7:31.0,,,13-20,2,B. Griffin makes 2-pt shot from 9 ft (assist by J. Redick)
7:21.0,T. Evans misses 3-pt shot from 25 ft,,13-20,,
7:20.0,,,13-20,,Defensive rebound by B. Griffin
7:10.0,,,13-22,2,B. Griffin makes 2-pt shot from 21 ft (assist by C. Paul)
6:48.0,Turnover by J. Holiday (lost ball; steal by B. Griffin),,13-22,,
6:42.0,,,13-22,,J. Redick misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by L. Babbitt,,13-22,,
6:15.0,T. Evans misses 2-pt shot from 1 ft (block by D. Jordan),,13-22,,
6:14.0,,,13-22,,Defensive rebound by B. Griffin
6:14.0,,,13-22,,Shooting foul by L. Babbitt (drawn by B. Griffin)
6:14.0,,,13-23,1,B. Griffin makes free throw 1 of 2
6:14.0,A. Rivers enters the game for L. Babbitt,,13-23,,
