time,Boston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. T. Duncan (T. Parker gains possession),,,,Jump ball: B. Bass vs. T. Duncan (T. Parker gains possession)
11:42.0,,,0-2,2,K. Leonard makes 2-pt shot from 14 ft (assist by T. Duncan)
11:20.0,A. Bradley makes 2-pt shot from 17 ft,2,2-2,,
11:07.0,,,2-2,,T. Splitter misses 2-pt shot from 4 ft
11:06.0,Defensive rebound by A. Bradley,,2-2,,
10:57.0,Turnover by A. Bradley (bad pass; steal by T. Duncan),,2-2,,
10:53.0,,,2-2,,Shooting foul by T. Zeller (drawn by T. Splitter)
10:53.0,,,2-3,1,T. Splitter makes free throw 1 of 2
10:53.0,,,2-4,1,T. Splitter makes free throw 2 of 2
10:44.0,A. Bradley misses 2-pt shot from 19 ft,,2-4,,
10:43.0,,,2-4,,Defensive rebound by T. Duncan
10:36.0,,,2-6,2,K. Leonard makes 2-pt shot from 16 ft
10:25.0,T. Zeller misses 2-pt shot from 22 ft,,2-6,,
10:24.0,,,2-6,,Defensive rebound by T. Splitter
10:05.0,,,2-8,2,D. Green makes 2-pt shot from 19 ft (assist by T. Parker)
9:54.0,Turnover by E. Turner (bad pass; steal by T. Duncan),,2-8,,
9:43.0,,,2-10,2,T. Duncan makes 2-pt shot at rim (assist by T. Splitter)
9:43.0,Boston full timeout,,2-10,,
9:32.0,T. Zeller misses 2-pt shot from 7 ft,,2-10,,
9:31.0,,,2-10,,Defensive rebound by D. Green
9:19.0,,,2-10,,D. Green misses 2-pt shot from 1 ft
9:18.0,,,2-10,,Offensive rebound by D. Green
9:18.0,,,2-10,,D. Green misses 2-pt shot from 1 ft
9:17.0,Defensive rebound by T. Zeller,,2-10,,
8:55.0,E. Turner makes 2-pt shot from 18 ft,2,4-10,,
8:32.0,,,4-12,2,T. Splitter makes 2-pt shot from 7 ft (assist by K. Leonard)
8:17.0,E. Turner misses 3-pt shot from 25 ft,,4-12,,
8:16.0,,,4-12,,Defensive rebound by D. Green
7:55.0,,,4-15,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker)
7:43.0,M. Smart misses 2-pt shot from 4 ft,,4-15,,
7:42.0,,,4-15,,Defensive rebound by T. Duncan
7:42.0,Personal foul by M. Smart (drawn by T. Duncan),,4-15,,
7:42.0,K. Olynyk enters the game for T. Zeller,,4-15,,
7:29.0,,,4-15,,Offensive foul by T. Duncan
7:29.0,,,4-15,,Turnover by T. Duncan (offensive foul)
7:20.0,Turnover by E. Turner (bad pass; steal by K. Leonard),,4-15,,
7:05.0,,,4-17,2,T. Splitter makes 2-pt shot from 1 ft (assist by K. Leonard)
6:49.0,K. Olynyk misses 3-pt shot from 24 ft,,4-17,,
6:49.0,,,4-17,,Defensive rebound by Team
6:49.0,J. Crowder enters the game for E. Turner,,4-17,,
6:41.0,Personal foul by K. Olynyk (drawn by K. Leonard),,4-17,,
6:41.0,,,4-17,,B. Diaw enters the game for T. Splitter
6:30.0,,,4-19,2,T. Duncan makes 2-pt shot from 2 ft (assist by D. Green)
6:13.0,B. Bass makes 2-pt shot from 18 ft (assist by A. Bradley),2,6-19,,
5:54.0,,,6-21,2,T. Duncan makes 2-pt shot from 4 ft (assist by T. Parker)
5:41.0,M. Smart makes 2-pt shot from 19 ft (assist by K. Olynyk),2,8-21,,
5:26.0,,,8-21,,T. Parker misses 2-pt shot from 16 ft
5:25.0,,,8-21,,Offensive rebound by B. Diaw
5:20.0,Personal foul by B. Bass (drawn by D. Green),,8-21,,
5:20.0,,,8-22,1,D. Green makes free throw 1 of 2
5:20.0,,,8-23,1,D. Green makes free throw 2 of 2
5:06.0,A. Bradley makes 3-pt shot from 23 ft (assist by K. Olynyk),3,11-23,,
4:55.0,Personal foul by M. Smart (drawn by T. Parker),,11-23,,
4:55.0,,,11-24,1,T. Parker makes free throw 1 of 2
4:55.0,,,11-24,,M. Belinelli enters the game for D. Green
4:55.0,,,11-24,,A. Baynes enters the game for T. Duncan
4:55.0,P. Pressey enters the game for M. Smart,,11-24,,
4:55.0,,,11-25,1,T. Parker makes free throw 2 of 2
4:43.0,Turnover by A. Bradley (bad pass),,11-25,,
4:28.0,,,11-25,,K. Leonard misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by P. Pressey,,11-25,,
4:24.0,B. Bass makes 2-pt shot at rim (assist by P. Pressey),2,13-25,,
4:24.0,,,13-25,,San Antonio full timeout
4:24.0,J. Jerebko enters the game for B. Bass,,13-25,,
4:01.0,,,13-25,,Turnover by M. Belinelli (lost ball; steal by K. Olynyk)
3:43.0,J. Crowder makes 3-pt shot from 24 ft (assist by P. Pressey),3,16-25,,
3:31.0,,,16-28,3,B. Diaw makes 3-pt shot from 24 ft (assist by T. Parker)
3:05.0,K. Olynyk misses 2-pt shot from 8 ft,,16-28,,
3:04.0,,,16-28,,Defensive rebound by M. Belinelli
2:58.0,,,16-30,2,T. Parker makes 2-pt shot from 12 ft
2:40.0,J. Jerebko misses 2-pt shot from 2 ft,,16-30,,
2:39.0,Offensive rebound by J. Jerebko,,16-30,,
2:34.0,P. Pressey misses 3-pt shot from 24 ft,,16-30,,
2:33.0,,,16-30,,Defensive rebound by A. Baynes
2:28.0,,,16-30,,Turnover by T. Parker (lost ball; steal by J. Crowder)
2:22.0,A. Bradley makes 2-pt shot at rim (assist by J. Crowder),2,18-30,,
2:05.0,,,18-32,2,A. Baynes makes 2-pt shot from 15 ft (assist by B. Diaw)
1:51.0,K. Olynyk misses 2-pt shot at rim (block by A. Baynes),,18-32,,
1:50.0,,,18-32,,Defensive rebound by B. Diaw
1:45.0,,,18-32,,Turnover by T. Parker (lost ball; steal by J. Jerebko)
1:45.0,,,18-32,,Technical foul by T. Parker
1:45.0,A. Bradley makes technical free throw,1,19-32,,
1:45.0,,,19-32,,P. Mills enters the game for T. Parker
1:24.0,K. Olynyk misses 2-pt shot from 17 ft,,19-32,,
1:24.0,,,19-32,,Defensive rebound by A. Baynes
1:04.0,,,19-32,,K. Leonard misses 3-pt shot from 24 ft
1:03.0,Defensive rebound by A. Bradley,,19-32,,
0:56.0,,,19-32,,Personal foul by M. Belinelli (drawn by P. Pressey)
0:56.0,,,19-32,,D. Green enters the game for K. Leonard
0:40.0,J. Jerebko misses 2-pt shot from 5 ft,,19-32,,
0:39.0,,,19-32,,Defensive rebound by D. Green
0:30.0,,,19-32,,P. Mills misses 2-pt shot from 17 ft
0:29.0,Defensive rebound by J. Crowder,,19-32,,
0:07.0,A. Bradley misses 2-pt shot from 14 ft,,19-32,,
0:05.0,Offensive rebound by Team,,19-32,,
0:05.0,Turnover by J. Jerebko (kicked ball),,19-32,,
0:01.0,,,19-32,,B. Diaw misses 3-pt shot from 26 ft
0:00.0,,,19-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,J. Crowder misses 3-pt shot from 24 ft,,19-32,,
11:37.0,Offensive rebound by T. Zeller,,19-32,,
11:37.0,T. Zeller makes 2-pt shot from 1 ft,2,21-32,,
11:17.0,,,21-32,,A. Baynes misses 2-pt shot from 17 ft
11:16.0,Defensive rebound by J. Crowder,,21-32,,
10:58.0,Turnover by L. Datome (lost ball; steal by P. Mills),,21-32,,
10:55.0,,,21-32,,Shooting foul by J. Crowder (drawn by D. Green)
10:55.0,,,21-33,1,D. Green makes free throw 1 of 2
10:55.0,,,21-34,1,D. Green makes free throw 2 of 2
10:40.0,T. Zeller misses 2-pt shot from 1 ft,,21-34,,
10:38.0,Offensive rebound by T. Zeller,,21-34,,
10:38.0,T. Zeller misses 2-pt shot from 2 ft (block by D. Green),,21-34,,
10:36.0,,,21-34,,Defensive rebound by B. Diaw
10:27.0,Jump ball: A. Baynes vs. L. Datome (M. Belinelli gains possession),,,,Jump ball: A. Baynes vs. L. Datome (M. Belinelli gains possession)
10:17.0,,,21-37,3,M. Belinelli makes 3-pt shot from 25 ft (assist by P. Mills)
10:01.0,P. Pressey makes 2-pt shot from 11 ft,2,23-37,,
9:41.0,,,23-40,3,P. Mills makes 3-pt shot from 25 ft (assist by D. Green)
9:29.0,Offensive charge foul by J. Jerebko,,23-40,,
9:29.0,Turnover by J. Jerebko (offensive foul),,23-40,,
9:29.0,E. Turner enters the game for P. Pressey,,23-40,,
9:15.0,,,23-40,,D. Green misses 3-pt shot from 24 ft
9:15.0,Defensive rebound by J. Crowder,,23-40,,
9:01.0,J. Crowder misses 3-pt shot from 25 ft,,23-40,,
