time,Philadelphia,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Noel (H. Sims gains possession),,,,Jump ball: A. Drummond vs. N. Noel (H. Sims gains possession)
11:43.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,2-0,,
11:27.0,,,2-3,3,K. Singler makes 3-pt shot from 23 ft (assist by B. Jennings)
11:12.0,Turnover by M. Carter-Williams (bad pass),,2-3,,
10:59.0,,,2-3,,Shooting foul by H. Thompson (drawn by K. Caldwell-Pope)
10:59.0,,,2-4,1,K. Caldwell-Pope makes free throw 1 of 2
10:59.0,,,2-5,1,K. Caldwell-Pope makes free throw 2 of 2
10:41.0,H. Thompson makes 3-pt shot from 26 ft (assist by L. Mbah a Moute),3,5-5,,
10:26.0,,,5-7,2,K. Singler makes 2-pt shot from 8 ft
10:11.0,L. Mbah a Moute misses 3-pt shot from 27 ft,,5-7,,
10:10.0,Offensive rebound by N. Noel,,5-7,,
10:00.0,Turnover by N. Noel (lost ball; steal by J. Smith),,5-7,,
9:55.0,,,5-9,2,A. Drummond makes 2-pt shot at rim (assist by J. Smith)
9:30.0,M. Carter-Williams makes 2-pt shot from 5 ft,2,7-9,,
9:18.0,,,7-9,,Turnover by J. Smith (bad pass; steal by N. Noel)
9:01.0,H. Thompson makes 3-pt shot from 25 ft (assist by N. Noel),3,10-9,,
8:45.0,,,10-11,2,J. Smith makes 2-pt shot from 1 ft (assist by B. Jennings)
8:18.0,H. Sims makes 3-pt shot from 27 ft (assist by M. Carter-Williams),3,13-11,,
8:01.0,,,13-11,,A. Drummond misses 2-pt shot at rim
8:00.0,Defensive rebound by M. Carter-Williams,,13-11,,
7:52.0,H. Sims misses 3-pt shot from 25 ft,,13-11,,
7:51.0,,,13-11,,Defensive rebound by K. Caldwell-Pope
7:42.0,,,13-11,,B. Jennings misses 3-pt shot from 23 ft
7:41.0,Defensive rebound by N. Noel,,13-11,,
7:37.0,,,13-11,,Personal foul by B. Jennings (drawn by M. Carter-Williams)
7:27.0,H. Sims misses 2-pt shot from 14 ft,,13-11,,
7:26.0,,,13-11,,Defensive rebound by K. Caldwell-Pope
7:23.0,,,13-11,,K. Caldwell-Pope misses 3-pt shot from 23 ft
7:22.0,,,13-11,,Offensive rebound by A. Drummond
7:21.0,,,13-11,,A. Drummond misses 2-pt shot from 1 ft
7:20.0,Defensive rebound by M. Carter-Williams,,13-11,,
7:13.0,Turnover by H. Thompson (bad pass),,13-11,,
6:53.0,,,13-11,,B. Jennings misses 2-pt shot from 16 ft
6:52.0,Defensive rebound by H. Sims,,13-11,,
6:46.0,Philadelphia full timeout,,13-11,,
6:46.0,J. Grant enters the game for N. Noel,,13-11,,
6:34.0,J. Grant misses 3-pt shot from 26 ft,,13-11,,
6:33.0,,,13-11,,Defensive rebound by B. Jennings
