time,San Antonio,pts.away,score,pts.home,Dallas
1:06.0,,,19-19,,Personal foul by J. Barea (drawn by M. Belinelli)
1:06.0,M. Belinelli makes free throw 1 of 2,1,20-19,,
1:06.0,M. Belinelli makes free throw 2 of 2,1,21-19,,
0:52.0,,,21-21,2,R. Jefferson makes 2-pt shot at rim (assist by D. Nowitzki)
0:36.0,K. Anderson makes 2-pt shot from 14 ft,2,23-21,,
0:19.0,,,23-21,,D. Nowitzki misses 3-pt shot from 25 ft
0:17.0,Defensive rebound by M. Bonner,,23-21,,
0:03.0,M. Belinelli makes 2-pt shot from 22 ft,2,25-21,,
0:00.0,,,25-21,,D. Harris misses 3-pt shot from 30 ft
0:00.0,,,25-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,A. Daye misses 2-pt shot from 5 ft,,25-21,,
11:42.0,Offensive rebound by J. Ayres,,25-21,,
11:42.0,Shooting foul by D. Nowitzki (drawn by J. Ayres),,25-21,,
11:42.0,,,25-21,,Violation by G. Smith (def goaltending)
11:42.0,J. Ayres makes 2-pt shot from 1 ft,2,27-21,,
11:42.0,,,27-21,,R. Ledo enters the game for R. Jefferson
11:42.0,J. Ayres makes free throw 1 of 1,1,28-21,,
11:19.0,,,28-21,,J. Barea misses 2-pt shot from 20 ft
11:18.0,Defensive rebound by J. Ayres,,28-21,,
10:58.0,A. Daye makes 3-pt shot from 24 ft (assist by C. Joseph),3,31-21,,
10:43.0,,,31-21,,R. Ledo misses 2-pt shot from 4 ft
10:42.0,,,31-21,,Offensive rebound by R. Ledo
10:29.0,,,31-21,,J. Barea misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by J. Ayres,,31-21,,
10:12.0,Turnover by A. Daye (bad pass; steal by D. Harris),,31-21,,
10:03.0,,,31-21,,D. Nowitzki misses 3-pt shot from 24 ft
10:02.0,Defensive rebound by J. Ayres,,31-21,,
9:44.0,K. Anderson misses 2-pt shot from 4 ft,,31-21,,
9:41.0,Offensive rebound by Team,,31-21,,
9:41.0,,,31-21,,Loose ball foul by J. Barea (drawn by C. Joseph)
9:41.0,,,31-21,,A. Aminu enters the game for R. Ledo
9:41.0,,,31-21,,T. Chandler enters the game for G. Smith
9:41.0,M. Belinelli enters the game for A. Daye,,31-21,,
9:41.0,B. Diaw enters the game for M. Bonner,,31-21,,
9:30.0,K. Anderson misses 2-pt shot from 10 ft,,31-21,,
9:29.0,Offensive rebound by M. Belinelli,,31-21,,
9:24.0,M. Belinelli makes 2-pt shot from 9 ft,2,33-21,,
9:03.0,,,33-23,2,D. Harris makes 2-pt shot from 1 ft
8:45.0,Shooting foul by D. Harris (drawn by M. Belinelli),,33-23,,
8:45.0,Official timeout,,33-23,,
8:45.0,,,33-23,,C. Parsons enters the game for D. Nowitzki
8:45.0,,,33-23,,M. Ellis enters the game for D. Harris
8:45.0,,,33-23,,R. Rondo enters the game for J. Barea
8:45.0,M. Belinelli makes free throw 1 of 2,1,34-23,,
