time,Brooklyn,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. J. Valanciunas (A. Anderson gains possession),,,,Jump ball: M. Plumlee vs. J. Valanciunas (A. Anderson gains possession)
11:44.0,Turnover by K. Garnett (bad pass),,0-0,,
11:21.0,,,0-0,,G. Vasquez misses 3-pt shot from 26 ft
11:20.0,Defensive rebound by K. Garnett,,0-0,,
11:08.0,J. Jack misses 2-pt shot from 16 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by K. Lowry
10:58.0,,,0-2,2,K. Lowry makes 2-pt shot from 18 ft
10:36.0,A. Anderson makes 2-pt shot from 10 ft,2,2-2,,
10:09.0,,,2-2,,Turnover by D. DeRozan (lost ball; steal by M. Plumlee)
9:58.0,J. Johnson misses 2-pt shot from 6 ft,,2-2,,
9:57.0,Offensive rebound by J. Johnson,,2-2,,
9:50.0,A. Anderson makes 3-pt shot from 26 ft (assist by J. Johnson),3,5-2,,
9:31.0,,,5-2,,G. Vasquez misses 2-pt shot from 4 ft
9:31.0,Defensive rebound by M. Plumlee,,5-2,,
9:17.0,A. Anderson misses 3-pt shot from 26 ft,,5-2,,
9:16.0,,,5-2,,Defensive rebound by D. DeRozan
8:54.0,,,5-4,2,K. Lowry makes 2-pt shot from 16 ft
8:33.0,J. Johnson misses 3-pt shot from 24 ft,,5-4,,
8:32.0,,,5-4,,Defensive rebound by J. Valanciunas
8:26.0,,,5-6,2,K. Lowry makes 2-pt shot from 2 ft (assist by J. Valanciunas)
8:18.0,Brooklyn full timeout,,5-6,,
8:12.0,J. Jack misses 2-pt shot from 4 ft,,5-6,,
8:11.0,,,5-6,,Defensive rebound by K. Lowry
8:00.0,,,5-6,,D. DeRozan misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by K. Garnett,,5-6,,
7:52.0,,,5-6,,Personal foul by K. Lowry (drawn by J. Johnson)
7:46.0,J. Johnson makes 2-pt shot from 4 ft (assist by K. Garnett),2,7-6,,
7:30.0,,,7-8,2,A. Johnson makes 2-pt shot from 3 ft (assist by K. Lowry)
7:16.0,K. Garnett makes 2-pt shot from 18 ft (assist by J. Jack),2,9-8,,
6:56.0,,,9-8,,Shooting foul by K. Garnett (drawn by J. Valanciunas)
6:56.0,,,9-8,,J. Valanciunas misses free throw 1 of 2
6:56.0,,,9-8,,Offensive rebound by Team
6:56.0,,,9-8,,J. Valanciunas misses free throw 2 of 2
6:55.0,Defensive rebound by K. Garnett,,9-8,,
6:42.0,J. Jack makes 3-pt shot from 23 ft (assist by J. Johnson),3,12-8,,
6:31.0,,,12-8,,Turnover by K. Lowry (bad pass; steal by K. Garnett)
6:28.0,Shooting foul by G. Vasquez (drawn by A. Anderson),,12-8,,
6:28.0,A. Anderson makes free throw 1 of 2,1,13-8,,
6:28.0,A. Anderson makes free throw 2 of 2,1,14-8,,
6:11.0,,,14-11,3,A. Johnson makes 3-pt shot from 25 ft (assist by K. Lowry)
5:56.0,K. Garnett makes 2-pt shot from 2 ft (assist by M. Plumlee),2,16-11,,
5:56.0,Shooting foul by G. Vasquez (drawn by K. Garnett),,16-11,,
5:56.0,,,16-11,,Toronto full timeout
5:56.0,,,16-11,,T. Ross enters the game for G. Vasquez
5:56.0,K. Garnett makes free throw 1 of 1,1,17-11,,
5:40.0,,,17-11,,D. DeRozan misses 2-pt shot from 9 ft
5:39.0,Defensive rebound by K. Garnett,,17-11,,
5:28.0,Offensive foul by K. Garnett,,17-11,,
5:28.0,Turnover by K. Garnett (offensive foul),,17-11,,
5:18.0,,,17-11,,K. Lowry misses 2-pt shot from 17 ft
5:17.0,,,17-11,,Offensive rebound by D. DeRozan
5:07.0,,,17-11,,T. Ross misses 3-pt shot from 26 ft
5:06.0,Defensive rebound by Team,,17-11,,
