time,New Orleans,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. M. Gortat (K. Humphries gains possession),,,,Jump ball: A. Davis vs. M. Gortat (K. Humphries gains possession)
11:43.0,,,0-2,2,K. Humphries makes 2-pt shot at rim (assist by P. Pierce)
11:26.0,A. Davis misses 2-pt shot from 17 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by J. Wall
11:08.0,,,0-2,,K. Humphries misses 2-pt shot from 16 ft
11:07.0,Defensive rebound by J. Holiday,,0-2,,
10:54.0,A. Davis makes 2-pt shot from 10 ft,2,2-2,,
10:43.0,,,2-2,,P. Pierce misses 3-pt shot from 26 ft
10:41.0,,,2-2,,Offensive rebound by K. Humphries
10:38.0,,,2-2,,J. Wall misses 2-pt shot from 16 ft
10:37.0,,,2-2,,Offensive rebound by K. Humphries
10:27.0,,,2-2,,M. Gortat misses 2-pt shot from 14 ft
10:26.0,Defensive rebound by J. Holiday,,2-2,,
10:14.0,Turnover by A. Davis (offensive foul),,2-2,,
10:14.0,Offensive foul by A. Davis,,2-2,,
10:05.0,,,2-4,2,M. Gortat makes 2-pt shot from 15 ft (assist by B. Beal)
9:44.0,O. Asik misses 2-pt shot from 1 ft,,2-4,,
9:43.0,,,2-4,,Defensive rebound by K. Humphries
9:35.0,Violation by O. Asik (kicked ball),,2-4,,
9:28.0,,,2-6,2,B. Beal makes 2-pt shot from 21 ft (assist by M. Gortat)
9:17.0,T. Evans misses 2-pt shot from 7 ft (block by M. Gortat),,2-6,,
9:14.0,,,2-6,,Defensive rebound by M. Gortat
9:09.0,,,2-6,,P. Pierce misses 2-pt shot from 1 ft (block by T. Evans)
9:07.0,Defensive rebound by A. Davis,,2-6,,
9:01.0,J. Holiday misses 3-pt shot from 25 ft,,2-6,,
8:59.0,,,2-6,,Defensive rebound by M. Gortat
8:43.0,,,2-6,,K. Humphries misses 2-pt shot from 19 ft
8:40.0,Defensive rebound by J. Holiday,,2-6,,
8:27.0,A. Davis misses 2-pt shot from 8 ft,,2-6,,
8:26.0,,,2-6,,Defensive rebound by K. Humphries
8:21.0,,,2-6,,B. Beal misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by T. Evans,,2-6,,
7:56.0,A. Rivers misses 2-pt shot from 4 ft,,2-6,,
7:55.0,,,2-6,,Defensive rebound by K. Humphries
7:45.0,,,2-8,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
7:21.0,J. Holiday misses 2-pt shot at rim,,2-8,,
7:20.0,,,2-8,,Defensive rebound by M. Gortat
7:07.0,,,2-10,2,M. Gortat makes 2-pt shot from 1 ft (assist by P. Pierce)
