time,Indiana,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Jordan (C. Watson gains possession),,,,Jump ball: R. Hibbert vs. D. Jordan (C. Watson gains possession)
11:42.0,R. Hibbert makes 2-pt shot from 13 ft (assist by C. Watson),2,2-0,,
11:24.0,,,2-0,,M. Barnes misses 3-pt shot from 23 ft
11:23.0,Defensive rebound by Team,,2-0,,
11:16.0,Turnover by C. Watson (lost ball; steal by C. Paul),,2-0,,
11:11.0,,,2-2,2,B. Griffin makes 2-pt shot from 1 ft (assist by M. Barnes)
10:52.0,S. Hill makes 3-pt shot from 24 ft (assist by R. Stuckey),3,5-2,,
10:34.0,,,5-2,,B. Griffin misses 2-pt shot from 18 ft
10:32.0,Defensive rebound by S. Hill,,5-2,,
10:17.0,R. Hibbert misses 2-pt shot from 6 ft,,5-2,,
10:14.0,,,5-2,,Defensive rebound by C. Paul
10:06.0,,,5-4,2,M. Barnes makes 2-pt shot from 1 ft (assist by B. Griffin)
9:49.0,D. West makes 2-pt shot from 17 ft (assist by S. Hill),2,7-4,,
9:44.0,,,7-4,,Shooting foul by D. West (drawn by B. Griffin)
9:44.0,,,7-5,1,B. Griffin makes free throw 1 of 2
9:44.0,,,7-6,1,B. Griffin makes free throw 2 of 2
9:25.0,R. Hibbert misses 2-pt shot from 17 ft,,7-6,,
9:24.0,,,7-6,,Defensive rebound by D. Jordan
9:15.0,,,7-9,3,J. Redick makes 3-pt shot from 24 ft (assist by M. Barnes)
9:02.0,R. Stuckey makes 2-pt shot from 18 ft (assist by S. Hill),2,9-9,,
8:50.0,,,9-11,2,C. Paul makes 2-pt shot from 12 ft
8:34.0,D. West misses 2-pt shot from 6 ft,,9-11,,
8:32.0,,,9-11,,Defensive rebound by B. Griffin
8:23.0,,,9-14,3,C. Paul makes 3-pt shot from 26 ft (assist by M. Barnes)
8:00.0,R. Stuckey misses 2-pt shot from 17 ft,,9-14,,
7:59.0,,,9-14,,Defensive rebound by B. Griffin
7:54.0,,,9-14,,Shooting foul by R. Hibbert (drawn by B. Griffin)
7:54.0,,,9-15,1,B. Griffin makes free throw 1 of 2
7:54.0,,,9-16,1,B. Griffin makes free throw 2 of 2
7:40.0,C. Watson misses 2-pt shot from 10 ft,,9-16,,
7:38.0,Offensive rebound by S. Hill,,9-16,,
7:36.0,S. Hill misses 2-pt shot from 2 ft,,9-16,,
7:35.0,,,9-16,,Defensive rebound by C. Paul
7:31.0,,,9-16,,Turnover by J. Redick (lost ball)
7:20.0,D. West misses 2-pt shot from 11 ft,,9-16,,
7:18.0,,,9-16,,Defensive rebound by D. Jordan
7:14.0,,,9-16,,Shooting foul by S. Hill (drawn by B. Griffin)
7:14.0,Indiana full timeout,,9-16,,
7:14.0,,,9-17,1,B. Griffin makes free throw 1 of 2
7:14.0,,,9-17,,B. Griffin misses free throw 2 of 2
7:13.0,Defensive rebound by D. West,,9-17,,
6:51.0,D. West makes 2-pt shot from 1 ft (assist by S. Hill),2,11-17,,
6:37.0,,,11-17,,J. Redick misses 3-pt shot from 22 ft
6:35.0,,,11-17,,Offensive rebound by D. Jordan
6:33.0,,,11-19,2,D. Jordan makes 2-pt shot from 1 ft
6:11.0,R. Hibbert makes 2-pt shot from 11 ft,2,13-19,,
5:51.0,,,13-21,2,B. Griffin makes 2-pt shot from 19 ft (assist by M. Barnes)
5:38.0,Shooting foul by B. Griffin (drawn by D. West),,13-21,,
5:38.0,D. West misses free throw 1 of 2,,13-21,,
5:38.0,Offensive rebound by Team,,13-21,,
5:38.0,C. Miles enters the game for R. Stuckey,,13-21,,
5:38.0,D. West makes free throw 2 of 2,1,14-21,,
5:28.0,,,14-23,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
5:06.0,R. Hibbert misses 2-pt shot from 6 ft (block by M. Barnes),,14-23,,
5:02.0,,,14-23,,Defensive rebound by M. Barnes
4:52.0,,,14-23,,M. Barnes misses 3-pt shot from 23 ft
4:51.0,Defensive rebound by D. West,,14-23,,
4:31.0,R. Hibbert makes 2-pt shot at rim (assist by S. Hill),2,16-23,,
4:16.0,,,16-25,2,J. Redick makes 2-pt shot from 21 ft (assist by C. Paul)
3:52.0,D. West makes 2-pt shot from 19 ft (assist by S. Hill),2,18-25,,
3:33.0,,,18-25,,C. Paul misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by Team,,18-25,,
3:31.0,,,18-25,,J. Crawford enters the game for J. Redick
3:31.0,L. Allen enters the game for R. Hibbert,,18-25,,
3:09.0,S. Hill misses 3-pt shot from 26 ft,,18-25,,
3:07.0,Offensive rebound by L. Allen,,18-25,,
3:03.0,C. Miles misses 3-pt shot from 24 ft,,18-25,,
3:01.0,Offensive rebound by L. Allen,,18-25,,
2:56.0,S. Hill makes 3-pt shot from 26 ft (assist by C. Watson),3,21-25,,
2:34.0,,,21-25,,B. Griffin misses 2-pt shot from 1 ft (block by L. Allen)
2:33.0,,,21-25,,Offensive rebound by B. Griffin
2:32.0,,,21-27,2,B. Griffin makes 2-pt shot from 1 ft
2:24.0,,,21-27,,LA Clippers full timeout
2:24.0,,,21-27,,J. Farmar enters the game for C. Paul
2:24.0,D. Sloan enters the game for C. Watson,,21-27,,
2:10.0,Shooting foul by D. Jordan (drawn by S. Hill),,21-27,,
2:10.0,S. Hill makes free throw 1 of 2,1,22-27,,
2:10.0,S. Hill makes free throw 2 of 2,1,23-27,,
1:59.0,,,23-27,,Turnover by M. Barnes (lost ball)
1:59.0,,,23-27,,G. Davis enters the game for D. Jordan
1:39.0,L. Allen makes 2-pt shot from 13 ft (assist by D. Sloan),2,25-27,,
1:20.0,,,25-27,,Turnover by B. Griffin (lost ball; steal by D. Sloan)
1:10.0,L. Allen makes 2-pt shot from 1 ft (assist by D. Sloan),2,27-27,,
0:56.0,,,27-27,,G. Davis misses 2-pt shot from 2 ft (block by L. Allen)
0:54.0,Defensive rebound by D. West,,27-27,,
0:51.0,Turnover by S. Hill (lost ball),,27-27,,
0:51.0,,,27-27,,C. Douglas-Roberts enters the game for M. Barnes
0:39.0,,,27-30,3,J. Crawford makes 3-pt shot from 25 ft (assist by B. Griffin)
0:27.0,C. Miles misses 2-pt shot from 16 ft,,27-30,,
0:26.0,,,27-30,,Defensive rebound by G. Davis
0:03.0,,,27-30,,B. Griffin misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by Team,,27-30,,
0:02.0,C. Miles misses 3-pt shot from 26 ft,,27-30,,
0:00.0,Offensive rebound by Team,,27-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,27-32,2,G. Davis makes 2-pt shot from 17 ft (assist by B. Griffin)
11:25.0,,,27-32,,Personal foul by J. Farmar (drawn by L. Allen)
11:25.0,,,27-32,,D. Jordan enters the game for B. Griffin
11:19.0,D. Sloan misses 2-pt shot from 17 ft,,27-32,,
11:18.0,,,27-32,,Defensive rebound by G. Davis
11:05.0,,,27-32,,G. Davis misses 2-pt shot from 16 ft
11:04.0,,,27-32,,Offensive rebound by D. Jordan
10:58.0,,,27-32,,Turnover by J. Crawford (bad pass; steal by C. Miles)
10:52.0,R. Stuckey makes 2-pt shot from 2 ft (assist by C. Miles),2,29-32,,
10:40.0,Personal foul by C. Miles (drawn by D. Jordan),,29-32,,
10:40.0,R. Hibbert enters the game for L. Allen,,29-32,,
10:34.0,,,29-34,2,J. Farmar makes 2-pt shot from 12 ft
10:13.0,R. Stuckey makes 2-pt shot from 2 ft,2,31-34,,
9:56.0,,,31-34,,Turnover by J. Crawford (lost ball; steal by R. Stuckey)
9:56.0,,,31-34,,Loose ball foul by J. Crawford (drawn by R. Stuckey)
9:46.0,R. Stuckey misses 2-pt shot from 16 ft,,31-34,,
9:44.0,,,31-34,,Defensive rebound by G. Davis
9:38.0,,,31-34,,C. Douglas-Roberts misses 2-pt shot from 1 ft
9:36.0,Defensive rebound by R. Hibbert,,31-34,,
9:23.0,C. Miles makes 2-pt shot from 1 ft (assist by R. Stuckey),2,33-34,,
9:07.0,,,33-34,,J. Crawford misses 2-pt shot from 16 ft
9:06.0,Defensive rebound by Team,,33-34,,
8:54.0,R. Hibbert misses 2-pt shot from 17 ft,,33-34,,
8:53.0,,,33-34,,Defensive rebound by J. Crawford
8:46.0,,,33-36,2,J. Crawford makes 2-pt shot from 17 ft
8:30.0,L. Scola makes 2-pt shot from 17 ft (assist by D. Sloan),2,35-36,,
8:14.0,Personal foul by R. Stuckey (drawn by J. Crawford),,35-36,,
8:14.0,Official timeout,,35-36,,
8:14.0,L. Allen enters the game for R. Hibbert,,35-36,,
8:07.0,,,35-36,,D. Jordan misses 2-pt shot at rim
8:05.0,Defensive rebound by L. Scola,,35-36,,
7:47.0,C. Miles makes 2-pt shot at rim (assist by L. Scola),2,37-36,,
7:26.0,,,37-36,,J. Farmar misses 2-pt shot from 3 ft
7:25.0,,,37-36,,Offensive rebound by D. Jordan
7:23.0,,,37-36,,D. Jordan misses 2-pt shot from 1 ft
7:23.0,,,37-36,,Offensive rebound by D. Jordan
7:20.0,,,37-36,,J. Farmar misses 3-pt shot from 23 ft
7:19.0,Defensive rebound by L. Allen,,37-36,,
7:09.0,L. Allen misses 2-pt shot from 20 ft,,37-36,,
7:08.0,,,37-36,,Defensive rebound by D. Jordan
6:59.0,,,37-38,2,J. Crawford makes 2-pt shot from 6 ft
6:54.0,Offensive charge foul by R. Stuckey,,37-38,,
6:54.0,Turnover by R. Stuckey (offensive foul),,37-38,,
6:54.0,,,37-38,,J. Redick enters the game for J. Farmar
6:54.0,,,37-38,,B. Griffin enters the game for G. Davis
6:54.0,,,37-38,,C. Paul enters the game for C. Douglas-Roberts
6:44.0,,,37-38,,Shooting foul by R. Stuckey (drawn by J. Crawford)
6:44.0,,,37-38,,J. Crawford misses free throw 1 of 2
6:44.0,,,37-38,,Offensive rebound by Team
6:44.0,S. Hill enters the game for R. Stuckey,,37-38,,
6:44.0,,,37-39,1,J. Crawford makes free throw 2 of 2
6:30.0,C. Miles makes 2-pt shot from 20 ft (assist by L. Scola),2,39-39,,
6:07.0,,,39-39,,LA Clippers full timeout
6:03.0,,,39-39,,B. Griffin misses 2-pt shot from 21 ft
6:01.0,,,39-39,,Offensive rebound by D. Jordan
5:55.0,,,39-39,,B. Griffin misses 2-pt shot from 2 ft
5:51.0,Defensive rebound by L. Scola,,39-39,,
5:46.0,Turnover by L. Scola (bad pass; steal by J. Crawford),,39-39,,
5:38.0,,,39-41,2,J. Crawford makes 2-pt shot at rim (assist by J. Redick)
5:20.0,S. Hill misses 3-pt shot from 26 ft,,39-41,,
5:18.0,,,39-41,,Defensive rebound by D. Jordan
4:57.0,,,39-41,,J. Redick misses 3-pt shot from 23 ft
4:56.0,Defensive rebound by L. Scola,,39-41,,
4:37.0,Turnover by D. Sloan (bad pass; steal by C. Paul),,39-41,,
4:30.0,,,39-44,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
4:30.0,Indiana full timeout,,39-44,,
4:30.0,,,39-44,,M. Barnes enters the game for J. Crawford
4:30.0,C. Watson enters the game for D. Sloan,,39-44,,
4:30.0,R. Hibbert enters the game for L. Allen,,39-44,,
4:09.0,L. Scola makes 2-pt shot from 3 ft (assist by R. Hibbert),2,41-44,,
3:51.0,,,41-44,,B. Griffin misses 2-pt shot from 7 ft
3:48.0,Defensive rebound by L. Scola,,41-44,,
3:48.0,C. Miles makes 3-pt shot from 25 ft,3,44-44,,
3:32.0,Personal foul by L. Scola (drawn by B. Griffin),,44-44,,
3:23.0,Personal foul by C. Watson (drawn by C. Paul),,44-44,,
3:23.0,,,44-44,,C. Paul misses free throw 1 of 2
3:23.0,,,44-44,,Offensive rebound by Team
3:23.0,D. West enters the game for L. Scola,,44-44,,
3:23.0,D. Sloan enters the game for S. Hill,,44-44,,
3:23.0,D. Rudez enters the game for R. Hibbert,,44-44,,
3:23.0,,,44-45,1,C. Paul makes free throw 2 of 2
3:07.0,C. Miles misses 3-pt shot from 23 ft,,44-45,,
3:06.0,,,44-45,,Defensive rebound by D. Jordan
3:06.0,Personal take foul by D. Rudez (drawn by D. Jordan),,44-45,,
3:06.0,,,44-45,,D. Jordan misses free throw 1 of 2
3:06.0,,,44-45,,Offensive rebound by Team
3:06.0,,,44-46,1,D. Jordan makes free throw 2 of 2
2:54.0,D. Rudez misses 3-pt shot from 25 ft,,44-46,,
2:52.0,,,44-46,,Defensive rebound by D. Jordan
2:47.0,,,44-48,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
2:29.0,D. Sloan misses 2-pt shot from 1 ft (block by D. Jordan),,44-48,,
2:28.0,,,44-48,,Defensive rebound by C. Paul
2:28.0,Personal foul by D. Rudez (drawn by C. Paul),,44-48,,
2:28.0,,,44-49,1,C. Paul makes free throw 1 of 2
2:28.0,R. Hibbert enters the game for D. Rudez,,44-49,,
2:28.0,S. Hill enters the game for D. Sloan,,44-49,,
2:28.0,,,44-50,1,C. Paul makes free throw 2 of 2
2:14.0,C. Watson makes 2-pt shot from 13 ft (assist by D. West),2,46-50,,
2:04.0,Violation by C. Watson (kicked ball),,46-50,,
2:00.0,,,46-50,,Turnover by B. Griffin (bad pass; steal by S. Hill)
1:42.0,Shooting foul by C. Paul (drawn by C. Watson),,46-50,,
1:42.0,C. Watson makes free throw 1 of 2,1,47-50,,
1:42.0,C. Watson makes free throw 2 of 2,1,48-50,,
1:24.0,,,48-50,,C. Paul misses 2-pt shot from 5 ft
1:21.0,,,48-50,,Offensive rebound by B. Griffin
1:21.0,,,48-52,2,B. Griffin makes 2-pt shot from 1 ft
1:03.0,D. West makes 2-pt shot from 13 ft,2,50-52,,
0:49.0,,,50-52,,J. Redick misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by D. West,,50-52,,
0:38.0,,,50-52,,Personal foul by C. Paul (drawn by C. Watson)
0:38.0,C. Watson makes free throw 1 of 2,1,51-52,,
0:38.0,D. Rudez enters the game for R. Hibbert,,51-52,,
0:38.0,C. Watson misses free throw 2 of 2,,51-52,,
0:38.0,,,51-52,,Defensive rebound by B. Griffin
0:37.0,Personal take foul by D. Rudez (drawn by D. Jordan),,51-52,,
0:37.0,,,51-52,,D. Jordan misses free throw 1 of 2
0:37.0,,,51-52,,Offensive rebound by Team
0:37.0,R. Hibbert enters the game for D. Rudez,,51-52,,
0:37.0,,,51-52,,D. Jordan misses free throw 2 of 2
0:36.0,Defensive rebound by D. West,,51-52,,
0:19.0,R. Hibbert misses 2-pt shot from 4 ft (block by D. Jordan),,51-52,,
0:15.0,Offensive rebound by D. West,,51-52,,
0:13.0,D. West misses 2-pt shot from 4 ft,,51-52,,
0:12.0,Offensive rebound by R. Hibbert,,51-52,,
0:11.0,R. Hibbert misses 2-pt shot from 6 ft,,51-52,,
0:11.0,Offensive rebound by R. Hibbert,,51-52,,
0:11.0,R. Hibbert misses 2-pt shot from 6 ft,,51-52,,
0:11.0,,,51-52,,Defensive rebound by D. Jordan
0:11.0,,,51-52,,LA Clippers full timeout
0:05.0,,,51-52,,J. Crawford enters the game for D. Jordan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,51-52,,Shooting foul by R. Hibbert (drawn by D. Jordan)
11:50.0,,,51-52,,D. Jordan misses free throw 1 of 2
11:50.0,,,51-52,,Offensive rebound by Team
11:50.0,,,51-53,1,D. Jordan makes free throw 2 of 2
11:32.0,Shooting foul by B. Griffin (drawn by R. Hibbert),,51-53,,
11:32.0,R. Hibbert makes free throw 1 of 2,1,52-53,,
11:32.0,R. Hibbert misses free throw 2 of 2,,52-53,,
11:30.0,,,52-53,,Defensive rebound by B. Griffin
11:11.0,,,52-55,2,B. Griffin makes 2-pt shot from 19 ft (assist by J. Redick)
10:46.0,Shooting foul by M. Barnes (drawn by S. Hill),,52-55,,
10:46.0,S. Hill makes free throw 1 of 2,1,53-55,,
10:46.0,S. Hill makes free throw 2 of 2,1,54-55,,
10:31.0,,,54-55,,Shooting foul by R. Hibbert (drawn by B. Griffin)
10:31.0,,,54-55,,B. Griffin misses free throw 1 of 2
10:31.0,,,54-55,,Offensive rebound by Team
10:31.0,,,54-56,1,B. Griffin makes free throw 2 of 2
