time,LA Lakers,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Sacre vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: R. Sacre vs. H. Whiteside (G. Dragic gains possession)
11:44.0,,,0-0,,Turnover by H. Whiteside (lost ball; steal by R. Kelly)
11:30.0,W. Ellington makes 3-pt shot from 23 ft (assist by R. Kelly),3,3-0,,
11:10.0,,,3-0,,U. Haslem misses 2-pt shot from 16 ft
11:09.0,Defensive rebound by J. Clarkson,,3-0,,
11:05.0,J. Clarkson misses 2-pt shot from 17 ft,,3-0,,
11:04.0,,,3-0,,Defensive rebound by H. Whiteside
10:49.0,,,3-0,,D. Wade misses 2-pt shot from 1 ft
10:48.0,Defensive rebound by R. Sacre,,3-0,,
10:43.0,W. Ellington makes 2-pt shot from 12 ft (assist by J. Clarkson),2,5-0,,
10:23.0,,,5-0,,L. Deng misses 3-pt shot from 24 ft
10:22.0,Defensive rebound by J. Clarkson,,5-0,,
10:07.0,Turnover by J. Clarkson (lost ball; steal by D. Wade),,5-0,,
10:03.0,,,5-2,2,D. Wade makes 2-pt shot at rim
9:42.0,W. Ellington misses 2-pt shot from 17 ft,,5-2,,
9:41.0,,,5-2,,Defensive rebound by H. Whiteside
9:35.0,,,5-4,2,G. Dragic makes 2-pt shot from 1 ft
9:12.0,R. Sacre makes 2-pt shot from 7 ft (assist by R. Kelly),2,7-4,,
8:57.0,,,7-4,,H. Whiteside misses 2-pt shot from 14 ft
8:56.0,Defensive rebound by C. Boozer,,7-4,,
8:45.0,C. Boozer makes 2-pt shot from 19 ft (assist by R. Sacre),2,9-4,,
8:28.0,,,9-4,,D. Wade misses 2-pt shot from 12 ft
8:27.0,Defensive rebound by J. Clarkson,,9-4,,
8:23.0,J. Clarkson makes 2-pt shot from 1 ft,2,11-4,,
8:22.0,,,11-4,,Miami full timeout
8:01.0,,,11-6,2,L. Deng makes 2-pt shot from 2 ft
7:39.0,C. Boozer misses 2-pt shot from 12 ft,,11-6,,
7:37.0,,,11-6,,Defensive rebound by U. Haslem
7:30.0,,,11-8,2,L. Deng makes 2-pt shot at rim (assist by D. Wade)
7:20.0,C. Boozer misses 2-pt shot from 17 ft,,11-8,,
7:19.0,,,11-8,,Defensive rebound by L. Deng
7:11.0,,,11-8,,Shooting foul by R. Kelly (drawn by D. Wade)
7:11.0,,,11-9,1,D. Wade makes free throw 1 of 2
7:11.0,,,11-10,1,D. Wade makes free throw 2 of 2
7:03.0,W. Ellington misses 2-pt shot from 18 ft,,11-10,,
7:02.0,,,11-10,,Defensive rebound by H. Whiteside
6:49.0,,,11-10,,L. Deng misses 2-pt shot from 10 ft
6:48.0,,,11-10,,Offensive rebound by L. Deng
6:47.0,,,11-12,2,H. Whiteside makes 2-pt shot from 3 ft (assist by U. Haslem)
6:47.0,,,11-12,,Shooting foul by R. Sacre (drawn by H. Whiteside)
6:47.0,,,11-13,1,H. Whiteside makes free throw 1 of 1
6:32.0,C. Boozer makes 2-pt shot from 2 ft,2,13-13,,
6:21.0,,,13-15,2,D. Wade makes 2-pt shot from 1 ft (assist by G. Dragic)
6:12.0,Turnover by R. Sacre (bad pass),,13-15,,
6:00.0,,,13-15,,Turnover by D. Wade (lost ball; steal by C. Boozer)
5:56.0,W. Ellington makes 2-pt shot at rim,2,15-15,,
5:42.0,,,15-15,,Turnover by G. Dragic (lost ball; steal by C. Boozer)
5:35.0,J. Clarkson misses 2-pt shot from 1 ft,,15-15,,
5:34.0,,,15-15,,Defensive rebound by D. Wade
5:29.0,,,15-15,,G. Dragic misses 3-pt shot from 24 ft
5:28.0,,,15-15,,Offensive rebound by G. Dragic
5:25.0,,,15-17,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
5:08.0,Shooting foul by G. Dragic (drawn by J. Clarkson),,15-17,,
5:08.0,J. Clarkson makes free throw 1 of 2,1,16-17,,
5:08.0,,,16-17,,H. Walker enters the game for U. Haslem
5:08.0,W. Johnson enters the game for R. Kelly,,16-17,,
5:08.0,J. Lin enters the game for W. Ellington,,16-17,,
5:08.0,E. Davis enters the game for R. Sacre,,16-17,,
5:08.0,J. Clarkson misses free throw 2 of 2,,16-17,,
5:07.0,,,16-17,,Defensive rebound by H. Whiteside
4:51.0,,,16-17,,G. Dragic misses 2-pt shot from 16 ft
4:50.0,,,16-17,,Offensive rebound by Team
4:50.0,Loose ball foul by C. Boozer (drawn by H. Whiteside),,16-17,,
4:39.0,,,16-19,2,H. Walker makes 2-pt shot from 1 ft
4:17.0,J. Clarkson misses 2-pt shot from 17 ft,,16-19,,
4:16.0,,,16-19,,Defensive rebound by H. Whiteside
4:03.0,,,16-19,,H. Whiteside misses 2-pt shot from 7 ft
4:02.0,Defensive rebound by E. Davis,,16-19,,
3:56.0,J. Clarkson makes 2-pt shot at rim (assist by J. Lin),2,18-19,,
3:36.0,,,18-19,,H. Walker misses 2-pt shot from 2 ft
3:35.0,,,18-19,,Offensive rebound by H. Whiteside
3:34.0,,,18-19,,H. Whiteside misses 2-pt shot from 5 ft
3:33.0,Defensive rebound by E. Davis,,18-19,,
3:31.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,20-19,,
3:31.0,,,20-19,,Miami full timeout
3:31.0,J. Hill enters the game for C. Boozer,,20-19,,
