time,Memphis,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Vucevic (B. Udrih gains possession),,,,Jump ball: M. Gasol vs. N. Vucevic (B. Udrih gains possession)
11:38.0,Z. Randolph misses 2-pt shot from 14 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by E. Payton
11:28.0,,,0-2,2,C. Frye makes 2-pt shot from 20 ft (assist by E. Payton)
11:08.0,B. Udrih misses 2-pt shot from 17 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by N. Vucevic
10:58.0,,,0-4,2,N. Vucevic makes 2-pt shot from 12 ft (assist by V. Oladipo)
10:34.0,Z. Randolph misses 2-pt shot from 2 ft,,0-4,,
10:33.0,,,0-4,,Defensive rebound by Team
10:15.0,,,0-4,,E. Payton misses 2-pt shot from 1 ft
10:14.0,Defensive rebound by M. Gasol,,0-4,,
10:08.0,M. Gasol makes 2-pt shot at rim (assist by B. Udrih),2,2-4,,
9:59.0,,,2-6,2,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton)
9:56.0,Turnover by M. Gasol (bad pass; steal by E. Payton),,2-6,,
9:54.0,,,2-6,,Turnover by V. Oladipo (traveling)
9:39.0,M. Gasol makes 2-pt shot from 17 ft,2,4-6,,
9:25.0,,,4-6,,D. Marble misses 2-pt shot from 3 ft
9:24.0,Defensive rebound by M. Gasol,,4-6,,
9:22.0,Turnover by M. Gasol (bad pass; steal by V. Oladipo),,4-6,,
9:18.0,,,4-8,2,N. Vucevic makes 2-pt shot at rim (assist by E. Payton)
9:10.0,C. Lee misses 2-pt shot from 14 ft,,4-8,,
9:08.0,,,4-8,,Defensive rebound by N. Vucevic
8:56.0,,,4-11,3,C. Frye makes 3-pt shot from 26 ft (assist by E. Payton)
8:35.0,C. Lee misses 3-pt shot from 23 ft,,4-11,,
8:34.0,,,4-11,,Defensive rebound by D. Marble
8:27.0,,,4-11,,Turnover by D. Marble (bad pass; steal by M. Gasol)
8:22.0,T. Allen makes 2-pt shot from 1 ft (assist by B. Udrih),2,6-11,,
8:02.0,,,6-11,,V. Oladipo misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by Z. Randolph,,6-11,,
7:53.0,T. Allen misses 2-pt shot from 2 ft,,6-11,,
7:52.0,Offensive rebound by Team,,6-11,,
7:52.0,,,6-11,,Violation by V. Oladipo (kicked ball)
7:41.0,C. Lee misses 3-pt shot from 23 ft,,6-11,,
7:40.0,Offensive rebound by Z. Randolph,,6-11,,
7:39.0,Z. Randolph makes 2-pt shot from 1 ft,2,8-11,,
7:39.0,Shooting foul by E. Payton (drawn by Z. Randolph),,8-11,,
7:39.0,Z. Randolph makes free throw 1 of 1,1,9-11,,
7:21.0,,,9-11,,Shooting foul by B. Udrih (drawn by E. Payton)
7:21.0,,,9-12,1,E. Payton makes free throw 1 of 2
7:21.0,,,9-13,1,E. Payton makes free throw 2 of 2
7:12.0,Turnover by B. Udrih (bad pass),,9-13,,
7:02.0,,,9-13,,N. Vucevic misses 2-pt shot from 17 ft
7:01.0,Defensive rebound by T. Allen,,9-13,,
6:40.0,B. Udrih makes 2-pt shot from 11 ft,2,11-13,,
6:30.0,,,11-16,3,C. Frye makes 3-pt shot from 25 ft (assist by V. Oladipo)
6:13.0,C. Lee misses 3-pt shot from 23 ft,,11-16,,
6:11.0,Offensive rebound by M. Gasol,,11-16,,
6:03.0,B. Udrih makes 3-pt shot from 25 ft (assist by Z. Randolph),3,14-16,,
5:49.0,,,14-18,2,V. Oladipo makes 2-pt shot from 2 ft (assist by D. Marble)
5:49.0,Memphis full timeout,,14-18,,
5:28.0,M. Gasol misses 2-pt shot from 8 ft,,14-18,,
5:26.0,,,14-18,,Defensive rebound by V. Oladipo
5:08.0,,,14-18,,D. Marble misses 3-pt shot from 25 ft (block by T. Allen)
5:06.0,,,14-18,,Offensive rebound by D. Marble
5:03.0,,,14-20,2,D. Marble makes 2-pt shot from 2 ft (assist by E. Payton)
4:42.0,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol),2,16-20,,
4:27.0,,,16-20,,C. Frye misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by M. Gasol,,16-20,,
4:13.0,Z. Randolph misses 2-pt shot from 2 ft (block by C. Frye),,16-20,,
4:11.0,Offensive rebound by Z. Randolph,,16-20,,
4:11.0,Z. Randolph makes 2-pt shot from 1 ft,2,18-20,,
4:01.0,,,18-20,,V. Oladipo misses 2-pt shot from 2 ft (block by B. Udrih)
3:57.0,,,18-20,,Offensive rebound by V. Oladipo
3:57.0,,,18-22,2,V. Oladipo makes 2-pt shot from 1 ft
3:40.0,C. Lee makes 2-pt shot from 14 ft (assist by M. Gasol),2,20-22,,
3:27.0,,,20-22,,Orlando full timeout
3:27.0,J. Green enters the game for T. Allen,,20-22,,
3:23.0,,,20-22,,C. Frye misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by M. Gasol,,20-22,,
3:06.0,C. Lee misses 2-pt shot from 8 ft,,20-22,,
3:05.0,Offensive rebound by Z. Randolph,,20-22,,
3:00.0,C. Lee misses 3-pt shot from 23 ft,,20-22,,
2:59.0,,,20-22,,Defensive rebound by N. Vucevic
2:44.0,,,20-24,2,E. Payton makes 2-pt shot from 9 ft
2:25.0,C. Lee makes 2-pt shot from 1 ft (assist by M. Gasol),2,22-24,,
2:17.0,,,22-26,2,E. Payton makes 2-pt shot from 2 ft
1:58.0,Shooting foul by N. Vucevic (drawn by M. Gasol),,22-26,,
1:58.0,M. Gasol makes free throw 1 of 2,1,23-26,,
1:58.0,N. Calathes enters the game for Z. Randolph,,23-26,,
1:58.0,V. Carter enters the game for B. Udrih,,23-26,,
1:58.0,,,23-26,,K. O'Quinn enters the game for N. Vucevic
1:58.0,,,23-26,,B. Gordon enters the game for V. Oladipo
1:58.0,M. Gasol misses free throw 2 of 2,,23-26,,
1:57.0,,,23-26,,Defensive rebound by K. O'Quinn
1:46.0,,,23-26,,B. Gordon misses 2-pt shot from 1 ft (block by J. Green)
1:44.0,Defensive rebound by M. Gasol,,23-26,,
1:27.0,J. Green misses 2-pt shot from 20 ft,,23-26,,
1:26.0,,,23-26,,Defensive rebound by K. O'Quinn
1:14.0,,,23-28,2,K. O'Quinn makes 2-pt shot from 19 ft (assist by E. Payton)
0:59.0,C. Lee makes 2-pt shot from 20 ft (assist by N. Calathes),2,25-28,,
0:39.0,,,25-28,,B. Gordon misses 2-pt shot from 19 ft
0:38.0,Defensive rebound by M. Gasol,,25-28,,
0:31.0,J. Green misses 2-pt shot from 2 ft,,25-28,,
0:29.0,,,25-28,,Defensive rebound by B. Gordon
0:21.0,,,25-28,,E. Payton misses 2-pt shot from 9 ft
0:20.0,Defensive rebound by N. Calathes,,25-28,,
0:13.0,,,25-28,,V. Oladipo enters the game for C. Frye
0:05.0,M. Gasol makes 2-pt shot from 2 ft (assist by N. Calathes),2,27-28,,
0:00.0,,,27-28,,E. Payton misses 2-pt shot from 22 ft
0:00.0,,,27-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,27-28,,V. Oladipo misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by V. Carter,,27-28,,
11:19.0,K. Koufos makes 2-pt shot from 2 ft (assist by N. Calathes),2,29-28,,
11:05.0,T. Allen enters the game for C. Lee,,29-28,,
11:03.0,Personal foul by J. Green (drawn by B. Gordon),,29-28,,
10:55.0,,,29-28,,V. Oladipo misses 2-pt shot from 12 ft
10:53.0,Defensive rebound by J. Green,,29-28,,
10:45.0,J. Green misses 3-pt shot from 26 ft,,29-28,,
10:44.0,,,29-28,,Defensive rebound by K. O'Quinn
10:33.0,Personal foul by V. Carter (drawn by B. Gordon),,29-28,,
10:28.0,,,29-28,,Offensive foul by K. O'Quinn
10:28.0,,,29-28,,Turnover by K. O'Quinn (offensive foul)
10:18.0,Turnover by T. Allen (bad pass; steal by M. Harkless),,29-28,,
10:17.0,Personal take foul by K. Koufos (drawn by V. Oladipo),,29-28,,
10:10.0,,,29-28,,Shooting foul by V. Carter (drawn by M. Harkless)
10:10.0,,,29-29,1,M. Harkless makes free throw 1 of 2
10:10.0,,,29-29,,E. Fournier enters the game for V. Oladipo
10:10.0,,,29-29,,M. Harkless misses free throw 2 of 2
10:09.0,Defensive rebound by K. Koufos,,29-29,,
9:54.0,N. Calathes misses 2-pt shot from 14 ft,,29-29,,
9:52.0,,,29-29,,Defensive rebound by K. O'Quinn
9:37.0,,,29-32,3,L. Ridnour makes 3-pt shot from 25 ft (assist by M. Harkless)
9:24.0,Shooting foul by M. Harkless (drawn by J. Green),,29-32,,
9:24.0,J. Green makes free throw 1 of 2,1,30-32,,
9:24.0,J. Green makes free throw 2 of 2,1,31-32,,
9:08.0,,,31-34,2,K. O'Quinn makes 2-pt shot from 6 ft
8:46.0,T. Allen makes 2-pt shot from 2 ft,2,33-34,,
8:46.0,Shooting foul by E. Fournier (drawn by T. Allen),,33-34,,
8:46.0,Official timeout,,33-34,,
8:46.0,T. Allen makes free throw 1 of 1,1,34-34,,
8:26.0,,,34-34,,Turnover by B. Gordon (bad pass)
8:05.0,N. Calathes misses 2-pt shot from 6 ft,,34-34,,
8:04.0,,,34-34,,Defensive rebound by L. Ridnour
7:50.0,,,34-34,,L. Ridnour misses 2-pt shot from 13 ft
7:50.0,,,34-34,,Offensive rebound by Team
7:37.0,,,34-34,,Turnover by M. Harkless (bad pass; steal by K. Koufos)
7:32.0,,,34-34,,Personal foul by K. O'Quinn (drawn by K. Koufos)
7:32.0,,,34-34,,E. Payton enters the game for B. Gordon
7:32.0,,,34-34,,V. Oladipo enters the game for K. O'Quinn
7:32.0,,,34-34,,N. Vucevic enters the game for L. Ridnour
7:21.0,J. Green misses 2-pt shot from 10 ft,,34-34,,
7:20.0,,,34-34,,Defensive rebound by Team
7:10.0,,,34-34,,V. Oladipo misses 2-pt shot from 2 ft
7:09.0,Defensive rebound by T. Allen,,34-34,,
7:05.0,Turnover by T. Allen (lost ball; steal by M. Harkless),,34-34,,
7:00.0,,,34-36,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
6:42.0,Shooting foul by M. Harkless (drawn by J. Green),,34-36,,
6:42.0,J. Green makes free throw 1 of 2,1,35-36,,
6:42.0,Z. Randolph enters the game for V. Carter,,35-36,,
6:42.0,,,35-36,,C. Frye enters the game for M. Harkless
6:42.0,J. Green makes free throw 2 of 2,1,36-36,,
6:24.0,,,36-36,,N. Vucevic misses 2-pt shot from 6 ft
6:22.0,,,36-36,,Offensive rebound by E. Payton
