time,Boston,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Olynyk (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. K. Olynyk (Z. Randolph gains possession)
11:42.0,,,0-0,,T. Prince misses 2-pt shot from 19 ft
11:41.0,Defensive rebound by J. Sullinger,,0-0,,
11:22.0,J. Sullinger misses 3-pt shot from 26 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by T. Prince
11:06.0,,,0-0,,Z. Randolph misses 2-pt shot from 20 ft
11:05.0,Defensive rebound by R. Rondo,,0-0,,
10:48.0,K. Olynyk misses 2-pt shot from 6 ft,,0-0,,
10:47.0,,,0-0,,Defensive rebound by M. Gasol
10:32.0,,,0-3,3,M. Conley makes 3-pt shot from 24 ft (assist by C. Lee)
10:14.0,J. Green misses 2-pt shot from 21 ft,,0-3,,
10:12.0,,,0-3,,Defensive rebound by Z. Randolph
9:57.0,,,0-5,2,Z. Randolph makes 2-pt shot from 8 ft (assist by M. Conley)
9:45.0,K. Olynyk makes 3-pt shot from 27 ft (assist by J. Green),3,3-5,,
9:32.0,,,3-5,,Offensive foul by M. Gasol
9:32.0,,,3-5,,Turnover by M. Gasol (offensive foul)
9:24.0,A. Bradley makes 2-pt shot from 21 ft (assist by J. Sullinger),2,5-5,,
9:08.0,,,5-5,,Turnover by M. Gasol (lost ball; steal by J. Green)
8:59.0,A. Bradley misses 2-pt shot from 20 ft,,5-5,,
8:57.0,,,5-5,,Defensive rebound by Z. Randolph
8:44.0,,,5-7,2,M. Gasol makes 2-pt shot from 2 ft
8:33.0,J. Sullinger makes 2-pt shot from 18 ft (assist by R. Rondo),2,7-7,,
8:09.0,,,7-9,2,M. Gasol makes 2-pt shot from 19 ft (assist by C. Lee)
7:53.0,Turnover by R. Rondo (bad pass),,7-9,,
7:42.0,,,7-11,2,Z. Randolph makes 2-pt shot from 7 ft (assist by T. Prince)
7:20.0,K. Olynyk misses 3-pt shot from 27 ft,,7-11,,
7:19.0,,,7-11,,Defensive rebound by Z. Randolph
7:07.0,,,7-11,,M. Gasol misses 2-pt shot from 18 ft
7:06.0,Defensive rebound by R. Rondo,,7-11,,
6:58.0,K. Olynyk misses 3-pt shot from 22 ft,,7-11,,
6:57.0,,,7-11,,Defensive rebound by Z. Randolph
6:48.0,,,7-13,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol)
6:23.0,K. Olynyk misses 2-pt shot from 2 ft,,7-13,,
6:21.0,,,7-13,,Defensive rebound by M. Gasol
6:19.0,,,7-13,,Turnover by M. Gasol (bad pass; steal by K. Olynyk)
6:14.0,K. Olynyk misses 2-pt shot from 2 ft,,7-13,,
6:12.0,Offensive rebound by K. Olynyk,,7-13,,
6:11.0,K. Olynyk misses 2-pt shot from 1 ft (block by M. Gasol),,7-13,,
6:09.0,,,7-13,,Defensive rebound by M. Conley
6:09.0,,,7-15,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
6:09.0,,,7-15,,Shooting foul by J. Green (drawn by M. Gasol)
6:09.0,,,7-16,1,M. Gasol makes free throw 1 of 1
5:57.0,Turnover by J. Green (traveling),,7-16,,
