time,Orlando,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. C. Zeller (K. O'Quinn gains possession),,,,Jump ball: N. Vucevic vs. C. Zeller (K. O'Quinn gains possession)
11:44.0,T. Harris misses 2-pt shot at rim (block by M. Kidd-Gilchrist),,0-0,,
11:42.0,,,0-0,,Defensive rebound by A. Jefferson
11:28.0,Jump ball: M. Kidd-Gilchrist vs. E. Payton (K. Walker gains possession),,,,Jump ball: M. Kidd-Gilchrist vs. E. Payton (K. Walker gains possession)
11:19.0,,,0-0,,K. Walker misses 2-pt shot from 10 ft
11:16.0,Defensive rebound by T. Harris,,0-0,,
10:58.0,V. Oladipo makes 2-pt shot from 18 ft (assist by T. Harris),2,2-0,,
10:40.0,,,2-0,,C. Zeller misses 2-pt shot from 19 ft
10:39.0,Defensive rebound by N. Vucevic,,2-0,,
10:26.0,E. Payton misses 2-pt shot from 9 ft,,2-0,,
10:25.0,,,2-0,,Defensive rebound by A. Jefferson
10:12.0,,,2-0,,C. Zeller misses 2-pt shot from 1 ft
10:11.0,Defensive rebound by N. Vucevic,,2-0,,
9:53.0,N. Vucevic makes 2-pt shot from 16 ft (assist by T. Harris),2,4-0,,
9:41.0,,,4-2,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by C. Zeller)
9:21.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,6-2,,
8:55.0,,,6-2,,K. Walker misses 2-pt shot from 10 ft (block by T. Harris)
8:53.0,Defensive rebound by E. Payton,,6-2,,
8:50.0,E. Payton misses 2-pt shot at rim,,6-2,,
8:48.0,,,6-2,,Defensive rebound by A. Jefferson
8:44.0,,,6-2,,G. Henderson misses 3-pt shot from 25 ft
8:44.0,,,6-2,,Offensive rebound by Team
8:44.0,Loose ball foul by V. Oladipo (drawn by K. Walker),,6-2,,
8:29.0,,,6-2,,M. Kidd-Gilchrist misses 2-pt shot from 11 ft
8:27.0,,,6-2,,Offensive rebound by A. Jefferson
8:23.0,,,6-4,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
