time,Washington,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Gortat (B. Beal gains possession),,,,Jump ball: R. Gobert vs. M. Gortat (B. Beal gains possession)
11:35.0,P. Pierce misses 3-pt shot from 24 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by R. Gobert
11:18.0,Personal foul by N. Hilario (drawn by R. Gobert),,0-0,,
11:05.0,,,0-0,,R. Hood misses 2-pt shot from 10 ft
11:04.0,Defensive rebound by M. Gortat,,0-0,,
10:58.0,Turnover by N. Hilario (bad pass),,0-0,,
10:48.0,,,0-2,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
10:35.0,N. Hilario makes 2-pt shot at rim (assist by P. Pierce),2,2-2,,
10:18.0,,,2-2,,R. Hood misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by J. Wall,,2-2,,
10:14.0,Shooting foul by R. Hood (drawn by M. Gortat),,2-2,,
10:14.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,4-2,,
10:14.0,M. Gortat misses free throw 1 of 1,,4-2,,
10:13.0,,,4-2,,Defensive rebound by R. Gobert
9:51.0,,,4-2,,D. Exum misses 3-pt shot from 23 ft
9:50.0,,,4-2,,Offensive rebound by D. Favors
9:42.0,,,4-2,,D. Favors misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by M. Gortat,,4-2,,
9:31.0,J. Wall misses 2-pt shot from 12 ft,,4-2,,
9:28.0,,,4-2,,Defensive rebound by R. Gobert
9:09.0,,,4-5,3,G. Hayward makes 3-pt shot from 25 ft (assist by R. Hood)
8:57.0,,,4-5,,Def 3 sec tech foul by D. Exum
8:57.0,B. Beal makes technical free throw,1,5-5,,
8:51.0,Turnover by B. Beal (bad pass),,5-5,,
8:30.0,,,5-5,,G. Hayward misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by J. Wall,,5-5,,
8:17.0,Offensive foul by N. Hilario,,5-5,,
8:17.0,Turnover by N. Hilario (offensive foul),,5-5,,
8:17.0,D. Gooden enters the game for N. Hilario,,5-5,,
8:00.0,,,5-7,2,R. Hood makes 2-pt shot from 6 ft
7:48.0,D. Gooden makes 2-pt shot from 18 ft (assist by J. Wall),2,7-7,,
7:36.0,Personal foul by D. Gooden (drawn by G. Hayward),,7-7,,
7:22.0,,,7-7,,D. Exum misses 2-pt shot from 8 ft
7:21.0,,,7-7,,Offensive rebound by R. Gobert
7:21.0,,,7-9,2,R. Gobert makes 2-pt shot from 1 ft
6:59.0,P. Pierce misses 2-pt shot from 16 ft,,7-9,,
6:58.0,,,7-9,,Defensive rebound by D. Favors
6:43.0,,,7-9,,Shooting foul by P. Pierce (drawn by G. Hayward)
6:43.0,,,7-10,1,G. Hayward makes free throw 1 of 2
6:43.0,,,7-11,1,G. Hayward makes free throw 2 of 2
6:28.0,P. Pierce misses 2-pt shot from 11 ft,,7-11,,
6:27.0,,,7-11,,Defensive rebound by R. Gobert
6:18.0,,,7-11,,D. Exum misses 3-pt shot from 23 ft
6:16.0,,,7-11,,Offensive rebound by R. Hood
6:04.0,,,7-11,,G. Hayward misses 3-pt shot from 24 ft
6:02.0,,,7-11,,Offensive rebound by R. Gobert
5:59.0,,,7-13,2,G. Hayward makes 2-pt shot from 2 ft (assist by R. Gobert)
5:50.0,Washington full timeout,,7-13,,
5:40.0,B. Beal makes 2-pt shot from 17 ft (assist by P. Pierce),2,9-13,,
5:20.0,,,9-15,2,D. Favors makes 2-pt shot from 16 ft (assist by G. Hayward)
5:08.0,P. Pierce makes 2-pt shot from 2 ft,2,11-15,,
4:48.0,,,11-17,2,D. Favors makes 2-pt shot at rim (assist by R. Hood)
4:35.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall),3,14-17,,
4:13.0,,,14-17,,R. Hood misses 3-pt shot from 24 ft
4:12.0,Defensive rebound by D. Gooden,,14-17,,
4:04.0,D. Gooden makes 3-pt shot from 24 ft (assist by J. Wall),3,17-17,,
3:40.0,,,17-17,,D. Favors misses 2-pt shot from 4 ft
3:38.0,Defensive rebound by D. Gooden,,17-17,,
3:36.0,Shooting foul by D. Favors (drawn by J. Wall),,17-17,,
3:36.0,J. Wall misses free throw 1 of 2,,17-17,,
3:36.0,Offensive rebound by Team,,17-17,,
3:36.0,R. Butler enters the game for B. Beal,,17-17,,
3:36.0,,,17-17,,T. Booker enters the game for D. Favors
3:36.0,,,17-17,,E. Millsap enters the game for R. Hood
3:36.0,J. Wall makes free throw 2 of 2,1,18-17,,
3:22.0,,,18-17,,G. Hayward misses 2-pt shot from 18 ft
3:21.0,Defensive rebound by M. Gortat,,18-17,,
3:15.0,Turnover by J. Wall (bad pass; steal by G. Hayward),,18-17,,
3:13.0,,,18-17,,Shooting foul by P. Pierce (drawn by G. Hayward)
3:13.0,R. Sessions enters the game for P. Pierce,,18-17,,
3:13.0,,,18-17,,T. Burke enters the game for D. Exum
3:13.0,,,18-18,1,G. Hayward makes free throw 1 of 2
3:13.0,,,18-18,,G. Hayward misses free throw 2 of 2
3:11.0,Defensive rebound by D. Gooden,,18-18,,
