time,Atlanta,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,A. Horford misses 2-pt shot from 2 ft,,0-0,,
12:00.0,Jump ball: J. Freeland vs. A. Horford (D. Carroll gains possession),,,,Jump ball: J. Freeland vs. A. Horford (D. Carroll gains possession)
11:38.0,,,0-0,,Defensive rebound by D. Lillard
11:29.0,,,0-3,3,N. Batum makes 3-pt shot from 24 ft
11:14.0,D. Carroll misses 3-pt shot from 25 ft,,0-3,,
11:13.0,,,0-3,,Defensive rebound by J. Freeland
11:06.0,,,0-3,,D. Lillard misses 3-pt shot from 26 ft
11:05.0,Defensive rebound by K. Korver,,0-3,,
10:52.0,Turnover by P. Millsap (lost ball; steal by L. Aldridge),,0-3,,
10:40.0,,,0-3,,L. Aldridge misses 2-pt shot from 18 ft
10:39.0,Defensive rebound by A. Horford,,0-3,,
10:17.0,P. Millsap misses 3-pt shot from 25 ft,,0-3,,
10:16.0,,,0-3,,Defensive rebound by J. Freeland
10:04.0,,,0-3,,J. Freeland misses 2-pt shot from 4 ft
10:03.0,,,0-3,,Offensive rebound by J. Freeland
9:56.0,,,0-5,2,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Lillard)
9:42.0,K. Korver misses 3-pt shot from 26 ft,,0-5,,
9:41.0,,,0-5,,Defensive rebound by L. Aldridge
9:35.0,,,0-5,,D. Lillard misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by A. Horford,,0-5,,
9:24.0,J. Teague misses 2-pt shot from 1 ft (block by J. Freeland),,0-5,,
9:22.0,,,0-5,,Defensive rebound by D. Lillard
9:21.0,,,0-5,,L. Aldridge misses 2-pt shot at rim
9:18.0,,,0-5,,Offensive rebound by D. Lillard
9:15.0,,,0-8,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard)
9:15.0,Atlanta full timeout,,0-8,,
8:53.0,K. Korver misses 2-pt shot from 16 ft,,0-8,,
8:51.0,Offensive rebound by D. Carroll,,0-8,,
8:51.0,D. Carroll makes 2-pt shot at rim,2,2-8,,
8:31.0,,,2-10,2,L. Aldridge makes 2-pt shot from 18 ft (assist by W. Matthews)
8:19.0,J. Teague makes 2-pt shot at rim,2,4-10,,
8:06.0,,,4-10,,J. Freeland misses 2-pt shot at rim (block by P. Millsap)
8:04.0,,,4-10,,Offensive rebound by J. Freeland
8:04.0,,,4-10,,Shooting foul by D. Carroll (drawn by J. Freeland)
8:04.0,,,4-11,1,J. Freeland makes free throw 1 of 2
8:04.0,,,4-12,1,J. Freeland makes free throw 2 of 2
7:53.0,A. Horford makes 2-pt shot from 4 ft,2,6-12,,
7:53.0,Shooting foul by J. Freeland (drawn by A. Horford),,6-12,,
