time,Denver,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. M. Plumlee (T. Lawson gains possession),,,,Jump ball: T. Mozgov vs. M. Plumlee (T. Lawson gains possession)
11:33.0,T. Lawson misses 3-pt shot from 26 ft,,0-0,,
11:32.0,Offensive rebound by K. Faried,,0-0,,
11:23.0,T. Lawson makes 3-pt shot from 25 ft (assist by K. Faried),3,3-0,,
11:06.0,,,3-0,,Turnover by J. Johnson (lost ball)
10:46.0,A. Afflalo makes 3-pt shot from 24 ft (assist by T. Lawson),3,6-0,,
10:29.0,,,6-0,,Turnover by J. Jack (lost ball)
10:16.0,T. Mozgov misses 2-pt shot from 17 ft,,6-0,,
10:15.0,Offensive rebound by K. Faried,,6-0,,
10:14.0,K. Faried misses 2-pt shot at rim,,6-0,,
10:13.0,Offensive rebound by K. Faried,,6-0,,
10:12.0,K. Faried makes 2-pt shot at rim,2,8-0,,
9:51.0,,,8-3,3,J. Johnson makes 3-pt shot from 23 ft (assist by S. Karasev)
9:32.0,T. Mozgov misses 2-pt shot from 4 ft,,8-3,,
9:31.0,,,8-3,,Defensive rebound by K. Garnett
9:20.0,,,8-3,,M. Plumlee misses 2-pt shot from 3 ft
9:19.0,Defensive rebound by K. Faried,,8-3,,
9:03.0,W. Chandler makes 2-pt shot from 2 ft,2,10-3,,
8:57.0,,,10-5,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Jack)
8:45.0,Offensive foul by T. Mozgov,,10-5,,
8:45.0,Turnover by T. Mozgov (offensive foul),,10-5,,
8:33.0,,,10-5,,M. Plumlee misses 2-pt shot from 1 ft (block by T. Mozgov)
8:32.0,,,10-5,,Offensive rebound by Team
8:27.0,,,10-7,2,J. Johnson makes 2-pt shot from 7 ft
8:14.0,T. Lawson makes 2-pt shot from 16 ft,2,12-7,,
7:55.0,,,12-9,2,K. Garnett makes 2-pt shot from 14 ft
7:43.0,T. Lawson makes 2-pt shot from 13 ft,2,14-9,,
7:29.0,,,14-11,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
7:11.0,Turnover by T. Lawson (bad pass; steal by K. Garnett),,14-11,,
7:06.0,,,14-13,2,S. Karasev makes 2-pt shot from 16 ft
6:48.0,Turnover by W. Chandler (lost ball; steal by K. Garnett),,14-13,,
6:42.0,,,14-15,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
6:32.0,Denver full timeout,,14-15,,
6:32.0,J. Hickson enters the game for K. Faried,,14-15,,
6:13.0,T. Lawson misses 2-pt shot from 14 ft,,14-15,,
6:12.0,Offensive rebound by J. Hickson,,14-15,,
6:11.0,J. Hickson misses 2-pt shot at rim,,14-15,,
6:10.0,,,14-15,,Defensive rebound by M. Plumlee
5:59.0,,,14-15,,S. Karasev misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by J. Hickson,,14-15,,
5:55.0,Turnover by J. Hickson (bad pass; steal by M. Plumlee),,14-15,,
5:45.0,Def 3 sec tech foul by J. Hickson,,14-15,,
5:45.0,,,14-16,1,J. Jack makes technical free throw
5:34.0,,,14-16,,K. Garnett misses 2-pt shot from 13 ft
5:33.0,,,14-16,,Offensive rebound by M. Plumlee
5:32.0,,,14-16,,M. Plumlee misses 2-pt shot at rim
5:31.0,,,14-16,,Offensive rebound by Team
5:23.0,,,14-18,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
5:05.0,J. Hickson makes 2-pt shot from 2 ft,2,16-18,,
4:48.0,,,16-18,,J. Jack misses 3-pt shot from 23 ft
4:47.0,Defensive rebound by A. Afflalo,,16-18,,
4:38.0,J. Hickson misses 2-pt shot from 9 ft,,16-18,,
4:37.0,Offensive rebound by T. Mozgov,,16-18,,
4:33.0,T. Mozgov makes 2-pt shot at rim,2,18-18,,
4:16.0,,,18-20,2,S. Karasev makes 2-pt shot from 4 ft (assist by J. Jack)
4:04.0,Shooting foul by S. Karasev (drawn by A. Afflalo),,18-20,,
4:04.0,,,18-20,,Brooklyn full timeout
4:04.0,,,18-20,,M. Teletovic enters the game for K. Garnett
4:04.0,A. Afflalo makes free throw 1 of 2,1,19-20,,
4:04.0,A. Afflalo misses free throw 2 of 2,,19-20,,
4:03.0,,,19-20,,Defensive rebound by M. Teletovic
3:48.0,,,19-20,,Turnover by M. Teletovic (bad pass; steal by T. Mozgov)
3:43.0,W. Chandler misses 2-pt shot from 18 ft,,19-20,,
3:42.0,,,19-20,,Defensive rebound by S. Karasev
3:22.0,,,19-22,2,J. Johnson makes 2-pt shot from 19 ft
3:01.0,Turnover by T. Lawson (lost ball; steal by J. Johnson),,19-22,,
2:57.0,,,19-24,2,J. Johnson makes 2-pt shot from 2 ft (assist by S. Karasev)
2:39.0,T. Mozgov misses 2-pt shot from 2 ft,,19-24,,
2:38.0,Offensive rebound by J. Hickson,,19-24,,
2:37.0,J. Hickson makes 2-pt shot at rim,2,21-24,,
2:23.0,,,21-24,,M. Teletovic misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by A. Afflalo,,21-24,,
2:17.0,A. Afflalo misses 2-pt shot from 1 ft (block by M. Plumlee),,21-24,,
2:16.0,,,21-24,,Defensive rebound by Team
1:57.0,,,21-24,,J. Johnson misses 2-pt shot from 1 ft
1:56.0,Defensive rebound by T. Mozgov,,21-24,,
1:50.0,W. Chandler makes 2-pt shot from 2 ft (assist by T. Lawson),2,23-24,,
1:38.0,,,23-26,2,J. Jack makes 2-pt shot from 10 ft
1:19.0,T. Lawson misses 3-pt shot from 24 ft,,23-26,,
1:18.0,,,23-26,,Defensive rebound by M. Teletovic
1:06.0,,,23-26,,J. Johnson misses 2-pt shot from 16 ft
1:05.0,Defensive rebound by T. Lawson,,23-26,,
1:00.0,J. Hickson makes 2-pt shot at rim (assist by T. Lawson),2,25-26,,
0:48.0,N. Robinson enters the game for A. Afflalo,,25-26,,
0:48.0,,,25-26,,B. Davies enters the game for M. Teletovic
0:43.0,,,25-28,2,J. Jack makes 2-pt shot from 18 ft
0:32.0,W. Chandler misses 3-pt shot from 26 ft,,25-28,,
0:31.0,,,25-28,,Defensive rebound by M. Plumlee
0:11.0,,,25-28,,J. Jack misses 2-pt shot from 5 ft
0:10.0,Defensive rebound by T. Lawson,,25-28,,
0:04.0,T. Lawson makes 2-pt shot from 2 ft,2,27-28,,
0:01.0,,,27-28,,B. Davies misses 2-pt shot from 2 ft
0:01.0,,,27-28,,Offensive rebound by S. Karasev
0:00.0,,,27-30,2,S. Karasev makes 2-pt shot from 1 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,27-30,,B. Lopez misses 2-pt shot from 4 ft (block by J. Nurkic)
11:38.0,,,27-30,,Offensive rebound by B. Davies
11:37.0,,,27-32,2,B. Davies makes 2-pt shot from 1 ft
11:16.0,Turnover by A. Gee (step out of bounds),,27-32,,
11:02.0,,,27-32,,B. Davies misses 2-pt shot from 17 ft
11:01.0,,,27-32,,Offensive rebound by A. Anderson
10:54.0,,,27-32,,D. Morris misses 3-pt shot from 22 ft
10:53.0,,,27-32,,Offensive rebound by B. Lopez
10:42.0,,,27-32,,B. Lopez misses 2-pt shot from 12 ft
10:41.0,Defensive rebound by T. Lawson,,27-32,,
10:27.0,N. Robinson misses 3-pt shot from 24 ft,,27-32,,
10:26.0,Offensive rebound by Team,,27-32,,
10:26.0,,,27-32,,Loose ball foul by B. Davies (drawn by J. Nurkic)
10:26.0,,,27-32,,B. Bogdanovic enters the game for J. Jack
10:26.0,,,27-32,,C. Jefferson enters the game for B. Davies
10:26.0,K. Faried enters the game for J. Hickson,,27-32,,
10:12.0,J. Nurkic makes 2-pt shot from 1 ft (assist by T. Lawson),2,29-32,,
