time,Washington,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Vucevic (J. Wall gains possession),,,,Jump ball: M. Gortat vs. N. Vucevic (J. Wall gains possession)
11:44.0,Turnover by J. Wall (bad pass),,0-0,,
11:29.0,,,0-0,,Turnover by C. Frye (bad pass; steal by P. Pierce)
11:21.0,N. Hilario misses 2-pt shot from 14 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by N. Vucevic
11:16.0,Personal foul by N. Hilario (drawn by C. Frye),,0-0,,
11:13.0,,,0-3,3,E. Fournier makes 3-pt shot from 26 ft (assist by E. Payton)
10:49.0,M. Gortat makes 2-pt shot from 10 ft,2,2-3,,
10:41.0,,,2-3,,Turnover by E. Fournier (traveling)
10:25.0,Turnover by M. Gortat (traveling),,2-3,,
10:10.0,,,2-5,2,E. Fournier makes 2-pt shot from 1 ft (assist by E. Payton)
9:59.0,J. Wall misses 2-pt shot from 18 ft,,2-5,,
9:57.0,,,2-5,,Defensive rebound by N. Vucevic
9:50.0,,,2-5,,Shooting foul by P. Pierce (drawn by E. Payton)
9:50.0,,,2-6,1,E. Payton makes free throw 1 of 2
9:50.0,,,2-6,,E. Payton misses free throw 2 of 2
9:48.0,Defensive rebound by N. Hilario,,2-6,,
9:25.0,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall),3,5-6,,
9:15.0,,,5-6,,Turnover by N. Vucevic (lost ball)
9:04.0,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall),2,7-6,,
8:53.0,,,7-6,,E. Fournier misses 3-pt shot from 24 ft
8:50.0,Defensive rebound by P. Pierce,,7-6,,
8:43.0,J. Wall misses 2-pt shot from 17 ft,,7-6,,
8:41.0,,,7-6,,Defensive rebound by N. Vucevic
8:33.0,,,7-8,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton)
8:13.0,P. Pierce misses 2-pt shot from 20 ft,,7-8,,
8:10.0,,,7-8,,Defensive rebound by E. Payton
8:03.0,,,7-10,2,E. Fournier makes 2-pt shot from 2 ft
7:45.0,N. Hilario makes 2-pt shot from 15 ft (assist by J. Wall),2,9-10,,
7:27.0,,,9-10,,Turnover by E. Payton (bad pass; steal by N. Hilario)
7:23.0,Shooting foul by C. Frye (drawn by G. Temple),,9-10,,
7:23.0,G. Temple makes free throw 1 of 2,1,10-10,,
7:23.0,G. Temple makes free throw 2 of 2,1,11-10,,
7:06.0,,,11-10,,T. Harris misses 2-pt shot from 4 ft
7:06.0,Defensive rebound by N. Hilario,,11-10,,
7:06.0,,,11-10,,Personal foul by E. Payton (drawn by G. Temple)
6:56.0,Turnover by M. Gortat (bad pass; steal by T. Harris),,11-10,,
6:40.0,,,11-12,2,N. Vucevic makes 2-pt shot at rim
6:25.0,N. Hilario misses 2-pt shot from 17 ft,,11-12,,
6:24.0,,,11-12,,Defensive rebound by N. Vucevic
6:10.0,,,11-14,2,C. Frye makes 2-pt shot from 21 ft (assist by N. Vucevic)
5:47.0,G. Temple makes 3-pt shot from 22 ft (assist by J. Wall),3,14-14,,
5:40.0,,,14-14,,Orlando full timeout
5:40.0,D. Gooden enters the game for N. Hilario,,14-14,,
5:28.0,,,14-14,,Turnover by E. Payton (traveling)
5:15.0,D. Gooden misses 2-pt shot from 20 ft,,14-14,,
5:14.0,,,14-14,,Defensive rebound by E. Payton
5:09.0,,,14-16,2,N. Vucevic makes 2-pt shot at rim (assist by E. Payton)
5:00.0,,,14-16,,Personal foul by C. Frye (drawn by G. Temple)
5:00.0,,,14-16,,A. Gordon enters the game for C. Frye
5:00.0,O. Porter enters the game for P. Pierce,,14-16,,
4:47.0,G. Temple misses 2-pt shot from 2 ft,,14-16,,
4:44.0,Offensive rebound by M. Gortat,,14-16,,
4:44.0,M. Gortat makes 2-pt shot at rim,2,16-16,,
4:35.0,,,16-16,,Turnover by E. Payton (lost ball; steal by J. Wall)
4:31.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,18-16,,
4:11.0,,,18-16,,T. Harris misses 2-pt shot from 7 ft
4:09.0,Defensive rebound by J. Wall,,18-16,,
4:05.0,J. Wall makes 2-pt shot at rim,2,20-16,,
3:49.0,,,20-18,2,N. Vucevic makes 2-pt shot from 17 ft
3:28.0,G. Temple misses 2-pt shot from 14 ft,,20-18,,
3:28.0,,,20-18,,Defensive rebound by N. Vucevic
3:25.0,,,20-18,,Turnover by E. Payton (bad pass; steal by O. Porter)
3:16.0,J. Wall misses 2-pt shot from 13 ft,,20-18,,
3:14.0,,,20-18,,Defensive rebound by T. Harris
3:12.0,,,20-18,,Turnover by T. Harris (lost ball; steal by O. Porter)
3:06.0,G. Temple makes 2-pt shot from 20 ft (assist by J. Wall),2,22-18,,
2:45.0,,,22-18,,N. Vucevic misses 2-pt shot from 6 ft
2:44.0,Defensive rebound by M. Gortat,,22-18,,
2:35.0,Shooting foul by E. Payton (drawn by J. Wall),,22-18,,
2:35.0,Washington full timeout,,22-18,,
2:35.0,,,22-18,,D. Dedmon enters the game for N. Vucevic
2:35.0,,,22-18,,B. Gordon enters the game for E. Fournier
2:35.0,,,22-18,,L. Ridnour enters the game for E. Payton
2:35.0,J. Wall makes free throw 1 of 2,1,23-18,,
2:35.0,J. Wall makes free throw 2 of 2,1,24-18,,
2:08.0,,,24-20,2,B. Gordon makes 2-pt shot from 10 ft
1:52.0,M. Gortat makes 2-pt shot from 12 ft (assist by G. Temple),2,26-20,,
1:42.0,Personal foul by G. Temple (drawn by B. Gordon),,26-20,,
1:42.0,G. Rice enters the game for J. Wall,,26-20,,
1:42.0,A. Miller enters the game for M. Gortat,,26-20,,
1:42.0,K. Humphries enters the game for G. Temple,,26-20,,
1:30.0,,,26-20,,T. Harris misses 2-pt shot from 8 ft
1:29.0,Defensive rebound by A. Miller,,26-20,,
1:14.0,K. Humphries misses 2-pt shot from 6 ft,,26-20,,
1:14.0,,,26-20,,Defensive rebound by Team
1:14.0,Personal foul by O. Porter (drawn by T. Harris),,26-20,,
1:14.0,,,26-20,,T. Harris misses free throw 1 of 2
1:14.0,,,26-20,,Offensive rebound by Team
1:14.0,,,26-21,1,T. Harris makes free throw 2 of 2
1:07.0,,,26-21,,Personal foul by D. Dedmon (drawn by O. Porter)
1:07.0,O. Porter makes free throw 1 of 2,1,27-21,,
1:07.0,O. Porter makes free throw 2 of 2,1,28-21,,
1:00.0,,,28-23,2,L. Ridnour makes 2-pt shot from 19 ft
0:40.0,D. Gooden misses 2-pt shot from 20 ft,,28-23,,
0:39.0,,,28-23,,Defensive rebound by Team
0:29.0,,,28-23,,T. Harris misses 2-pt shot from 21 ft
0:28.0,Defensive rebound by D. Gooden,,28-23,,
0:04.0,G. Rice misses 3-pt shot from 25 ft,,28-23,,
0:02.0,Offensive rebound by G. Rice,,28-23,,
0:00.0,D. Gooden misses 2-pt shot from 19 ft (block by D. Dedmon),,28-23,,
0:00.0,Offensive rebound by Team,,28-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-23,,B. Gordon misses 3-pt shot from 24 ft
11:43.0,Defensive rebound by D. Gooden,,28-23,,
11:29.0,O. Porter misses 2-pt shot from 16 ft,,28-23,,
11:28.0,,,28-23,,Defensive rebound by A. Gordon
11:11.0,,,28-25,2,N. Vucevic makes 2-pt shot from 12 ft (assist by B. Gordon)
10:59.0,D. Gooden makes 2-pt shot from 1 ft (assist by A. Miller),2,30-25,,
10:54.0,,,30-25,,Offensive foul by N. Vucevic
10:54.0,,,30-25,,Turnover by N. Vucevic (offensive foul)
10:54.0,N. Hilario enters the game for K. Humphries,,30-25,,
10:38.0,Turnover by G. Rice (offensive foul),,30-25,,
10:38.0,Offensive foul by G. Rice,,30-25,,
10:18.0,,,30-27,2,B. Gordon makes 2-pt shot from 2 ft (assist by N. Vucevic)
10:00.0,N. Hilario makes 2-pt shot from 1 ft (assist by O. Porter),2,32-27,,
9:47.0,,,32-27,,Turnover by A. Gordon (lost ball; steal by O. Porter)
9:34.0,Shooting foul by N. Vucevic (drawn by N. Hilario),,32-27,,
9:34.0,N. Hilario makes free throw 1 of 2,1,33-27,,
9:34.0,N. Hilario misses free throw 2 of 2,,33-27,,
9:33.0,,,33-27,,Defensive rebound by A. Gordon
9:24.0,,,33-27,,C. Frye misses 3-pt shot from 25 ft
9:23.0,Defensive rebound by N. Hilario,,33-27,,
9:13.0,Turnover by A. Miller (bad pass; steal by N. Vucevic),,33-27,,
9:08.0,,,33-29,2,A. Gordon makes 2-pt shot at rim (assist by B. Gordon)
8:44.0,Shooting foul by B. Gordon (drawn by G. Rice),,33-29,,
8:44.0,Official timeout,,33-29,,
8:44.0,G. Rice makes free throw 1 of 3,1,34-29,,
8:44.0,G. Rice makes free throw 2 of 3,1,35-29,,
8:44.0,G. Rice misses free throw 3 of 3,,35-29,,
8:42.0,,,35-29,,Defensive rebound by C. Frye
8:19.0,,,35-29,,B. Gordon misses 3-pt shot from 26 ft
8:17.0,Defensive rebound by A. Miller,,35-29,,
8:03.0,N. Hilario misses 2-pt shot from 11 ft,,35-29,,
8:01.0,,,35-29,,Defensive rebound by A. Gordon
7:55.0,,,35-31,2,A. Gordon makes 2-pt shot from 8 ft
7:55.0,,,35-31,,Shooting foul by O. Porter (drawn by A. Gordon)
7:55.0,J. Wall enters the game for D. Gooden,,35-31,,
7:55.0,M. Gortat enters the game for O. Porter,,35-31,,
7:55.0,P. Pierce enters the game for A. Miller,,35-31,,
7:55.0,,,35-31,,E. Fournier enters the game for B. Gordon
7:55.0,,,35-31,,A. Gordon misses free throw 1 of 1
7:53.0,Defensive rebound by M. Gortat,,35-31,,
7:37.0,M. Gortat misses 2-pt shot from 13 ft,,35-31,,
7:33.0,,,35-31,,Defensive rebound by A. Gordon
7:19.0,,,35-31,,Turnover by C. Frye (bad pass)
7:19.0,,,35-31,,W. Green enters the game for A. Gordon
7:10.0,Turnover by J. Wall (lost ball; steal by L. Ridnour),,35-31,,
6:59.0,,,35-33,2,N. Vucevic makes 2-pt shot from 11 ft (assist by L. Ridnour)
6:50.0,Turnover by P. Pierce (traveling),,35-33,,
6:36.0,,,35-33,,E. Fournier misses 2-pt shot from 20 ft
6:35.0,Defensive rebound by M. Gortat,,35-33,,
6:25.0,,,35-33,,Personal foul by W. Green (drawn by G. Rice)
6:10.0,N. Hilario makes 2-pt shot from 14 ft (assist by J. Wall),2,37-33,,
5:51.0,,,37-33,,L. Ridnour misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by M. Gortat,,37-33,,
5:40.0,N. Hilario misses 2-pt shot from 18 ft,,37-33,,
5:39.0,,,37-33,,Defensive rebound by N. Vucevic
5:29.0,,,37-35,2,L. Ridnour makes 2-pt shot from 19 ft
5:10.0,P. Pierce misses 2-pt shot from 17 ft,,37-35,,
5:04.0,,,37-35,,Defensive rebound by C. Frye
5:02.0,Violation by G. Rice (def goaltending),,37-35,,
5:02.0,,,37-37,2,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic)
4:45.0,N. Hilario makes 2-pt shot from 16 ft,2,39-37,,
4:38.0,,,39-37,,Orlando full timeout
4:38.0,,,39-37,,T. Harris enters the game for C. Frye
4:38.0,,,39-37,,E. Payton enters the game for L. Ridnour
4:23.0,,,39-37,,N. Vucevic misses 2-pt shot from 19 ft
4:23.0,,,39-37,,Offensive rebound by Team
4:23.0,Loose ball foul by P. Pierce (drawn by T. Harris),,39-37,,
