time,Orlando,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Vucevic vs. T. Zeller (R. Rondo gains possession),,,,Jump ball: N. Vucevic vs. T. Zeller (R. Rondo gains possession)
11:43.0,,,0-2,2,T. Zeller makes 2-pt shot from 3 ft (assist by R. Rondo)
11:29.0,N. Vucevic makes 2-pt shot from 11 ft,2,2-2,,
11:19.0,,,2-4,2,T. Zeller makes 2-pt shot from 1 ft (assist by J. Green)
11:03.0,V. Oladipo misses 2-pt shot from 4 ft,,2-4,,
11:02.0,Offensive rebound by N. Vucevic,,2-4,,
11:02.0,N. Vucevic makes 2-pt shot from 1 ft,2,4-4,,
10:48.0,,,4-4,,Turnover by R. Rondo (bad pass)
10:31.0,N. Vucevic makes 2-pt shot from 4 ft (assist by E. Fournier),2,6-4,,
10:15.0,,,6-6,2,J. Sullinger makes 2-pt shot from 3 ft
10:00.0,V. Oladipo misses 2-pt shot from 17 ft,,6-6,,
9:58.0,,,6-6,,Defensive rebound by T. Zeller
9:55.0,,,6-6,,Turnover by R. Rondo (bad pass)
9:32.0,C. Frye misses 2-pt shot from 2 ft (block by J. Sullinger),,6-6,,
9:31.0,Offensive rebound by C. Frye,,6-6,,
9:30.0,C. Frye makes 2-pt shot from 1 ft,2,8-6,,
9:13.0,,,8-6,,J. Green misses 2-pt shot from 14 ft
9:12.0,Defensive rebound by V. Oladipo,,8-6,,
9:06.0,C. Frye misses 3-pt shot from 27 ft,,8-6,,
9:05.0,,,8-6,,Defensive rebound by J. Green
8:53.0,,,8-8,2,J. Sullinger makes 2-pt shot from 3 ft
8:41.0,Shooting foul by J. Green (drawn by T. Harris),,8-8,,
8:41.0,T. Harris makes free throw 1 of 2,1,9-8,,
8:41.0,T. Harris makes free throw 2 of 2,1,10-8,,
8:26.0,,,10-8,,J. Sullinger misses 2-pt shot from 3 ft
8:25.0,,,10-8,,Offensive rebound by J. Sullinger
8:23.0,,,10-10,2,J. Sullinger makes 2-pt shot from 2 ft
8:10.0,E. Fournier misses 3-pt shot from 24 ft,,10-10,,
8:09.0,,,10-10,,Defensive rebound by J. Green
8:03.0,,,10-10,,Turnover by J. Green (lost ball; steal by T. Harris)
8:00.0,Shooting foul by J. Sullinger (drawn by T. Harris),,10-10,,
8:00.0,T. Harris misses free throw 1 of 2,,10-10,,
8:00.0,Offensive rebound by Team,,10-10,,
8:00.0,T. Harris makes free throw 2 of 2,1,11-10,,
7:49.0,,,11-13,3,J. Sullinger makes 3-pt shot from 25 ft (assist by R. Rondo)
7:29.0,C. Frye makes 3-pt shot from 26 ft (assist by T. Harris),3,14-13,,
7:22.0,,,14-13,,Turnover by A. Bradley (bad pass; steal by C. Frye)
7:14.0,Turnover by V. Oladipo (bad pass),,14-13,,
7:02.0,,,14-13,,Turnover by R. Rondo (bad pass; steal by C. Frye)
6:57.0,E. Fournier misses 2-pt shot at rim,,14-13,,
6:56.0,,,14-13,,Defensive rebound by T. Zeller
6:49.0,,,14-15,2,R. Rondo makes 2-pt shot from 18 ft
6:35.0,N. Vucevic misses 2-pt shot from 2 ft (block by T. Zeller),,14-15,,
6:34.0,Offensive rebound by N. Vucevic,,14-15,,
6:33.0,N. Vucevic makes 2-pt shot at rim,2,16-15,,
6:08.0,,,16-17,2,J. Green makes 2-pt shot from 9 ft
5:52.0,N. Vucevic misses 2-pt shot from 9 ft,,16-17,,
5:51.0,,,16-17,,Defensive rebound by R. Rondo
5:38.0,,,16-19,2,T. Zeller makes 2-pt shot from 2 ft (assist by R. Rondo)
5:31.0,Orlando full timeout,,16-19,,
5:31.0,,,16-19,,K. Olynyk enters the game for T. Zeller
5:22.0,Shooting foul by J. Green (drawn by T. Harris),,16-19,,
5:22.0,T. Harris makes free throw 1 of 2,1,17-19,,
5:22.0,T. Harris makes free throw 2 of 2,1,18-19,,
5:16.0,,,18-19,,Turnover by R. Rondo (bad pass; steal by E. Fournier)
5:12.0,E. Fournier makes 2-pt shot at rim,2,20-19,,
4:55.0,Violation by N. Vucevic (kicked ball),,20-19,,
4:55.0,B. Gordon enters the game for C. Frye,,20-19,,
4:55.0,,,20-19,,G. Wallace enters the game for J. Green
4:40.0,,,20-19,,J. Sullinger misses 2-pt shot from 15 ft
4:39.0,,,20-19,,Offensive rebound by G. Wallace
4:31.0,,,20-19,,Turnover by K. Olynyk (lost ball; steal by T. Harris)
4:24.0,,,20-19,,B. Bass enters the game for J. Sullinger
4:18.0,E. Fournier makes 2-pt shot from 2 ft (assist by N. Vucevic),2,22-19,,
4:03.0,,,22-21,2,A. Bradley makes 2-pt shot from 1 ft (assist by R. Rondo)
3:50.0,T. Harris makes 2-pt shot from 15 ft (assist by B. Gordon),2,24-21,,
3:28.0,,,24-23,2,B. Bass makes 2-pt shot from 14 ft
3:03.0,N. Vucevic makes 2-pt shot from 6 ft,2,26-23,,
3:02.0,Violation by Team (delay of game),,26-23,,
2:44.0,,,26-23,,B. Bass misses 2-pt shot from 17 ft
2:43.0,Defensive rebound by N. Vucevic,,26-23,,
2:32.0,V. Oladipo misses 2-pt shot from 2 ft,,26-23,,
2:31.0,Offensive rebound by N. Vucevic,,26-23,,
2:31.0,N. Vucevic makes 2-pt shot at rim,2,28-23,,
2:18.0,,,28-23,,R. Rondo misses 2-pt shot from 2 ft
2:17.0,Defensive rebound by N. Vucevic,,28-23,,
2:09.0,E. Fournier misses 2-pt shot from 1 ft,,28-23,,
2:08.0,Offensive rebound by N. Vucevic,,28-23,,
2:08.0,N. Vucevic misses 2-pt shot from 1 ft,,28-23,,
2:07.0,Offensive rebound by N. Vucevic,,28-23,,
2:07.0,N. Vucevic misses 2-pt shot from 1 ft,,28-23,,
2:06.0,Offensive rebound by E. Fournier,,28-23,,
2:06.0,E. Fournier misses 2-pt shot from 2 ft,,28-23,,
2:04.0,Offensive rebound by N. Vucevic,,28-23,,
1:52.0,B. Gordon misses 3-pt shot from 25 ft,,28-23,,
1:50.0,Offensive rebound by V. Oladipo,,28-23,,
1:47.0,Orlando full timeout,,28-23,,
1:47.0,,,28-23,,Boston full timeout
1:47.0,,,28-23,,E. Turner enters the game for R. Rondo
1:47.0,E. Payton enters the game for T. Harris,,28-23,,
1:47.0,C. Frye enters the game for N. Vucevic,,28-23,,
1:47.0,K. O'Quinn enters the game for E. Fournier,,28-23,,
1:47.0,M. Harkless enters the game for V. Oladipo,,28-23,,
1:43.0,Offensive foul by K. O'Quinn,,28-23,,
1:43.0,Turnover by K. O'Quinn (offensive foul),,28-23,,
1:27.0,,,28-25,2,K. Olynyk makes 2-pt shot from 1 ft
1:10.0,B. Gordon misses 2-pt shot from 13 ft,,28-25,,
1:09.0,,,28-25,,Defensive rebound by E. Turner
0:58.0,,,28-25,,Shooting foul by C. Frye (drawn by B. Bass)
0:58.0,,,28-26,1,B. Bass makes free throw 1 of 2
0:58.0,,,28-27,1,B. Bass makes free throw 2 of 2
0:34.0,B. Gordon misses 2-pt shot from 11 ft,,28-27,,
0:32.0,,,28-27,,Defensive rebound by G. Wallace
0:22.0,,,28-27,,Shooting foul by B. Gordon (drawn by E. Turner)
0:22.0,,,28-28,1,E. Turner makes free throw 1 of 2
0:22.0,E. Fournier enters the game for M. Harkless,,28-28,,
0:22.0,,,28-29,1,E. Turner makes free throw 2 of 2
0:02.0,,,28-29,,Personal take foul by A. Bradley (drawn by E. Fournier)
0:00.0,E. Fournier misses 2-pt shot from 5 ft (block by G. Wallace),,28-29,,
0:00.0,Offensive rebound by Team,,28-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,K. O'Quinn misses 2-pt shot from 17 ft,,28-29,,
11:35.0,,,28-29,,Defensive rebound by E. Turner
11:21.0,,,28-29,,K. Olynyk misses 3-pt shot from 24 ft
11:19.0,Defensive rebound by C. Frye,,28-29,,
11:10.0,C. Frye makes 3-pt shot from 26 ft (assist by E. Payton),3,31-29,,
10:50.0,,,31-29,,J. Green misses 3-pt shot from 27 ft
10:48.0,,,31-29,,Offensive rebound by B. Bass
10:37.0,,,31-29,,P. Pressey misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by C. Frye,,31-29,,
10:26.0,M. Harkless misses 3-pt shot from 22 ft,,31-29,,
10:25.0,,,31-29,,Defensive rebound by E. Turner
10:10.0,,,31-31,2,P. Pressey makes 2-pt shot from 17 ft
9:48.0,K. O'Quinn makes 2-pt shot at rim (assist by E. Payton),2,33-31,,
9:34.0,,,33-31,,B. Bass misses 2-pt shot from 11 ft
9:33.0,Defensive rebound by E. Fournier,,33-31,,
9:22.0,E. Fournier misses 3-pt shot from 25 ft,,33-31,,
9:21.0,,,33-31,,Defensive rebound by P. Pressey
9:15.0,,,33-33,2,E. Turner makes 2-pt shot from 15 ft (assist by P. Pressey)
8:59.0,Turnover by K. O'Quinn (bad pass; steal by P. Pressey),,33-33,,
8:56.0,Personal foul by E. Payton (drawn by P. Pressey),,33-33,,
8:56.0,Official timeout,,33-33,,
8:56.0,,,33-33,,T. Zeller enters the game for K. Olynyk
8:56.0,,,33-33,,J. Sullinger enters the game for B. Bass
8:46.0,,,33-33,,J. Green misses 2-pt shot from 10 ft
8:45.0,,,33-33,,Offensive rebound by Team
8:37.0,,,33-35,2,T. Zeller makes 2-pt shot from 1 ft (assist by P. Pressey)
8:25.0,C. Frye makes 3-pt shot from 26 ft (assist by E. Fournier),3,36-35,,
8:02.0,,,36-35,,J. Green misses 2-pt shot from 4 ft (block by K. O'Quinn)
8:01.0,Defensive rebound by M. Harkless,,36-35,,
7:55.0,E. Fournier makes 2-pt shot from 2 ft (assist by M. Harkless),2,38-35,,
7:48.0,,,38-35,,E. Turner misses 2-pt shot from 3 ft
7:47.0,Defensive rebound by K. O'Quinn,,38-35,,
7:33.0,M. Harkless makes 3-pt shot from 22 ft (assist by E. Fournier),3,41-35,,
7:13.0,,,41-35,,Turnover by P. Pressey (bad pass; steal by E. Fournier)
7:08.0,K. O'Quinn makes 2-pt shot at rim (assist by E. Fournier),2,43-35,,
7:08.0,,,43-35,,Boston full timeout
6:50.0,,,43-35,,J. Sullinger misses 2-pt shot from 10 ft
6:49.0,,,43-35,,Offensive rebound by T. Zeller
6:48.0,,,43-35,,T. Zeller misses 2-pt shot from 4 ft
6:47.0,Defensive rebound by M. Harkless,,43-35,,
6:31.0,,,43-35,,Personal foul by E. Turner (drawn by E. Fournier)
6:31.0,,,43-35,,R. Rondo enters the game for P. Pressey
6:23.0,C. Frye misses 3-pt shot from 24 ft,,43-35,,
6:22.0,,,43-35,,Defensive rebound by R. Rondo
6:14.0,Personal foul by C. Frye (drawn by J. Sullinger),,43-35,,
6:14.0,T. Harris enters the game for M. Harkless,,43-35,,
6:14.0,V. Oladipo enters the game for E. Fournier,,43-35,,
6:14.0,N. Vucevic enters the game for C. Frye,,43-35,,
6:08.0,,,43-37,2,R. Rondo makes 2-pt shot from 15 ft
5:41.0,T. Harris misses 2-pt shot from 12 ft,,43-37,,
5:40.0,,,43-37,,Defensive rebound by R. Rondo
5:25.0,,,43-37,,R. Rondo misses 3-pt shot from 27 ft
5:24.0,Defensive rebound by K. O'Quinn,,43-37,,
5:11.0,N. Vucevic makes 2-pt shot from 6 ft,2,45-37,,
5:07.0,,,45-37,,Offensive foul by T. Zeller
5:07.0,,,45-37,,Turnover by T. Zeller (offensive foul)
4:54.0,,,45-37,,Personal foul by T. Zeller (drawn by N. Vucevic)
4:54.0,,,45-37,,A. Bradley enters the game for E. Turner
4:54.0,,,45-37,,K. Olynyk enters the game for T. Zeller
4:43.0,K. O'Quinn makes 2-pt shot at rim (assist by E. Payton),2,47-37,,
4:30.0,,,47-40,3,K. Olynyk makes 3-pt shot from 25 ft (assist by R. Rondo)
4:11.0,T. Harris misses 3-pt shot from 25 ft,,47-40,,
4:10.0,,,47-40,,Defensive rebound by R. Rondo
4:03.0,,,47-42,2,K. Olynyk makes 2-pt shot from 9 ft
3:53.0,Orlando full timeout,,47-42,,
3:44.0,,,47-42,,Personal foul by R. Rondo (drawn by E. Payton)
3:30.0,K. O'Quinn misses 3-pt shot from 26 ft,,47-42,,
3:29.0,,,47-42,,Defensive rebound by J. Sullinger
3:17.0,,,47-42,,J. Green misses 3-pt shot from 26 ft
3:14.0,Defensive rebound by K. O'Quinn,,47-42,,
3:06.0,V. Oladipo makes 2-pt shot from 10 ft,2,49-42,,
2:51.0,,,49-45,3,K. Olynyk makes 3-pt shot from 23 ft (assist by R. Rondo)
2:37.0,V. Oladipo misses 2-pt shot from 9 ft (block by A. Bradley),,49-45,,
2:36.0,,,49-45,,Defensive rebound by R. Rondo
2:34.0,,,49-47,2,A. Bradley makes 2-pt shot from 1 ft (assist by R. Rondo)
2:11.0,T. Harris makes 2-pt shot from 2 ft,2,51-47,,
1:56.0,,,51-47,,Turnover by R. Rondo (bad pass; steal by T. Harris)
1:51.0,V. Oladipo misses 2-pt shot from 2 ft,,51-47,,
1:50.0,,,51-47,,Defensive rebound by A. Bradley
1:42.0,,,51-47,,A. Bradley misses 3-pt shot from 25 ft
1:40.0,,,51-47,,Offensive rebound by R. Rondo
1:28.0,,,51-50,3,J. Green makes 3-pt shot from 22 ft (assist by J. Sullinger)
1:11.0,N. Vucevic misses 2-pt shot from 2 ft,,51-50,,
1:10.0,,,51-50,,Defensive rebound by R. Rondo
1:06.0,,,51-50,,Boston full timeout
1:06.0,E. Fournier enters the game for E. Payton,,51-50,,
0:49.0,,,51-53,3,J. Green makes 3-pt shot from 24 ft (assist by R. Rondo)
0:36.0,T. Harris makes 2-pt shot from 7 ft (assist by V. Oladipo),2,53-53,,
0:29.0,,,53-56,3,R. Rondo makes 3-pt shot from 26 ft
0:05.0,Turnover by T. Harris (lost ball; steal by A. Bradley),,53-56,,
0:00.0,,,53-56,,R. Rondo misses 2-pt shot from 2 ft
0:00.0,,,53-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,55-56,,
11:30.0,,,55-58,2,R. Rondo makes 2-pt shot from 3 ft
11:08.0,N. Vucevic misses 2-pt shot from 18 ft,,55-58,,
11:07.0,,,55-58,,Defensive rebound by A. Bradley
10:49.0,,,55-58,,R. Rondo misses 2-pt shot from 18 ft
10:48.0,,,55-58,,Offensive rebound by T. Zeller
10:37.0,,,55-58,,J. Green misses 2-pt shot from 13 ft
10:36.0,Defensive rebound by T. Harris,,55-58,,
10:25.0,T. Harris makes 2-pt shot from 9 ft,2,57-58,,
10:08.0,,,57-60,2,J. Sullinger makes 2-pt shot from 13 ft (assist by R. Rondo)
9:47.0,V. Oladipo makes 2-pt shot from 15 ft,2,59-60,,
9:26.0,,,59-60,,J. Sullinger misses 2-pt shot from 14 ft
9:25.0,Defensive rebound by V. Oladipo,,59-60,,
9:16.0,N. Vucevic misses 2-pt shot from 1 ft,,59-60,,
9:15.0,,,59-60,,Defensive rebound by T. Zeller
9:09.0,,,59-60,,J. Green misses 2-pt shot at rim
9:08.0,Defensive rebound by C. Frye,,59-60,,
8:59.0,Shooting foul by T. Zeller (drawn by C. Frye),,59-60,,
8:59.0,C. Frye makes free throw 1 of 2,1,60-60,,
8:59.0,C. Frye makes free throw 2 of 2,1,61-60,,
8:43.0,,,61-60,,J. Sullinger misses 2-pt shot from 7 ft
8:42.0,Defensive rebound by N. Vucevic,,61-60,,
8:35.0,E. Fournier misses 2-pt shot from 1 ft,,61-60,,
8:34.0,,,61-60,,Defensive rebound by T. Zeller
8:25.0,,,61-63,3,J. Sullinger makes 3-pt shot from 26 ft (assist by R. Rondo)
8:15.0,,,61-63,,Personal block foul by J. Sullinger (drawn by V. Oladipo)
8:05.0,Turnover by E. Fournier (bad pass; steal by T. Zeller),,61-63,,
7:55.0,,,61-63,,R. Rondo misses 2-pt shot from 17 ft
7:54.0,Defensive rebound by C. Frye,,61-63,,
7:54.0,,,61-63,,Personal foul by J. Sullinger (drawn by C. Frye)
7:36.0,E. Fournier makes 2-pt shot at rim (assist by T. Harris),2,63-63,,
7:15.0,,,63-65,2,J. Green makes 2-pt shot from 11 ft (assist by R. Rondo)
6:53.0,N. Vucevic misses 2-pt shot from 19 ft,,63-65,,
6:52.0,,,63-65,,Defensive rebound by J. Sullinger
6:45.0,,,63-65,,J. Sullinger misses 3-pt shot from 25 ft
6:43.0,,,63-65,,Offensive rebound by Team
6:31.0,,,63-67,2,J. Sullinger makes 2-pt shot from 1 ft (assist by R. Rondo)
6:08.0,C. Frye misses 3-pt shot from 25 ft,,63-67,,
6:07.0,,,63-67,,Defensive rebound by A. Bradley
5:49.0,Personal foul by N. Vucevic (drawn by T. Zeller),,63-67,,
5:49.0,,,63-67,,Boston full timeout
5:43.0,,,63-67,,A. Bradley misses 2-pt shot from 19 ft
5:42.0,Defensive rebound by T. Harris,,63-67,,
5:19.0,T. Harris misses 3-pt shot from 25 ft,,63-67,,
5:18.0,,,63-67,,Defensive rebound by T. Zeller
5:09.0,,,63-67,,J. Green misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by N. Vucevic,,63-67,,
4:54.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,65-67,,
4:42.0,,,65-67,,Shooting foul by T. Harris (drawn by T. Zeller)
4:42.0,,,65-68,1,T. Zeller makes free throw 1 of 2
