time,Portland,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Mozgov (T. Lawson gains possession),,,,Jump ball: R. Lopez vs. T. Mozgov (T. Lawson gains possession)
11:46.0,,,0-0,,K. Faried misses 2-pt shot from 3 ft (block by L. Aldridge)
11:44.0,Defensive rebound by D. Lillard,,0-0,,
11:29.0,R. Lopez misses 2-pt shot from 15 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by A. Afflalo
11:19.0,,,0-2,2,A. Afflalo makes 2-pt shot from 12 ft
11:04.0,Turnover by R. Lopez (lost ball; steal by K. Faried),,0-2,,
11:01.0,,,0-2,,Shooting foul by A. Crabbe (drawn by K. Faried)
11:01.0,,,0-3,1,K. Faried makes free throw 1 of 2
11:01.0,,,0-4,1,K. Faried makes free throw 2 of 2
10:45.0,R. Lopez misses 2-pt shot from 3 ft,,0-4,,
10:44.0,,,0-4,,Defensive rebound by K. Faried
10:42.0,,,0-4,,Shooting foul by D. Lillard (drawn by T. Lawson)
10:42.0,,,0-5,1,T. Lawson makes free throw 1 of 2
10:42.0,,,0-6,1,T. Lawson makes free throw 2 of 2
10:23.0,R. Lopez makes 2-pt shot from 13 ft,2,2-6,,
10:09.0,,,2-6,,Shooting foul by R. Lopez (drawn by W. Chandler)
10:09.0,,,2-7,1,W. Chandler makes free throw 1 of 2
10:09.0,,,2-8,1,W. Chandler makes free throw 2 of 2
9:47.0,L. Aldridge misses 2-pt shot from 15 ft,,2-8,,
9:45.0,,,2-8,,Defensive rebound by W. Chandler
9:43.0,,,2-8,,Shooting foul by A. Crabbe (drawn by W. Chandler)
9:43.0,,,2-8,,W. Chandler misses free throw 1 of 2
9:43.0,,,2-8,,Offensive rebound by Team
9:43.0,,,2-9,1,W. Chandler makes free throw 2 of 2
9:25.0,Shooting foul by K. Faried (drawn by R. Lopez),,2-9,,
9:25.0,R. Lopez makes 2-pt shot from 3 ft,2,4-9,,
9:25.0,R. Lopez makes free throw 1 of 1,1,5-9,,
9:07.0,,,5-9,,W. Chandler misses 2-pt shot from 14 ft
9:04.0,Defensive rebound by L. Aldridge,,5-9,,
8:51.0,L. Aldridge makes 2-pt shot from 17 ft (assist by D. Lillard),2,7-9,,
8:38.0,,,7-11,2,K. Faried makes 2-pt shot from 9 ft (assist by T. Lawson)
8:22.0,L. Aldridge makes 2-pt shot from 16 ft (assist by D. Lillard),2,9-11,,
8:03.0,,,9-11,,A. Afflalo misses 2-pt shot from 16 ft
8:01.0,Defensive rebound by R. Lopez,,9-11,,
7:53.0,L. Aldridge misses 2-pt shot from 21 ft,,9-11,,
7:51.0,,,9-11,,Defensive rebound by W. Chandler
7:45.0,,,9-11,,Turnover by T. Mozgov (offensive goaltending)
7:45.0,,,9-11,,D. Arthur enters the game for K. Faried
7:30.0,A. Crabbe makes 3-pt shot from 24 ft (assist by W. Matthews),3,12-11,,
7:07.0,,,12-11,,T. Lawson misses 2-pt shot from 15 ft
7:06.0,Defensive rebound by L. Aldridge,,12-11,,
6:59.0,D. Lillard makes 2-pt shot from 1 ft,2,14-11,,
6:53.0,,,14-11,,Denver full timeout
6:39.0,,,14-13,2,D. Arthur makes 2-pt shot from 14 ft (assist by T. Lawson)
6:22.0,D. Lillard misses 2-pt shot from 2 ft,,14-13,,
6:20.0,Offensive rebound by R. Lopez,,14-13,,
6:20.0,R. Lopez makes 2-pt shot at rim,2,16-13,,
6:03.0,,,16-13,,W. Chandler misses 2-pt shot from 18 ft
6:01.0,Defensive rebound by W. Matthews,,16-13,,
5:57.0,W. Matthews makes 2-pt shot from 2 ft,2,18-13,,
5:57.0,Shooting foul by A. Afflalo (drawn by W. Matthews),,18-13,,
5:57.0,W. Matthews misses free throw 1 of 1,,18-13,,
5:53.0,Offensive rebound by W. Matthews,,18-13,,
5:40.0,C. McCollum enters the game for A. Crabbe,,18-13,,
5:33.0,D. Lillard makes 2-pt shot from 10 ft (assist by C. McCollum),2,20-13,,
5:28.0,,,20-13,,T. Mozgov misses 2-pt shot from 7 ft
5:27.0,Defensive rebound by R. Lopez,,20-13,,
5:23.0,C. McCollum makes 2-pt shot from 19 ft (assist by D. Lillard),2,22-13,,
5:12.0,Personal foul by C. McCollum (drawn by A. Afflalo),,22-13,,
5:12.0,C. Kaman enters the game for R. Lopez,,22-13,,
5:12.0,,,22-14,1,A. Afflalo makes free throw 1 of 2
5:12.0,,,22-15,1,A. Afflalo makes free throw 2 of 2
4:48.0,C. McCollum misses 3-pt shot from 25 ft,,22-15,,
4:47.0,Offensive rebound by D. Lillard,,22-15,,
4:40.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard),3,25-15,,
4:30.0,,,25-17,2,T. Lawson makes 2-pt shot from 1 ft
4:30.0,,,25-17,,Shooting foul by C. McCollum (drawn by T. Lawson)
4:30.0,,,25-17,,R. Foye enters the game for A. Afflalo
4:30.0,,,25-17,,J. Hickson enters the game for T. Mozgov
4:30.0,S. Blake enters the game for D. Lillard,,25-17,,
4:30.0,,,25-17,,T. Lawson misses free throw 1 of 1
4:28.0,Defensive rebound by C. Kaman,,25-17,,
4:11.0,W. Matthews misses 3-pt shot from 24 ft,,25-17,,
4:09.0,,,25-17,,Defensive rebound by J. Hickson
3:58.0,,,25-17,,J. Hickson misses 2-pt shot from 1 ft
3:57.0,Defensive rebound by C. Kaman,,25-17,,
3:39.0,C. McCollum makes 3-pt shot from 23 ft (assist by W. Matthews),3,28-17,,
3:33.0,,,28-17,,Denver full timeout
3:26.0,,,28-19,2,T. Lawson makes 2-pt shot from 21 ft (assist by J. Hickson)
3:11.0,W. Matthews misses 2-pt shot from 18 ft,,28-19,,
3:09.0,Offensive rebound by C. Kaman,,28-19,,
3:07.0,C. Kaman misses 2-pt shot from 1 ft (block by W. Chandler),,28-19,,
3:06.0,Offensive rebound by Team,,28-19,,
3:03.0,Shooting foul by D. Arthur (drawn by L. Aldridge),,28-19,,
3:03.0,L. Aldridge makes free throw 1 of 2,1,29-19,,
3:03.0,W. Barton enters the game for W. Matthews,,29-19,,
3:03.0,,,29-19,,D. Gallinari enters the game for W. Chandler
3:03.0,L. Aldridge makes free throw 2 of 2,1,30-19,,
2:49.0,,,30-19,,J. Hickson misses 2-pt shot from 1 ft (block by L. Aldridge)
2:47.0,,,30-19,,Offensive rebound by D. Arthur
2:44.0,,,30-19,,D. Arthur misses 3-pt shot from 23 ft
2:42.0,Defensive rebound by C. Kaman,,30-19,,
2:40.0,Turnover by C. Kaman (bad pass; steal by D. Gallinari),,30-19,,
2:34.0,,,30-22,3,T. Lawson makes 3-pt shot from 23 ft (assist by J. Hickson)
2:13.0,S. Blake misses 3-pt shot from 25 ft,,30-22,,
2:11.0,,,30-22,,Defensive rebound by J. Hickson
2:04.0,,,30-22,,D. Arthur misses 2-pt shot from 4 ft (block by L. Aldridge)
2:02.0,Defensive rebound by S. Blake,,30-22,,
1:58.0,W. Barton misses 2-pt shot at rim,,30-22,,
1:55.0,,,30-22,,Defensive rebound by D. Arthur
1:43.0,,,30-22,,D. Gallinari misses 2-pt shot from 2 ft (block by C. Kaman)
1:40.0,,,30-22,,Offensive rebound by J. Hickson
1:39.0,,,30-24,2,J. Hickson makes 2-pt shot at rim
1:39.0,Portland full timeout,,30-24,,
1:25.0,C. McCollum makes 3-pt shot from 22 ft (assist by L. Aldridge),3,33-24,,
