time,Utah,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. M. Plumlee (E. Kanter gains possession),,,,Jump ball: D. Favors vs. M. Plumlee (E. Kanter gains possession)
11:38.0,D. Favors makes 2-pt shot from 15 ft (assist by G. Hayward),2,2-0,,
11:19.0,,,2-0,,P. Tucker misses 3-pt shot from 23 ft
11:17.0,Defensive rebound by D. Favors,,2-0,,
11:02.0,G. Hayward makes 3-pt shot from 23 ft (assist by J. Ingles),3,5-0,,
10:51.0,,,5-0,,M. Morris misses 2-pt shot from 17 ft
10:49.0,Defensive rebound by G. Hayward,,5-0,,
10:32.0,E. Kanter misses 2-pt shot from 2 ft (block by M. Plumlee),,5-0,,
10:30.0,Offensive rebound by E. Kanter,,5-0,,
10:30.0,Shooting foul by M. Plumlee (drawn by E. Kanter),,5-0,,
10:30.0,E. Kanter misses free throw 1 of 2,,5-0,,
10:30.0,Offensive rebound by Team,,5-0,,
10:30.0,E. Kanter misses free throw 2 of 2,,5-0,,
10:30.0,,,5-0,,Defensive rebound by P. Tucker
10:09.0,,,5-0,,E. Bledsoe misses 2-pt shot from 21 ft
10:07.0,Defensive rebound by J. Ingles,,5-0,,
9:50.0,D. Favors makes 2-pt shot at rim (assist by D. Exum),2,7-0,,
9:35.0,,,7-2,2,M. Morris makes 2-pt shot from 14 ft (assist by G. Dragic)
9:22.0,G. Hayward makes 2-pt shot from 1 ft,2,9-2,,
9:12.0,,,9-2,,M. Plumlee misses 2-pt shot from 7 ft
9:09.0,Defensive rebound by E. Kanter,,9-2,,
8:59.0,G. Hayward misses 2-pt shot from 7 ft,,9-2,,
8:59.0,,,9-2,,Defensive rebound by Team
8:50.0,,,9-4,2,G. Dragic makes 2-pt shot from 1 ft
8:30.0,Turnover by E. Kanter (traveling),,9-4,,
8:13.0,,,9-6,2,G. Dragic makes 2-pt shot from 17 ft
7:56.0,E. Kanter makes 2-pt shot from 5 ft (assist by D. Exum),2,11-6,,
7:45.0,,,11-6,,G. Dragic misses 2-pt shot from 14 ft
7:44.0,Defensive rebound by E. Kanter,,11-6,,
7:29.0,Offensive foul by E. Kanter,,11-6,,
7:29.0,Turnover by E. Kanter (offensive foul),,11-6,,
7:09.0,,,11-6,,Turnover by M. Morris (bad pass; steal by D. Favors)
7:05.0,G. Hayward makes 2-pt shot at rim (assist by D. Exum),2,13-6,,
7:05.0,,,13-6,,Phoenix full timeout
6:46.0,,,13-6,,M. Morris misses 2-pt shot from 14 ft
6:43.0,Defensive rebound by D. Favors,,13-6,,
6:29.0,,,13-6,,Personal foul by M. Morris (drawn by E. Kanter)
6:21.0,J. Ingles misses 3-pt shot from 25 ft,,13-6,,
6:19.0,,,13-6,,Defensive rebound by P. Tucker
6:10.0,,,13-8,2,E. Bledsoe makes 2-pt shot from 18 ft
5:56.0,D. Favors makes 2-pt shot from 12 ft (assist by J. Ingles),2,15-8,,
5:34.0,,,15-10,2,M. Morris makes 2-pt shot from 13 ft
5:23.0,G. Hayward makes 2-pt shot from 1 ft (assist by J. Ingles),2,17-10,,
5:13.0,Personal block foul by D. Exum (drawn by M. Morris),,17-10,,
5:13.0,,,17-10,,M. Morris enters the game for P. Tucker
5:13.0,,,17-10,,B. Wright enters the game for M. Plumlee
5:13.0,R. Gobert enters the game for E. Kanter,,17-10,,
5:00.0,,,17-10,,M. Morris misses 3-pt shot from 26 ft
4:58.0,Defensive rebound by G. Hayward,,17-10,,
4:42.0,D. Exum makes 3-pt shot from 24 ft (assist by R. Gobert),3,20-10,,
