time,Indiana,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. M. Speights (D. Green gains possession),,,,Jump ball: R. Hibbert vs. M. Speights (D. Green gains possession)
11:46.0,,,0-0,,Turnover by S. Curry (bad pass)
11:32.0,Turnover by C. Watson (bad pass; steal by D. Green),,0-0,,
11:23.0,,,0-0,,H. Barnes misses 2-pt shot from 18 ft
11:22.0,Defensive rebound by C. Watson,,0-0,,
10:59.0,D. West makes 2-pt shot from 8 ft,2,2-0,,
10:40.0,,,2-3,3,D. Green makes 3-pt shot from 24 ft (assist by S. Curry)
10:22.0,C. Miles misses 2-pt shot from 22 ft,,2-3,,
10:18.0,,,2-3,,Defensive rebound by H. Barnes
10:11.0,,,2-3,,M. Speights misses 2-pt shot from 15 ft
10:10.0,Defensive rebound by C. Watson,,2-3,,
10:05.0,Offensive foul by R. Hibbert,,2-3,,
10:05.0,Turnover by R. Hibbert (offensive foul),,2-3,,
9:57.0,,,2-5,2,K. Thompson makes 2-pt shot from 5 ft (assist by S. Curry)
9:44.0,S. Hill makes 3-pt shot from 25 ft (assist by D. West),3,5-5,,
9:35.0,,,5-5,,Turnover by S. Curry (bad pass)
9:26.0,Turnover by C. Watson (bad pass; steal by S. Curry),,5-5,,
9:22.0,,,5-7,2,K. Thompson makes 2-pt shot at rim
8:59.0,S. Hill makes 3-pt shot from 25 ft (assist by C. Miles),3,8-7,,
8:51.0,,,8-9,2,S. Curry makes 2-pt shot from 20 ft
8:39.0,S. Hill makes 2-pt shot from 11 ft,2,10-9,,
8:25.0,,,10-9,,M. Speights misses 2-pt shot from 18 ft
8:24.0,Defensive rebound by R. Hibbert,,10-9,,
8:16.0,,,10-9,,Personal foul by M. Speights (drawn by R. Hibbert)
8:09.0,R. Hibbert makes 2-pt shot from 17 ft (assist by C. Watson),2,12-9,,
7:58.0,,,12-9,,M. Speights misses 2-pt shot from 1 ft (block by R. Hibbert)
7:57.0,,,12-9,,Offensive rebound by M. Speights
7:57.0,,,12-11,2,M. Speights makes 2-pt shot from 1 ft
7:43.0,Offensive foul by D. West,,12-11,,
7:43.0,Turnover by D. West (offensive foul),,12-11,,
7:32.0,,,12-11,,K. Thompson misses 2-pt shot from 17 ft
7:30.0,Defensive rebound by D. West,,12-11,,
7:16.0,Turnover by C. Miles (lost ball; steal by D. Green),,12-11,,
7:04.0,,,12-13,2,K. Thompson makes 2-pt shot from 18 ft
6:47.0,R. Hibbert misses 2-pt shot from 18 ft,,12-13,,
6:47.0,,,12-13,,Defensive rebound by H. Barnes
6:44.0,,,12-13,,Turnover by S. Curry (bad pass; steal by C. Miles)
6:37.0,C. Miles misses 2-pt shot from 2 ft (block by D. Green),,12-13,,
6:37.0,Offensive rebound by Team,,12-13,,
6:28.0,S. Hill misses 2-pt shot from 11 ft,,12-13,,
6:27.0,,,12-13,,Defensive rebound by D. Green
6:22.0,,,12-16,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
6:21.0,Indiana full timeout,,12-16,,
6:21.0,L. Allen enters the game for R. Hibbert,,12-16,,
6:06.0,Turnover by C. Miles (bad pass),,12-16,,
5:57.0,,,12-16,,H. Barnes misses 2-pt shot from 16 ft
5:56.0,,,12-16,,Offensive rebound by Team
5:52.0,,,12-16,,K. Thompson misses 2-pt shot from 15 ft
5:50.0,Defensive rebound by D. West,,12-16,,
5:42.0,L. Allen makes 2-pt shot from 2 ft (assist by D. West),2,14-16,,
5:31.0,,,14-16,,S. Curry misses 2-pt shot from 21 ft
5:30.0,Defensive rebound by S. Hill,,14-16,,
5:24.0,C. Miles misses 3-pt shot from 23 ft,,14-16,,
5:22.0,,,14-16,,Defensive rebound by D. Green
5:19.0,,,14-16,,Shooting foul by C. Watson (drawn by D. Green)
5:19.0,,,14-17,1,D. Green makes free throw 1 of 2
5:19.0,,,14-17,,A. Bogut enters the game for M. Speights
5:19.0,,,14-17,,A. Iguodala enters the game for H. Barnes
5:19.0,,,14-17,,D. Green misses free throw 2 of 2
5:17.0,Defensive rebound by C. Watson,,14-17,,
5:10.0,Shooting foul by S. Curry (drawn by C. Watson),,14-17,,
5:10.0,C. Watson makes free throw 1 of 2,1,15-17,,
5:10.0,C. Watson makes free throw 2 of 2,1,16-17,,
5:04.0,,,16-17,,Turnover by K. Thompson (offensive foul)
5:04.0,,,16-17,,Offensive foul by K. Thompson
4:55.0,D. West misses 2-pt shot from 20 ft,,16-17,,
4:54.0,,,16-17,,Defensive rebound by A. Bogut
4:43.0,,,16-17,,S. Curry misses 2-pt shot from 13 ft
4:43.0,Defensive rebound by Team,,16-17,,
4:43.0,,,16-17,,Loose ball foul by A. Bogut (drawn by C. Watson)
4:27.0,S. Hill makes 2-pt shot from 2 ft (assist by L. Allen),2,18-17,,
4:10.0,,,18-17,,D. Green misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by C. Watson,,18-17,,
4:05.0,D. West makes 2-pt shot from 1 ft (assist by C. Watson),2,20-17,,
3:44.0,,,20-19,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
3:28.0,D. West makes 2-pt shot from 19 ft (assist by C. Watson),2,22-19,,
3:05.0,,,22-19,,A. Iguodala misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by S. Hill,,22-19,,
2:53.0,S. Hill misses 2-pt shot from 2 ft,,22-19,,
2:52.0,Offensive rebound by L. Allen,,22-19,,
2:52.0,L. Allen makes 2-pt shot at rim,2,24-19,,
2:52.0,,,24-19,,Golden State full timeout
2:52.0,C. Copeland enters the game for C. Miles,,24-19,,
2:52.0,,,24-19,,S. Livingston enters the game for S. Curry
2:38.0,,,24-19,,A. Bogut misses 2-pt shot from 9 ft
2:37.0,Defensive rebound by L. Allen,,24-19,,
2:31.0,,,24-19,,Personal foul by S. Livingston (drawn by C. Watson)
2:21.0,D. West misses 2-pt shot from 18 ft,,24-19,,
2:20.0,,,24-19,,Defensive rebound by A. Bogut
2:07.0,,,24-21,2,K. Thompson makes 2-pt shot from 2 ft
1:51.0,L. Allen makes 2-pt shot from 18 ft (assist by C. Watson),2,26-21,,
1:40.0,,,26-21,,K. Thompson misses 2-pt shot from 22 ft
1:39.0,Defensive rebound by L. Allen,,26-21,,
1:24.0,C. Copeland misses 3-pt shot from 25 ft,,26-21,,
1:23.0,,,26-21,,Defensive rebound by D. Green
1:14.0,Personal foul by C. Watson (drawn by K. Thompson),,26-21,,
1:14.0,D. Sloan enters the game for C. Watson,,26-21,,
1:09.0,,,26-23,2,A. Bogut makes 2-pt shot from 1 ft (assist by S. Livingston)
0:56.0,,,26-23,,Personal foul by S. Livingston (drawn by D. Sloan)
0:56.0,D. Sloan makes free throw 1 of 2,1,27-23,,
0:56.0,,,27-23,,D. Lee enters the game for D. Green
0:56.0,L. Scola enters the game for D. West,,27-23,,
0:56.0,D. Sloan makes free throw 2 of 2,1,28-23,,
0:47.0,,,28-23,,Turnover by K. Thompson (lost ball; steal by D. Sloan)
0:36.0,L. Scola misses 2-pt shot from 7 ft,,28-23,,
0:36.0,,,28-23,,Defensive rebound by Team
0:21.0,,,28-23,,K. Thompson misses 3-pt shot from 25 ft
0:20.0,Defensive rebound by C. Copeland,,28-23,,
0:03.0,D. Sloan misses 2-pt shot from 18 ft,,28-23,,
0:00.0,Offensive rebound by Team,,28-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,C. Miles misses 2-pt shot from 19 ft,,28-23,,
11:39.0,Offensive rebound by Team,,28-23,,
11:36.0,C. Miles makes 2-pt shot from 10 ft (assist by C. Copeland),2,30-23,,
11:21.0,,,30-23,,D. Lee misses 2-pt shot from 6 ft
11:20.0,Defensive rebound by L. Allen,,30-23,,
11:11.0,L. Scola misses 2-pt shot from 2 ft,,30-23,,
11:11.0,,,30-23,,Defensive rebound by Team
10:59.0,,,30-23,,D. Lee misses 2-pt shot from 6 ft
10:58.0,Defensive rebound by L. Scola,,30-23,,
10:49.0,D. Sloan makes 2-pt shot from 19 ft,2,32-23,,
10:31.0,,,32-25,2,D. Lee makes 2-pt shot from 9 ft
10:12.0,L. Scola makes 2-pt shot from 7 ft (assist by L. Allen),2,34-25,,
10:02.0,,,34-25,,S. Livingston misses 2-pt shot from 2 ft
10:01.0,Defensive rebound by L. Scola,,34-25,,
9:44.0,D. Sloan misses 2-pt shot from 2 ft,,34-25,,
9:42.0,Offensive rebound by L. Scola,,34-25,,
9:42.0,L. Scola misses 2-pt shot at rim,,34-25,,
9:41.0,,,34-25,,Defensive rebound by D. Lee
9:37.0,,,34-25,,Shooting foul by C. Miles (drawn by A. Iguodala)
9:37.0,,,34-26,1,A. Iguodala makes free throw 1 of 2
9:37.0,,,34-26,,S. Curry enters the game for S. Livingston
9:37.0,,,34-27,1,A. Iguodala makes free throw 2 of 2
9:20.0,L. Scola misses 2-pt shot from 5 ft,,34-27,,
9:19.0,Offensive rebound by L. Allen,,34-27,,
9:16.0,C. Miles misses 3-pt shot from 26 ft,,34-27,,
9:15.0,,,34-27,,Defensive rebound by S. Curry
9:07.0,,,34-29,2,D. Lee makes 2-pt shot from 1 ft (assist by S. Curry)
8:41.0,D. Sloan misses 3-pt shot from 24 ft,,34-29,,
8:40.0,,,34-29,,Defensive rebound by J. Holiday
8:30.0,,,34-29,,D. Lee misses 2-pt shot from 8 ft
8:29.0,Defensive rebound by D. Sloan,,34-29,,
8:10.0,L. Scola makes 2-pt shot from 19 ft (assist by D. Sloan),2,36-29,,
7:55.0,,,36-29,,A. Iguodala misses 2-pt shot from 17 ft
7:54.0,,,36-29,,Offensive rebound by A. Iguodala
7:47.0,,,36-29,,S. Curry misses 2-pt shot from 9 ft
7:46.0,Defensive rebound by L. Allen,,36-29,,
7:32.0,L. Scola makes 2-pt shot from 17 ft (assist by D. Sloan),2,38-29,,
7:15.0,,,38-31,2,H. Barnes makes 2-pt shot from 8 ft (assist by A. Iguodala)
7:00.0,L. Scola makes 2-pt shot from 1 ft (assist by D. Sloan),2,40-31,,
7:00.0,,,40-31,,Golden State full timeout
7:00.0,,,40-31,,D. Green enters the game for D. Lee
6:49.0,Personal foul by L. Scola (drawn by H. Barnes),,40-31,,
6:42.0,,,40-31,,D. Green misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by L. Scola,,40-31,,
6:18.0,D. Sloan makes 2-pt shot from 2 ft,2,42-31,,
6:06.0,,,42-31,,D. Green misses 2-pt shot from 8 ft
6:05.0,,,42-31,,Offensive rebound by D. Green
5:59.0,,,42-34,3,J. Holiday makes 3-pt shot from 23 ft (assist by S. Curry)
5:39.0,Turnover by D. Sloan (bad pass; steal by A. Iguodala),,42-34,,
5:34.0,,,42-34,,J. Holiday misses 2-pt shot at rim
5:33.0,,,42-34,,Offensive rebound by J. Holiday
5:33.0,,,42-34,,J. Holiday misses 2-pt shot at rim (block by L. Scola)
5:32.0,,,42-34,,Offensive rebound by A. Iguodala
5:22.0,,,42-34,,D. Green misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by L. Scola,,42-34,,
4:58.0,C. Miles misses 3-pt shot from 25 ft,,42-34,,
4:57.0,,,42-34,,Defensive rebound by S. Curry
4:55.0,,,42-34,,Turnover by S. Curry (bad pass)
4:55.0,Official timeout,,42-34,,
4:55.0,D. West enters the game for L. Allen,,42-34,,
4:55.0,S. Hill enters the game for C. Copeland,,42-34,,
4:55.0,,,42-34,,K. Thompson enters the game for J. Holiday
4:41.0,,,42-34,,Personal foul by D. Green (drawn by D. West)
4:41.0,,,42-34,,M. Speights enters the game for A. Iguodala
4:32.0,L. Scola misses 2-pt shot from 2 ft (block by D. Green),,42-34,,
4:32.0,,,42-34,,Defensive rebound by Team
4:23.0,,,42-37,3,S. Curry makes 3-pt shot from 31 ft (assist by H. Barnes)
4:06.0,D. Sloan makes 2-pt shot at rim,2,44-37,,
3:54.0,,,44-37,,S. Curry misses 3-pt shot from 27 ft
3:53.0,Defensive rebound by D. West,,44-37,,
3:40.0,Turnover by D. Sloan (lost ball; steal by S. Curry),,44-37,,
3:36.0,,,44-37,,Shooting foul by L. Scola (drawn by K. Thompson)
3:36.0,,,44-38,1,K. Thompson makes free throw 1 of 2
3:36.0,C. Watson enters the game for D. Sloan,,44-38,,
3:36.0,,,44-39,1,K. Thompson makes free throw 2 of 2
3:16.0,L. Scola makes 2-pt shot from 18 ft (assist by S. Hill),2,46-39,,
3:09.0,Personal foul by C. Watson (drawn by S. Curry),,46-39,,
3:06.0,,,46-42,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Curry)
2:49.0,S. Hill misses 3-pt shot from 23 ft,,46-42,,
2:48.0,,,46-42,,Defensive rebound by H. Barnes
2:39.0,,,46-42,,D. Green misses 3-pt shot from 26 ft
2:37.0,Defensive rebound by S. Hill,,46-42,,
2:23.0,Turnover by D. West (lost ball; steal by S. Curry),,46-42,,
2:18.0,,,46-44,2,S. Curry makes 2-pt shot at rim
2:17.0,Indiana full timeout,,46-44,,
2:17.0,D. Sloan enters the game for C. Watson,,46-44,,
2:06.0,Shooting foul by M. Speights (drawn by L. Scola),,46-44,,
2:06.0,L. Scola makes free throw 1 of 2,1,47-44,,
2:06.0,L. Scola makes free throw 2 of 2,1,48-44,,
1:49.0,,,48-46,2,M. Speights makes 2-pt shot from 18 ft (assist by S. Curry)
1:26.0,D. West makes 2-pt shot from 16 ft (assist by D. Sloan),2,50-46,,
1:09.0,,,50-46,,M. Speights misses 2-pt shot at rim
1:09.0,,,50-46,,Offensive rebound by D. Green
1:09.0,,,50-46,,Shooting foul by L. Scola (drawn by D. Green)
1:09.0,,,50-47,1,D. Green makes free throw 1 of 2
1:09.0,L. Allen enters the game for L. Scola,,50-47,,
1:09.0,,,50-47,,D. Green misses free throw 2 of 2
1:08.0,Defensive rebound by D. West,,50-47,,
0:54.0,D. West misses 2-pt shot from 10 ft,,50-47,,
0:53.0,,,50-47,,Defensive rebound by M. Speights
0:47.0,,,50-50,3,S. Curry makes 3-pt shot from 28 ft
