time,Memphis,pts.away,score,pts.home,LA Clippers
0:25.0,,,19-22,,Defensive rebound by C. Paul
0:04.0,,,19-22,,J. Crawford misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by N. Calathes,,19-22,,
0:01.0,B. Udrih makes 2-pt shot from 1 ft (assist by N. Calathes),2,21-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,21-24,2,G. Davis makes 2-pt shot from 4 ft (assist by J. Crawford)
11:26.0,K. Koufos misses 2-pt shot from 4 ft,,21-24,,
11:23.0,,,21-24,,Defensive rebound by H. Turkoglu
11:11.0,,,21-24,,J. Redick misses 2-pt shot from 12 ft
11:09.0,Defensive rebound by K. Koufos,,21-24,,
10:59.0,B. Udrih misses 2-pt shot from 2 ft,,21-24,,
10:57.0,Offensive rebound by K. Koufos,,21-24,,
10:57.0,K. Koufos makes 2-pt shot from 1 ft,2,23-24,,
10:44.0,,,23-24,,A. Rivers misses 2-pt shot from 19 ft
10:40.0,Defensive rebound by N. Calathes,,23-24,,
10:24.0,B. Udrih misses 2-pt shot from 3 ft (block by A. Rivers),,23-24,,
10:21.0,,,23-24,,Defensive rebound by H. Turkoglu
10:21.0,,,23-24,,Turnover by H. Turkoglu (bad pass; steal by T. Allen)
10:21.0,Offensive charge foul by T. Allen,,23-24,,
10:21.0,Turnover by T. Allen (offensive foul),,23-24,,
10:04.0,,,23-24,,Offensive charge foul by A. Rivers
10:04.0,,,23-24,,Turnover by A. Rivers (offensive foul)
9:47.0,T. Allen makes 2-pt shot from 3 ft,2,25-24,,
9:20.0,,,25-26,2,H. Turkoglu makes 2-pt shot from 19 ft (assist by A. Rivers)
9:07.0,B. Udrih misses 3-pt shot from 25 ft,,25-26,,
9:06.0,,,25-26,,Defensive rebound by J. Crawford
8:59.0,,,25-26,,J. Crawford misses 2-pt shot from 16 ft
8:58.0,Defensive rebound by N. Calathes,,25-26,,
8:53.0,T. Allen misses 2-pt shot from 2 ft (block by H. Turkoglu),,25-26,,
8:52.0,Offensive rebound by T. Allen,,25-26,,
8:52.0,T. Allen makes 2-pt shot from 2 ft,2,27-26,,
8:26.0,,,27-28,2,H. Turkoglu makes 2-pt shot from 18 ft (assist by J. Redick)
8:02.0,T. Allen misses 3-pt shot from 25 ft,,27-28,,
8:01.0,Offensive rebound by J. Leuer,,27-28,,
8:01.0,Official timeout,,27-28,,
8:01.0,J. Green enters the game for B. Udrih,,27-28,,
7:44.0,T. Allen misses 2-pt shot from 6 ft,,27-28,,
7:43.0,,,27-28,,Defensive rebound by G. Davis
7:29.0,,,27-28,,J. Redick misses 3-pt shot from 23 ft
7:28.0,Defensive rebound by K. Koufos,,27-28,,
7:17.0,J. Leuer makes 2-pt shot from 17 ft (assist by J. Green),2,29-28,,
6:58.0,,,29-28,,Shooting foul by J. Leuer (drawn by J. Crawford)
6:58.0,,,29-29,1,J. Crawford makes free throw 1 of 2
6:58.0,,,29-29,,M. Barnes enters the game for J. Redick
6:58.0,,,29-29,,C. Paul enters the game for A. Rivers
6:58.0,M. Gasol enters the game for K. Koufos,,29-29,,
6:58.0,,,29-29,,D. Jordan enters the game for H. Turkoglu
6:58.0,,,29-30,1,J. Crawford makes free throw 2 of 2
6:42.0,M. Gasol misses 2-pt shot from 13 ft,,29-30,,
6:39.0,,,29-30,,Defensive rebound by M. Barnes
6:33.0,,,29-32,2,C. Paul makes 2-pt shot from 16 ft
6:13.0,N. Calathes misses 2-pt shot from 7 ft,,29-32,,
6:11.0,,,29-32,,Defensive rebound by G. Davis
5:55.0,,,29-32,,C. Paul misses 2-pt shot from 19 ft
5:53.0,Defensive rebound by J. Leuer,,29-32,,
5:36.0,J. Leuer makes 2-pt shot from 13 ft (assist by M. Gasol),2,31-32,,
5:28.0,,,31-32,,LA Clippers full timeout
5:28.0,,,31-32,,S. Hawes enters the game for G. Davis
