time,Milwaukee,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. C. Zeller,,,,Jump ball: Z. Pachulia vs. C. Zeller
11:52.0,,,0-0,,K. Walker misses 3-pt shot from 25 ft
11:50.0,,,0-0,,Offensive rebound by M. Kidd-Gilchrist
11:32.0,,,0-0,,Shooting foul by K. Middleton (drawn by G. Henderson)
11:32.0,,,0-1,1,G. Henderson makes free throw 1 of 2
11:32.0,,,0-2,1,G. Henderson makes free throw 2 of 2
11:31.0,Turnover by B. Knight (inbound),,0-2,,
11:26.0,Violation by B. Knight (kicked ball),,0-2,,
11:11.0,,,0-4,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by A. Jefferson)
11:00.0,Turnover by Z. Pachulia (lost ball; steal by C. Zeller),,0-4,,
10:57.0,,,0-4,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
10:57.0,,,0-4,,Offensive rebound by Team
10:45.0,,,0-4,,A. Jefferson misses 2-pt shot from 15 ft (block by Z. Pachulia)
10:43.0,Defensive rebound by Z. Pachulia,,0-4,,
10:35.0,Z. Pachulia makes 2-pt shot from 13 ft (assist by G. Antetokounmpo),2,2-4,,
10:22.0,Personal foul by Z. Pachulia (drawn by A. Jefferson),,2-4,,
10:04.0,,,2-7,3,K. Walker makes 3-pt shot from 25 ft (assist by A. Jefferson)
9:53.0,K. Middleton misses 2-pt shot from 1 ft (block by C. Zeller),,2-7,,
9:50.0,,,2-7,,Defensive rebound by G. Henderson
9:47.0,,,2-9,2,G. Henderson makes 2-pt shot from 11 ft
9:31.0,B. Knight misses 3-pt shot from 27 ft,,2-9,,
9:30.0,,,2-9,,Defensive rebound by A. Jefferson
9:17.0,,,2-9,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by G. Antetokounmpo,,2-9,,
8:59.0,B. Knight misses 2-pt shot from 9 ft (block by K. Walker),,2-9,,
8:58.0,,,2-9,,Defensive rebound by C. Zeller
8:50.0,,,2-9,,Turnover by K. Walker (bad pass)
8:34.0,Z. Pachulia makes 2-pt shot from 14 ft (assist by G. Antetokounmpo),2,4-9,,
8:16.0,,,4-9,,A. Jefferson misses 2-pt shot from 14 ft
8:15.0,Defensive rebound by J. O'Bryant,,4-9,,
8:05.0,Turnover by B. Knight (bad pass; steal by G. Henderson),,4-9,,
8:01.0,,,4-11,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by G. Henderson)
7:42.0,Z. Pachulia makes 2-pt shot from 10 ft (assist by J. O'Bryant),2,6-11,,
7:30.0,,,6-14,3,G. Henderson makes 3-pt shot from 23 ft (assist by M. Kidd-Gilchrist)
7:28.0,Milwaukee full timeout,,6-14,,
7:28.0,J. Dudley enters the game for J. O'Bryant,,6-14,,
7:17.0,B. Knight makes 3-pt shot from 26 ft (assist by G. Antetokounmpo),3,9-14,,
6:49.0,,,9-14,,G. Henderson misses 2-pt shot from 18 ft
6:48.0,,,9-14,,Offensive rebound by C. Zeller
6:44.0,,,9-14,,Offensive foul by C. Zeller
6:44.0,,,9-14,,Turnover by C. Zeller (offensive foul)
6:40.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,11-14,,
6:40.0,Shooting foul by M. Kidd-Gilchrist (drawn by G. Antetokounmpo),,11-14,,
6:40.0,G. Antetokounmpo makes free throw 1 of 1,1,12-14,,
6:26.0,,,12-14,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
6:25.0,Defensive rebound by Z. Pachulia,,12-14,,
6:16.0,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by B. Knight),2,14-14,,
6:01.0,,,14-14,,A. Jefferson misses 2-pt shot from 11 ft
6:00.0,Defensive rebound by G. Antetokounmpo,,14-14,,
5:53.0,B. Knight misses 2-pt shot from 15 ft,,14-14,,
5:52.0,,,14-14,,Defensive rebound by M. Kidd-Gilchrist
5:46.0,Personal foul by G. Antetokounmpo (drawn by M. Kidd-Gilchrist),,14-14,,
5:46.0,O. Mayo enters the game for K. Middleton,,14-14,,
5:36.0,,,14-14,,A. Jefferson misses 2-pt shot from 5 ft
5:35.0,Defensive rebound by Z. Pachulia,,14-14,,
5:19.0,B. Knight makes 3-pt shot from 25 ft (assist by J. Dudley),3,17-14,,
4:50.0,,,17-14,,G. Henderson misses 3-pt shot from 22 ft
4:49.0,Defensive rebound by B. Knight,,17-14,,
4:44.0,O. Mayo misses 2-pt shot from 2 ft (block by K. Walker),,17-14,,
4:43.0,Offensive rebound by Team,,17-14,,
4:43.0,,,17-14,,M. Williams enters the game for C. Zeller
4:31.0,Turnover by B. Knight (bad pass),,17-14,,
4:16.0,,,17-14,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
4:14.0,Defensive rebound by G. Antetokounmpo,,17-14,,
4:11.0,Offensive foul by O. Mayo,,17-14,,
4:11.0,Turnover by O. Mayo (offensive foul),,17-14,,
3:53.0,,,17-14,,M. Williams misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by O. Mayo,,17-14,,
3:43.0,Shooting foul by K. Walker (drawn by J. Dudley),,17-14,,
3:43.0,J. Dudley makes free throw 1 of 2,1,18-14,,
3:43.0,J. Henson enters the game for Z. Pachulia,,18-14,,
3:43.0,,,18-14,,G. Neal enters the game for A. Jefferson
3:43.0,,,18-14,,B. Biyombo enters the game for G. Henderson
3:43.0,J. Dudley makes free throw 2 of 2,1,19-14,,
3:19.0,,,19-14,,M. Williams misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
3:17.0,Defensive rebound by B. Knight,,19-14,,
3:10.0,B. Knight misses 2-pt shot from 15 ft,,19-14,,
3:09.0,,,19-14,,Defensive rebound by M. Williams
3:02.0,,,19-14,,G. Neal misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by J. Dudley,,19-14,,
2:53.0,,,19-14,,Charlotte full timeout
2:53.0,,,19-14,,P. Hairston enters the game for M. Kidd-Gilchrist
2:50.0,Jump ball: J. Dudley vs. M. Williams (P. Hairston gains possession),,,,Jump ball: J. Dudley vs. M. Williams (P. Hairston gains possession)
2:50.0,Turnover by O. Mayo (lost ball; steal by M. Williams),,19-14,,
2:28.0,,,19-14,,K. Walker misses 2-pt shot from 1 ft (block by J. Henson)
2:28.0,,,19-14,,Offensive rebound by Team
2:25.0,,,19-14,,M. Williams misses 2-pt shot from 17 ft
2:24.0,,,19-14,,Offensive rebound by G. Neal
2:15.0,,,19-14,,K. Walker misses 2-pt shot from 18 ft
2:15.0,Defensive rebound by Team,,19-14,,
2:15.0,,,19-14,,Loose ball foul by B. Biyombo (drawn by J. Henson)
2:08.0,,,19-14,,Personal foul by P. Hairston (drawn by J. Henson)
2:05.0,O. Mayo makes 2-pt shot from 16 ft,2,21-14,,
2:05.0,,,21-14,,Loose ball foul by G. Neal (drawn by J. Dudley)
2:05.0,J. Dudley makes free throw 1 of 1,1,22-14,,
1:48.0,,,22-14,,M. Williams misses 2-pt shot from 20 ft
1:47.0,,,22-14,,Offensive rebound by B. Biyombo
1:43.0,,,22-14,,P. Hairston misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by J. Dudley,,22-14,,
1:34.0,G. Antetokounmpo makes 2-pt shot at rim,2,24-14,,
1:20.0,,,24-14,,Shooting foul by B. Knight (drawn by K. Walker)
1:20.0,,,24-15,1,K. Walker makes free throw 1 of 2
1:20.0,J. Bayless enters the game for B. Knight,,24-15,,
1:20.0,K. Middleton enters the game for G. Antetokounmpo,,24-15,,
1:20.0,,,24-16,1,K. Walker makes free throw 2 of 2
1:02.0,,,24-16,,Violation by M. Williams (kicked ball)
0:50.0,J. Henson misses 2-pt shot from 1 ft (block by B. Biyombo),,24-16,,
0:50.0,Offensive rebound by Team,,24-16,,
0:49.0,Shooting foul by G. Neal (drawn by O. Mayo),,24-16,,
0:49.0,O. Mayo misses free throw 1 of 2,,24-16,,
0:49.0,Offensive rebound by Team,,24-16,,
0:49.0,O. Mayo makes free throw 2 of 2,1,25-16,,
0:43.0,,,25-16,,K. Walker misses 2-pt shot from 2 ft
0:41.0,Defensive rebound by K. Middleton,,25-16,,
0:35.0,K. Middleton misses 3-pt shot from 25 ft,,25-16,,
0:33.0,,,25-16,,Defensive rebound by B. Biyombo
0:17.0,,,25-16,,Shooting foul by J. Bayless (drawn by K. Walker)
0:17.0,,,25-17,1,K. Walker makes free throw 1 of 2
0:17.0,,,25-18,1,K. Walker makes free throw 2 of 2
0:04.0,J. Bayless misses 2-pt shot from 21 ft,,25-18,,
0:03.0,,,25-18,,Defensive rebound by P. Hairston
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Middleton misses 3-pt shot from 25 ft,,25-18,,
11:43.0,,,25-18,,Defensive rebound by M. Williams
11:35.0,,,25-20,2,B. Roberts makes 2-pt shot from 20 ft
11:17.0,J. Bayless misses 2-pt shot from 9 ft,,25-20,,
11:16.0,,,25-20,,Defensive rebound by B. Roberts
11:12.0,Personal foul by J. Bayless (drawn by B. Roberts),,25-20,,
10:59.0,Personal foul by K. Marshall (drawn by B. Roberts),,25-20,,
10:50.0,,,25-20,,Charlotte full timeout
10:45.0,,,25-20,,B. Biyombo misses 2-pt shot from 3 ft (block by J. Henson)
10:45.0,,,25-20,,Offensive rebound by B. Biyombo
10:45.0,,,25-20,,Turnover by Team (shot clock)
10:37.0,J. Henson misses 2-pt shot from 2 ft (block by B. Biyombo),,25-20,,
10:37.0,Offensive rebound by Team,,25-20,,
10:34.0,O. Mayo misses 2-pt shot from 20 ft,,25-20,,
10:33.0,,,25-20,,Defensive rebound by B. Roberts
10:25.0,,,25-20,,Turnover by B. Roberts (bad pass; steal by J. Bayless)
10:21.0,Turnover by O. Mayo (bad pass; steal by M. Williams),,25-20,,
10:16.0,,,25-20,,B. Roberts misses 3-pt shot from 26 ft
10:13.0,Defensive rebound by O. Mayo,,25-20,,
10:08.0,J. Bayless misses 3-pt shot from 23 ft,,25-20,,
10:05.0,,,25-20,,Defensive rebound by M. Williams
9:54.0,,,25-20,,P. Hairston misses 2-pt shot from 17 ft
9:52.0,,,25-20,,Offensive rebound by B. Biyombo
9:46.0,,,25-20,,B. Biyombo misses 2-pt shot from 2 ft (block by J. Henson)
9:44.0,Defensive rebound by J. Henson,,25-20,,
9:41.0,Shooting foul by G. Neal (drawn by O. Mayo),,25-20,,
9:41.0,O. Mayo makes free throw 1 of 2,1,26-20,,
9:41.0,,,26-20,,G. Henderson enters the game for G. Neal
9:41.0,O. Mayo makes free throw 2 of 2,1,27-20,,
9:30.0,,,27-20,,P. Hairston misses 2-pt shot from 20 ft
9:25.0,Defensive rebound by J. Henson,,27-20,,
9:06.0,J. Henson makes 2-pt shot at rim (assist by K. Marshall),2,29-20,,
9:05.0,,,29-20,,Charlotte full timeout
8:53.0,,,29-20,,Turnover by B. Biyombo (traveling)
8:39.0,J. Bayless misses 3-pt shot from 24 ft,,29-20,,
8:38.0,,,29-20,,Defensive rebound by B. Biyombo
8:19.0,,,29-20,,Shooting foul by J. Henson (drawn by B. Biyombo)
8:19.0,,,29-20,,B. Biyombo misses free throw 1 of 2
8:19.0,,,29-20,,Offensive rebound by Team
8:19.0,J. Dudley enters the game for J. Bayless,,29-20,,
8:19.0,,,29-20,,B. Biyombo misses free throw 2 of 2
8:18.0,Defensive rebound by J. Dudley,,29-20,,
8:03.0,K. Middleton makes 2-pt shot from 18 ft,2,31-20,,
7:37.0,,,31-20,,P. Hairston misses 3-pt shot from 29 ft
7:35.0,Defensive rebound by Team,,31-20,,
7:35.0,Z. Pachulia enters the game for J. Henson,,31-20,,
7:35.0,,,31-20,,A. Jefferson enters the game for B. Biyombo
7:35.0,,,31-20,,K. Walker enters the game for P. Hairston
7:21.0,Turnover by K. Marshall (bad pass; steal by G. Henderson),,31-20,,
7:15.0,,,31-20,,Turnover by G. Henderson (bad pass)
7:15.0,B. Knight enters the game for O. Mayo,,31-20,,
7:02.0,K. Marshall misses 2-pt shot from 14 ft,,31-20,,
7:01.0,,,31-20,,Defensive rebound by M. Williams
6:45.0,,,31-20,,M. Williams misses 2-pt shot from 21 ft
6:43.0,Defensive rebound by K. Middleton,,31-20,,
6:34.0,Z. Pachulia makes 2-pt shot from 13 ft (assist by K. Marshall),2,33-20,,
6:22.0,,,33-20,,Turnover by A. Jefferson (traveling)
6:22.0,,,33-20,,M. Kidd-Gilchrist enters the game for M. Williams
6:01.0,K. Middleton misses 2-pt shot from 16 ft,,33-20,,
6:00.0,,,33-20,,Defensive rebound by A. Jefferson
5:51.0,,,33-20,,K. Walker misses 2-pt shot from 12 ft
5:51.0,Defensive rebound by Team,,33-20,,
5:51.0,,,33-20,,Loose ball foul by A. Jefferson (drawn by Z. Pachulia)
5:51.0,Official timeout,,33-20,,
5:35.0,K. Marshall makes 2-pt shot from 2 ft,2,35-20,,
5:21.0,Personal foul by K. Middleton (drawn by G. Henderson),,35-20,,
5:10.0,,,35-22,2,B. Roberts makes 2-pt shot from 14 ft
4:54.0,J. Dudley makes 2-pt shot from 19 ft (assist by K. Marshall),2,37-22,,
4:35.0,,,37-22,,Turnover by B. Roberts (bad pass; steal by K. Marshall)
4:29.0,K. Middleton makes 2-pt shot from 1 ft (assist by K. Marshall),2,39-22,,
4:09.0,,,39-22,,G. Henderson misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by K. Middleton,,39-22,,
4:01.0,K. Middleton makes 2-pt shot from 18 ft (assist by J. Dudley),2,41-22,,
3:52.0,,,41-22,,Charlotte full timeout
3:52.0,G. Antetokounmpo enters the game for K. Middleton,,41-22,,
3:52.0,,,41-22,,M. Williams enters the game for B. Roberts
3:40.0,,,41-22,,Turnover by M. Kidd-Gilchrist (lost ball; steal by K. Marshall)
3:35.0,G. Antetokounmpo misses 2-pt shot from 2 ft (block by G. Henderson),,41-22,,
3:33.0,,,41-22,,Defensive rebound by M. Williams
3:24.0,,,41-22,,Turnover by A. Jefferson (bad pass; steal by B. Knight)
3:19.0,B. Knight makes 2-pt shot from 1 ft,2,43-22,,
3:03.0,,,43-22,,K. Walker misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by G. Antetokounmpo,,43-22,,
2:48.0,K. Marshall misses 2-pt shot from 8 ft,,43-22,,
2:46.0,,,43-22,,Defensive rebound by A. Jefferson
2:26.0,,,43-24,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams)
2:13.0,J. Dudley misses 2-pt shot from 1 ft (block by K. Walker),,43-24,,
2:11.0,,,43-24,,Defensive rebound by M. Williams
2:01.0,,,43-27,3,K. Walker makes 3-pt shot from 24 ft (assist by G. Henderson)
1:44.0,Shooting foul by A. Jefferson (drawn by Z. Pachulia),,43-27,,
1:44.0,Z. Pachulia misses free throw 1 of 2,,43-27,,
1:44.0,Offensive rebound by Team,,43-27,,
1:44.0,O. Mayo enters the game for K. Marshall,,43-27,,
1:44.0,Z. Pachulia makes free throw 2 of 2,1,44-27,,
1:21.0,,,44-27,,A. Jefferson misses 2-pt shot from 17 ft
1:20.0,Defensive rebound by G. Antetokounmpo,,44-27,,
1:05.0,B. Knight misses 2-pt shot from 2 ft,,44-27,,
1:03.0,Offensive rebound by J. Dudley,,44-27,,
0:59.0,J. Dudley makes 3-pt shot from 24 ft (assist by O. Mayo),3,47-27,,
0:49.0,,,47-29,2,K. Walker makes 2-pt shot from 11 ft
0:39.0,B. Knight misses 2-pt shot from 17 ft,,47-29,,
0:38.0,,,47-29,,Defensive rebound by M. Kidd-Gilchrist
0:25.0,,,47-29,,Turnover by K. Walker (lost ball; steal by B. Knight)
0:21.0,B. Knight makes 2-pt shot at rim,2,49-29,,
0:01.0,,,49-32,3,M. Williams makes 3-pt shot from 25 ft (assist by G. Henderson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by B. Knight (lost ball; steal by A. Jefferson),,49-32,,
11:18.0,,,49-32,,G. Henderson misses 2-pt shot from 15 ft
11:15.0,Defensive rebound by G. Antetokounmpo,,49-32,,
11:06.0,Turnover by B. Knight (bad pass; steal by M. Kidd-Gilchrist),,49-32,,
11:04.0,,,49-32,,Shooting foul by K. Middleton (drawn by M. Kidd-Gilchrist)
11:04.0,,,49-33,1,G. Henderson makes free throw 1 of 2
11:04.0,,,49-34,1,G. Henderson makes free throw 2 of 2
10:43.0,Z. Pachulia makes 2-pt shot from 15 ft (assist by B. Knight),2,51-34,,
10:30.0,Personal foul by B. Knight (drawn by A. Jefferson),,51-34,,
10:24.0,,,51-34,,K. Walker misses 3-pt shot from 26 ft
10:24.0,,,51-34,,Offensive rebound by Team
10:21.0,,,51-36,2,G. Henderson makes 2-pt shot from 17 ft (assist by M. Kidd-Gilchrist)
10:01.0,Z. Pachulia makes 2-pt shot from 18 ft (assist by B. Knight),2,53-36,,
9:44.0,,,53-38,2,A. Jefferson makes 2-pt shot from 8 ft (assist by C. Zeller)
9:24.0,Turnover by Z. Pachulia (offensive foul),,53-38,,
9:24.0,Offensive foul by Z. Pachulia,,53-38,,
9:24.0,Technical foul by B. Knight,,53-38,,
9:24.0,,,53-39,1,K. Walker makes technical free throw
9:10.0,,,53-41,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by A. Jefferson)
8:53.0,Turnover by B. Knight (bad pass; steal by K. Walker),,53-41,,
8:48.0,,,53-41,,K. Walker misses 2-pt shot from 2 ft
8:48.0,Defensive rebound by Team,,53-41,,
8:35.0,J. O'Bryant makes 2-pt shot from 6 ft,2,55-41,,
8:25.0,,,55-41,,Turnover by C. Zeller (lost ball; steal by B. Knight)
8:20.0,K. Middleton makes 2-pt shot at rim (assist by B. Knight),2,57-41,,
8:20.0,,,57-41,,Charlotte full timeout
8:03.0,,,57-43,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by K. Walker)
7:49.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,59-43,,
7:33.0,,,59-45,2,A. Jefferson makes 2-pt shot from 6 ft
7:15.0,K. Middleton misses 2-pt shot from 6 ft,,59-45,,
7:13.0,,,59-45,,Defensive rebound by C. Zeller
7:00.0,,,59-47,2,G. Henderson makes 2-pt shot from 9 ft (assist by A. Jefferson)
6:39.0,Shooting foul by A. Jefferson (drawn by Z. Pachulia),,59-47,,
6:39.0,Z. Pachulia makes free throw 1 of 2,1,60-47,,
6:39.0,J. Dudley enters the game for J. O'Bryant,,60-47,,
6:39.0,Z. Pachulia makes free throw 2 of 2,1,61-47,,
6:20.0,,,61-49,2,C. Zeller makes 2-pt shot at rim (assist by A. Jefferson)
5:57.0,Turnover by Z. Pachulia (lost ball; steal by C. Zeller),,61-49,,
5:50.0,,,61-49,,A. Jefferson misses 2-pt shot from 17 ft
5:48.0,Defensive rebound by Z. Pachulia,,61-49,,
5:36.0,B. Knight misses 2-pt shot from 19 ft,,61-49,,
5:34.0,,,61-49,,Defensive rebound by A. Jefferson
5:15.0,,,61-51,2,A. Jefferson makes 2-pt shot from 8 ft
4:48.0,J. Dudley makes 2-pt shot from 10 ft (assist by Z. Pachulia),2,63-51,,
4:34.0,,,63-51,,Offensive foul by M. Kidd-Gilchrist
4:34.0,,,63-51,,Turnover by M. Kidd-Gilchrist (offensive foul)
4:34.0,O. Mayo enters the game for G. Antetokounmpo,,63-51,,
4:33.0,,,63-51,,M. Williams enters the game for C. Zeller
4:33.0,,,63-51,,G. Neal enters the game for G. Henderson
4:10.0,Turnover by B. Knight (lost ball; steal by M. Williams),,63-51,,
4:06.0,,,63-51,,Shooting foul by O. Mayo (drawn by K. Walker)
4:06.0,,,63-52,1,K. Walker makes free throw 1 of 2
4:06.0,J. Bayless enters the game for B. Knight,,63-52,,
4:06.0,,,63-53,1,K. Walker makes free throw 2 of 2
3:51.0,Z. Pachulia misses 2-pt shot from 14 ft,,63-53,,
3:50.0,,,63-53,,Defensive rebound by A. Jefferson
3:30.0,Def 3 sec tech foul by J. Dudley,,63-53,,
3:30.0,,,63-54,1,G. Neal makes technical free throw
3:23.0,,,63-54,,A. Jefferson misses 2-pt shot from 9 ft
3:22.0,Defensive rebound by K. Middleton,,63-54,,
3:12.0,O. Mayo misses 3-pt shot from 25 ft,,63-54,,
3:11.0,,,63-54,,Defensive rebound by M. Williams
3:01.0,,,63-54,,K. Walker misses 3-pt shot from 25 ft
3:00.0,Defensive rebound by O. Mayo,,63-54,,
2:50.0,O. Mayo misses 2-pt shot from 16 ft,,63-54,,
2:49.0,,,63-54,,Defensive rebound by G. Neal
2:35.0,,,63-56,2,G. Neal makes 2-pt shot from 1 ft
2:19.0,J. Dudley misses 2-pt shot from 14 ft,,63-56,,
2:17.0,,,63-56,,Defensive rebound by A. Jefferson
2:03.0,,,63-56,,M. Kidd-Gilchrist misses 2-pt shot from 15 ft
2:02.0,Defensive rebound by J. Bayless,,63-56,,
2:02.0,Milwaukee full timeout,,63-56,,
2:02.0,J. Henson enters the game for Z. Pachulia,,63-56,,
2:02.0,,,63-56,,P. Hairston enters the game for M. Kidd-Gilchrist
2:02.0,,,63-56,,C. Zeller enters the game for A. Jefferson
1:50.0,K. Middleton misses 3-pt shot from 23 ft,,63-56,,
1:49.0,,,63-56,,Defensive rebound by M. Williams
1:38.0,,,63-56,,K. Walker misses 2-pt shot from 2 ft (block by J. Henson)
1:38.0,Defensive rebound by Team,,63-56,,
1:24.0,Turnover by J. Bayless (bad pass; steal by C. Zeller),,63-56,,
1:13.0,,,63-56,,Shooting foul by K. Middleton (drawn by C. Zeller)
1:13.0,,,63-57,1,C. Zeller makes free throw 1 of 2
1:13.0,K. Marshall enters the game for K. Middleton,,63-57,,
1:13.0,,,63-57,,C. Zeller misses free throw 2 of 2
1:11.0,Defensive rebound by J. Henson,,63-57,,
