time,Brooklyn,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Lopez (K. Korver gains possession),,,,Jump ball: A. Horford vs. B. Lopez (K. Korver gains possession)
11:36.0,,,0-2,2,A. Horford makes 2-pt shot from 2 ft (assist by P. Millsap)
11:14.0,J. Johnson misses 2-pt shot from 14 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by A. Horford
11:03.0,,,0-4,2,K. Korver makes 2-pt shot from 18 ft (assist by D. Carroll)
10:39.0,T. Young makes 2-pt shot from 19 ft (assist by J. Johnson),2,2-4,,
10:14.0,Personal foul by T. Young (drawn by A. Horford),,2-4,,
10:00.0,,,2-6,2,A. Horford makes 2-pt shot from 7 ft (assist by D. Carroll)
9:40.0,T. Young misses 3-pt shot from 25 ft,,2-6,,
9:38.0,,,2-6,,Defensive rebound by D. Carroll
9:26.0,,,2-6,,D. Carroll misses 2-pt shot from 2 ft
9:25.0,Defensive rebound by T. Young,,2-6,,
9:12.0,B. Lopez misses 2-pt shot from 1 ft,,2-6,,
9:11.0,,,2-6,,Defensive rebound by A. Horford
9:05.0,,,2-6,,J. Teague misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by J. Johnson,,2-6,,
8:48.0,J. Johnson misses 2-pt shot from 5 ft,,2-6,,
8:47.0,Offensive rebound by J. Johnson,,2-6,,
8:47.0,J. Johnson makes 2-pt shot from 5 ft,2,4-6,,
8:25.0,,,4-6,,J. Teague misses 2-pt shot from 1 ft
8:24.0,,,4-6,,Offensive rebound by A. Horford
8:24.0,,,4-8,2,A. Horford makes 2-pt shot at rim
8:21.0,Turnover by B. Lopez (bad pass; steal by A. Horford),,4-8,,
8:18.0,,,4-10,2,D. Carroll makes 2-pt shot from 2 ft (assist by A. Horford)
7:56.0,Shooting foul by A. Horford (drawn by B. Lopez),,4-10,,
7:56.0,B. Lopez makes free throw 1 of 2,1,5-10,,
7:56.0,B. Lopez makes free throw 2 of 2,1,6-10,,
7:44.0,,,6-12,2,D. Carroll makes 2-pt shot from 6 ft
7:30.0,T. Young makes 2-pt shot from 20 ft (assist by J. Johnson),2,8-12,,
7:13.0,,,8-12,,Turnover by K. Korver (bad pass; steal by B. Bogdanovic)
7:09.0,Turnover by B. Bogdanovic (lost ball; steal by P. Millsap),,8-12,,
7:01.0,,,8-12,,Shooting foul by D. Williams (drawn by D. Carroll)
7:01.0,,,8-13,1,D. Carroll makes free throw 1 of 2
7:01.0,,,8-13,,D. Carroll misses free throw 2 of 2
7:00.0,Defensive rebound by J. Johnson,,8-13,,
6:46.0,B. Lopez misses 2-pt shot from 21 ft,,8-13,,
6:45.0,,,8-13,,Defensive rebound by J. Teague
6:27.0,,,8-16,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
6:24.0,Brooklyn full timeout,,8-16,,
6:12.0,B. Bogdanovic misses 2-pt shot from 14 ft (block by K. Korver),,8-16,,
6:10.0,,,8-16,,Defensive rebound by A. Horford
6:02.0,,,8-16,,A. Horford misses 2-pt shot from 2 ft
6:00.0,Defensive rebound by J. Johnson,,8-16,,
