time,Cleveland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Mozgov (L. James gains possession),,,,Jump ball: P. Gasol vs. T. Mozgov (L. James gains possession)
11:34.0,L. James misses 2-pt shot from 16 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by J. Noah
11:14.0,,,0-0,,J. Butler misses 2-pt shot from 18 ft
11:13.0,,,0-0,,Offensive rebound by J. Noah
11:11.0,,,0-0,,J. Noah misses 2-pt shot from 2 ft
11:10.0,Defensive rebound by T. Mozgov,,0-0,,
10:49.0,T. Mozgov misses 2-pt shot from 2 ft (block by J. Noah),,0-0,,
10:46.0,Offensive rebound by L. James,,0-0,,
10:43.0,I. Shumpert misses 3-pt shot from 23 ft,,0-0,,
10:41.0,,,0-0,,Defensive rebound by D. Rose
10:28.0,,,0-0,,Turnover by J. Noah (bad pass; steal by K. Irving)
10:12.0,T. Thompson misses 2-pt shot from 5 ft (block by M. Dunleavy),,0-0,,
10:10.0,,,0-0,,Defensive rebound by M. Dunleavy
10:04.0,,,0-0,,J. Butler misses 2-pt shot from 19 ft
10:02.0,,,0-0,,Offensive rebound by J. Noah
9:59.0,,,0-0,,J. Noah misses 2-pt shot from 2 ft
9:57.0,,,0-0,,Offensive rebound by P. Gasol
9:57.0,,,0-0,,P. Gasol misses 2-pt shot from 1 ft
9:56.0,Defensive rebound by T. Mozgov,,0-0,,
9:49.0,Shooting foul by J. Noah (drawn by L. James),,0-0,,
9:49.0,L. James makes free throw 1 of 2,1,1-0,,
9:49.0,L. James makes free throw 2 of 2,1,2-0,,
9:27.0,,,2-0,,P. Gasol misses 2-pt shot from 9 ft
9:27.0,,,2-0,,Offensive rebound by J. Noah
9:27.0,,,2-0,,Shooting foul by T. Mozgov (drawn by J. Noah)
9:27.0,,,2-1,1,J. Noah makes free throw 1 of 2
9:27.0,,,2-2,1,J. Noah makes free throw 2 of 2
9:19.0,Turnover by K. Irving (bad pass; steal by J. Butler),,2-2,,
9:13.0,,,2-4,2,J. Butler makes 2-pt shot from 2 ft
8:50.0,I. Shumpert misses 2-pt shot from 11 ft (block by P. Gasol),,2-4,,
8:50.0,Offensive rebound by Team,,2-4,,
8:50.0,Turnover by Team (shot clock),,2-4,,
8:40.0,,,2-4,,D. Rose misses 2-pt shot from 13 ft
8:39.0,Defensive rebound by K. Irving,,2-4,,
8:18.0,L. James misses 3-pt shot from 25 ft,,2-4,,
8:17.0,,,2-4,,Defensive rebound by J. Noah
8:09.0,,,2-4,,M. Dunleavy misses 2-pt shot from 2 ft (block by T. Mozgov)
8:09.0,,,2-4,,Offensive rebound by Team
8:05.0,,,2-4,,J. Noah misses 2-pt shot from 3 ft (block by T. Mozgov)
8:03.0,Defensive rebound by T. Thompson,,2-4,,
7:53.0,I. Shumpert misses 3-pt shot from 25 ft,,2-4,,
